time,open,high,low,close,volume
2018-01-02,4.37,4.49,4.28,4.4,5360
2018-01-03,4.36,4.37,4.31,4.35,52360
2018-01-04,4.43,4.46,4.27,4.45,139720
2018-01-05,4.58,4.58,4.37,4.45,15350
2018-01-08,4.49,4.49,4.33,4.33,41610
2018-01-09,4.45,4.45,4.3,4.33,40570
2018-01-10,4.37,4.62,4.33,4.49,171530
2018-01-11,4.49,4.49,4.43,4.49,71880
2018-01-12,4.49,4.56,4.44,4.49,122680
2018-01-15,4.49,4.65,4.48,4.62,181710
2018-01-16,4.65,4.91,4.65,4.78,678950
2018-01-17,4.89,4.89,4.69,4.69,811070
2018-01-18,4.64,4.8,4.62,4.74,99230
2018-01-19,4.69,4.83,4.69,4.73,91970
2018-01-22,4.73,4.81,4.64,4.64,77040
2018-01-23,4.64,4.64,4.64,4.64,0
2018-01-24,4.64,4.64,4.64,4.64,0
2018-01-25,4.75,4.78,4.37,4.43,496940
2018-01-26,4.46,4.46,4.28,4.3,265190
2018-01-29,4.3,4.3,4.06,4.07,397010
2018-01-30,4.04,4.14,3.99,4.07,92230
2018-01-31,4.13,4.13,4.03,4.1,130510
2018-02-01,4.14,4.14,4.04,4.06,58820
2018-02-02,4.11,4.11,3.96,4.04,23000
2018-02-05,3.94,3.98,3.85,3.85,132580
2018-02-06,3.6,3.76,3.58,3.58,112440
2018-02-07,3.58,3.78,3.58,3.78,46250
2018-02-08,3.83,3.83,3.66,3.72,19910
2018-02-09,3.66,3.66,3.6,3.61,35940
2018-02-12,3.55,3.72,3.54,3.7,23950
2018-02-13,3.82,3.92,3.7,3.92,25990
2018-02-21,4.11,4.11,3.82,4.01,40680
2018-02-22,4.07,4.07,3.92,3.93,22440
2018-02-23,4.01,4.02,3.94,4.01,48970
2018-02-26,4.01,4.04,3.93,4.01,61340
2018-02-27,4.01,4.03,3.96,4.01,65950
2018-02-28,3.99,4.0,3.96,3.99,53230
2018-03-01,3.98,3.98,3.83,3.95,144510
2018-03-02,3.92,3.95,3.85,3.95,38600
2018-03-05,3.93,4.04,3.83,3.88,52060
2018-03-06,3.95,3.95,3.85,3.94,55540
2018-03-07,3.86,4.02,3.85,3.97,62510
2018-03-08,4.01,4.03,3.94,4.01,44120
2018-03-09,3.92,4.01,3.92,3.99,19710
2018-03-12,4.01,4.04,3.89,3.89,63040
2018-03-13,3.95,3.95,3.85,3.94,56780
2018-03-14,3.95,3.95,3.85,3.92,106780
2018-03-15,3.97,3.97,3.92,3.95,5570
2018-03-16,3.97,3.97,3.9,3.96,790
2018-03-19,3.96,4.04,3.96,3.99,93720
2018-03-20,4.04,4.22,4.03,4.12,129460
2018-03-21,4.04,4.21,3.98,4.08,55210
2018-03-22,4.01,4.17,3.98,3.98,49850
2018-03-23,3.97,3.97,3.85,3.97,70240
2018-03-26,3.88,3.96,3.88,3.92,6390
2018-03-27,3.98,3.98,3.88,3.98,20450
2018-03-28,3.92,4.1,3.85,3.96,66990
2018-03-29,3.87,4.01,3.85,3.85,118400
2018-03-30,3.87,3.95,3.85,3.86,44880
2018-04-02,3.86,3.97,3.85,3.86,12460
2018-04-03,3.86,3.97,3.86,3.97,27050
2018-04-04,3.92,4.0,3.92,4.0,109270
2018-04-05,4.0,4.01,3.96,3.96,26060
2018-04-06,3.98,4.24,3.98,4.24,377920
2018-04-09,4.43,4.43,4.29,4.29,59430
2018-04-10,4.43,4.43,4.01,4.26,82920
2018-04-11,4.32,4.32,3.99,4.11,28190
2018-04-12,4.11,4.14,3.92,4.04,16410
2018-04-13,3.92,4.1,3.92,4.04,74460
2018-04-16,3.98,4.01,3.97,4.01,102660
2018-04-17,4.04,4.11,3.98,4.11,28720
2018-04-18,4.0,4.1,3.99,4.03,16890
2018-04-19,4.3,4.3,3.92,4.04,38650
2018-04-20,4.04,4.08,3.94,4.03,12430
2018-04-23,4.3,4.3,3.98,4.01,52920
2018-04-24,4.01,4.03,3.87,4.03,38860
2018-04-26,3.81,4.04,3.81,3.9,36680
2018-04-27,3.85,4.03,3.85,3.85,24430
2018-05-02,4.03,4.1,3.92,4.01,78050
2018-05-03,4.01,4.01,3.85,3.97,33070
2018-05-04,3.82,4.04,3.82,4.03,16210
2018-05-07,4.02,4.02,3.88,4.0,4350
2018-05-08,4.02,4.02,3.87,3.87,20400
2018-05-09,4.04,4.04,3.86,3.89,85350
2018-05-10,3.79,3.95,3.72,3.95,15970
2018-05-11,3.86,3.94,3.86,3.92,12370
2018-05-14,3.9,3.97,3.9,3.97,14080
2018-05-15,3.97,3.98,3.91,3.97,12220
2018-05-16,3.92,3.95,3.92,3.94,21210
2018-05-17,3.94,3.95,3.9,3.95,15910
2018-05-18,3.95,3.95,3.88,3.93,21420
2018-05-21,3.94,3.94,3.9,3.94,10170
2018-05-22,3.9,3.9,3.79,3.9,16570
2018-05-23,3.72,3.88,3.72,3.85,38060
2018-05-24,3.79,3.88,3.79,3.81,25730
2018-05-25,3.88,4.05,3.83,3.92,26190
2018-05-28,3.91,3.91,3.72,3.82,54530
2018-05-29,3.85,3.87,3.79,3.85,90510
2018-05-30,3.82,3.92,3.82,3.83,62390
2018-05-31,3.83,3.9,3.83,3.89,165150
2018-06-01,3.89,3.89,3.87,3.88,121420
2018-06-04,3.88,3.91,3.88,3.9,67140
2018-06-05,3.89,3.95,3.89,3.95,73300
2018-06-06,3.92,3.98,3.92,3.98,74760
2018-06-07,4.03,4.09,4.01,4.05,76710
2018-06-08,4.05,4.08,3.93,3.97,80920
