time,open,high,low,close,volume
2018-01-02,4.2,4.2,4.2,4.2,0
2018-01-03,4.2,4.2,4.2,3.9,10
2018-01-04,4.8,4.8,3.9,4.8,4700
2018-01-05,4.0,4.0,4.0,4.0,0
2018-01-08,4.0,4.0,4.0,4.0,0
2018-01-09,4.6,4.6,4.6,4.6,100
2018-01-10,4.6,4.6,4.6,4.6,0
2018-01-11,4.6,4.6,4.6,4.6,0
2018-01-12,4.8,4.8,4.8,4.8,200
2018-01-15,4.8,4.8,4.8,4.8,0
2018-01-16,4.8,4.8,4.8,4.8,10
2018-01-17,4.8,4.8,4.8,4.8,0
2018-01-18,4.1,4.1,4.1,4.1,320
2018-01-19,4.7,4.7,4.7,4.7,100
2018-01-22,4.7,4.7,4.7,4.7,0
2018-01-23,4.2,4.6,4.2,4.6,400
2018-01-24,4.3,4.3,4.3,4.3,0
2018-01-25,3.7,3.7,3.7,3.7,300
2018-01-26,3.5,3.5,3.5,3.5,3000
2018-01-29,3.1,3.2,3.0,3.2,18800
2018-01-30,3.1,3.1,3.1,3.1,0
2018-01-31,3.5,3.5,3.5,3.5,100
2018-02-01,3.5,3.5,3.5,3.5,0
2018-02-02,3.1,3.2,3.1,3.2,3010
2018-02-05,3.1,3.1,3.1,3.1,0
2018-02-06,3.5,3.5,3.5,3.5,100
2018-02-07,3.3,3.3,3.3,3.3,3000
2018-02-08,3.3,3.3,3.3,3.3,1000
2018-02-09,3.3,3.3,3.3,3.3,0
2018-02-12,3.2,3.2,3.2,3.2,24500
2018-02-13,3.6,3.6,3.6,3.6,800
2018-02-21,3.6,3.6,3.6,3.6,0
2018-02-22,3.5,3.6,3.5,3.5,105
2018-02-23,3.5,3.5,3.0,3.5,6400
2018-02-26,3.6,3.6,3.6,3.6,100
2018-02-27,3.6,3.6,3.6,3.6,0
2018-02-28,3.3,3.3,3.3,3.3,1100
2018-03-01,3.3,3.3,3.3,3.3,0
2018-03-02,3.3,3.5,3.3,3.5,400
2018-03-05,3.3,3.8,3.3,3.8,8210
2018-03-06,3.5,3.5,3.5,3.5,2080
2018-03-07,3.5,3.5,3.5,3.5,2700
2018-03-08,3.5,3.5,3.5,3.5,0
2018-03-09,3.5,3.5,3.5,3.5,0
2018-03-12,3.8,3.9,3.8,3.8,2800
2018-03-13,3.8,3.8,3.8,3.8,1000
2018-03-14,3.8,4.1,3.8,4.1,4100
2018-03-15,4.0,4.2,4.0,4.2,3700
2018-03-16,4.2,4.2,4.2,4.2,0
2018-03-19,4.6,4.6,4.6,4.6,100
2018-03-20,4.6,4.6,4.6,4.6,0
2018-03-21,4.5,4.6,4.5,4.5,4155
2018-03-22,4.4,4.5,4.3,4.4,6700
2018-03-23,5.0,5.0,4.2,4.2,3130
2018-03-26,4.2,4.6,4.2,4.6,19500
2018-03-27,4.5,4.5,4.5,4.5,31000
2018-03-28,4.5,4.5,4.5,4.5,1505
2018-03-29,4.5,4.5,4.5,4.5,0
2018-03-30,4.0,4.0,4.0,4.0,1800
2018-04-02,4.0,4.1,4.0,4.1,700
2018-04-03,4.0,4.0,4.0,4.0,0
2018-04-04,4.1,4.5,4.1,4.5,29500
2018-04-05,4.8,4.8,4.8,4.8,1300
2018-04-06,4.8,5.5,4.8,5.5,18900
2018-04-09,5.2,5.2,5.2,5.5,10
2018-04-10,4.5,4.5,4.5,4.5,1020
2018-04-11,4.5,4.5,4.5,4.5,2000
2018-04-12,4.5,4.5,4.5,4.5,10
2018-04-13,4.5,4.5,4.5,4.5,55
2018-04-16,4.5,4.5,4.5,4.5,20
2018-04-17,4.5,4.5,4.5,4.5,10
2018-04-18,4.5,4.5,4.5,4.5,10
2018-04-19,5.1,5.1,5.1,5.1,510
2018-04-20,5.2,5.8,4.4,5.7,4800
2018-04-23,5.8,5.8,5.8,5.8,500
2018-04-24,5.8,5.8,5.8,5.8,0
2018-04-26,6.2,6.6,6.2,6.6,2300
2018-04-27,6.4,6.4,6.4,6.4,0
2018-05-02,6.4,6.4,6.4,6.4,0
2018-05-03,7.3,7.3,5.5,6.2,300
2018-05-04,6.0,6.0,6.0,6.0,100
2018-05-07,5.1,5.8,5.1,5.8,7161
2018-05-08,6.1,6.1,5.4,5.4,2100
2018-05-09,6.4,6.4,5.7,5.7,3010
2018-05-10,5.5,6.5,5.5,5.5,3500
2018-05-11,5.4,5.4,5.4,5.4,3000
2018-05-14,5.4,5.4,5.4,5.4,500
2018-05-15,5.3,6.2,5.3,6.2,14510
2018-05-16,6.9,6.9,5.1,5.1,28000
2018-05-17,5.2,5.2,5.2,5.2,100
2018-05-18,5.2,5.2,5.2,5.2,0
2018-05-21,5.1,5.8,4.5,4.5,5800
2018-05-22,5.3,6.0,4.8,4.8,12950
2018-05-23,4.5,5.5,4.5,5.5,9300
2018-05-24,5.0,5.1,5.0,5.1,10000
2018-05-25,4.6,5.7,4.5,4.6,17400
2018-05-28,5.0,5.0,5.0,5.0,4500
2018-05-29,5.0,5.0,5.0,5.0,23000
2018-05-30,5.0,5.6,4.8,5.6,8800
2018-05-31,5.0,5.7,4.9,5.7,22400
2018-06-01,5.0,5.2,5.0,5.2,122300
2018-06-04,5.2,5.3,5.1,5.3,29000
2018-06-05,5.3,5.9,5.3,5.9,40600
2018-06-06,6.4,6.5,6.3,6.5,137800
2018-06-07,7.4,7.4,7.1,7.4,85600
2018-06-08,8.0,8.5,7.4,7.4,1180460
2018-06-11,8.5,9.0,7.3,7.3,186700
2018-06-12,7.7,7.7,7.7,7.7,100
2018-06-13,6.6,6.6,6.6,6.6,1100
2018-06-14,5.7,6.4,5.7,5.7,6600
2018-06-15,5.5,5.5,4.9,4.9,6600
2018-06-18,4.2,5.6,4.2,4.2,27200
2018-06-19,4.8,4.8,4.8,4.8,0
2018-06-20,4.2,4.2,4.1,4.1,35700
2018-06-21,4.0,4.0,3.6,3.6,35100
2018-06-22,3.3,4.2,3.3,4.2,716
2018-06-25,4.2,4.2,4.2,4.2,110
2018-06-26,4.5,4.6,4.5,4.6,4110
2018-06-27,4.0,4.0,4.0,4.0,100
2018-06-28,4.4,4.4,4.4,4.4,100
2018-06-29,3.8,3.9,3.8,3.9,9400
2018-07-02,3.7,3.7,3.7,3.7,39400
2018-07-03,3.7,3.7,3.7,3.7,0
2018-07-04,3.4,3.4,3.4,3.4,610
2018-07-05,3.8,3.8,3.8,3.8,100
2018-07-06,3.8,3.8,3.8,3.8,0
2018-07-09,3.3,4.1,3.3,4.1,210
2018-07-10,3.7,3.7,3.7,4.1,80
2018-07-11,3.7,3.7,3.7,3.7,6000
2018-07-12,3.7,3.7,3.7,3.7,0
2018-07-13,3.9,4.0,3.9,4.0,39800
2018-07-16,4.4,4.4,4.4,4.4,400
2018-07-17,4.4,4.4,4.4,4.4,0
2018-07-18,4.3,4.3,4.3,4.3,710
2018-07-19,4.0,4.0,4.0,4.0,600
2018-07-20,4.4,4.6,4.4,4.6,1500
2018-07-23,4.5,4.5,4.5,4.5,0
2018-07-24,4.5,4.5,4.3,4.3,200
2018-07-25,4.7,4.7,4.7,4.7,104
2018-07-26,4.1,4.1,4.1,4.1,100
2018-07-27,4.1,4.1,4.1,4.1,0
2018-07-30,4.0,4.1,4.0,4.1,1100
2018-07-31,4.1,4.1,4.1,4.1,0
2018-08-01,4.1,4.1,4.1,4.1,0
2018-08-02,4.1,4.1,4.1,4.1,0
2018-08-03,4.4,4.4,4.4,4.4,4100
2018-08-06,4.4,4.4,4.4,4.4,0
2018-08-07,4.4,4.4,4.3,4.3,127002
2018-08-08,4.3,4.4,4.3,4.4,210
2018-08-09,4.4,4.4,4.4,4.4,4
2018-08-10,4.4,4.4,4.4,4.4,10
2018-08-13,4.4,4.4,4.4,4.4,0
2018-08-14,4.4,4.4,4.4,4.4,0
2018-08-15,4.4,4.4,4.4,4.4,0
2018-08-16,4.4,4.4,4.4,4.4,0
2018-08-17,4.4,4.4,4.4,4.4,0
2018-08-20,3.8,4.4,3.8,4.4,600
2018-08-21,4.1,4.1,4.1,4.1,0
2018-08-22,4.5,4.5,4.5,4.5,100
2018-08-23,4.5,4.5,4.5,4.5,5
2018-08-24,4.7,4.7,4.7,4.7,100
2018-08-27,4.7,4.7,4.7,4.7,0
2018-08-28,4.7,4.7,4.7,4.7,0
2018-08-29,4.7,4.7,4.7,4.7,19
2018-08-30,4.7,4.7,4.7,4.7,0
2018-08-31,4.7,4.7,4.7,4.7,0
2018-09-04,4.7,4.7,4.7,4.7,0
2018-09-05,4.7,4.7,4.7,4.7,200
2018-09-06,4.0,4.0,4.0,4.0,500
2018-09-07,4.3,4.3,4.3,4.3,25500
2018-09-10,4.3,4.3,4.3,4.3,0
2018-09-11,4.0,4.0,4.0,4.0,3000
2018-09-12,4.0,4.0,4.0,4.0,0
2018-09-13,4.0,4.0,4.0,4.0,0
2018-09-14,4.0,4.0,4.0,4.0,0
2018-09-17,4.4,4.4,4.4,4.4,100
2018-09-18,4.0,4.0,4.0,4.0,750
2018-09-19,4.0,4.0,4.0,4.0,4300
2018-09-20,4.0,4.0,4.0,4.0,1400
2018-09-21,4.0,4.0,4.0,4.0,0
2018-09-24,4.0,4.0,4.0,4.0,0
2018-09-25,4.0,4.0,4.0,4.0,0
2018-09-26,4.0,4.0,4.0,4.0,1900
2018-09-27,4.0,4.0,4.0,4.0,10
2018-09-28,4.0,4.0,4.0,4.0,0
2018-10-01,4.0,4.0,4.0,4.0,0
2018-10-02,4.0,4.0,4.0,4.0,0
2018-10-03,4.0,4.0,4.0,4.0,0
2018-10-04,4.0,4.0,4.0,4.0,0
2018-10-05,4.5,4.5,4.5,4.5,100
2018-10-08,4.5,4.5,4.5,4.5,0
2018-10-09,4.5,4.5,4.5,4.5,0
2018-10-10,4.5,4.5,4.5,4.5,0
2018-10-11,4.5,4.5,4.5,4.5,0
2018-10-12,4.5,4.5,4.5,4.5,0
2018-10-15,4.5,4.5,4.5,4.5,79
2018-10-16,4.5,4.5,4.5,4.5,0
2018-10-17,4.5,4.5,4.5,4.5,0
2018-10-18,4.5,4.5,4.5,4.5,0
2018-10-19,4.5,4.5,4.5,4.5,0
2018-10-22,3.9,3.9,3.9,3.9,420
2018-10-23,3.9,3.9,3.9,3.9,5000
2018-10-24,3.6,3.6,3.6,3.6,500
2018-10-25,3.3,3.3,3.3,3.3,100
2018-10-26,3.1,3.1,3.1,3.1,100
2018-10-29,3.0,3.0,2.7,2.7,57600
2018-10-30,2.7,2.7,2.7,2.7,0
2018-10-31,3.1,3.1,3.1,3.1,1000
2018-11-01,3.1,3.1,3.1,3.1,1000
2018-11-02,3.1,3.1,3.1,3.1,0
2018-11-05,3.1,3.1,3.1,3.1,0
2018-11-06,3.1,3.1,3.1,3.1,50
2018-11-07,3.1,3.1,3.1,3.1,0
2018-11-08,3.1,3.1,3.1,3.1,0
2018-11-09,3.1,3.1,3.1,3.1,0
2018-11-12,3.1,3.1,3.1,3.1,0
2018-11-13,3.1,3.1,3.1,3.1,0
2018-11-14,3.1,3.1,3.1,3.1,0
2018-11-15,3.1,3.1,3.1,3.1,0
2018-11-16,3.1,3.1,3.1,3.1,0
2018-11-19,3.1,3.1,3.1,3.1,0
2018-11-20,3.1,3.1,3.1,3.1,0
2018-11-21,3.1,3.1,3.1,3.1,0
2018-11-22,3.5,3.5,3.5,3.5,100
2018-11-23,3.5,3.5,3.5,3.5,0
2018-11-26,3.5,3.5,3.5,3.5,60
2018-11-27,3.5,3.5,3.5,3.5,0
2018-11-28,3.5,3.5,3.5,3.5,0
2018-11-29,3.9,3.9,3.9,3.9,100
2018-11-30,3.9,3.9,3.9,3.9,0
2018-12-03,3.9,3.9,3.9,3.9,0
2018-12-04,3.4,4.3,3.4,4.0,1610
2018-12-05,4.3,4.3,4.3,4.3,100
2018-12-06,4.3,4.3,4.3,4.3,0
2018-12-07,3.7,3.7,3.7,3.7,1300
2018-12-10,3.2,3.2,3.2,3.2,8800
2018-12-11,3.2,3.2,3.2,3.2,0
2018-12-12,3.1,3.1,3.0,3.0,400
2018-12-13,3.1,3.1,3.1,3.1,200
2018-12-14,3.0,3.0,3.0,3.0,500
2018-12-17,3.4,3.4,3.4,3.4,100
2018-12-18,3.4,3.4,3.4,3.4,0
2018-12-19,3.4,3.4,3.4,3.4,0
2018-12-20,3.6,3.6,3.6,3.6,100
2018-12-21,3.6,3.6,3.6,3.6,0
2018-12-24,3.6,3.6,3.6,3.6,0
2018-12-25,3.6,3.6,3.6,3.6,0
2018-12-26,3.6,3.6,3.6,3.6,0
2018-12-27,3.6,3.6,3.6,3.6,0
2018-12-28,3.6,3.6,3.6,3.6,3
2019-01-02,3.6,3.6,3.6,3.6,0
2019-01-03,3.6,3.6,3.6,3.6,0
2019-01-04,3.6,3.6,3.6,3.6,0
2019-01-07,3.6,3.6,3.6,3.6,0
2019-01-08,3.6,3.6,3.6,3.6,0
2019-01-09,3.6,3.6,3.6,3.6,0
