time,open,high,low,close,volume
2018-01-02,7.24,7.24,7.24,7.24,0
2018-01-03,6.98,6.98,6.78,6.78,900
2018-01-04,6.65,6.65,6.65,6.65,5000
2018-01-05,6.78,6.85,6.78,6.85,1400
2018-01-08,6.78,7.18,6.78,7.11,3300
2018-01-09,6.85,6.85,6.85,6.85,2000
2018-01-10,5.86,6.26,5.86,6.26,200
2018-01-11,6.92,6.92,6.78,6.92,11000
2018-01-12,6.85,6.85,6.85,6.85,0
2018-01-15,7.44,7.44,7.44,7.44,400
2018-01-16,6.92,6.92,6.92,6.92,11600
2018-01-17,6.92,6.92,6.92,6.92,0
2018-01-18,6.92,6.92,6.92,6.92,0
2018-01-19,6.92,6.92,6.92,6.92,0
2018-01-22,6.92,6.92,6.92,6.92,600
2018-01-23,6.92,6.92,6.65,6.92,12000
2018-01-24,6.98,6.98,6.98,6.98,200
2018-01-25,6.92,6.98,6.92,6.98,2000
2018-01-26,6.92,6.92,6.92,6.92,0
2018-01-29,6.85,6.92,6.85,6.92,4500
2018-01-30,6.85,6.85,6.85,6.85,200
2018-01-31,6.92,6.92,6.92,6.92,5100
2018-02-01,6.92,6.92,6.92,6.92,0
2018-02-02,6.92,6.92,6.92,6.92,0
2018-02-05,6.92,6.92,6.92,6.92,0
2018-02-06,6.92,6.92,6.85,6.92,11100
2018-02-07,6.92,6.92,6.92,6.92,5000
2018-02-08,6.78,6.78,6.78,6.78,1900
2018-02-09,6.78,6.78,6.78,6.78,0
2018-02-12,6.92,6.92,6.92,6.92,9000
2018-02-13,6.92,6.92,6.92,6.92,3100
2018-02-21,6.92,6.92,6.92,6.92,0
2018-02-22,6.92,6.92,6.92,6.92,0
2018-02-23,6.92,6.92,6.92,6.92,12500
2018-02-26,6.92,6.92,6.92,6.92,5000
2018-02-27,7.24,7.24,7.24,7.24,400
2018-02-28,7.24,7.24,7.05,7.05,5200
2018-03-01,7.9,7.9,7.9,7.9,100
2018-03-02,8.89,8.89,8.89,8.89,100
2018-03-05,8.89,8.89,8.89,8.89,0
2018-03-06,7.57,7.57,7.57,7.57,600
2018-03-07,7.57,7.57,7.57,7.57,0
2018-03-08,7.57,7.57,7.57,7.57,0
2018-03-09,7.57,7.57,7.57,7.57,0
2018-03-12,7.57,7.57,7.57,7.57,400
2018-03-13,7.05,7.18,7.05,7.18,13500
2018-03-14,7.05,7.05,7.05,7.05,0
2018-03-15,7.05,7.24,7.05,7.05,32900
2018-03-16,7.05,7.05,7.05,7.05,0
2018-03-19,7.05,7.05,7.05,7.05,0
2018-03-20,7.54,7.54,7.54,7.54,100
2018-03-21,7.54,7.54,7.54,7.54,0
2018-03-22,7.54,7.54,7.54,7.54,0
2018-03-23,7.4,7.4,7.4,7.4,1000
2018-03-26,7.4,7.4,7.4,7.4,0
2018-03-27,8.39,8.39,8.39,8.39,100
2018-03-28,8.39,8.39,8.39,8.39,0
2018-03-29,8.39,8.39,8.39,8.39,0
2018-03-30,8.39,8.39,8.39,8.39,0
2018-04-02,8.46,8.46,8.46,8.46,4000
2018-04-03,8.46,8.46,8.46,8.46,16
2018-04-04,8.46,8.46,8.46,8.46,1000
2018-04-05,8.46,8.46,8.46,8.46,0
2018-04-06,7.68,7.68,7.68,7.68,100
2018-04-09,7.68,7.68,7.68,7.68,600
2018-04-10,7.4,7.4,7.4,7.4,200
2018-04-11,7.4,7.4,7.4,7.4,800
2018-04-12,7.19,7.33,7.19,7.33,11700
2018-04-13,7.61,7.61,7.61,7.61,100
2018-04-16,7.61,7.61,7.61,7.61,6000
2018-04-17,8.1,8.1,8.1,8.1,2000
2018-04-18,8.03,8.1,8.03,8.1,3200
2018-04-19,8.1,8.1,8.03,8.03,4400
2018-04-20,8.03,8.1,7.96,8.1,10700
2018-04-23,7.68,7.75,7.4,7.4,22400
2018-04-24,7.75,7.75,7.61,7.61,6500
2018-04-26,7.61,7.61,7.61,7.61,2300
2018-04-27,7.61,7.61,7.61,7.61,700
2018-05-02,7.61,7.61,7.61,7.61,0
2018-05-03,7.61,7.61,7.61,7.61,0
2018-05-04,7.33,7.33,7.33,7.33,10000
2018-05-07,7.33,7.33,7.33,7.33,0
2018-05-08,7.33,7.33,7.33,7.33,0
2018-05-09,7.33,7.33,7.33,7.33,0
2018-05-10,7.33,7.33,7.33,7.33,2400
2018-05-11,7.4,7.4,7.4,7.4,7600
2018-05-14,7.4,7.4,7.4,7.4,0
2018-05-15,7.4,7.4,7.4,7.4,0
2018-05-16,7.68,7.68,7.68,7.68,100
2018-05-17,7.68,7.68,7.68,7.68,0
2018-05-18,7.68,7.68,7.68,7.68,0
2018-05-21,7.68,7.68,7.68,7.68,0
2018-05-22,7.68,7.68,7.68,7.68,0
2018-05-23,7.68,7.68,7.68,7.68,0
2018-05-24,7.68,7.68,7.68,7.68,0
2018-05-25,7.33,7.33,7.26,7.26,4100
2018-05-28,7.33,7.33,7.26,7.26,3700
2018-05-29,7.4,7.4,7.4,7.4,5000
2018-05-30,7.4,7.4,7.4,7.4,0
2018-05-31,7.26,7.26,7.26,7.26,5000
2018-06-01,7.33,7.33,7.33,7.33,100
2018-06-04,7.33,7.33,7.33,7.33,0
2018-06-05,7.26,7.26,7.26,7.26,2200
2018-06-06,6.2,6.2,6.2,6.2,5000
2018-06-07,6.2,6.2,6.2,6.2,0
2018-06-08,6.2,6.2,6.2,6.2,0
2018-06-11,7.12,7.12,7.12,7.12,100
2018-06-12,7.12,7.12,7.12,7.12,0
2018-06-13,7.12,7.12,7.12,7.12,0
2018-06-14,7.12,7.12,7.12,7.12,0
2018-06-15,7.12,7.12,7.12,7.12,0
2018-06-18,7.12,7.12,7.12,7.12,0
2018-06-19,7.12,7.12,7.12,7.12,0
2018-06-20,7.12,7.12,7.12,7.12,0
2018-06-21,7.12,7.12,7.12,7.12,0
2018-06-22,7.12,7.12,7.12,7.12,0
2018-06-25,7.12,7.12,7.12,7.12,0
2018-06-26,7.12,7.12,7.12,7.12,0
2018-06-27,7.12,7.12,7.12,7.12,0
2018-06-28,7.12,7.12,7.12,7.12,300
2018-06-29,7.12,7.12,7.12,7.12,0
2018-07-02,7.05,7.05,7.05,7.05,1200
2018-07-03,7.05,7.05,7.05,7.05,0
2018-07-04,7.05,7.05,7.05,7.05,0
2018-07-05,7.05,7.05,7.05,7.05,0
2018-07-06,7.19,7.19,7.19,7.19,1000
2018-07-09,7.19,7.19,7.19,7.19,0
2018-07-10,7.19,7.19,7.19,7.19,0
2018-07-11,7.19,7.19,7.19,7.19,0
2018-07-12,7.19,7.19,7.19,7.19,0
2018-07-13,7.05,7.05,7.05,7.05,7000
2018-07-16,7.05,7.05,7.05,7.05,0
2018-07-17,7.05,7.05,7.05,7.05,0
2018-07-18,6.91,6.91,6.91,6.91,90000
2018-07-19,5.92,6.48,5.92,6.48,27000
2018-07-20,7.05,7.05,7.05,7.05,200
2018-07-23,7.12,7.19,7.12,0.0,13000
2018-07-24,7.05,7.05,7.05,7.05,0
2018-07-25,7.05,7.05,7.05,7.05,0
2018-07-26,6.76,6.76,6.69,6.69,8000
2018-07-27,6.76,6.76,6.76,6.76,0
2018-07-30,7.19,7.19,7.19,7.19,100
2018-07-31,7.19,7.19,7.19,7.19,0
2018-08-01,7.19,7.19,7.19,7.19,0
2018-08-02,7.05,7.05,7.05,7.05,17100
2018-08-03,7.05,7.05,7.05,7.05,7000
2018-08-06,7.05,7.05,7.05,7.05,0
2018-08-07,7.05,7.05,7.05,7.05,0
2018-08-08,7.05,7.05,7.05,7.05,0
2018-08-09,7.05,7.05,7.05,7.05,0
2018-08-10,7.05,7.05,7.05,7.05,0
2018-08-13,7.05,7.05,7.05,7.05,0
2018-08-14,7.05,7.05,7.05,7.05,0
2018-08-15,7.05,7.05,7.05,7.05,10000
2018-08-16,7.05,7.05,7.05,7.05,0
2018-08-17,7.05,7.05,7.05,7.05,3000
2018-08-20,6.98,7.05,6.98,7.05,700
2018-08-21,6.98,6.98,6.98,6.98,0
2018-08-22,7.05,7.05,7.05,7.05,3500
2018-08-23,7.05,7.05,7.05,7.05,0
2018-08-24,7.05,7.05,7.05,7.05,100
2018-08-27,7.05,7.05,7.05,7.05,0
2018-08-28,7.05,7.05,7.05,7.05,0
2018-08-29,7.05,7.05,7.05,7.05,0
2018-08-30,7.05,7.05,7.05,7.05,0
2018-08-31,7.12,7.12,7.12,7.12,6300
2018-09-04,7.12,7.12,7.12,7.12,3800
2018-09-05,7.12,7.12,7.12,7.12,2000
2018-09-06,7.12,7.12,7.12,7.12,0
2018-09-07,7.05,7.05,6.98,6.98,3400
2018-09-10,7.4,7.4,7.05,7.05,800
2018-09-11,6.91,6.91,6.84,6.84,20000
2018-09-12,7.12,7.19,6.69,6.69,3200
2018-09-13,6.69,6.69,6.69,6.69,500
2018-09-14,6.69,6.69,6.69,6.69,0
2018-09-17,7.12,7.12,7.12,7.12,100
2018-09-18,6.84,6.84,6.84,6.84,100
2018-09-19,6.84,6.84,6.84,6.84,0
2018-09-20,7.12,7.12,7.12,7.12,1000
2018-09-21,7.26,7.26,7.26,7.26,4000
2018-09-24,7.41,7.41,7.41,7.41,300
2018-09-25,7.41,7.41,7.41,7.41,100
2018-09-26,7.33,7.33,7.33,7.33,300
2018-09-27,7.33,7.33,7.33,7.33,0
2018-09-28,7.33,7.33,7.33,7.33,0
2018-10-01,7.33,7.33,7.33,7.33,0
2018-10-02,7.41,7.41,7.04,7.04,4400
2018-10-03,7.18,7.18,7.18,7.18,0
2018-10-04,7.18,7.18,7.18,7.18,0
2018-10-05,7.18,7.18,7.18,7.18,0
2018-10-08,7.18,7.18,7.18,7.18,0
2018-10-09,7.26,7.26,7.26,7.26,100
2018-10-10,7.26,7.26,7.26,7.26,0
2018-10-11,7.26,7.26,7.26,7.26,0
2018-10-12,7.26,7.26,7.26,7.26,0
2018-10-15,7.26,7.26,7.26,7.26,0
2018-10-16,7.26,7.26,7.26,7.26,0
2018-10-17,7.04,7.04,7.04,7.04,2000
2018-10-18,7.04,7.04,7.04,7.04,0
2018-10-19,7.26,7.26,7.26,7.26,5000
2018-10-22,7.26,7.26,7.26,7.26,0
2018-10-23,7.26,7.26,7.26,7.26,0
2018-10-24,7.26,7.26,7.26,7.26,0
2018-10-25,7.26,7.26,7.26,7.26,0
2018-10-26,7.26,7.26,7.26,7.26,0
2018-10-29,7.26,7.26,7.26,7.26,0
2018-10-30,7.26,7.26,7.26,7.26,0
2018-10-31,7.26,7.26,7.26,7.26,0
2018-11-01,7.26,7.26,7.26,7.26,0
2018-11-02,7.26,7.26,7.26,7.26,0
2018-11-05,7.26,7.26,7.26,7.26,0
2018-11-06,7.26,7.26,7.26,7.26,0
2018-11-07,7.26,7.26,7.26,7.26,0
2018-11-08,7.26,7.26,7.26,7.26,0
2018-11-09,7.26,7.26,7.26,7.26,100
2018-11-12,7.26,7.26,7.26,7.26,0
2018-11-13,7.26,7.26,7.26,7.26,0
2018-11-14,7.26,7.26,7.26,7.26,0
2018-11-15,7.26,7.26,7.26,7.26,0
2018-11-16,7.26,7.26,7.26,7.26,0
2018-11-19,7.26,7.26,7.26,7.26,0
2018-11-20,7.26,7.26,7.26,7.26,0
2018-11-21,7.26,7.26,7.26,7.26,0
2018-11-22,7.26,7.26,7.26,7.26,0
2018-11-23,7.26,7.26,7.26,7.26,0
2018-11-26,8.29,8.29,8.29,8.29,100
2018-11-27,9.48,9.48,9.26,9.26,1100
2018-11-28,9.48,9.26,9.26,9.26,0
2018-11-29,8.07,8.07,8.07,8.07,100
2018-11-30,8.07,8.07,8.07,8.07,0
2018-12-03,8.07,8.07,8.07,8.07,0
2018-12-04,8.07,8.07,8.07,8.07,0
2018-12-05,6.96,6.96,6.89,6.89,2400
2018-12-06,6.96,6.89,6.89,6.89,0
2018-12-07,6.67,6.67,6.67,6.67,100
2018-12-10,6.67,6.67,6.67,6.67,0
2018-12-11,6.67,6.67,6.67,6.67,0
2018-12-12,6.67,6.67,6.67,6.67,2000
2018-12-13,6.67,6.67,6.67,6.67,0
2018-12-14,6.67,6.67,6.67,6.67,0
2018-12-17,6.67,6.67,6.67,6.67,0
