time,open,high,low,close,volume
2018-01-02,30.47,30.82,30.47,30.7,566400
2018-01-03,30.75,31.45,30.7,31.31,1132510
2018-01-04,31.19,31.49,31.17,31.38,678710
2018-01-05,31.4,31.4,30.89,31.03,733030
2018-01-08,30.82,30.94,30.47,30.54,752020
2018-01-09,30.54,30.7,30.21,30.59,854350
2018-01-10,30.59,30.94,30.47,30.87,726350
2018-01-11,30.59,30.82,30.59,30.68,432890
2018-01-12,30.68,30.68,30.26,30.28,761010
2018-01-15,30.28,30.38,30.24,30.35,426390
2018-01-16,30.38,30.59,30.24,30.45,502050
2018-01-17,30.38,30.45,29.77,29.77,699560
2018-01-18,29.66,30.12,29.31,30.12,472240
2018-01-19,30.12,30.12,29.52,29.66,374620
2018-01-22,29.68,30.59,29.61,29.89,328910
2018-01-23,29.89,29.89,29.89,29.89,0
2018-01-24,29.89,29.89,29.89,29.89,0
2018-01-25,30.01,30.35,29.56,30.01,735390
2018-01-26,30.12,30.19,29.59,29.59,282470
2018-01-29,29.59,29.59,28.21,28.8,1019580
2018-01-30,29.07,29.52,28.77,29.28,429120
2018-01-31,29.28,29.28,28.84,29.19,418280
2018-02-01,29.07,31.21,28.77,31.21,467000
2018-02-02,30.12,30.24,29.45,29.45,852600
2018-02-05,29.31,29.31,28.38,28.73,695700
2018-02-06,27.91,28.03,26.87,27.68,1006780
2018-02-07,28.35,28.59,28.03,28.03,458750
2018-02-08,28.26,28.26,27.33,27.61,331600
2018-02-09,26.75,26.75,25.82,26.05,895800
2018-02-12,26.75,26.75,25.93,26.49,570900
2018-02-13,26.52,28.03,26.52,27.91,192920
2018-02-21,28.14,28.68,28.14,28.61,200190
2018-02-22,28.38,28.59,27.68,27.68,303130
2018-02-23,27.8,27.94,27.7,27.87,207380
2018-02-26,27.91,28.49,27.87,28.14,478400
2018-02-27,28.38,29.31,27.91,29.31,746580
2018-02-28,29.07,29.19,28.73,28.84,351460
2018-03-01,28.61,28.84,28.26,28.49,277590
2018-03-02,28.14,28.33,27.84,28.26,690310
2018-03-05,28.38,28.47,27.75,27.8,768540
2018-03-06,27.8,27.82,26.75,27.21,609300
2018-03-07,26.98,26.98,26.45,26.54,619200
2018-03-08,26.56,26.98,26.56,26.77,243880
2018-03-09,26.98,27.1,26.75,27.0,244020
2018-03-12,27.0,27.4,27.0,27.21,192120
2018-03-13,27.21,27.24,26.87,26.98,219390
2018-03-14,27.21,27.38,26.75,26.75,250220
2018-03-15,26.75,26.75,26.4,26.4,349720
2018-03-16,26.98,26.98,25.82,26.38,481790
2018-03-19,27.1,27.45,26.98,27.21,527170
2018-03-20,27.38,28.14,27.24,27.91,673160
2018-03-21,28.38,28.54,27.91,27.91,433980
2018-03-22,27.91,28.28,27.45,27.47,293790
2018-03-23,26.75,27.45,26.54,27.03,278400
2018-03-26,26.75,27.54,26.75,26.75,224100
2018-03-27,26.75,27.07,26.52,26.52,341730
2018-03-28,26.52,26.73,26.33,26.33,314920
2018-03-29,26.52,26.63,26.0,26.31,351580
2018-03-30,26.28,26.49,26.24,26.24,183280
2018-04-02,26.24,26.31,25.59,25.61,767210
2018-04-03,25.61,25.61,23.96,23.96,1076000
2018-04-04,23.96,24.82,23.96,24.4,511510
2018-04-05,24.54,25.07,24.52,24.52,215460
2018-04-06,24.52,25.0,24.38,24.49,265350
2018-04-09,24.61,24.66,24.03,24.05,306530
2018-04-10,24.05,24.07,23.49,23.49,506380
2018-04-11,23.49,23.84,23.21,23.21,525250
2018-04-12,23.26,24.07,23.21,24.07,495810
2018-04-13,24.42,24.52,24.19,24.52,542420
2018-04-16,24.66,24.77,24.42,24.66,343280
2018-04-17,24.7,24.77,24.42,24.47,244320
2018-04-18,24.42,24.47,23.96,23.96,206100
2018-04-19,24.05,24.05,22.79,22.79,314620
2018-04-20,23.26,23.75,23.03,23.75,338220
2018-04-23,24.42,25.31,24.4,24.89,685820
2018-04-24,24.89,25.22,24.77,24.93,220980
2018-04-26,24.89,25.01,23.73,23.78,338620
2018-04-27,23.83,24.3,23.35,24.06,330400
2018-05-02,24.06,25.01,23.94,23.94,254610
2018-05-03,24.06,24.06,23.64,23.97,258960
2018-05-04,24.06,24.3,23.9,23.94,184450
2018-05-07,23.94,25.5,23.94,25.48,597020
2018-05-08,25.67,25.67,24.82,24.91,297750
2018-05-09,24.77,25.24,24.72,24.98,262950
2018-05-10,24.89,24.98,23.59,23.59,530300
2018-05-11,23.57,24.3,23.57,24.3,310160
2018-05-14,24.53,24.89,24.2,24.77,273900
2018-05-15,24.77,25.36,24.65,25.19,474040
2018-05-16,25.01,25.19,24.68,24.77,201990
2018-05-17,24.65,24.86,24.35,24.35,309370
2018-05-18,24.3,25.01,24.09,25.01,301160
2018-05-21,25.71,26.42,25.48,26.02,1188460
2018-05-22,25.97,26.04,25.17,25.71,423890
2018-05-23,25.71,26.66,25.41,26.66,872610
