time,open,high,low,close,volume
2018-01-02,10.91,10.91,10.91,10.91,0
2018-01-03,10.91,10.91,10.91,10.91,0
2018-01-04,10.91,10.91,10.91,10.91,0
2018-01-05,10.91,10.91,10.91,10.91,0
2018-01-08,11.98,11.98,9.98,9.98,1000
2018-01-09,9.98,9.98,9.98,9.98,0
2018-01-10,9.98,9.98,9.98,9.98,0
2018-01-11,10.98,10.98,10.98,10.98,100
2018-01-12,12.05,12.05,12.05,12.05,100
2018-01-15,12.05,12.05,12.05,12.05,0
2018-01-16,11.05,13.19,11.05,13.19,200
2018-01-17,11.9,11.9,11.9,11.9,100
2018-01-18,11.9,11.9,11.9,11.9,0
2018-01-19,11.9,11.9,11.9,11.9,0
2018-01-22,11.9,11.9,11.9,11.9,0
2018-01-23,10.83,10.83,10.83,10.83,100
2018-01-24,10.83,10.83,10.83,10.83,0
2018-01-25,10.83,10.83,10.83,10.83,0
2018-01-26,9.98,11.9,9.98,11.9,200
2018-01-29,10.83,10.83,10.83,10.83,100
2018-01-30,11.9,11.9,11.9,11.9,100
2018-01-31,11.9,11.9,11.9,11.9,0
2018-02-01,11.9,11.9,11.9,11.9,0
2018-02-02,11.9,11.9,11.9,11.9,0
2018-02-05,10.83,10.83,10.83,10.83,100
2018-02-06,11.9,11.9,11.9,11.9,100
2018-02-07,10.83,10.83,10.83,10.83,100
2018-02-08,10.83,10.83,10.83,10.83,0
2018-02-09,11.9,11.9,11.9,11.9,100
2018-02-12,10.83,10.83,10.83,10.83,100
2018-02-13,10.83,10.83,10.83,10.83,0
2018-02-21,11.9,11.9,11.9,11.9,100
2018-02-22,11.9,11.9,11.9,11.9,0
2018-02-23,11.9,11.9,11.9,11.9,0
2018-02-26,11.9,11.9,11.9,11.9,0
2018-02-27,11.9,11.9,11.9,11.9,0
2018-02-28,11.9,11.9,11.9,11.9,0
2018-03-01,11.9,11.9,11.9,11.9,0
2018-03-02,11.9,11.9,11.9,11.9,0
2018-03-05,11.9,11.9,11.9,11.9,0
2018-03-06,11.9,11.9,11.9,11.9,0
2018-03-07,11.9,11.9,11.9,11.9,0
2018-03-08,11.9,11.9,11.9,11.9,0
2018-03-09,11.9,11.9,11.9,11.9,0
2018-03-12,11.9,11.9,11.9,11.9,0
2018-03-13,11.9,11.9,11.9,11.9,0
2018-03-14,11.9,11.9,11.9,11.9,0
2018-03-15,11.9,11.9,11.9,11.9,0
2018-03-16,11.9,11.9,11.9,11.9,200
2018-03-19,11.9,11.9,11.9,11.9,0
2018-03-20,11.9,11.9,11.9,11.9,0
2018-03-21,11.9,11.9,11.9,11.9,1
2018-03-22,11.9,11.9,11.9,11.9,0
2018-03-23,11.9,11.9,11.9,11.9,0
2018-03-26,11.9,11.9,11.9,11.9,0
2018-03-27,11.9,11.9,11.9,11.9,0
2018-03-28,11.9,11.9,11.9,11.9,0
2018-03-29,11.9,11.9,11.9,11.9,0
2018-03-30,13.04,13.04,13.04,13.04,200
2018-04-02,13.04,13.04,13.04,13.04,0
2018-04-03,11.83,11.83,11.83,11.83,110
2018-04-04,11.83,11.83,11.83,11.83,0
