time,open,high,low,close,volume
2018-01-02,17.93,18.35,17.93,18.35,144640
2018-01-03,18.53,18.62,18.35,18.35,378850
2018-01-04,18.35,18.71,18.23,18.71,381030
2018-01-05,18.71,18.71,18.17,18.35,241650
2018-01-08,18.35,18.47,18.17,18.47,289680
2018-01-09,18.77,18.89,18.53,18.86,494540
2018-01-10,18.95,19.93,18.95,19.66,1109350
2018-01-11,19.84,19.84,19.48,19.66,420290
2018-01-12,19.66,19.84,19.3,19.36,550980
2018-01-15,19.54,20.55,19.36,20.55,1488270
2018-01-16,20.43,20.97,20.32,20.43,814640
2018-01-17,20.43,20.67,19.48,19.48,794030
2018-01-18,19.06,19.45,18.71,19.3,531180
2018-01-19,19.48,19.9,19.12,19.39,450570
2018-01-22,19.96,20.67,19.96,20.46,793770
2018-01-23,20.46,20.46,20.46,20.46,0
2018-01-24,20.46,20.46,20.46,20.46,0
2018-01-25,20.85,20.97,20.35,20.55,1909330
2018-01-26,20.61,20.85,20.2,20.26,659430
2018-01-29,20.26,20.49,19.96,19.99,467560
2018-01-30,19.42,21.36,19.42,20.85,810260
2018-01-31,21.15,21.39,20.79,20.79,1095480
2018-02-01,20.97,20.97,20.26,20.29,365750
2018-02-02,20.14,20.38,20.08,20.38,296060
2018-02-05,19.36,20.26,18.98,18.98,429110
2018-02-06,17.66,18.98,17.66,17.66,621300
2018-02-07,17.93,18.89,17.93,18.89,682350
2018-02-08,18.47,19.96,18.47,19.96,476140
2018-02-09,18.71,20.08,18.71,20.05,334070
2018-02-12,19.66,19.96,19.24,19.66,393940
2018-02-13,20.26,20.26,19.72,19.84,101280
2018-02-21,19.84,20.02,19.48,19.66,227890
2018-02-22,19.66,20.26,19.48,19.96,547060
2018-02-23,19.96,20.14,19.78,19.84,257720
2018-02-26,20.2,20.55,19.84,20.26,492110
2018-02-27,21.33,21.33,20.69,21.01,227760
2018-02-28,21.04,21.11,20.69,20.69,147430
2018-03-01,20.69,20.75,20.56,20.65,317160
2018-03-02,20.3,21.53,20.3,21.33,217330
2018-03-05,21.59,22.56,21.59,21.91,397120
2018-03-06,21.79,22.5,21.49,22.3,369090
2018-03-07,22.3,22.3,21.98,22.17,349530
2018-03-08,22.01,22.53,22.01,22.46,221030
2018-03-09,22.63,22.88,22.46,22.75,228260
2018-03-12,22.75,22.75,22.37,22.37,167420
2018-03-13,22.69,22.69,22.37,22.56,128370
2018-03-14,22.56,22.69,22.3,22.56,329740
2018-03-15,22.37,23.01,22.37,22.95,352370
2018-03-16,22.88,23.27,22.88,22.95,166380
2018-03-19,23.14,23.14,22.69,22.88,241180
2018-03-20,22.63,22.82,22.46,22.56,218000
2018-03-21,22.88,22.88,22.56,22.75,206410
2018-03-22,22.69,23.14,22.5,22.5,261560
2018-03-23,21.98,22.5,21.98,22.5,161810
2018-03-26,22.5,22.5,22.04,22.5,57990
2018-03-27,22.63,22.88,22.46,22.56,238240
