time,open,high,low,close,volume
2018-01-02,30.35,30.35,29.1,29.14,53980
2018-01-03,29.14,29.79,28.41,28.45,117572
2018-01-04,28.5,29.01,28.41,28.5,73847
2018-01-05,28.5,29.14,28.19,28.5,87790
2018-01-08,28.45,29.06,28.32,28.54,94760
2018-01-09,28.54,28.75,28.5,28.54,65141
2018-01-10,28.54,29.4,28.54,29.4,109467
2018-01-11,29.66,29.92,29.44,29.7,67321
2018-01-12,29.79,29.79,28.67,29.61,58751
2018-01-15,29.1,31.42,28.84,29.7,149570
2018-01-16,29.7,30.35,29.27,29.66,77651
2018-01-17,29.7,31.42,29.27,29.27,50035
2018-01-18,28.84,29.7,28.84,29.27,27134
2018-01-19,29.66,29.83,29.06,29.14,58168
2018-01-22,29.53,30.56,29.06,29.83,129259
2018-01-23,30.56,30.69,29.87,30.13,68333
2018-01-24,30.17,30.6,29.92,30.13,65715
2018-01-25,30.56,31.42,29.57,29.7,123534
2018-01-26,29.92,30.09,29.06,29.27,71654
2018-01-29,29.31,29.36,28.75,29.06,51055
2018-01-30,29.7,30.52,28.62,29.27,33115
2018-01-31,29.18,29.18,28.75,28.84,43120
2018-02-01,28.8,28.84,28.41,28.58,79010
2018-02-02,28.41,28.62,28.07,28.24,99460
2018-02-05,28.07,28.11,27.12,27.12,116115
2018-02-06,27.33,27.33,25.18,25.83,192850
2018-02-07,27.08,28.41,26.77,27.12,66810
2018-02-08,29.49,29.83,27.16,27.89,13400
2018-02-09,27.16,27.55,25.87,27.55,35700
2018-02-12,27.55,27.98,27.55,27.76,3700
2018-02-13,28.71,29.87,28.71,29.49,48455
2018-02-21,29.49,29.87,29.49,29.87,15123
2018-02-22,29.27,30.13,29.27,29.36,27740
2018-02-23,29.36,30.13,28.84,30.09,54400
2018-02-26,29.92,29.96,28.45,29.1,31501
2018-02-27,29.1,29.53,28.8,29.53,40910
2018-02-28,29.53,29.7,29.1,29.57,15963
2018-03-01,29.27,29.31,28.84,29.14,20510
2018-03-02,29.14,29.14,28.75,28.84,49540
2018-03-05,29.66,29.66,29.01,29.57,6420
2018-03-06,29.14,29.14,28.84,28.84,12410
2018-03-07,28.84,29.06,28.54,28.58,14880
2018-03-08,28.58,28.93,28.41,28.41,15700
2018-03-09,28.84,29.14,28.19,28.84,10665
2018-03-12,29.06,29.06,27.98,28.19,33710
2018-03-13,28.19,28.75,27.98,27.98,15524
2018-03-14,29.01,29.01,27.89,28.32,40592
2018-03-15,28.02,28.02,27.68,27.76,64000
2018-03-16,27.76,28.19,27.59,27.76,15620
2018-03-19,27.68,27.76,27.46,27.46,16172
2018-03-20,27.2,27.98,26.69,27.12,23210
2018-03-21,27.12,27.98,27.12,27.2,18100
2018-03-22,27.55,27.55,27.2,27.33,7461
2018-03-23,27.33,27.55,26.69,27.55,47462
2018-03-26,27.12,27.55,26.95,27.16,8400
2018-03-27,27.12,27.55,26.69,26.69,11858
2018-03-28,27.55,27.55,26.77,26.9,5201
2018-03-29,26.9,26.9,26.47,26.69,9700
2018-03-30,26.47,26.69,26.04,26.69,7610
2018-04-02,26.9,26.9,26.26,26.69,8700
2018-04-03,26.26,26.39,26.17,26.34,17310
2018-04-04,26.17,26.43,26.13,26.34,15186
2018-04-05,26.34,26.64,26.26,26.47,49347
2018-04-06,26.69,26.69,26.52,26.69,27150
2018-04-09,26.47,26.9,26.47,26.69,23709
2018-04-10,26.52,26.52,26.26,26.26,6270
2018-04-11,26.86,26.86,25.91,25.91,9253
2018-04-12,26.21,26.21,25.83,25.83,4430
2018-04-13,25.83,25.83,25.14,25.14,15220
2018-04-16,25.14,25.14,23.67,24.32,48320
2018-04-17,26.04,26.04,24.02,24.79,14411
2018-04-18,24.36,24.41,24.1,24.1,11026
2018-04-19,24.1,24.54,23.93,24.02,70160
2018-04-20,24.1,24.32,24.1,24.23,22026
2018-04-23,24.28,24.28,23.67,23.67,46600
2018-04-24,24.1,24.1,23.55,23.67,56661
2018-04-26,23.67,24.45,23.67,24.1,19124
2018-04-27,24.1,24.54,24.06,24.54,37000
2018-05-02,24.36,24.75,24.36,24.36,13377
2018-05-03,24.36,24.36,24.1,24.15,21713
2018-05-04,24.28,24.41,24.28,24.41,14500
2018-05-07,24.41,24.54,24.1,24.54,10010
2018-05-08,24.54,24.54,24.06,24.06,32820
2018-05-09,23.89,23.89,22.47,23.46,11810
2018-05-10,23.29,23.33,23.24,23.24,4700
2018-05-11,22.81,22.81,22.64,22.81,19800
2018-05-14,22.81,22.81,22.68,22.81,21750
2018-05-15,23.46,23.46,23.24,23.24,1301
2018-05-16,24.32,24.32,23.24,23.24,4009
2018-05-17,23.16,23.16,23.03,23.03,872
2018-05-18,24.1,24.1,22.94,23.24,4512
2018-05-21,22.9,23.07,22.9,22.94,3529
2018-05-22,23.03,23.24,21.95,22.73,10420
2018-05-23,22.6,22.6,21.95,22.38,1600
2018-05-24,22.81,22.81,22.43,22.43,4300
2018-05-25,22.38,22.38,21.95,22.34,4764
2018-05-28,22.04,22.38,21.52,21.57,27660
2018-05-29,22.85,22.85,22.81,22.81,723
2018-05-30,23.52,23.52,23.52,23.52,100
2018-05-31,22.63,23.52,22.63,23.52,10300
2018-06-01,23.52,23.52,22.63,23.52,4190
2018-06-04,23.43,23.47,23.43,23.47,2250
2018-06-05,22.85,22.85,22.41,22.63,3440
2018-06-06,22.63,22.72,22.63,22.72,8030
2018-06-07,20.77,22.63,20.77,22.63,17910
2018-06-08,23.47,23.47,22.63,22.63,5350
2018-06-11,21.52,23.07,20.77,22.63,7900
2018-06-12,22.63,22.63,22.19,22.41,28112
2018-06-13,22.27,22.27,22.14,22.14,25020
2018-06-14,22.63,24.32,21.56,22.14,26610
2018-06-15,21.65,21.7,21.52,21.52,8549
2018-06-18,21.74,21.74,21.48,21.48,4812
2018-06-19,20.85,21.08,19.35,21.08,20610
2018-06-20,21.74,21.74,20.23,21.25,2340
2018-06-21,20.85,21.3,20.5,20.5,6010
2018-06-22,21.7,22.54,21.7,21.92,6500
2018-06-25,20.41,21.52,20.41,20.77,6300
2018-06-26,21.3,21.3,21.3,21.3,300
2018-06-27,21.3,21.3,20.41,21.08,21500
2018-06-28,20.85,20.85,20.41,20.41,20039
2018-06-29,21.08,21.08,20.37,20.41,7500
2018-07-02,19.97,20.41,19.83,19.83,15100
2018-07-03,19.83,19.97,17.93,17.93,20329
2018-07-04,18.64,18.95,18.64,18.64,5200
2018-07-05,18.41,18.64,18.19,18.19,16700
2018-07-06,18.19,18.72,18.19,18.19,13600
2018-07-09,18.28,19.08,18.28,18.81,9200
2018-07-10,19.08,19.08,18.64,19.08,7500
2018-07-11,18.64,18.68,18.41,18.64,30104
2018-07-12,18.86,18.86,18.64,18.86,6120
2018-07-13,18.64,19.08,18.64,19.08,9362
2018-07-16,19.08,19.26,19.08,19.26,306
2018-07-17,19.08,19.3,19.08,19.3,6950
2018-07-18,19.3,19.7,19.3,19.43,4080
2018-07-19,19.43,19.52,18.64,18.77,12620
2018-07-20,18.77,19.57,18.77,18.86,2200
2018-07-23,18.86,19.3,18.86,19.3,32400
2018-07-24,18.95,18.95,18.95,18.95,2000
2018-07-25,18.9,19.17,18.77,18.77,5230
2018-07-26,19.52,19.75,18.9,18.9,2960
2018-07-27,19.3,19.39,19.08,19.35,10200
2018-07-30,19.35,19.75,19.35,19.61,6100
2018-07-31,19.75,20.14,19.61,20.14,11314
2018-08-01,20.41,20.41,19.75,19.75,4902
2018-08-02,19.92,19.92,19.75,19.75,1000
2018-08-03,19.08,19.83,19.08,19.83,7060
2018-08-06,19.83,19.83,19.83,19.83,0
2018-08-07,19.52,19.83,19.52,19.83,1500
2018-08-08,19.88,19.88,19.52,19.52,6888
2018-08-09,19.52,20.14,19.52,20.14,5450
2018-08-10,19.75,19.75,19.75,19.75,210
2018-08-13,19.97,19.97,19.08,19.97,9111
2018-08-14,19.88,19.88,19.88,19.88,383
2018-08-15,19.26,19.97,19.26,19.35,3754
2018-08-16,19.35,19.52,19.3,19.52,9030
2018-08-17,19.52,19.97,19.35,19.48,4700
2018-08-20,19.48,19.52,19.48,19.52,3844
2018-08-21,19.52,19.52,19.52,19.52,50
2018-08-22,19.52,19.52,19.52,19.52,20
2018-08-23,19.21,19.75,19.21,19.75,9722
2018-08-24,19.75,19.97,19.75,19.97,3074
2018-08-27,19.97,20.41,19.97,20.19,24465
2018-08-28,19.97,20.59,19.97,20.59,5822
2018-08-29,20.59,21.48,20.59,21.48,14500
2018-08-30,21.48,21.48,21.48,21.48,544
2018-08-31,21.48,21.48,21.48,21.48,172
2018-09-04,19.97,21.61,19.97,21.43,2420
2018-09-05,21.3,21.52,21.3,21.3,3000
2018-09-06,19.97,21.52,19.97,21.52,16500
2018-09-07,20.85,21.65,20.85,21.43,10820
2018-09-10,21.7,21.7,20.72,20.72,220
2018-09-11,20.85,22.01,20.85,22.01,2530
2018-09-12,22.01,22.01,22.01,22.01,47
2018-09-13,22.01,22.01,22.01,22.01,20
2018-09-14,22.01,22.01,20.32,20.32,1200
2018-09-17,20.32,21.7,20.32,21.25,620
2018-09-18,21.21,23.07,21.21,21.34,5600
2018-09-19,21.3,21.52,21.3,21.52,10123
2018-09-20,21.52,21.52,21.52,21.52,2900
2018-09-21,21.48,23.07,21.48,22.85,49420
2018-09-24,22.81,22.81,21.74,22.58,5603
2018-09-25,22.5,22.9,22.19,22.9,16000
2018-09-26,22.63,22.63,21.96,22.19,1700
2018-09-27,23.29,23.29,21.96,21.96,1350
2018-09-28,22.01,22.1,21.92,21.92,3334
2018-10-01,21.3,22.98,21.3,22.98,20733
2018-10-02,22.98,22.98,22.98,22.98,13
2018-10-03,22.19,22.19,22.19,22.19,2050
2018-10-04,22.01,22.32,22.01,22.14,2101
2018-10-05,22.1,22.19,21.12,21.12,1513
2018-10-08,21.12,22.1,21.12,22.1,1100
2018-10-09,21.74,21.74,21.25,21.74,2049
2018-10-10,21.34,21.34,21.34,21.34,112
2018-10-11,19.97,21.08,19.97,21.08,2700
2018-10-12,20.85,21.08,20.85,21.08,1120
2018-10-15,22.63,22.63,20.23,20.23,1900
2018-10-16,20.85,20.85,19.97,20.85,29454
2018-10-17,20.85,22.19,20.01,20.01,330
2018-10-18,21.25,21.25,21.25,21.25,100
2018-10-19,21.21,21.21,19.97,20.06,1800
2018-10-22,20.14,20.14,20.1,20.1,2000
2018-10-23,20.1,20.1,19.97,19.97,1754
2018-10-24,19.97,19.97,19.97,19.97,10
2018-10-25,19.12,19.12,19.08,19.08,1430
2018-10-26,19.08,19.08,19.08,19.08,3930
2018-10-29,19.08,19.08,19.08,19.08,3511
2018-10-30,19.08,19.08,19.08,19.08,1000
2018-10-31,19.97,20.37,19.97,20.37,358
2018-11-01,19.97,19.97,18.9,18.9,320
2018-11-02,19.08,19.52,18.01,19.52,1846
2018-11-05,18.01,18.01,18.01,18.01,220
2018-11-06,18.19,18.28,18.06,18.06,2240
2018-11-07,18.28,18.41,18.28,18.41,310
2018-11-08,18.06,18.99,17.79,18.72,1100
2018-11-09,18.72,18.72,18.72,18.72,0
2018-11-12,18.64,18.64,18.64,18.64,1000
2018-11-13,18.19,18.41,18.19,18.41,2420
2018-11-14,18.19,18.59,18.19,18.41,3366
2018-11-15,18.41,19.97,18.41,19.43,8200
2018-11-16,19.48,19.75,19.48,19.75,1000
2018-11-19,19.48,19.52,18.41,18.41,2400
2018-11-20,18.41,19.08,18.41,18.64,3260
2018-11-21,18.77,18.77,18.77,18.77,500
2018-11-22,19.92,20.63,18.46,18.64,1110
2018-11-23,18.64,19.48,18.64,19.48,300
2018-11-26,19.75,19.75,18.19,18.19,1130
2018-11-27,18.19,18.64,18.19,18.64,2790
2018-11-28,18.19,18.19,18.19,18.19,800
2018-11-29,18.24,19.08,18.19,19.08,3210
2018-11-30,18.55,18.59,18.55,18.59,235
2018-12-03,18.64,19.08,18.64,19.08,1765
2018-12-04,19.08,19.08,19.08,19.08,3100
2018-12-05,19.08,19.3,19.08,19.3,5600
2018-12-06,19.08,19.08,18.41,18.64,2759
2018-12-07,18.86,18.86,18.64,18.64,600
2018-12-10,18.64,18.64,18.64,18.64,800
2018-12-11,18.64,18.64,18.59,18.64,4800
2018-12-12,18.64,18.64,18.64,18.64,10
2018-12-13,18.64,18.64,18.64,18.64,0
2018-12-14,18.64,18.64,18.64,18.64,200
2018-12-17,18.64,18.64,18.64,18.64,0
2018-12-18,18.19,18.64,18.19,18.64,2500
2018-12-19,18.64,18.86,18.64,18.86,6600
2018-12-20,18.95,18.95,18.95,18.95,200
2018-12-21,18.95,18.95,18.95,18.95,0
2018-12-24,18.86,18.86,18.19,18.19,649
2018-12-25,17.97,18.19,17.97,17.97,10100
2018-12-26,19.08,19.08,17.97,18.19,2680
2018-12-27,18.19,18.19,17.97,17.97,24400
2018-12-28,17.97,17.97,17.97,17.97,4600
2019-01-02,18.86,18.86,17.97,17.97,5150
2019-01-03,17.97,18.33,17.84,17.84,3260
2019-01-04,17.75,17.97,17.75,17.84,10473
2019-01-07,17.97,18.1,17.97,17.97,3900
2019-01-08,17.97,18.86,17.97,18.86,6800
2019-01-09,18.19,18.19,18.19,18.19,2000
2019-01-10,18.01,18.1,18.01,18.1,400
2019-01-11,18.19,18.19,18.1,18.19,1220
2019-01-14,18.1,18.1,18.1,18.1,100
2019-01-15,18.1,18.72,18.1,18.72,6000
2019-01-16,18.19,18.72,18.1,18.72,13500
2019-01-17,18.24,18.24,18.24,18.24,5000
2019-01-18,18.19,18.19,18.19,18.19,3000
2019-01-21,18.19,18.19,18.19,18.19,3600
2019-01-22,18.19,18.19,18.19,18.19,5922
2019-01-23,18.19,18.19,18.19,18.19,3500
2019-01-24,18.19,18.19,18.19,18.19,9300
2019-01-25,18.1,18.64,18.1,18.19,2897
2019-01-28,18.86,18.86,18.24,18.24,400
2019-01-29,18.24,18.24,18.19,18.19,700
2019-01-30,18.19,18.19,18.19,18.19,2200
2019-01-31,18.19,18.19,18.19,18.19,0
2019-02-01,18.19,18.19,18.19,18.19,12058
2019-02-11,18.19,18.19,18.19,18.19,160
2019-02-12,18.19,18.19,17.97,17.97,19840
2019-02-13,18.1,18.1,17.97,17.97,6000
2019-02-14,17.97,17.97,17.62,17.62,151980
2019-02-15,17.62,17.62,17.26,17.3,157230
2019-02-18,17.44,17.44,17.3,17.3,53500
2019-02-19,17.97,17.97,17.08,17.3,26610
2019-02-20,17.3,17.3,17.13,17.13,8010
2019-02-21,17.26,17.26,16.46,16.46,24530
2019-02-22,16.51,16.51,16.51,16.51,560
2019-02-25,17.26,17.3,17.26,17.3,7000
2019-02-26,17.3,17.3,17.08,17.26,41944
2019-02-27,17.22,17.22,16.77,17.22,6100
2019-02-28,17.17,17.22,16.86,16.86,2520
2019-03-01,17.3,17.3,16.68,16.86,4524
2019-03-04,16.86,16.86,16.64,16.64,7814
2019-03-05,17.7,17.7,16.68,16.73,7110
2019-03-06,16.73,16.73,16.55,16.55,9920
2019-03-07,16.59,16.59,16.42,16.59,8700
2019-03-08,17.08,17.08,16.64,16.64,1380
2019-03-11,16.64,16.86,16.64,16.68,7750
2019-03-12,16.86,16.86,16.82,16.82,26324
2019-03-13,16.91,16.91,16.82,16.86,5580
2019-03-14,16.86,16.91,16.82,16.86,25216
2019-03-15,16.86,16.86,16.73,16.86,52700
2019-03-18,18.19,18.19,16.86,17.08,4279
2019-03-19,17.08,17.08,17.08,17.08,14800
2019-03-20,17.26,17.26,16.95,16.95,21400
2019-03-21,16.95,16.95,16.86,16.95,20500
2019-03-22,16.95,16.95,16.77,16.86,3200
2019-03-25,16.77,16.86,16.73,16.86,12660
2019-03-26,16.86,16.86,16.86,16.86,2311
2019-03-27,16.91,16.91,16.86,16.86,9102
2019-03-28,16.86,18.19,16.64,16.86,9042
2019-03-29,16.86,16.86,16.82,16.86,64683
2019-04-01,16.86,16.86,16.86,16.86,31500
2019-04-02,16.86,16.86,16.86,16.86,1023
2019-04-03,16.86,16.86,16.86,16.86,500
2019-04-04,16.86,16.86,16.82,16.86,7601
2019-04-05,16.86,17.22,16.82,16.86,5128
2019-04-08,16.86,16.86,16.82,16.82,2577
2019-04-09,16.86,16.86,16.77,16.82,23710
2019-04-10,16.86,16.86,16.82,16.82,10122
2019-04-11,16.86,16.86,16.82,16.82,2570
2019-04-12,16.82,16.86,16.82,16.82,2300
2019-04-16,16.82,16.82,16.51,16.51,12400
2019-04-17,16.86,16.86,16.51,16.51,8160
2019-04-18,16.55,16.59,16.55,16.59,12402
2019-04-19,16.42,16.42,16.28,16.28,4010
2019-04-22,16.46,16.86,16.46,16.82,12950
2019-04-23,16.82,16.82,16.73,16.77,1800
2019-04-24,16.77,16.77,16.68,16.73,9430
2019-04-25,16.68,16.68,16.37,16.64,13239
2019-04-26,16.51,16.77,16.37,16.37,2130
2019-05-02,16.37,16.68,16.37,16.37,340
2019-05-03,16.24,16.24,15.53,15.53,34353
2019-05-06,15.44,15.53,15.22,15.53,2748
2019-05-07,15.17,15.49,15.09,15.49,9300
2019-05-08,15.53,15.53,15.09,15.13,9600
2019-05-09,15.35,15.35,15.35,15.35,140
2019-05-10,15.4,15.44,15.09,15.17,2210
2019-05-13,15.17,15.17,15.17,15.17,2640
2019-05-14,15.13,15.17,15.09,15.09,2893
2019-05-15,15.09,15.22,15.09,15.22,5320
2019-05-16,15.22,15.22,15.22,15.22,35
