time,open,high,low,close,volume
2018-01-02,3.05,3.05,3.05,3.05,3020
2018-01-03,3.05,3.11,2.98,3.11,2100
2018-01-04,3.05,3.11,3.05,3.11,6400
2018-01-05,3.05,3.11,3.05,3.11,4000
2018-01-08,3.05,3.05,3.05,3.05,500
2018-01-09,3.05,3.05,3.05,3.05,2305
2018-01-10,3.05,3.05,3.05,3.05,6900
2018-01-11,3.11,3.11,2.98,3.11,16250
2018-01-12,3.18,3.18,3.11,3.11,1644
2018-01-15,3.11,3.11,3.05,3.11,6100
2018-01-16,3.05,3.11,3.05,3.11,3210
2018-01-17,3.05,3.11,3.05,3.11,6800
2018-01-18,3.05,3.11,3.05,3.11,2131
2018-01-19,3.05,3.11,3.05,3.11,1152
2018-01-22,3.11,3.3,3.11,3.18,23800
2018-01-23,3.24,3.3,3.24,3.3,6959
2018-01-24,3.3,3.37,3.3,3.37,8900
2018-01-25,3.37,3.43,3.3,3.3,13172
2018-01-26,3.3,3.37,3.24,3.37,1733
2018-01-29,3.24,3.3,3.24,3.3,4489
2018-01-30,3.3,3.3,3.24,3.3,3800
2018-01-31,3.24,3.3,3.24,3.3,2000
2018-02-01,3.24,3.24,3.18,3.24,3200
2018-02-02,3.18,3.24,3.18,3.24,5300
2018-02-05,3.24,3.3,3.24,3.3,9600
2018-02-06,3.3,3.3,3.3,3.3,0
2018-02-07,3.3,3.3,3.3,3.3,29
2018-02-08,3.11,3.3,3.11,3.3,1200
2018-02-09,3.11,3.3,3.11,3.3,1500
2018-02-12,3.3,3.3,3.3,3.3,0
2018-02-13,3.3,3.43,3.3,3.43,1200
2018-02-21,3.43,3.43,3.43,3.43,100
2018-02-22,3.24,3.24,3.24,3.24,3100
2018-02-23,3.24,3.37,3.24,3.37,1900
2018-02-26,3.24,3.24,3.24,3.24,207
2018-02-27,3.24,3.37,3.24,3.37,200
2018-02-28,3.3,3.3,3.3,3.3,700
2018-03-01,3.3,3.3,3.18,3.3,908
2018-03-02,3.3,3.3,3.3,3.3,61
2018-03-05,3.3,3.3,3.3,3.3,605
2018-03-06,3.3,3.3,3.24,3.24,1400
2018-03-07,3.24,3.24,3.24,3.24,100
2018-03-08,3.3,3.3,3.24,3.24,4300
2018-03-09,3.24,3.3,3.24,3.3,500
2018-03-12,3.24,3.24,3.11,3.11,10700
2018-03-13,3.24,3.3,3.24,3.3,2200
2018-03-14,3.3,3.37,3.3,3.3,672
2018-03-15,3.24,3.24,3.24,3.24,500
2018-03-16,3.24,3.3,3.18,3.3,3436
2018-03-19,3.24,3.24,3.11,3.11,4480
2018-03-20,3.24,3.3,3.18,3.18,4364
2018-03-21,3.18,3.3,3.11,3.3,9500
2018-03-22,3.24,3.3,3.11,3.3,17400
2018-03-23,3.18,3.18,3.11,3.11,6200
2018-03-26,3.24,3.3,3.18,3.24,4800
2018-03-27,3.24,3.3,3.24,3.3,3800
