time,open,high,low,close,volume
2018-01-02,1.18,1.18,1.18,1.18,0
2018-01-03,1.07,1.18,1.07,1.18,9100
2018-01-04,1.12,1.18,1.12,1.18,1200
2018-01-05,1.18,1.18,1.18,1.18,0
2018-01-08,1.18,1.18,1.18,1.18,0
2018-01-09,1.18,1.23,1.18,1.23,9100
2018-01-10,1.18,1.28,1.18,1.28,6300
2018-01-11,1.23,1.28,1.23,1.28,6600
2018-01-12,1.18,1.23,1.18,1.23,38200
2018-01-15,1.18,1.18,1.18,1.18,10000
2018-01-16,1.12,1.18,1.12,1.18,72400
2018-01-17,1.18,1.28,1.18,1.28,79310
2018-01-18,1.28,1.28,1.23,1.28,726
2018-01-19,1.18,1.28,1.18,1.28,10700
2018-01-22,1.28,1.28,1.18,1.23,38110
2018-01-23,1.28,1.28,1.23,1.28,2400
2018-01-24,1.28,1.28,1.28,1.28,0
2018-01-25,1.38,1.38,1.28,1.28,5100
2018-01-26,1.18,1.28,1.18,1.28,400
2018-01-29,1.28,1.28,1.28,1.28,0
2018-01-30,1.18,1.23,1.18,1.18,16400
2018-01-31,1.23,1.23,1.18,1.23,800
2018-02-01,1.23,1.23,1.23,1.23,1000
2018-02-02,1.18,1.23,1.18,1.23,27800
2018-02-05,1.18,1.18,1.18,1.18,400
2018-02-06,1.07,1.12,1.07,1.12,13500
2018-02-07,1.18,1.18,1.18,1.18,100
2018-02-08,1.18,1.23,1.18,1.23,10900
2018-02-09,1.12,1.23,1.12,1.23,27500
2018-02-12,1.28,1.28,1.28,1.28,100
2018-02-13,1.28,1.28,1.28,1.28,0
2018-02-21,1.28,1.33,1.28,1.28,15700
2018-02-22,1.23,1.28,1.18,1.18,24800
2018-02-23,1.28,1.28,1.07,1.07,2900
2018-02-26,1.07,1.18,1.07,1.18,20300
2018-02-27,1.28,1.28,1.18,1.23,45100
2018-02-28,1.23,1.23,1.18,1.23,7800
2018-03-01,1.23,1.33,1.23,1.33,121900
2018-03-02,1.28,1.38,1.23,1.38,7400
2018-03-05,1.33,1.33,1.33,1.33,700
2018-03-06,1.33,1.33,1.33,1.33,0
2018-03-07,1.38,1.38,1.23,1.28,17300
2018-03-08,1.33,1.38,1.33,1.38,28000
2018-03-09,1.38,1.38,1.38,1.38,1000
2018-03-12,1.33,1.38,1.33,1.38,1100
2018-03-13,1.33,1.33,1.33,1.33,5210
2018-03-14,1.28,1.33,1.28,1.33,8600
2018-03-15,1.38,1.38,1.33,1.38,17100
2018-03-16,1.33,1.38,1.33,1.38,13700
2018-03-19,1.33,1.38,1.33,1.38,8100
2018-03-20,1.33,1.38,1.33,1.38,7100
2018-03-21,1.38,1.38,1.33,1.38,10600
2018-03-22,1.38,1.38,1.38,1.38,0
2018-03-23,1.28,1.38,1.28,1.38,300
2018-03-26,1.43,1.43,1.43,1.43,15000
2018-03-27,1.48,1.53,1.43,1.48,24600
2018-03-28,1.53,1.58,1.53,1.58,70626
2018-03-29,1.64,1.64,1.43,1.43,53000
2018-03-30,1.48,1.48,1.43,1.43,200
2018-04-02,1.48,1.48,1.48,1.48,10900
2018-04-03,1.43,1.48,1.43,1.48,25021
2018-04-04,1.43,1.48,1.43,1.48,31100
2018-04-05,1.38,1.48,1.38,1.48,26700
2018-04-06,1.38,1.48,1.38,1.48,16000
2018-04-09,1.48,1.48,1.48,1.48,2100
2018-04-10,1.48,1.48,1.48,1.48,0
2018-04-11,1.48,1.48,1.48,1.48,0
2018-04-12,1.48,1.48,1.48,1.48,0
2018-04-13,1.38,1.43,1.38,1.38,18600
2018-04-16,1.38,1.38,1.38,1.38,0
2018-04-17,1.38,1.38,1.38,1.38,0
2018-04-18,1.48,1.48,1.48,1.48,310
2018-04-19,1.38,1.38,1.38,1.38,1100
2018-04-20,1.28,1.38,1.28,1.38,50600
2018-04-23,1.28,1.33,1.28,1.33,25200
2018-04-24,1.23,1.33,1.23,1.33,2500
2018-04-26,1.28,1.28,1.28,1.28,100
2018-04-27,1.18,1.28,1.18,1.28,8200
2018-05-02,1.38,1.38,1.23,1.33,400
2018-05-03,1.33,1.33,1.23,1.28,15000
2018-05-04,1.18,1.18,1.18,1.18,31000
2018-05-07,1.18,1.18,1.18,1.18,0
2018-05-08,1.28,1.28,1.28,1.28,100
2018-05-09,1.33,1.33,1.33,1.33,100
2018-05-10,1.33,1.33,1.33,1.33,0
2018-05-11,1.23,1.28,1.23,1.28,15100
2018-05-14,1.28,1.28,1.28,1.28,6
2018-05-15,1.18,1.18,1.18,1.18,1000
2018-05-16,1.18,1.18,1.18,1.18,0
2018-05-17,1.28,1.28,1.07,1.18,9700
2018-05-18,1.28,1.28,1.12,1.23,6300
2018-05-21,1.18,1.23,1.12,1.12,9900
2018-05-22,1.18,1.18,1.12,1.12,1300
2018-05-23,1.07,1.18,1.07,1.18,13400
2018-05-24,1.28,1.28,1.28,1.28,100
2018-05-25,1.18,1.28,1.18,1.18,3100
2018-05-28,1.23,1.23,1.07,1.07,2400
2018-05-29,1.18,1.18,1.02,1.02,5600
2018-05-30,1.12,1.12,1.12,1.12,100
2018-05-31,1.23,1.23,1.23,1.23,100
2018-06-01,1.23,1.23,1.23,1.23,700
2018-06-04,1.23,1.23,1.23,1.23,8700
2018-06-05,1.28,1.28,1.28,1.28,7200
2018-06-06,1.23,1.23,1.23,1.23,23100
