time,open,high,low,close,volume
2018-01-02,6.82,6.88,6.57,6.79,436580
2018-01-03,6.79,6.82,6.68,6.74,526190
2018-01-04,6.91,6.93,6.79,6.82,826720
2018-01-05,6.85,6.85,6.76,6.79,602550
2018-01-08,6.82,6.85,6.76,6.82,384850
2018-01-09,6.99,6.99,6.79,6.82,652730
2018-01-10,6.91,7.25,6.82,7.13,1255330
2018-01-11,7.36,7.36,7.13,7.19,740660
2018-01-12,7.33,7.33,7.02,7.02,757400
2018-01-15,6.99,7.08,6.93,6.99,768440
2018-01-16,6.93,6.99,6.79,6.91,566890
2018-01-17,6.79,6.91,6.54,6.54,540160
2018-01-18,6.54,6.85,6.45,6.76,417740
2018-01-19,6.82,6.82,6.65,6.68,275900
2018-01-22,6.68,6.76,6.62,6.71,217060
2018-01-23,6.71,6.71,6.71,6.71,0
2018-01-24,6.71,6.71,6.71,6.71,0
2018-01-25,6.82,6.85,6.59,6.65,495370
2018-01-26,6.65,6.74,6.59,6.65,292410
2018-01-29,6.65,6.76,6.59,6.62,179100
2018-01-30,6.59,6.59,6.54,6.57,196160
2018-01-31,6.54,6.65,6.37,6.37,306360
2018-02-01,6.37,6.54,6.03,6.22,480070
2018-02-02,6.25,6.37,5.97,6.05,608500
2018-02-05,5.97,5.97,5.68,5.74,1181810
2018-02-06,5.57,5.68,5.34,5.68,1185740
2018-02-07,5.91,5.91,5.8,5.83,132850
2018-02-08,5.8,5.8,5.51,5.66,332360
2018-02-09,5.63,5.83,5.51,5.83,374500
2018-02-12,5.94,6.03,5.74,5.97,86210
2018-02-13,5.97,6.14,5.91,6.14,70000
2018-02-21,6.08,6.2,6.03,6.2,42380
2018-02-22,6.2,6.2,5.97,6.03,110150
2018-02-23,6.08,6.08,5.97,6.08,54090
2018-02-26,6.03,6.11,6.03,6.08,136990
2018-02-27,6.08,6.08,5.94,6.08,32190
2018-02-28,6.08,6.11,5.85,6.03,263390
2018-03-01,5.97,6.03,5.94,5.97,211410
2018-03-02,5.91,6.03,5.91,6.03,177230
2018-03-05,5.97,6.03,5.94,5.97,153220
2018-03-06,5.91,6.03,5.91,6.03,135580
2018-03-07,6.03,6.2,5.97,6.14,158060
2018-03-08,6.0,6.14,6.0,6.14,38220
2018-03-09,6.11,6.14,6.0,6.03,88320
2018-03-12,6.08,6.08,6.03,6.08,19420
2018-03-13,6.08,6.08,5.91,5.97,257350
2018-03-14,5.97,6.0,5.91,5.97,128420
2018-03-15,5.97,6.0,5.88,6.0,103000
2018-03-16,6.0,6.05,5.97,6.03,38060
2018-03-19,6.0,6.03,5.94,5.97,133380
2018-03-20,5.97,6.08,5.97,6.08,110050
2018-03-21,6.11,6.14,5.97,6.14,184830
2018-03-22,6.14,6.14,6.03,6.08,242880
2018-03-23,6.08,6.08,5.91,6.08,245840
2018-03-26,6.08,6.08,5.97,5.97,163080
2018-03-27,6.08,6.08,6.0,6.03,7280
2018-03-28,5.94,6.03,5.94,6.03,263370
2018-03-29,6.03,6.08,5.94,5.94,99870
2018-03-30,6.03,6.05,5.94,6.03,104520
2018-04-02,6.0,6.08,5.97,5.97,174920
2018-04-03,5.97,6.08,5.97,6.03,250970
2018-04-04,6.11,6.11,6.0,6.05,158070
2018-04-05,6.0,6.08,5.97,6.05,84140
2018-04-06,6.03,6.03,5.97,6.03,89380
2018-04-09,6.03,6.03,5.97,6.0,76520
2018-04-10,6.0,6.03,6.0,6.03,215650
2018-04-11,6.03,6.31,6.0,6.25,851370
2018-04-12,6.28,6.31,6.14,6.2,198020
2018-04-13,6.2,6.25,6.08,6.14,92860
2018-04-16,6.08,6.14,5.97,6.0,285500
2018-04-17,6.0,6.05,5.94,5.97,322380
2018-04-18,5.94,6.05,5.94,5.94,340390
2018-04-19,5.97,6.05,5.91,5.94,204890
2018-04-20,5.88,6.0,5.88,5.91,356670
2018-04-23,5.91,6.0,5.88,5.88,243940
2018-04-24,5.8,5.91,5.8,5.88,212630
2018-04-26,5.88,5.94,5.83,5.85,343180
2018-04-27,5.85,5.91,5.83,5.91,142960
2018-05-02,5.91,5.91,5.8,5.83,202990
2018-05-03,5.77,5.85,5.74,5.83,189850
2018-05-04,5.77,5.85,5.77,5.77,94850
2018-05-07,5.8,6.0,5.8,5.97,175920
2018-05-08,5.97,6.03,5.91,5.94,120540
2018-05-09,5.94,6.0,5.94,5.94,82290
2018-05-10,5.97,6.08,5.94,5.94,112500
2018-05-11,5.97,6.08,5.97,6.03,182410
2018-05-14,6.08,6.25,6.05,6.25,168440
2018-05-15,6.25,6.25,6.14,6.2,74140
2018-05-16,6.2,6.2,6.08,6.17,30260
2018-05-17,6.22,6.22,6.14,6.2,209160
2018-05-18,6.22,6.31,6.17,6.22,241410
2018-05-21,6.25,6.59,6.25,6.37,482800
2018-05-22,6.37,6.42,6.2,6.31,199160
2018-05-23,6.25,6.34,6.2,6.34,77050
2018-05-24,6.48,6.48,6.17,6.2,99370
2018-05-25,6.2,6.31,6.03,6.03,287790
2018-05-28,5.97,6.08,5.85,5.85,411760
2018-05-29,5.85,6.11,5.85,5.97,193530
2018-05-30,5.81,6.1,5.81,6.0,78320
2018-05-31,6.0,6.23,6.0,6.23,83810
2018-06-01,6.23,6.26,6.16,6.16,81750
2018-06-04,6.16,6.16,5.9,6.1,181170
2018-06-05,6.1,6.1,5.98,6.09,40590
2018-06-06,6.08,6.08,6.03,6.04,62580
2018-06-07,6.03,6.1,6.0,6.08,164930
2018-06-08,6.08,6.08,5.97,6.06,39060
2018-06-11,6.03,6.03,5.87,5.98,223060
2018-06-12,5.97,5.97,5.87,5.96,61000
2018-06-13,5.91,6.03,5.9,6.01,138730
2018-06-14,6.06,6.09,6.0,6.01,76120
2018-06-15,6.0,6.03,5.97,5.98,69340
2018-06-18,6.16,6.29,6.04,6.11,279520
2018-06-19,6.15,6.15,5.97,6.03,115440
2018-06-20,6.11,6.11,6.0,6.04,539230
2018-06-21,6.05,6.06,6.03,6.06,189840
2018-06-22,6.01,6.06,6.01,6.06,204580
2018-06-25,6.09,6.09,6.03,6.05,129320
2018-06-26,6.08,6.08,6.02,6.03,58890
2018-06-27,6.06,6.06,6.01,6.04,188920
2018-06-28,6.03,6.06,5.97,5.97,45780
2018-06-29,5.97,6.03,5.97,6.0,160670
2018-07-02,6.0,6.0,5.92,5.92,103890
2018-07-03,5.94,5.94,5.78,5.89,262950
2018-07-04,5.89,5.89,5.81,5.85,151960
2018-07-05,5.84,5.9,5.8,5.81,213420
