time,open,high,low,close,volume
2018-01-02,9.57,9.57,9.13,9.51,4140
2018-01-03,9.51,9.51,9.45,9.45,300
2018-01-04,10.01,10.01,9.45,9.57,4200
2018-01-05,9.38,9.51,9.38,9.38,6360
2018-01-08,9.51,9.51,9.51,9.51,100
2018-01-09,9.51,9.51,9.51,9.51,0
2018-01-10,9.45,9.45,9.45,9.45,600
2018-01-11,9.45,9.45,9.45,9.45,0
2018-01-12,9.45,9.51,9.2,9.51,4000
2018-01-15,9.45,9.45,9.45,9.45,1300
2018-01-16,9.13,9.95,8.82,9.95,768
2018-01-17,9.45,9.45,9.45,9.45,1300
2018-01-18,9.45,9.57,9.45,9.57,3931
2018-01-19,9.57,9.7,9.57,9.7,200
2018-01-22,9.7,9.7,9.7,9.7,59
2018-01-23,9.83,9.83,9.57,9.57,293
2018-01-24,9.57,9.57,9.57,9.57,0
2018-01-25,9.57,9.57,9.57,9.57,200
2018-01-26,9.83,9.83,9.83,9.83,100
2018-01-29,9.83,9.83,9.83,9.83,0
2018-01-30,10.08,10.08,9.26,9.26,300
2018-01-31,9.45,9.45,9.45,9.45,1100
2018-02-01,9.45,9.45,9.26,9.26,1300
2018-02-02,9.57,9.57,9.26,9.26,10300
2018-02-05,9.26,9.26,9.26,9.26,100
2018-02-06,9.51,9.51,8.82,8.82,850
2018-02-07,9.13,9.13,9.13,9.13,100
2018-02-08,9.13,9.13,9.13,9.13,58
2018-02-09,8.94,9.13,8.94,9.13,3950
2018-02-12,9.13,9.13,9.13,9.13,0
2018-02-13,9.13,9.32,9.13,9.32,5100
2018-02-21,9.32,9.32,9.32,9.32,0
2018-02-22,9.32,9.32,9.32,9.32,60
2018-02-23,9.32,9.32,9.32,9.32,74
2018-02-26,9.32,9.32,9.32,9.32,3400
2018-02-27,10.01,10.01,10.01,10.01,152
2018-02-28,10.01,10.01,10.01,10.01,0
2018-03-01,10.01,10.01,10.01,10.01,0
2018-03-02,10.01,10.01,10.01,10.01,0
2018-03-05,9.45,10.2,9.45,10.2,2500
2018-03-06,10.2,10.2,10.2,10.2,0
2018-03-07,10.2,10.2,10.2,10.2,0
2018-03-08,9.45,9.45,9.45,9.45,1100
2018-03-09,9.45,10.27,9.45,10.27,2875
2018-03-12,10.27,10.27,10.27,10.27,20
2018-03-13,10.27,10.27,10.27,10.27,0
2018-03-14,10.27,10.27,10.27,10.27,0
2018-03-15,10.27,10.27,10.27,10.27,5058
2018-03-16,10.27,10.27,10.27,10.27,0
2018-03-19,10.27,10.27,10.27,10.27,0
2018-03-20,9.76,9.76,9.76,9.76,1000
2018-03-21,9.45,9.76,9.45,9.76,1400
2018-03-22,9.45,9.76,9.45,9.76,300
2018-03-23,9.76,9.76,9.76,9.76,544
2018-03-26,9.76,9.76,9.76,9.76,48
2018-03-27,9.76,9.76,9.76,9.76,0
2018-03-28,9.76,9.76,9.76,9.76,0
2018-03-29,10.2,10.2,10.08,10.08,300
2018-03-30,10.08,10.08,10.08,10.08,200
2018-04-02,10.08,10.08,10.08,10.08,206
2018-04-03,10.08,10.08,10.08,10.08,950
2018-04-04,10.08,10.08,10.08,10.08,0
2018-04-05,10.08,10.08,10.08,10.08,0
2018-04-06,10.08,10.08,10.08,10.08,0
2018-04-09,9.2,9.2,9.2,9.2,444
2018-04-10,9.7,9.7,9.7,9.7,400
2018-04-11,9.7,9.7,9.7,9.7,1600
2018-04-12,9.7,9.7,9.7,9.7,100
2018-04-13,9.45,9.45,9.45,9.45,300
2018-04-16,10.08,10.08,10.08,10.08,100
2018-04-17,10.08,10.08,10.08,10.08,20
2018-04-18,9.45,9.45,9.45,9.45,110
2018-04-19,9.45,9.45,9.45,9.45,1300
2018-04-20,9.45,9.45,9.45,9.45,2050
2018-04-23,9.45,9.45,9.45,9.45,2000
2018-04-24,9.45,9.45,9.45,9.45,614
2018-04-26,9.45,9.45,9.45,9.45,0
2018-04-27,9.45,9.45,9.45,9.45,5200
2018-05-02,10.08,10.08,10.08,10.08,500
2018-05-03,10.08,10.08,9.45,9.45,3100
2018-05-04,9.45,9.45,9.45,9.45,100
2018-05-07,9.57,9.57,9.45,9.45,2400
2018-05-08,9.45,9.45,9.45,9.45,0
2018-05-09,9.45,9.45,9.45,9.45,400
2018-05-10,9.45,9.45,9.45,9.45,300
2018-05-11,9.51,9.51,9.51,9.51,617
2018-05-14,9.76,9.76,9.76,9.76,1700
2018-05-15,9.45,9.45,9.45,9.45,938
2018-05-16,9.45,9.45,9.45,9.45,0
2018-05-17,9.45,9.45,9.45,9.45,1400
2018-05-18,9.45,9.76,9.45,9.76,1300
2018-05-21,9.76,9.76,9.76,9.76,20
2018-05-22,9.76,9.76,9.76,9.76,0
