time,open,high,low,close,volume
2018-01-02,10.29,10.34,9.94,10.19,39510
2018-01-03,10.17,10.17,9.89,10.09,90350
2018-01-04,10.09,10.09,9.84,10.04,72370
2018-01-05,10.04,10.04,9.94,9.94,32020
2018-01-08,9.69,10.04,9.69,10.04,26240
2018-01-09,10.04,10.59,9.94,10.49,126970
2018-01-10,10.49,10.59,10.07,10.39,35800
2018-01-11,10.04,10.34,10.04,10.24,29390
2018-01-12,10.29,10.29,9.94,9.99,54890
2018-01-15,9.99,10.34,9.99,10.14,36980
2018-01-16,10.37,10.37,10.09,10.14,18680
2018-01-17,10.14,10.34,10.09,10.14,19770
2018-01-18,10.24,10.24,9.94,10.14,55700
2018-01-19,10.34,10.34,10.14,10.22,39460
2018-01-22,10.24,10.24,9.99,10.09,31300
2018-01-23,10.09,10.09,10.09,10.09,0
2018-01-24,10.09,10.09,10.09,10.09,0
2018-01-25,10.09,10.09,9.4,9.79,70320
2018-01-26,9.84,9.84,9.32,9.45,96710
2018-01-29,9.45,9.45,9.1,9.2,70440
2018-01-30,9.4,9.4,8.95,8.95,62760
2018-01-31,9.0,9.45,9.0,9.27,43230
2018-02-01,9.35,9.92,9.27,9.92,142060
2018-02-02,10.19,10.24,9.89,10.04,41090
2018-02-05,9.94,9.94,9.35,9.35,24790
2018-02-06,9.0,9.0,8.7,8.95,90590
2018-02-07,9.45,9.55,9.1,9.2,30420
2018-02-08,9.5,9.5,9.1,9.17,19810
2018-02-09,8.77,9.4,8.77,9.32,13480
2018-02-12,9.4,9.84,9.4,9.74,40690
2018-02-13,9.94,10.42,9.69,10.42,55080
2018-02-21,10.44,11.14,10.44,11.14,111560
2018-02-22,11.53,11.91,11.41,11.63,236770
2018-02-23,11.78,12.43,11.19,11.91,100830
2018-02-26,12.3,12.3,11.63,11.88,111210
2018-02-27,11.73,11.93,11.39,11.43,75010
2018-02-28,11.43,11.48,11.04,11.04,73480
2018-03-01,10.94,11.68,10.54,11.09,38130
2018-03-02,11.14,11.53,11.14,11.48,38910
2018-03-05,11.43,11.53,11.34,11.34,48330
2018-03-06,11.29,11.43,11.19,11.43,27280
2018-03-07,11.43,11.46,11.09,11.34,28550
2018-03-08,11.24,11.34,10.99,11.31,27200
2018-03-09,11.24,11.34,11.09,11.24,10340
2018-03-12,11.09,11.29,10.99,11.09,25980
2018-03-13,11.09,11.19,11.09,11.19,4660
2018-03-14,11.29,11.68,11.14,11.43,35900
2018-03-15,11.39,11.43,11.04,11.34,8740
2018-03-16,11.36,11.36,10.99,11.34,11870
2018-03-19,11.24,11.43,10.96,10.96,26260
2018-03-20,11.31,11.31,10.29,11.06,8700
2018-03-21,11.26,11.26,10.74,11.14,11230
2018-03-22,11.21,11.21,10.66,10.66,5090
2018-03-23,9.94,10.44,9.92,10.29,86060
2018-03-26,9.82,10.44,9.69,9.99,14490
2018-03-27,10.37,10.37,9.99,10.09,12910
2018-03-28,10.27,10.27,9.94,10.17,18950
2018-03-29,10.17,10.17,9.99,10.14,5160
2018-03-30,9.82,10.29,9.82,10.29,8230
2018-04-02,10.42,10.42,10.04,10.14,36000
2018-04-03,9.99,10.19,9.99,10.09,16230
2018-04-04,10.24,10.79,10.12,10.79,86370
2018-04-05,11.41,11.41,10.49,10.94,35560
2018-04-06,10.79,10.79,10.49,10.69,15120
2018-04-09,10.49,10.64,10.27,10.44,32310
2018-04-10,10.14,10.44,10.04,10.29,28580
2018-04-11,10.09,10.29,10.02,10.17,27290
2018-04-12,10.14,10.24,9.97,10.17,9250
2018-04-13,10.17,10.17,9.94,10.09,13150
