time,open,high,low,close,volume
2018-01-25,11.97,11.97,11.97,11.97,19990
2018-01-26,12.78,12.78,12.78,12.78,20000
2018-01-29,13.67,13.67,13.67,13.67,13450
2018-01-30,14.6,14.6,14.6,14.6,86250
2018-01-31,15.6,15.6,15.56,15.56,136540
2018-02-01,15.95,16.63,15.88,16.63,123440
2018-02-02,16.67,16.67,15.81,15.81,73850
2018-02-05,15.67,16.02,15.67,15.78,28620
2018-02-06,14.96,14.96,14.67,14.89,83520
2018-02-07,14.96,15.06,14.96,15.06,79040
2018-02-08,15.06,15.06,14.96,14.96,63460
2018-02-09,14.6,14.6,14.24,14.28,73810
2018-02-12,14.67,14.67,14.28,14.67,24270
2018-02-13,14.64,14.81,14.64,14.81,28340
2018-02-21,14.81,15.03,14.81,15.03,39660
2018-02-22,14.99,15.03,14.96,14.96,41630
2018-02-23,14.96,15.17,14.96,15.1,68710
2018-02-26,15.06,15.1,15.03,15.1,47520
2018-02-27,15.1,15.1,14.92,14.96,70750
2018-02-28,14.96,15.03,14.92,15.03,83490
2018-03-01,15.03,15.06,15.03,15.06,53560
2018-03-02,15.06,15.1,15.03,15.06,105890
2018-03-05,15.06,15.21,15.06,15.21,172830
2018-03-06,15.24,15.42,15.24,15.42,203320
2018-03-07,15.35,15.45,15.31,15.45,199540
2018-03-08,15.45,15.6,15.42,15.6,175070
2018-03-09,15.6,15.81,15.56,15.81,193630
2018-03-12,15.81,15.88,15.81,15.88,184830
2018-03-13,15.88,15.92,15.78,15.92,154270
2018-03-14,15.88,16.17,15.88,16.13,170190
2018-03-15,16.06,16.13,15.99,16.13,161460
2018-03-16,16.2,16.67,16.2,16.59,180140
2018-03-19,16.56,16.7,16.56,16.67,162550
2018-03-20,16.67,16.74,16.52,16.74,180510
2018-03-21,16.74,16.81,16.7,16.81,189290
2018-03-22,16.84,16.91,16.77,16.84,175860
2018-03-23,16.81,16.88,16.56,16.88,165930
2018-03-26,16.84,17.24,16.84,17.24,214990
2018-03-27,17.24,17.34,17.24,17.34,131590
2018-03-28,17.34,17.48,17.34,17.41,192280
2018-03-29,17.38,17.66,17.38,17.52,149290
2018-03-30,17.52,17.81,17.48,17.81,144800
2018-04-02,17.84,17.98,17.84,17.98,224190
2018-04-03,17.98,18.23,17.95,18.23,300040
2018-04-04,18.3,18.84,18.23,18.84,194850
2018-04-05,18.84,19.51,18.84,19.48,480980
2018-04-06,19.48,20.16,19.48,20.01,278070
2018-04-09,20.08,20.16,19.44,19.51,299700
2018-04-10,19.41,19.41,18.52,18.73,438110
2018-04-11,18.52,18.59,17.81,17.81,270010
2018-04-12,17.7,18.13,17.41,18.13,217610
2018-04-13,18.16,18.52,18.16,18.45,218050
2018-04-16,18.41,18.8,18.41,18.8,100720
2018-04-17,18.8,18.84,18.55,18.77,114930
2018-04-18,18.77,18.77,18.3,18.52,178960
2018-04-19,18.45,18.45,17.81,17.81,223510
2018-04-20,17.77,17.88,17.48,17.88,81610
2018-04-23,17.91,17.91,17.45,17.45,153710
2018-04-24,17.41,17.41,17.16,17.16,45490
2018-04-26,17.13,17.13,16.27,16.27,103260
2018-04-27,16.2,16.52,15.95,16.52,157200
2018-05-02,16.56,16.67,16.49,16.63,74180
2018-05-03,16.67,16.88,16.59,16.88,71500
2018-05-04,16.91,17.16,16.88,17.16,117680
2018-05-07,17.16,17.63,17.16,17.63,137570
2018-05-08,17.63,17.7,17.48,17.56,106790
2018-05-09,17.56,17.73,17.56,17.73,117720
2018-05-10,17.77,18.13,17.77,18.13,71050
2018-05-11,18.09,18.16,17.88,18.13,105660
2018-05-14,18.09,18.34,18.05,18.34,50190
2018-05-15,18.38,18.52,18.3,18.41,148230
2018-05-16,18.41,18.45,17.91,17.91,153830
2018-05-17,17.91,18.2,17.91,18.13,117160
2018-05-18,18.13,18.2,18.02,18.2,92480
2018-05-21,18.23,18.34,18.2,18.2,83210
2018-05-22,18.2,18.23,17.81,17.81,100450
2018-05-23,17.84,18.02,17.73,18.02,113570
2018-05-24,18.02,18.16,17.91,18.16,199770
2018-05-25,18.16,18.45,18.09,18.09,216830
2018-05-28,17.91,18.09,17.45,17.52,114410
2018-05-29,17.56,17.63,17.27,17.56,201990
2018-05-30,17.56,17.59,17.38,17.38,73080
2018-05-31,17.34,17.66,17.34,17.63,263920
2018-06-01,17.59,17.73,17.56,17.73,149520
2018-06-04,17.77,17.91,17.66,17.91,196410
2018-06-05,17.91,17.98,17.88,17.91,221540
2018-06-06,17.91,18.02,17.84,18.02,198620
2018-06-07,18.02,18.02,17.88,18.02,212840
2018-06-08,18.02,18.09,17.98,18.05,168850
2018-06-11,18.05,18.2,18.02,18.09,245220
2018-06-12,18.09,18.13,17.91,17.91,187430
2018-06-13,17.95,18.2,17.88,18.16,231240
2018-06-14,18.2,19.41,18.16,19.37,366470
2018-06-15,19.41,19.48,19.3,19.37,189500
2018-06-18,19.37,19.41,18.55,18.55,264560
2018-06-19,18.16,18.16,17.31,17.31,265610
2018-06-20,17.38,17.81,17.38,17.81,229270
2018-06-21,17.73,17.84,17.63,17.63,167240
2018-06-22,17.63,17.84,17.63,17.81,171440
2018-06-25,17.84,17.98,17.84,17.91,229760
2018-06-26,17.81,17.81,17.56,17.66,172090
2018-06-27,17.63,17.7,17.56,17.59,170600
2018-06-28,17.52,17.52,17.02,17.02,184810
2018-06-29,16.91,17.02,16.81,16.81,140770
2018-07-02,16.81,16.81,16.13,16.13,119160
2018-07-03,16.13,16.13,15.13,15.13,160800
2018-07-04,15.13,15.21,15.03,15.17,162640
2018-07-05,15.17,15.17,14.6,14.6,108430
2018-07-06,14.6,14.6,14.28,14.28,118560
2018-07-09,14.28,14.53,14.28,14.28,166260
2018-07-10,14.28,14.39,14.24,14.28,115620
2018-07-11,14.42,14.42,13.89,13.89,93920
2018-07-12,13.89,14.07,13.82,13.99,146110
2018-07-13,13.99,14.21,13.99,14.07,150750
2018-07-16,14.07,14.21,13.99,14.07,165700
2018-07-17,14.03,14.1,13.89,14.1,179090
2018-07-18,14.1,14.35,14.1,14.32,245990
2018-07-19,14.35,14.46,14.24,14.39,272430
2018-07-20,14.32,14.49,14.17,14.42,262320
2018-07-23,14.42,14.81,14.39,14.74,316260
2018-07-24,14.74,15.38,14.74,15.38,271760
2018-07-25,15.42,15.67,15.24,15.24,380930
2018-07-26,15.24,15.28,14.81,14.85,262800
2018-07-27,14.81,14.99,14.67,14.67,252570
2018-07-30,14.64,14.67,13.89,13.89,170430
2018-07-31,14.78,14.82,14.78,14.82,197270
2018-08-01,14.91,15.64,14.91,15.6,606890
2018-08-02,15.64,15.68,15.36,15.36,350550
2018-08-03,15.36,16.05,15.36,16.01,197380
2018-08-06,16.09,16.26,16.01,16.01,321010
2018-08-07,15.97,16.01,15.81,15.89,326430
2018-08-08,15.93,16.38,15.81,16.3,396060
2018-08-09,16.22,16.26,15.97,16.01,404390
2018-08-10,16.01,16.13,16.01,16.01,370460
2018-08-13,15.97,16.05,15.93,16.05,308200
2018-08-14,16.01,16.09,15.97,15.97,267460
2018-08-15,15.97,16.13,15.93,16.09,188660
2018-08-16,16.05,16.18,16.01,16.13,150590
2018-08-17,16.05,16.22,16.05,16.18,150010
2018-08-20,16.13,16.22,16.13,16.13,202440
2018-08-21,16.13,16.34,16.09,16.13,214600
2018-08-22,16.13,16.46,16.13,16.42,113340
2018-08-23,16.42,16.63,16.42,16.63,117350
2018-08-24,16.54,16.83,16.5,16.83,195030
2018-08-27,16.79,16.95,16.75,16.87,167760
2018-08-28,16.83,17.04,16.83,17.04,183740
2018-08-29,16.99,17.2,16.99,17.2,128830
2018-08-30,17.16,17.24,17.16,17.2,134270
2018-08-31,17.2,17.32,17.2,17.28,158180
2018-09-04,17.2,17.28,17.16,17.16,131600
2018-09-05,17.16,17.2,17.08,17.08,173080
2018-09-06,17.04,17.08,16.83,16.83,169040
2018-09-07,16.87,16.99,16.87,16.99,212040
2018-09-10,16.95,17.08,16.95,17.04,167470
2018-09-11,16.99,17.24,16.95,17.2,193280
2018-09-12,17.2,17.28,17.12,17.2,238460
2018-09-13,17.12,17.16,16.91,16.91,205870
2018-09-14,16.87,16.99,16.75,16.95,197770
2018-09-17,16.91,17.08,16.91,16.99,192210
2018-09-18,16.99,17.12,16.99,16.99,201930
2018-09-19,16.95,17.2,16.95,17.04,151900
2018-09-20,17.08,17.36,16.99,17.2,232460
2018-09-21,17.2,17.36,17.2,17.2,232840
2018-09-24,17.16,17.36,17.16,17.2,194010
2018-09-25,17.2,17.28,17.2,17.28,162930
2018-09-26,17.24,17.36,17.24,17.32,142740
2018-09-27,17.32,17.44,17.24,17.4,154920
