time,open,high,low,close,volume
2018-01-02,6.74,6.91,6.58,6.91,59700
2018-01-03,6.91,6.91,6.91,6.91,500
2018-01-04,6.74,6.91,6.74,6.83,8900
2018-01-05,6.95,6.95,6.87,6.87,92900
2018-01-08,6.91,6.95,6.91,6.91,12036
2018-01-09,6.95,6.95,6.91,6.91,3200
2018-01-10,7.08,7.08,7.08,7.08,300
2018-01-11,6.91,6.91,6.64,6.64,2000
2018-01-12,6.86,6.86,6.86,6.86,0
2018-01-15,6.86,6.86,6.86,6.86,0
2018-01-16,6.86,6.86,6.86,6.86,9800
2018-01-17,6.82,6.82,6.64,6.64,1200
2018-01-18,6.42,6.42,6.15,6.2,5000
2018-01-19,6.2,6.2,6.2,6.2,1500
2018-01-22,6.2,6.2,6.2,6.2,0
2018-01-23,6.2,6.2,6.2,6.2,0
2018-01-24,7.08,7.08,7.08,7.08,7500
2018-01-25,7.08,7.08,7.08,7.08,0
2018-01-26,6.33,6.33,6.24,6.24,1500
2018-01-29,6.86,6.86,6.42,6.42,2800
2018-01-30,7.04,7.04,6.64,6.64,700
2018-01-31,6.69,6.69,6.42,6.42,7400
2018-02-01,6.42,6.46,6.42,6.42,32900
2018-02-02,6.82,6.82,6.82,6.82,1500
2018-02-05,6.82,6.82,6.82,6.82,0
2018-02-06,6.42,6.6,6.42,6.42,16100
2018-02-07,6.69,7.08,6.64,7.08,11000
2018-02-08,7.0,7.0,6.64,6.86,7010
2018-02-09,6.64,6.82,6.64,6.73,31500
2018-02-12,6.2,7.08,6.2,7.08,5746
2018-02-13,6.55,6.55,6.55,6.55,0
2018-02-21,6.73,6.73,6.73,6.73,300
2018-02-22,6.73,6.73,6.73,6.73,0
2018-02-23,7.08,7.08,7.08,7.08,185
2018-02-26,7.31,7.31,7.31,7.31,400
2018-02-27,7.31,7.31,7.31,7.31,0
2018-02-28,7.04,7.08,7.04,7.08,23300
2018-03-01,7.13,7.13,7.0,7.08,21935
2018-03-02,7.08,7.08,7.08,7.08,17
2018-03-05,7.08,7.08,7.08,7.08,11500
2018-03-06,7.08,7.08,7.08,7.08,7600
2018-03-07,7.08,7.08,7.08,7.08,12602
2018-03-08,7.17,7.22,7.17,7.17,26300
2018-03-09,7.08,7.08,7.08,7.08,15033
2018-03-12,7.08,7.08,7.08,7.08,71
2018-03-13,7.08,7.08,7.08,7.08,2600
2018-03-14,7.08,7.08,7.08,7.08,0
2018-03-15,7.08,7.08,7.08,7.08,10100
2018-03-16,7.04,7.04,7.04,7.04,500
2018-03-19,7.08,7.08,7.08,7.08,600
2018-03-20,7.08,7.08,7.08,7.08,6
2018-03-21,7.08,7.08,7.08,7.08,0
2018-03-22,7.08,7.17,7.08,7.17,15700
2018-03-23,7.08,7.08,7.08,7.08,11000
2018-03-26,7.08,7.08,7.08,7.08,0
2018-03-27,7.08,7.08,7.08,7.08,6400
2018-03-28,7.08,7.08,7.08,7.08,0
2018-03-29,7.08,7.08,7.08,7.08,4200
2018-03-30,7.08,7.08,7.08,7.08,43100
2018-04-02,7.08,7.08,7.08,7.08,70
2018-04-03,7.08,7.08,7.08,7.08,0
2018-04-04,6.73,6.73,6.73,6.73,800
2018-04-05,6.73,6.73,6.73,6.73,0
2018-04-06,6.73,6.73,6.73,6.73,0
2018-04-09,7.08,7.08,7.08,7.08,101
2018-04-10,7.08,7.08,7.08,7.08,0
2018-04-11,7.08,7.08,7.08,7.08,0
2018-04-12,7.08,7.08,7.08,7.08,4600
2018-04-13,7.08,7.08,7.08,7.08,0
2018-04-16,7.08,7.08,7.08,7.08,0
2018-04-17,7.08,7.08,7.08,7.08,0
2018-04-18,7.08,7.08,7.08,7.08,100
2018-04-19,7.08,7.08,7.08,7.08,0
2018-04-20,7.04,7.08,7.04,7.08,6300
