time,open,high,low,close,volume
2018-01-02,16.89,16.89,16.89,16.89,0
2018-01-03,16.89,16.89,16.89,16.89,0
2018-01-04,16.89,16.89,16.89,16.89,0
2018-01-05,16.89,16.89,16.89,16.89,0
2018-01-08,16.89,16.89,16.89,16.89,0
2018-01-09,16.89,16.89,16.89,16.89,0
2018-01-10,16.89,16.89,16.89,16.89,0
2018-01-11,16.89,16.89,16.89,16.89,0
2018-01-12,15.21,15.21,15.21,15.21,1600
2018-01-15,15.21,15.21,15.21,15.21,0
2018-01-16,15.21,15.21,15.21,15.21,0
2018-01-17,13.71,13.71,13.71,13.71,100
2018-01-18,12.34,12.34,12.34,12.34,100
2018-01-19,11.16,11.16,11.16,11.16,600
2018-01-22,11.16,11.16,11.16,11.16,1000
2018-01-23,11.16,11.16,11.16,11.16,0
2018-01-24,11.16,11.16,11.16,11.16,10
2018-01-25,11.16,11.16,11.16,11.16,24
2018-01-26,11.22,11.78,11.22,11.78,300
2018-01-29,12.34,12.34,12.34,12.34,100
2018-01-30,12.78,12.78,12.78,12.78,100
2018-01-31,13.65,13.65,13.65,13.65,100
2018-02-01,13.65,13.65,13.65,13.65,0
2018-02-02,13.65,13.65,13.65,13.65,0
2018-02-05,13.65,13.65,13.65,13.65,0
2018-02-06,13.65,13.65,13.65,13.65,0
2018-02-07,13.65,13.65,13.65,13.65,0
2018-02-08,13.65,13.65,13.65,13.65,0
2018-02-09,12.34,12.34,12.34,12.34,200
2018-02-12,12.34,12.34,12.34,12.34,0
2018-02-13,12.34,12.34,12.34,12.34,0
2018-02-21,12.34,12.34,12.34,12.34,0
2018-02-22,12.34,12.34,12.34,12.34,0
2018-02-23,12.34,12.34,12.34,12.34,0
2018-02-26,12.34,12.34,12.34,12.34,0
2018-02-27,11.84,11.84,11.84,11.84,500
2018-02-28,11.84,11.84,11.84,11.84,0
2018-03-01,11.84,11.84,11.84,11.84,0
2018-03-02,11.84,11.84,11.84,11.84,0
2018-03-05,11.84,11.84,11.84,11.84,0
2018-03-06,11.84,11.84,11.84,11.84,0
2018-03-07,11.84,11.84,11.84,11.84,0
2018-03-08,11.22,11.22,11.22,11.22,300
2018-03-09,11.22,11.22,11.22,11.22,0
2018-03-12,10.6,10.6,10.6,10.6,100
2018-03-13,10.6,10.6,10.6,10.6,0
2018-03-14,10.6,10.6,10.6,10.6,0
2018-03-15,10.6,10.6,10.6,10.6,0
2018-03-16,10.6,10.6,10.6,10.6,0
2018-03-19,10.6,10.6,10.6,10.6,0
