time,open,high,low,close,volume
2018-01-02,14.13,14.13,14.13,14.13,0
2018-01-03,14.22,14.22,14.22,14.22,100
2018-01-04,14.22,14.22,14.22,14.22,0
2018-01-05,15.84,15.84,12.93,12.93,300
2018-01-08,15.32,15.32,13.9,13.9,550
2018-01-09,12.99,12.99,12.93,12.93,400
2018-01-10,14.87,14.87,12.93,13.25,500
2018-01-11,13.41,13.41,13.41,13.41,0
2018-01-12,12.38,13.58,12.38,13.58,250
2018-01-15,13.83,13.83,13.83,13.83,100
2018-01-16,13.25,13.25,12.93,12.93,900
2018-01-17,13.74,13.74,13.22,13.22,200
2018-01-18,13.48,13.48,13.48,13.48,0
2018-01-19,13.48,13.48,13.48,13.48,0
2018-01-22,12.96,12.96,12.93,12.93,200
2018-01-23,12.96,12.96,12.96,12.96,0
2018-01-24,14.16,14.16,13.25,13.25,400
2018-01-25,13.67,13.67,13.67,13.67,0
2018-01-26,13.67,13.67,13.67,13.67,0
2018-01-29,13.67,13.67,13.67,13.67,0
2018-01-30,11.7,11.7,11.67,11.7,3800
2018-01-31,12.57,12.57,12.57,12.57,100
2018-02-01,12.93,12.93,12.93,12.93,100
2018-02-02,12.93,12.93,12.93,12.93,0
2018-02-05,12.93,12.93,12.93,12.93,0
2018-02-06,11.09,12.57,11.06,12.57,400
2018-02-07,12.41,12.41,12.25,12.25,200
2018-02-08,12.35,12.35,12.35,12.35,0
2018-02-09,12.35,12.35,12.35,12.35,0
2018-02-12,12.61,12.61,12.61,12.61,100
2018-02-13,13.71,13.71,13.71,13.71,100
2018-02-21,13.09,13.09,12.77,12.77,3400
2018-02-22,11.99,13.09,11.99,11.99,500
2018-02-23,13.74,13.74,13.74,13.74,100
2018-02-26,13.74,13.74,13.74,13.74,0
2018-02-27,13.74,13.74,13.74,13.74,0
2018-02-28,13.74,13.74,13.74,13.74,0
2018-03-01,13.74,13.74,13.74,13.74,0
2018-03-02,13.74,13.74,13.74,13.74,0
2018-03-05,13.74,13.74,13.74,13.74,0
2018-03-06,13.74,13.74,13.74,13.74,0
2018-03-07,13.74,13.74,13.74,13.74,0
2018-03-08,13.74,13.74,13.74,13.74,0
2018-03-09,11.8,12.77,11.8,12.77,200
2018-03-12,13.58,13.58,13.58,13.58,128
2018-03-13,13.58,13.58,13.58,13.58,0
2018-03-14,11.86,11.93,11.86,11.93,600
2018-03-15,11.9,11.9,11.9,11.9,0
2018-03-16,10.34,10.34,10.21,10.21,900
2018-03-19,11.77,11.77,9.24,9.24,600
2018-03-20,10.99,10.99,10.99,10.99,500
2018-03-21,9.7,9.7,9.7,9.7,500
2018-03-22,10.47,10.47,10.47,10.47,100
2018-03-23,10.47,10.47,10.47,10.47,0
2018-03-26,10.47,10.47,10.47,10.47,0
2018-03-27,10.47,10.47,10.02,10.02,1100
2018-03-28,10.05,10.05,10.05,10.05,0
2018-03-29,10.05,10.05,10.05,10.05,0
2018-03-30,10.05,10.05,10.05,10.05,0
2018-04-02,10.05,10.05,10.05,10.05,0
2018-04-03,10.05,10.05,10.05,10.05,0
2018-04-04,9.7,9.7,9.41,9.41,500
2018-04-05,9.21,9.21,9.21,9.21,200
2018-04-06,10.18,10.18,9.37,9.37,200
2018-04-09,10.34,10.34,9.08,9.18,2300
2018-04-10,9.24,9.24,9.24,9.24,0
2018-04-11,9.15,10.02,9.15,10.02,200
2018-04-12,10.02,10.02,10.02,10.02,100
2018-04-13,10.18,10.18,10.18,10.18,100
2018-04-16,10.18,10.18,10.18,10.18,1000
2018-04-17,9.7,11.7,9.7,11.7,2000
2018-04-18,9.79,9.79,9.79,9.79,0
2018-04-19,11.25,11.25,11.25,11.25,100
2018-04-20,11.25,11.25,11.25,11.25,0
2018-04-23,11.25,11.25,11.25,11.25,0
2018-04-24,11.25,11.25,11.25,11.25,0
2018-04-26,11.25,11.25,11.25,11.25,0
2018-04-27,11.25,11.25,11.25,11.25,100
2018-05-02,11.25,11.25,11.25,11.25,0
2018-05-03,11.25,11.25,11.25,11.25,0
2018-05-04,11.25,11.25,11.25,11.25,0
2018-05-07,11.15,11.22,11.15,11.22,10300
2018-05-08,11.22,11.22,11.22,11.22,0
