time,open,high,low,close,volume
2018-01-02,5.45,5.45,5.45,5.45,0
2018-01-03,5.45,5.45,5.45,5.45,0
2018-01-04,4.94,4.94,4.94,4.94,100
2018-01-05,4.94,4.94,4.94,4.94,0
2018-01-08,4.77,4.77,4.77,4.77,100
2018-01-09,5.22,5.22,5.22,5.22,100
2018-01-10,4.82,5.67,4.82,5.67,200
2018-01-11,5.67,5.67,5.67,5.67,0
2018-01-12,5.11,5.11,5.11,5.11,100
2018-01-15,4.82,5.45,4.82,5.45,300
2018-01-16,5.05,5.05,4.94,4.94,6200
2018-01-17,4.94,5.33,4.94,5.33,3900
2018-01-18,4.94,4.94,4.94,4.94,100
2018-01-19,4.94,5.22,4.94,5.22,200
2018-01-22,4.94,5.45,4.94,5.45,200
2018-01-23,4.94,5.28,4.94,5.28,200
2018-01-24,4.94,4.94,4.94,4.94,100
2018-01-25,4.82,5.33,4.82,5.33,200
2018-01-26,5.33,5.33,5.33,5.33,0
2018-01-29,5.33,5.33,5.33,5.33,2000
2018-01-30,5.33,5.33,5.33,5.33,500
2018-01-31,5.11,5.39,5.11,5.39,2100
2018-02-01,4.94,5.39,4.94,5.39,200
2018-02-02,4.94,5.33,4.94,5.33,200
2018-02-05,4.94,5.5,4.94,5.5,200
2018-02-06,5.5,5.5,5.5,5.5,0
2018-02-07,5.5,5.5,5.5,5.5,0
2018-02-08,5.5,5.5,5.5,5.5,0
2018-02-09,4.99,5.39,4.99,5.39,200
2018-02-12,4.94,5.39,4.94,5.39,200
2018-02-13,4.94,4.94,4.94,4.94,100
2018-02-21,4.71,4.71,4.71,4.71,100
2018-02-22,4.54,5.16,4.54,5.16,200
2018-02-23,4.82,4.82,4.82,4.82,100
2018-02-26,5.22,5.22,5.22,5.22,100
2018-02-27,4.94,4.94,4.94,4.94,100
2018-02-28,5.33,5.33,5.33,5.33,100
2018-03-01,4.99,4.99,4.99,4.99,100
2018-03-02,4.99,4.99,4.99,4.99,0
2018-03-05,5.22,5.22,5.22,5.22,100
2018-03-06,5.22,5.22,5.22,5.22,0
2018-03-07,5.22,5.22,5.22,5.22,0
2018-03-08,5.22,5.22,5.22,5.22,0
2018-03-09,5.5,5.5,5.5,5.5,100
2018-03-12,4.99,5.39,4.99,5.39,500
2018-03-13,5.39,5.39,5.39,5.39,1600
2018-03-14,4.99,4.99,4.99,4.99,100
2018-03-15,4.99,4.99,4.99,4.99,0
2018-03-16,5.28,5.28,5.28,5.28,100
2018-03-19,5.28,5.28,5.28,5.28,0
2018-03-20,5.56,5.56,5.56,5.56,100
2018-03-21,5.11,5.11,5.11,5.11,100
2018-03-22,5.11,5.11,5.11,5.11,0
2018-03-23,5.11,5.11,5.11,5.11,0
2018-03-26,5.62,5.62,5.62,5.62,1900
2018-03-27,5.62,5.62,5.62,5.62,100
2018-03-28,5.11,5.11,5.11,5.11,100
2018-03-29,4.79,4.79,4.79,4.79,100
2018-03-30,4.47,5.23,4.47,5.23,200
2018-04-02,4.79,5.74,4.79,5.74,200
2018-04-03,5.23,6.25,5.23,6.25,300
2018-04-04,6.25,6.25,6.25,6.25,0
2018-04-05,6.25,6.25,6.25,6.25,0
2018-04-06,6.25,6.25,6.25,6.25,0
2018-04-09,6.25,6.25,6.25,6.25,0
2018-04-10,6.25,6.25,6.25,6.25,0
2018-04-11,5.68,6.25,5.68,6.25,200
2018-04-12,5.68,5.68,5.68,5.68,1100
2018-04-13,5.23,6.19,5.23,6.19,200
2018-04-16,5.62,5.62,5.62,5.62,100
2018-04-17,5.17,6.13,5.17,6.13,200
2018-04-18,6.13,6.13,6.13,6.13,0
2018-04-19,5.55,5.55,5.55,5.55,100
2018-04-20,5.11,5.11,5.11,5.11,100
2018-04-23,4.79,5.55,4.79,5.55,200
2018-04-24,5.04,5.04,5.04,5.04,100
2018-04-26,4.79,5.42,4.79,5.42,200
2018-04-27,4.91,5.68,4.91,5.68,200
2018-05-02,6.0,6.0,6.0,6.0,100
2018-05-03,5.49,5.49,5.49,5.49,200
2018-05-04,5.49,5.49,5.49,5.49,0
2018-05-07,5.49,5.49,5.49,5.49,0
2018-05-08,5.49,5.49,5.49,5.49,0
2018-05-09,5.04,5.81,5.04,5.81,200
2018-05-10,5.3,5.3,5.3,5.3,100
2018-05-11,4.91,5.81,4.91,5.81,300
2018-05-14,5.3,5.74,5.3,5.74,200
2018-05-15,5.42,5.81,5.42,5.81,200
2018-05-16,5.3,5.3,5.3,5.3,100
2018-05-17,5.3,5.3,5.3,5.3,0
2018-05-18,5.3,5.3,5.3,5.3,0
2018-05-21,5.3,5.3,5.3,5.3,0
2018-05-22,4.85,4.85,4.85,4.85,100
2018-05-23,4.53,4.53,4.53,4.53,100
2018-05-24,4.98,4.98,4.98,4.98,500
2018-05-25,4.6,4.6,4.6,4.6,100
2018-05-28,4.6,4.6,4.6,4.6,0
2018-05-29,4.15,4.98,4.15,4.98,200
2018-05-30,4.53,5.3,4.53,5.3,200
2018-05-31,4.79,5.49,4.79,5.49,200
2018-06-01,4.98,5.68,4.98,5.68,200
2018-06-04,5.17,5.81,5.17,5.81,200
2018-06-05,5.23,5.23,5.23,5.23,100
2018-06-06,4.79,4.79,4.79,4.79,100
2018-06-07,4.79,5.23,4.79,5.23,200
2018-06-08,4.72,5.3,4.72,5.3,200
2018-06-11,4.85,5.23,4.85,5.23,200
2018-06-12,5.68,5.74,5.68,5.74,200
2018-06-13,5.17,5.17,5.17,5.17,100
2018-06-14,4.79,4.79,4.79,4.79,100
2018-06-15,4.79,4.79,4.79,4.79,0
2018-06-18,4.79,4.79,4.79,4.79,0
2018-06-19,4.79,4.79,4.79,4.79,0
2018-06-20,4.79,4.79,4.79,4.79,0
2018-06-21,4.79,4.79,4.79,4.79,0
2018-06-22,4.34,4.34,4.34,4.34,100
2018-06-25,4.15,4.15,4.15,4.15,100
2018-06-26,4.15,4.15,4.15,4.15,0
2018-06-27,3.77,4.53,3.77,4.53,200
2018-06-28,4.15,4.15,4.15,4.15,100
2018-06-29,3.89,4.53,3.89,4.53,200
2018-07-02,4.15,4.28,4.15,4.28,200
2018-07-03,4.66,4.66,4.66,4.66,100
2018-07-04,4.21,4.21,4.21,4.21,100
2018-07-05,4.21,4.21,4.21,4.21,0
2018-07-06,4.6,4.6,4.6,4.6,100
2018-07-09,4.28,4.28,4.28,4.28,100
2018-07-10,4.28,4.28,4.28,4.28,0
2018-07-11,4.28,4.28,4.28,4.28,0
2018-07-12,4.28,4.28,4.28,4.28,20
2018-07-13,4.66,4.66,4.66,4.66,100
2018-07-16,4.4,4.72,4.4,4.72,200
2018-07-17,4.4,4.4,4.4,4.4,100
2018-07-18,4.4,4.4,4.4,4.4,20
2018-07-19,4.4,4.4,4.4,4.4,100
2018-07-20,4.66,4.66,4.66,4.66,100
2018-07-23,4.28,4.79,4.28,4.79,200
2018-07-24,4.4,4.4,4.4,4.4,100
2018-07-25,4.4,4.4,4.4,4.4,0
2018-07-26,4.4,4.4,4.4,4.4,0
2018-07-27,4.4,4.4,4.4,4.4,0
2018-07-30,4.66,4.66,4.66,4.66,100
2018-07-31,4.47,4.47,4.47,4.47,100
2018-08-01,4.15,4.66,4.15,4.66,300
2018-08-02,4.21,4.79,4.21,4.79,200
2018-08-03,4.34,5.04,4.34,5.04,200
2018-08-06,4.6,5.23,4.6,5.23,500
2018-08-07,4.72,5.11,4.72,5.11,300
2018-08-08,5.23,5.23,5.23,5.23,100
2018-08-09,5.23,5.23,5.23,5.23,0
2018-08-10,5.23,5.23,5.17,5.17,1300
2018-08-13,5.23,5.23,5.23,5.23,1100
2018-08-14,4.79,5.23,4.79,5.23,200
2018-08-15,5.23,5.23,5.23,5.23,200
2018-08-16,4.79,4.79,4.79,4.79,100
2018-08-17,5.17,5.23,5.17,5.23,200
2018-08-20,4.79,4.79,4.79,4.79,100
2018-08-21,4.53,5.23,4.53,5.23,400
2018-08-22,4.79,5.55,4.79,5.55,200
2018-08-23,5.04,6.06,5.04,6.06,400
2018-08-24,6.06,6.06,5.49,5.94,1020
2018-08-27,5.42,6.38,5.42,6.38,300
2018-08-28,5.74,6.38,5.74,6.38,200
2018-08-29,6.38,6.38,6.38,6.38,0
2018-08-30,6.38,6.38,6.38,6.38,0
2018-08-31,6.38,6.38,6.38,6.38,10000
2018-09-04,6.32,6.32,6.32,6.32,9300
2018-09-05,6.32,6.38,6.32,6.38,6800
2018-09-06,5.74,5.74,5.74,5.74,100
2018-09-07,5.17,5.17,5.17,5.17,100
2018-09-10,5.17,5.17,5.17,5.17,0
2018-09-11,5.17,5.17,5.17,5.17,0
2018-09-12,5.17,5.17,5.17,5.17,0
2018-09-13,5.17,5.17,5.17,5.17,0
2018-09-14,5.17,5.17,5.17,5.17,0
2018-09-17,5.17,5.17,5.17,5.17,0
2018-09-18,5.17,5.17,5.17,5.17,0
2018-09-19,4.66,4.66,4.66,4.66,100
2018-09-20,5.11,5.11,5.11,5.11,100
2018-09-21,4.66,4.66,4.66,4.66,100
2018-09-24,5.11,5.11,5.11,5.11,100
2018-09-25,4.66,4.66,4.66,4.66,100
2018-09-26,4.66,4.66,4.66,4.66,0
2018-09-27,4.66,4.66,4.66,4.66,0
2018-09-28,4.98,4.98,4.98,4.98,100
2018-10-01,5.42,5.42,5.42,5.42,200
2018-10-02,4.98,4.98,4.98,4.98,100
2018-10-03,4.6,4.6,4.6,4.6,100
2018-10-04,4.6,4.6,4.6,4.6,0
2018-10-05,4.6,4.6,4.6,4.6,0
2018-10-08,5.04,5.04,5.04,5.04,100
2018-10-09,5.49,5.49,5.49,5.49,200
2018-10-10,4.98,4.98,4.98,4.98,100
2018-10-11,4.98,4.98,4.98,4.98,0
2018-10-12,4.98,4.98,4.98,4.98,0
2018-10-15,5.42,5.42,5.42,5.42,100
2018-10-16,5.42,5.42,5.42,5.42,0
2018-10-17,5.42,5.42,5.42,5.42,0
2018-10-18,5.42,5.42,5.42,5.42,0
2018-10-19,5.42,5.42,5.42,5.42,0
2018-10-22,5.42,5.42,5.42,5.42,0
2018-10-23,5.42,5.42,5.42,5.42,0
2018-10-24,5.42,5.42,5.42,5.42,0
2018-10-25,5.42,5.42,5.42,5.42,0
2018-10-26,5.42,5.42,5.42,5.42,0
2018-10-29,5.74,5.74,5.74,5.74,100
2018-10-30,5.17,5.17,5.17,5.17,100
2018-10-31,4.85,4.85,4.85,4.85,100
2018-11-01,4.85,4.85,4.85,4.85,100
2018-11-02,4.4,4.4,4.4,4.4,100
2018-11-05,4.72,4.72,4.72,4.72,100
2018-11-06,4.72,4.72,4.72,4.72,0
2018-11-07,4.53,4.53,4.53,4.53,100
2018-11-08,4.53,4.53,4.53,4.53,0
2018-11-09,4.53,4.53,4.53,4.53,0
2018-11-12,4.91,4.91,4.91,4.91,100
2018-11-13,4.91,4.91,4.91,4.91,0
2018-11-14,4.91,4.91,4.91,4.91,0
2018-11-15,4.91,4.91,4.91,4.91,0
2018-11-16,4.53,4.53,4.53,4.53,100
2018-11-19,4.28,4.28,4.28,4.28,100
2018-11-20,4.28,4.28,4.28,4.28,0
2018-11-21,4.6,4.6,4.6,4.6,100
2018-11-22,4.28,4.72,4.28,4.72,200
2018-11-23,4.34,4.34,4.34,4.34,100
2018-11-26,4.34,4.34,4.34,4.34,0
2018-11-27,4.34,4.34,4.34,4.34,0
2018-11-28,4.66,4.66,4.66,4.66,100
2018-11-29,4.66,4.66,4.66,4.66,0
2018-11-30,4.34,4.34,4.34,4.34,100
2018-12-03,3.96,3.96,3.96,3.96,100
2018-12-04,3.96,3.96,3.96,3.96,0
2018-12-05,4.28,4.28,4.28,4.28,100
2018-12-06,4.6,4.6,4.6,4.6,100
2018-12-07,4.21,4.21,4.21,4.21,100
2018-12-10,4.21,4.21,4.21,4.21,0
2018-12-11,4.21,4.21,4.21,4.21,0
2018-12-12,4.53,4.53,4.53,4.53,100
2018-12-13,4.21,4.21,4.21,4.21,100
2018-12-14,4.21,4.21,4.21,4.21,0
2018-12-17,4.21,4.21,4.21,4.21,0
2018-12-18,4.53,4.53,4.53,4.53,100
2018-12-19,4.21,4.98,4.21,4.98,200
2018-12-20,4.53,4.53,4.53,4.53,100
2018-12-21,4.21,4.21,4.21,4.21,100
2018-12-24,4.53,4.53,4.53,4.53,100
2018-12-25,4.21,4.21,4.21,4.21,100
2018-12-26,4.53,4.53,4.53,4.53,100
2018-12-27,4.53,4.53,4.53,4.53,100
2018-12-28,4.53,4.53,4.53,4.53,0
2019-01-02,4.08,4.08,4.08,4.08,100
2019-01-03,3.89,3.89,3.89,3.89,100
2019-01-04,3.89,3.89,3.89,3.89,0
2019-01-07,3.89,3.89,3.89,3.89,0
2019-01-08,4.21,4.21,4.21,4.21,100
2019-01-09,4.21,4.21,4.21,4.21,0
2019-01-10,4.21,4.21,4.21,4.21,0
2019-01-11,4.21,4.21,4.21,4.21,0
2019-01-14,4.21,4.21,4.21,4.21,0
2019-01-15,4.21,4.21,4.21,4.21,0
2019-01-16,4.21,4.21,4.21,4.21,0
2019-01-17,4.21,4.21,4.21,4.21,0
2019-01-18,4.21,4.21,4.21,4.21,0
2019-01-21,4.21,4.21,4.21,4.21,0
2019-01-22,4.21,4.21,4.21,4.21,0
2019-01-23,4.21,4.21,4.21,4.21,0
2019-01-24,4.21,4.21,4.21,4.21,0
2019-01-25,4.21,4.21,4.21,4.21,0
2019-01-28,4.21,4.21,4.21,4.21,0
2019-01-29,4.21,4.21,4.21,4.21,0
2019-01-30,4.21,4.21,4.21,4.21,0
2019-01-31,4.21,4.21,4.21,4.21,0
2019-02-01,4.21,4.21,4.21,4.21,0
2019-02-11,4.15,4.6,4.15,4.6,200
2019-02-12,4.6,4.6,4.6,4.6,0
2019-02-13,4.6,4.6,4.6,4.6,0
2019-02-14,4.79,4.79,4.79,4.79,500
2019-02-15,4.34,4.85,4.34,4.85,1100
2019-02-18,4.85,4.85,4.79,4.79,3000
2019-02-19,4.34,4.34,4.34,4.34,100
2019-02-20,4.72,4.72,4.72,4.72,2000
2019-02-21,4.72,4.72,4.72,4.72,1000
2019-02-22,4.72,4.72,4.72,4.72,1000
2019-02-25,4.34,4.34,4.34,4.34,100
2019-02-26,4.72,4.72,4.72,4.72,100
2019-02-27,4.28,4.28,4.28,4.28,100
2019-02-28,4.28,4.28,4.28,4.28,0
2019-03-01,4.66,4.66,4.66,4.66,100
2019-03-04,4.98,4.98,4.98,4.98,100
2019-03-05,4.98,4.98,4.98,4.98,0
2019-03-06,4.53,4.53,4.53,4.53,100
2019-03-07,4.28,4.28,4.28,4.28,100
2019-03-08,4.28,4.28,4.28,4.28,0
2019-03-11,4.28,4.28,4.28,4.28,0
2019-03-12,4.6,4.6,4.6,4.6,100
2019-03-13,4.6,4.6,4.6,4.6,0
2019-03-14,4.6,4.6,4.6,4.6,0
2019-03-15,4.15,4.15,4.15,4.15,100
2019-03-18,4.15,4.15,4.15,4.15,0
2019-03-19,4.15,4.15,4.15,4.15,8
2019-03-20,4.53,4.53,4.53,4.53,100
2019-03-21,4.34,4.34,4.34,4.34,100
2019-03-22,4.76,4.76,4.76,4.76,0
2019-03-25,4.76,4.76,4.76,4.76,106
2019-03-26,5.18,5.18,5.18,5.18,100
2019-03-27,4.69,5.53,4.69,5.53,200
2019-03-28,5.53,5.53,5.53,5.53,0
2019-03-29,5.04,5.6,5.04,5.6,200
2019-04-01,5.04,5.04,5.04,5.04,100
2019-04-02,4.55,5.53,4.55,5.53,200
2019-04-03,5.04,5.88,5.04,5.88,500
2019-04-04,5.32,6.44,5.32,6.44,400
2019-04-05,6.44,6.44,6.44,6.44,0
2019-04-08,6.44,6.44,6.44,6.44,0
2019-04-09,6.44,6.44,6.44,6.44,0
2019-04-10,6.44,6.44,6.44,6.44,0
2019-04-11,5.81,7.07,5.81,7.07,500
2019-04-12,7.07,7.07,7.07,7.07,0
2019-04-16,7.07,7.07,7.07,7.07,0
2019-04-17,7.07,7.07,7.07,7.07,0
2019-04-18,6.37,6.37,6.37,6.37,100
2019-04-19,5.74,5.74,5.74,5.74,100
2019-04-22,5.32,5.32,5.18,5.18,3200
2019-04-23,4.69,4.69,4.69,4.69,100
2019-04-24,4.69,4.69,4.69,4.69,0
2019-04-25,4.69,4.69,4.69,4.69,0
2019-04-26,4.69,4.69,4.69,4.69,0
2019-05-02,4.69,4.69,4.69,4.69,0
2019-05-03,4.69,4.69,4.69,4.69,0
2019-05-06,4.69,4.69,4.69,4.69,0
2019-05-07,4.69,4.69,4.69,4.69,0
2019-05-08,4.69,4.69,4.69,4.69,0
2019-05-09,4.69,4.69,4.69,4.69,0
2019-05-10,4.69,4.69,4.69,4.69,0
2019-05-13,4.69,4.69,4.69,4.69,0
2019-05-14,4.34,4.34,4.34,4.34,100
2019-05-15,4.2,4.76,4.2,4.76,200
2019-05-16,4.34,4.34,4.34,4.34,100
2019-05-17,4.34,4.34,4.34,4.34,0
2019-05-20,4.76,4.76,4.76,4.76,100
2019-05-21,4.69,4.69,4.69,4.69,700
2019-05-22,4.69,4.69,4.69,4.69,0
2019-05-23,4.69,4.69,4.69,4.69,0
2019-05-24,4.69,4.69,4.69,4.69,0
2019-05-27,4.69,4.69,4.69,4.69,0
2019-05-28,4.27,4.27,4.27,4.27,100
2019-05-29,3.99,4.69,3.99,4.69,200
2019-05-30,4.48,4.48,4.48,4.48,100
2019-05-31,4.48,4.48,4.48,4.48,0
2019-06-03,4.48,4.48,4.48,4.48,0
2019-06-04,4.48,4.48,4.48,4.48,0
2019-06-05,4.48,4.48,4.48,4.48,0
2019-06-06,4.48,4.48,4.48,4.48,0
2019-06-07,4.48,4.48,4.48,4.48,0
2019-06-10,4.48,4.48,4.48,4.48,0
2019-06-11,4.48,4.48,4.48,4.48,0
2019-06-12,4.48,4.48,4.48,4.48,0
2019-06-13,4.48,4.48,4.48,4.48,0
2019-06-14,4.48,4.48,4.48,4.48,0
2019-06-17,4.48,4.48,4.48,4.48,0
2019-06-18,4.48,4.48,4.48,4.48,0
2019-06-19,4.48,4.48,4.48,4.48,0
2019-06-20,4.48,4.48,4.48,4.48,0
2019-06-21,4.48,4.48,4.48,4.48,0
2019-06-24,4.48,4.48,4.48,4.48,0
2019-06-25,4.48,4.48,4.48,4.48,0
2019-06-26,4.48,4.48,4.48,4.48,0
2019-06-27,4.48,4.48,4.48,4.48,0
2019-06-28,4.48,4.48,4.48,4.48,0
2019-07-01,4.48,4.48,4.48,4.48,0
2019-07-02,4.48,4.48,4.48,4.48,0
2019-07-03,4.48,4.48,4.48,4.48,0
2019-07-04,4.48,4.48,4.48,4.48,0
2019-07-05,4.48,4.48,4.48,4.48,0
2019-07-08,4.48,4.48,4.48,4.48,0
2019-07-09,4.48,4.48,4.48,4.48,0
2019-07-10,4.2,4.2,4.2,4.2,100
2019-07-11,4.2,4.2,4.2,4.2,0
2019-07-12,4.2,4.2,4.2,4.2,0
2019-07-15,4.2,4.2,4.2,4.2,0
2019-07-16,4.2,4.2,4.2,4.2,0
2019-07-17,4.2,4.2,4.2,4.2,0
2019-07-18,4.2,4.2,4.2,4.2,0
2019-07-19,3.92,3.92,3.92,3.92,100
2019-07-22,3.92,3.92,3.92,3.92,0
2019-07-23,3.92,3.92,3.92,3.92,0
2019-07-24,3.92,3.92,3.92,3.92,0
2019-07-25,3.92,3.92,3.92,3.92,0
2019-07-26,3.92,3.92,3.92,3.92,0
2019-07-29,3.92,3.92,3.92,3.92,20
2019-07-30,3.92,3.92,3.92,3.92,0
2019-07-31,3.92,3.92,3.92,3.92,0
2019-08-01,3.92,3.92,3.92,3.92,0
2019-08-02,3.92,3.92,3.92,3.92,0
2019-08-05,3.92,3.92,3.92,3.92,0
2019-08-06,3.92,3.92,3.92,3.92,0
2019-08-07,3.92,3.92,3.92,3.92,0
2019-08-08,3.92,3.92,3.92,3.92,0
2019-08-09,3.92,3.92,3.92,3.92,0
2019-08-12,3.92,3.92,3.92,3.92,0
2019-08-13,3.92,3.92,3.92,3.92,0
2019-08-14,3.92,3.92,3.92,3.92,0
2019-08-15,3.92,3.92,3.92,3.92,0
2019-08-16,3.92,3.92,3.92,3.92,0
2019-08-19,3.92,3.92,3.92,3.92,0
2019-08-20,3.92,3.92,3.92,3.92,0
2019-08-21,3.92,3.92,3.92,3.92,0
2019-08-22,3.92,3.92,3.92,3.92,0
2019-08-23,3.92,3.92,3.92,3.92,0
2019-08-26,3.92,3.92,3.92,3.92,0
2019-08-27,3.92,3.92,3.92,3.92,0
2019-08-28,3.92,3.92,3.92,3.92,0
2019-08-29,3.92,3.92,3.92,3.92,0
2019-08-30,3.92,3.92,3.92,3.92,0
2019-09-03,3.92,3.92,3.92,3.92,0
2019-09-04,3.92,3.92,3.92,3.92,0
2019-09-05,3.92,3.92,3.92,3.92,0
2019-09-06,3.92,3.92,3.92,3.92,0
2019-09-09,3.92,3.92,3.92,3.92,0
2019-09-10,3.92,3.92,3.92,3.92,0
2019-09-11,3.92,3.92,3.92,3.92,0
2019-09-12,3.92,3.92,3.92,3.92,0
2019-09-13,3.92,3.92,3.92,3.92,0
2019-09-16,3.92,3.92,3.92,3.92,0
2019-09-17,3.92,3.92,3.92,3.92,0
2019-09-18,3.92,3.92,3.92,3.92,0
2019-09-19,3.92,3.92,3.92,3.92,0
2019-09-20,3.92,3.92,3.92,3.92,0
2019-09-23,3.92,3.92,3.92,3.92,0
2019-09-24,3.92,3.92,3.92,3.92,0
2019-09-25,3.92,3.92,3.92,3.92,0
2019-09-26,3.92,3.92,3.92,3.92,0
2019-09-27,3.92,3.92,3.92,3.92,0
2019-09-30,3.92,3.92,3.92,3.92,0
2019-10-01,3.92,3.92,3.92,3.92,0
2019-10-02,3.92,3.92,3.92,3.92,0
2019-10-03,3.92,3.92,3.92,3.92,0
2019-10-04,3.92,3.92,3.92,3.92,0
2019-10-07,3.92,3.92,3.92,3.92,0
2019-10-08,3.92,3.92,3.92,3.92,0
2019-10-09,3.92,3.92,3.92,3.92,0
2019-10-10,3.92,3.92,3.92,3.92,0
2019-10-11,3.92,3.92,3.92,3.92,0
2019-10-14,3.92,3.92,3.92,3.92,0
2019-10-15,3.92,3.92,3.92,3.92,0
2019-10-16,3.92,3.92,3.92,3.92,0
2019-10-17,3.92,3.92,3.92,3.92,0
2019-10-18,3.92,3.92,3.92,3.92,0
2019-10-21,3.92,3.92,3.92,3.92,0
2019-10-22,3.92,3.92,3.92,3.92,0
2019-10-23,3.92,3.92,3.92,3.92,0
2019-10-24,4.27,4.27,4.27,4.27,100
2019-10-25,4.27,4.27,4.27,4.27,0
2019-10-28,4.27,4.27,4.27,4.27,0
2019-10-29,4.27,4.27,4.27,4.27,0
2019-10-30,4.27,4.27,4.27,4.27,0
2019-10-31,4.27,4.27,4.27,4.27,0
2019-11-01,4.27,4.27,4.27,4.27,0
2019-11-04,4.27,4.27,4.27,4.27,0
2019-11-05,4.27,4.27,4.27,4.27,0
2019-11-06,4.27,4.27,4.27,4.27,0
2019-11-07,4.27,4.27,4.27,4.27,0
2019-11-08,4.27,4.27,4.27,4.27,0
2019-11-11,4.27,4.27,4.27,4.27,0
2019-11-12,4.27,4.27,4.27,4.27,0
2019-11-13,4.27,4.27,4.27,4.27,0
2019-11-14,4.27,4.27,4.27,4.27,0
2019-11-15,4.27,4.27,4.27,4.27,0
2019-11-18,4.27,4.27,4.27,4.27,0
2019-11-19,4.27,4.27,4.27,4.27,0
2019-11-20,4.27,4.27,4.27,4.27,0
2019-11-21,4.27,4.27,4.27,4.27,0
2019-11-22,4.27,4.27,4.27,4.27,0
2019-11-25,4.27,4.27,4.27,4.27,0
2019-11-26,4.27,4.27,4.27,4.27,0
2019-11-27,4.27,4.27,4.27,4.27,0
2019-11-28,4.27,4.27,4.27,4.27,0
2019-11-29,4.27,4.27,4.27,4.27,0
2019-12-02,4.27,4.27,4.27,4.27,0
2019-12-03,4.27,4.27,4.27,4.27,0
2019-12-04,4.27,4.27,4.27,4.27,0
2019-12-05,4.27,4.27,4.27,4.27,0
2019-12-06,4.27,4.27,4.27,4.27,0
2019-12-09,4.27,4.27,4.27,4.27,0
2019-12-10,4.27,4.27,4.27,4.27,0
2019-12-11,4.69,4.69,4.69,4.69,100
2019-12-12,4.69,4.69,4.69,4.69,0
2019-12-13,4.69,4.69,4.69,4.69,0
2019-12-16,4.69,4.69,4.69,4.69,0
2019-12-17,4.69,4.69,4.69,4.69,0
2019-12-18,4.69,4.69,4.69,4.69,0
2019-12-19,4.69,4.69,4.69,4.69,0
2019-12-20,4.69,4.69,4.69,4.69,0
2019-12-23,4.69,4.69,4.69,4.69,0
2019-12-24,4.69,4.69,4.69,4.69,0
2019-12-25,4.69,4.69,4.69,4.69,0
2019-12-26,4.69,4.69,4.69,4.69,0
