time,open,high,low,close,volume
2018-01-02,13.16,13.16,13.16,13.16,0
2018-01-03,13.16,13.16,13.1,13.1,4805
2018-01-04,13.05,13.05,13.05,13.05,2500
2018-01-05,12.94,12.94,12.71,12.71,9023
2018-01-08,13.1,13.16,13.1,13.16,40008
2018-01-09,13.1,13.16,13.1,13.1,24000
2018-01-10,13.1,13.16,13.1,13.16,25000
2018-01-11,13.16,13.16,13.16,13.16,8
2018-01-12,13.16,13.16,13.16,13.16,5
2018-01-15,13.16,13.16,13.16,13.16,0
2018-01-16,13.16,13.16,13.16,13.16,0
2018-01-17,12.71,12.71,12.71,12.71,630
2018-01-18,12.71,12.71,12.71,12.71,14
2018-01-19,11.78,11.78,11.72,11.72,2100
2018-01-22,12.71,12.71,12.71,12.71,100
2018-01-23,12.71,13.16,12.71,13.16,4810
2018-01-24,13.16,13.82,13.16,13.82,8435
2018-01-25,12.71,12.71,12.71,12.71,3000
2018-01-26,12.99,13.16,12.99,13.16,8000
2018-01-29,12.99,12.99,12.99,12.99,4902
2018-01-30,12.99,12.99,12.71,12.71,4600
2018-01-31,12.99,13.16,12.99,13.16,6510
2018-02-01,12.71,13.16,12.71,13.16,1235
2018-02-02,13.16,13.16,13.16,13.16,5169
2018-02-05,13.16,13.16,13.16,13.16,0
2018-02-06,12.0,12.05,12.0,12.0,1230
2018-02-07,12.0,12.0,12.0,12.0,0
2018-02-08,12.0,12.0,12.0,12.0,0
2018-02-09,12.0,12.0,12.0,12.0,0
2018-02-12,13.1,13.1,13.1,13.1,200
2018-02-13,13.1,13.1,13.1,13.1,0
2018-02-21,13.1,13.1,13.1,13.1,0
2018-02-22,13.1,13.1,13.1,13.1,0
2018-02-23,13.1,13.1,13.1,13.1,0
2018-02-26,13.1,13.1,13.1,13.1,70
2018-02-27,12.33,12.33,12.33,12.33,199
2018-02-28,12.33,12.77,12.33,12.77,4810
2018-03-01,12.77,12.77,11.5,11.5,7301
2018-03-02,11.5,11.61,11.5,11.61,2110
2018-03-05,11.61,12.55,11.61,12.55,4400
2018-03-06,12.49,12.49,12.49,12.49,2760
2018-03-07,11.66,11.66,11.66,11.66,181
2018-03-08,12.11,12.44,12.11,12.44,12100
2018-03-09,12.44,12.44,12.44,12.44,84
2018-03-12,11.61,12.71,11.61,12.71,3100
2018-03-13,12.71,12.71,12.71,12.71,0
2018-03-14,12.71,12.71,12.71,12.71,0
2018-03-15,12.16,12.16,12.16,12.16,100
2018-03-16,13.21,13.21,13.21,13.21,5000
2018-03-19,13.27,13.27,12.0,12.16,1895
2018-03-20,12.16,12.16,12.16,12.16,0
2018-03-21,12.16,12.16,12.16,12.16,0
2018-03-22,12.16,12.16,12.16,12.16,0
2018-03-23,12.16,12.16,12.16,12.16,0
