time,open,high,low,close,volume
2018-01-02,1.5,1.5,1.4,1.5,93400
2018-01-03,1.4,1.5,1.4,1.5,75200
2018-01-04,1.5,1.5,1.4,1.4,158200
2018-01-05,1.5,1.5,1.4,1.5,353200
2018-01-08,1.5,1.6,1.4,1.6,128500
2018-01-09,1.6,1.6,1.5,1.5,339400
2018-01-10,1.5,1.5,1.4,1.5,211000
2018-01-11,1.5,1.5,1.4,1.5,246600
2018-01-12,1.5,1.6,1.4,1.4,105400
2018-01-15,1.4,1.5,1.4,1.4,121000
2018-01-16,1.5,1.5,1.4,1.5,88600
2018-01-17,1.5,1.5,1.4,1.5,120600
2018-01-18,1.5,1.5,1.4,1.5,747400
2018-01-19,1.5,1.5,1.4,1.4,404600
2018-01-22,1.5,1.5,1.3,1.3,464200
2018-01-23,1.3,1.4,1.3,1.4,263700
2018-01-24,1.5,1.5,1.3,1.3,81800
2018-01-25,1.3,1.4,1.2,1.4,288800
2018-01-26,1.4,1.4,1.3,1.4,440000
2018-01-29,1.4,1.4,1.3,1.3,185700
2018-01-30,1.2,1.4,1.2,1.2,357400
2018-01-31,1.2,1.3,1.1,1.2,449800
2018-02-01,1.3,1.3,1.2,1.3,64800
2018-02-02,1.3,1.3,1.2,1.3,7600
2018-02-05,1.3,1.3,1.2,1.2,167300
2018-02-06,1.2,1.3,1.1,1.2,236700
2018-02-07,1.2,1.3,1.1,1.3,18600
2018-02-08,1.3,1.3,1.2,1.3,107900
2018-02-09,1.3,1.3,1.2,1.3,74600
2018-02-12,1.3,1.3,1.2,1.2,59400
2018-02-13,1.2,1.3,1.1,1.3,274800
2018-02-21,1.3,1.3,1.2,1.2,154300
2018-02-22,1.1,1.3,1.1,1.2,16500
2018-02-23,1.3,1.3,1.1,1.2,36900
2018-02-26,1.1,1.3,1.1,1.3,176700
2018-02-27,1.3,1.3,1.2,1.3,55200
2018-02-28,1.3,1.3,1.2,1.3,256900
2018-03-01,1.3,1.3,1.2,1.3,43500
2018-03-02,1.3,1.3,1.2,1.3,10300
2018-03-05,1.3,1.3,1.2,1.2,196100
2018-03-06,1.2,1.3,1.2,1.3,8600
2018-03-07,1.3,1.3,1.2,1.2,17800
2018-03-08,1.3,1.3,1.2,1.3,10600
2018-03-09,1.3,1.3,1.2,1.3,52400
2018-03-12,1.3,1.4,1.2,1.3,485300
2018-03-13,1.3,1.4,1.2,1.3,32700
2018-03-14,1.3,1.4,1.2,1.4,25600
2018-03-15,1.4,1.4,1.3,1.3,35700
2018-03-16,1.2,1.4,1.2,1.4,54610
2018-03-19,1.4,1.4,1.3,1.3,432200
2018-03-20,1.3,1.4,1.3,1.3,252500
2018-03-21,1.3,1.4,1.3,1.4,115500
2018-03-22,1.4,1.5,1.3,1.3,150500
2018-03-23,1.4,1.4,1.4,1.4,286200
2018-03-26,1.5,1.5,1.3,1.5,74100
2018-03-27,1.5,1.5,1.4,1.5,8600
2018-03-28,1.5,1.5,1.4,1.5,20600
2018-03-29,1.5,1.5,1.5,1.5,100
2018-03-30,1.4,1.4,1.4,1.4,140500
2018-04-02,1.4,1.4,1.4,1.4,0
2018-04-03,1.4,1.4,1.4,1.4,0
2018-04-04,1.4,1.4,1.4,1.4,0
2018-04-05,1.4,1.4,1.4,1.4,0
2018-04-06,1.3,1.3,1.3,1.3,98200
2018-04-09,1.3,1.3,1.3,1.3,0
2018-04-10,1.3,1.4,1.2,1.3,227300
2018-04-11,1.3,1.3,1.2,1.3,153500
2018-04-12,1.3,1.3,1.2,1.3,54000
2018-04-13,1.3,1.3,1.2,1.3,60100
2018-04-16,1.2,1.3,1.2,1.3,103917
2018-04-17,1.2,1.4,1.2,1.4,260500
2018-04-18,1.4,1.4,1.3,1.3,400
2018-04-19,1.3,1.3,1.2,1.3,400
2018-04-20,1.2,1.3,1.2,1.3,3510
2018-04-23,1.3,1.3,1.2,1.3,55600
2018-04-24,1.3,1.3,1.2,1.3,41600
2018-04-26,1.3,1.3,1.2,1.2,63300
2018-04-27,1.2,1.2,1.1,1.2,4700
2018-05-02,1.2,1.2,1.1,1.2,46800
2018-05-03,1.2,1.2,1.1,1.2,9600
2018-05-04,1.2,1.2,1.1,1.2,8900
2018-05-07,1.2,1.2,1.1,1.2,13600
2018-05-08,1.2,1.2,1.1,1.1,56000
2018-05-09,1.1,1.1,1.0,1.1,5600
2018-05-10,1.1,1.1,1.0,1.0,105500
2018-05-11,1.1,1.1,1.0,1.1,31017
2018-05-14,1.1,1.2,1.1,1.2,85600
2018-05-15,1.2,1.2,1.1,1.2,91800
2018-05-16,1.1,1.2,1.1,1.2,400
2018-05-17,1.1,1.2,1.1,1.2,29300
2018-05-18,1.2,1.2,1.1,1.1,200
2018-05-21,1.2,1.2,1.1,1.2,1200
2018-05-22,1.2,1.2,1.1,1.2,33700
2018-05-23,1.2,1.2,1.1,1.2,1400
2018-05-24,1.2,1.2,1.2,1.2,114000
2018-05-25,1.2,1.2,1.2,1.2,3400
2018-05-28,1.2,1.2,1.1,1.1,15300
2018-05-29,1.1,1.2,1.1,1.2,3600
2018-05-30,1.2,1.2,1.1,1.2,500
2018-05-31,1.2,1.2,1.1,1.2,28100
2018-06-01,1.2,1.2,1.1,1.2,21100
2018-06-04,1.2,1.2,1.1,1.1,14600
2018-06-05,1.2,1.2,1.0,1.1,14200
2018-06-06,1.1,1.2,1.0,1.1,51100
2018-06-07,1.1,1.1,1.0,1.0,23830
2018-06-08,1.0,1.1,1.0,1.1,71700
2018-06-11,1.1,1.1,1.0,1.1,128600
2018-06-12,1.0,1.1,1.0,1.1,1800
2018-06-13,1.1,1.1,1.0,1.0,13500
2018-06-14,1.1,1.1,1.0,1.0,21400
2018-06-15,1.1,1.1,1.0,1.0,80200
2018-06-18,1.1,1.1,1.0,1.1,7900
2018-06-19,1.1,1.1,1.0,1.1,61830
2018-06-20,1.1,1.1,1.0,1.0,208100
2018-06-21,1.1,1.1,1.0,1.0,800
2018-06-22,1.1,1.1,1.0,1.1,46400
2018-06-25,1.1,1.1,1.0,1.0,11900
2018-06-26,1.0,1.1,0.9,1.1,10300
2018-06-27,1.1,1.1,1.0,1.0,27400
2018-06-28,1.1,1.1,0.9,1.1,40600
2018-06-29,1.0,1.1,1.0,1.0,8500
2018-07-02,1.0,1.1,1.0,1.0,2800
2018-07-03,1.0,1.0,1.0,1.0,700
2018-07-04,1.0,1.0,1.0,1.0,1200
2018-07-05,1.0,1.0,0.9,0.9,141400
2018-07-06,0.8,0.9,0.8,0.9,84900
2018-07-09,0.9,1.0,0.8,0.8,42500
2018-07-10,0.9,0.9,0.8,0.8,8300
2018-07-11,0.9,0.9,0.8,0.8,2500
2018-07-12,0.9,0.9,0.7,0.7,48500
2018-07-13,0.8,0.8,0.7,0.8,27600
2018-07-16,0.7,0.9,0.7,0.9,38800
2018-07-17,0.9,1.0,0.8,0.8,40200
2018-07-18,0.9,0.9,0.8,0.9,79500
2018-07-19,1.0,1.0,0.8,0.9,1500
2018-07-20,1.0,1.0,0.9,0.9,9500
2018-07-23,0.9,0.9,0.8,0.9,273400
2018-07-24,0.8,0.9,0.8,0.8,21400
2018-07-25,0.8,0.9,0.8,0.8,9800
2018-07-26,0.8,0.9,0.7,0.8,81500
2018-07-27,0.8,0.9,0.8,0.9,116500
2018-07-30,0.9,0.9,0.8,0.8,114800
2018-07-31,0.8,0.8,0.7,0.7,194000
2018-08-01,0.8,0.8,0.8,0.8,10800
2018-08-02,0.8,0.8,0.7,0.7,101400
2018-08-03,0.7,0.8,0.7,0.7,6600
2018-08-06,0.8,0.8,0.7,0.7,81900
2018-08-07,0.8,0.8,0.7,0.7,8700
2018-08-08,0.8,0.8,0.7,0.7,5100
2018-08-09,0.8,0.8,0.7,0.8,41500
2018-08-10,0.7,0.8,0.7,0.7,6110
2018-08-13,0.7,0.8,0.7,0.7,7000
2018-08-14,0.7,0.8,0.7,0.7,20390
2018-08-15,0.8,0.8,0.8,0.8,23500
2018-08-16,0.8,0.8,0.7,0.7,10200
2018-08-17,0.8,0.8,0.7,0.7,1500
2018-08-20,0.7,0.7,0.6,0.6,59500
2018-08-21,0.7,0.7,0.6,0.7,25000
2018-08-22,0.6,0.8,0.6,0.7,37417
2018-08-23,0.8,0.8,0.7,0.8,39200
2018-08-24,0.8,0.8,0.7,0.7,19790
2018-08-27,0.8,0.8,0.6,0.8,109600
2018-08-28,0.8,0.8,0.7,0.7,12300
2018-08-29,0.8,0.8,0.7,0.8,69900
2018-08-30,0.8,0.8,0.7,0.7,17800
2018-08-31,0.8,0.8,0.7,0.8,8560
2018-09-04,0.8,0.8,0.7,0.8,1600
2018-09-05,0.8,0.8,0.8,0.8,400
2018-09-06,0.7,0.8,0.7,0.8,200
2018-09-07,0.8,0.8,0.8,0.8,8319
2018-09-10,0.7,0.8,0.7,0.8,35700
2018-09-11,0.8,0.8,0.8,0.8,140600
2018-09-12,0.8,0.9,0.7,0.8,354400
2018-09-13,0.8,0.9,0.8,0.9,185600
2018-09-14,0.8,0.9,0.8,0.9,39010
2018-09-17,0.9,0.9,0.8,0.8,70920
2018-09-18,0.7,0.8,0.7,0.8,6900
2018-09-19,0.7,0.8,0.7,0.7,48310
2018-09-20,0.7,0.8,0.7,0.7,10300
2018-09-21,0.8,0.8,0.7,0.8,48615
2018-09-24,0.8,0.8,0.7,0.7,72500
2018-09-25,0.8,0.8,0.7,0.8,292800
2018-09-26,0.8,0.8,0.7,0.7,72438
2018-09-27,0.7,0.8,0.7,0.8,194727
2018-09-28,0.7,0.9,0.7,0.7,304110
2018-10-01,0.8,0.8,0.7,0.8,65000
2018-10-02,0.8,0.9,0.8,0.8,170700
2018-10-03,0.9,0.9,0.7,0.9,349500
2018-10-04,0.9,0.9,0.8,0.8,47100
2018-10-05,0.9,0.9,0.7,0.8,178000
2018-10-08,0.9,0.9,0.7,0.8,18800
2018-10-09,0.7,0.8,0.7,0.8,15300
2018-10-10,0.8,0.8,0.7,0.7,2900
2018-10-11,0.8,0.8,0.7,0.8,150400
2018-10-12,0.8,0.8,0.7,0.7,129500
2018-10-15,0.8,0.8,0.7,0.7,76200
2018-10-16,0.8,0.8,0.7,0.7,17200
2018-10-17,0.8,0.8,0.7,0.7,1600
2018-10-18,0.8,0.8,0.7,0.8,111110
2018-10-19,0.8,0.8,0.7,0.8,6400
2018-10-22,0.7,0.8,0.7,0.7,223000
2018-10-23,0.7,0.8,0.7,0.7,74900
2018-10-24,0.6,0.7,0.6,0.7,45100
2018-10-25,0.7,0.7,0.7,0.7,1100
2018-10-26,0.6,0.7,0.6,0.7,31800
2018-10-29,0.7,0.7,0.6,0.6,22400
2018-10-30,0.7,0.7,0.6,0.7,106500
2018-10-31,0.7,0.7,0.7,0.7,3400
2018-11-01,0.6,0.7,0.6,0.7,101200
2018-11-02,0.6,0.7,0.6,0.7,11900
2018-11-05,0.6,0.7,0.6,0.6,23800
2018-11-06,0.7,0.7,0.6,0.6,36700
2018-11-07,0.6,0.7,0.6,0.7,7230
2018-11-08,0.7,0.7,0.6,0.7,8900
2018-11-09,0.7,0.7,0.6,0.7,13800
2018-11-12,0.6,0.7,0.6,0.6,25100
2018-11-13,0.7,0.7,0.6,0.7,99429
2018-11-14,0.7,0.7,0.6,0.7,29759
2018-11-15,0.6,0.7,0.6,0.6,82120
2018-11-16,0.6,0.7,0.6,0.7,202429
2018-11-19,0.7,0.7,0.6,0.6,45000
2018-11-20,0.7,0.7,0.6,0.7,46500
2018-11-21,0.7,0.7,0.6,0.7,11721
2018-11-22,0.7,0.7,0.6,0.7,600
2018-11-23,0.7,0.7,0.6,0.6,43348
2018-11-26,0.7,0.7,0.6,0.7,4000
2018-11-27,0.7,0.7,0.6,0.7,33800
2018-11-28,0.7,0.7,0.6,0.6,20100
2018-11-29,0.6,0.7,0.6,0.6,4400
2018-11-30,0.7,0.7,0.7,0.7,67000
2018-12-03,0.6,0.7,0.6,0.7,6400
2018-12-04,0.7,0.7,0.7,0.7,35400
2018-12-05,0.7,0.7,0.7,0.7,2300
2018-12-06,0.7,0.7,0.7,0.7,330
2018-12-07,0.7,0.7,0.6,0.7,10800
2018-12-10,0.7,0.7,0.7,0.7,39400
2018-12-11,0.7,0.7,0.6,0.7,12500
2018-12-12,0.7,0.7,0.6,0.6,6600
2018-12-13,0.6,0.7,0.5,0.5,503100
2018-12-14,0.6,0.6,0.5,0.6,21400
2018-12-17,0.6,0.6,0.5,0.6,18900
2018-12-18,0.6,0.6,0.5,0.5,1400
2018-12-19,0.6,0.6,0.4,0.6,344600
2018-12-20,0.6,0.6,0.5,0.5,18300
2018-12-21,0.6,0.6,0.5,0.5,7700
2018-12-24,0.5,0.6,0.5,0.5,63100
2018-12-25,0.6,0.6,0.5,0.5,51500
2018-12-26,0.6,0.6,0.5,0.6,5000
2018-12-27,0.6,0.6,0.5,0.6,18000
2018-12-28,0.6,0.6,0.6,0.6,3900
2019-01-02,0.6,0.6,0.5,0.6,76200
2019-01-03,0.6,0.6,0.5,0.5,14200
2019-01-04,0.6,0.6,0.4,0.4,175800
2019-01-07,0.5,0.5,0.4,0.5,46700
2019-01-08,0.6,0.6,0.5,0.5,84500
2019-01-09,0.6,0.6,0.5,0.5,18100
2019-01-10,0.6,0.6,0.4,0.6,160100
2019-01-11,0.6,0.6,0.5,0.5,28000
2019-01-14,0.6,0.6,0.4,0.6,392400
2019-01-15,0.6,0.6,0.5,0.5,21300
2019-01-16,0.5,0.6,0.5,0.5,26100
2019-01-17,0.6,0.6,0.4,0.5,86200
2019-01-18,0.6,0.6,0.5,0.5,13700
2019-01-21,0.6,0.6,0.4,0.5,17400
2019-01-22,0.4,0.5,0.4,0.5,139400
2019-01-23,0.5,0.5,0.4,0.5,30500
2019-01-24,0.5,0.5,0.4,0.5,69300
2019-01-25,0.4,0.5,0.4,0.4,7400
2019-01-28,0.4,0.5,0.4,0.5,204900
2019-01-29,0.4,0.5,0.4,0.5,59400
2019-01-30,0.5,0.5,0.4,0.5,55100
2019-01-31,0.5,0.5,0.4,0.4,78700
2019-02-01,0.5,0.5,0.5,0.5,220300
2019-02-11,0.4,0.6,0.4,0.6,101700
2019-02-12,0.6,0.6,0.6,0.6,15700
2019-02-13,0.6,0.6,0.5,0.6,169405
2019-02-14,0.6,0.7,0.5,0.6,68700
2019-02-15,0.6,0.6,0.5,0.6,88700
2019-02-18,0.5,0.6,0.5,0.6,108300
2019-02-19,0.6,0.6,0.5,0.6,58600
