time,open,high,low,close,volume
2018-01-02,6.34,6.34,6.34,6.34,0
2018-01-03,6.34,6.34,6.34,6.34,0
2018-01-04,6.34,6.34,6.34,6.34,0
2018-01-05,6.34,6.34,6.34,6.34,0
2018-01-08,6.34,6.34,6.34,6.34,0
2018-01-09,6.34,6.34,6.34,6.34,0
2018-01-10,6.34,6.34,6.34,6.34,0
2018-01-11,6.34,6.34,6.34,6.34,0
2018-01-12,6.34,6.34,6.34,6.34,0
2018-01-15,6.34,6.34,6.34,6.34,0
2018-01-16,6.34,6.34,6.34,6.34,0
2018-01-17,6.34,6.34,6.34,6.34,0
2018-01-18,6.34,6.34,6.34,6.34,0
2018-01-19,6.34,6.34,6.34,6.34,0
2018-01-22,7.23,7.23,7.23,7.23,100
2018-01-23,7.23,7.23,7.23,7.23,0
2018-01-24,7.23,7.23,7.23,7.23,0
2018-01-25,7.23,7.23,7.23,7.23,0
2018-01-26,7.23,7.23,7.23,7.23,0
2018-01-29,7.23,7.23,7.23,7.23,0
2018-01-30,7.23,7.23,7.23,7.23,0
2018-01-31,7.23,7.23,7.23,7.23,0
2018-02-01,7.23,7.23,7.23,7.23,0
2018-02-02,7.23,7.23,7.23,7.23,0
2018-02-05,6.34,6.34,6.34,6.34,200
2018-02-06,5.53,5.53,5.53,5.53,100
2018-02-07,5.53,5.53,5.53,5.53,0
2018-02-08,4.72,4.72,4.72,4.72,600
2018-02-09,4.72,4.72,4.72,4.72,0
2018-02-12,4.72,4.72,4.72,4.72,0
2018-02-13,5.38,5.38,5.38,5.38,100
2018-02-21,5.38,5.38,5.38,5.38,0
2018-02-22,5.38,5.38,5.38,5.38,0
2018-02-23,5.38,5.38,5.38,5.38,0
2018-02-26,6.12,6.12,6.12,6.12,100
2018-02-27,6.12,6.12,6.12,6.12,0
2018-02-28,6.12,6.12,6.12,6.12,0
2018-03-01,6.12,6.12,6.12,6.12,0
2018-03-02,6.12,6.12,6.12,6.12,0
2018-03-05,6.12,6.12,6.12,6.12,0
2018-03-06,6.12,6.12,6.12,6.12,0
2018-03-07,6.12,6.12,6.12,6.12,0
2018-03-08,6.12,6.12,6.12,6.12,0
2018-03-09,6.12,6.12,6.12,6.12,0
2018-03-12,6.12,6.12,6.12,6.12,0
2018-03-13,6.12,6.12,6.12,6.12,0
2018-03-14,6.12,6.12,6.12,6.12,0
2018-03-15,6.12,6.12,6.12,6.12,0
2018-03-16,6.12,6.12,6.12,6.12,0
2018-03-19,6.12,6.12,6.12,6.12,0
2018-03-20,6.12,6.12,6.12,6.12,0
2018-03-21,6.12,6.12,6.12,6.12,0
2018-03-22,6.12,6.12,6.12,6.12,0
2018-03-23,6.12,6.12,6.12,6.12,0
2018-03-26,5.38,5.38,5.38,5.38,100
2018-03-27,5.38,5.38,5.38,5.38,0
