time,open,high,low,close,volume
2018-01-02,1.3,1.4,1.3,1.4,35100
2018-01-03,1.3,1.5,1.3,1.5,681728
2018-01-04,1.5,1.6,1.4,1.6,650218
2018-01-05,1.7,1.7,1.5,1.6,67602
2018-01-08,1.5,1.5,1.5,1.5,14900
2018-01-09,1.4,1.4,1.4,1.4,101300
2018-01-10,1.3,1.5,1.3,1.4,588218
2018-01-11,1.4,1.5,1.3,1.4,110500
2018-01-12,1.3,1.4,1.3,1.3,160400
2018-01-15,1.3,1.4,1.3,1.4,64300
2018-01-16,1.4,1.4,1.3,1.3,117200
2018-01-17,1.3,1.4,1.3,1.3,126200
2018-01-18,1.2,1.4,1.2,1.3,75300
2018-01-19,1.4,1.4,1.2,1.3,19500
2018-01-22,1.2,1.4,1.2,1.2,118700
2018-01-23,1.2,1.3,1.2,1.3,57900
2018-01-24,1.4,1.4,1.3,1.3,11500
2018-01-25,1.4,1.4,1.3,1.3,56100
2018-01-26,1.3,1.3,1.2,1.3,30000
2018-01-29,1.2,1.3,1.2,1.3,127000
2018-01-30,1.2,1.3,1.2,1.2,140000
2018-01-31,1.2,1.3,1.2,1.3,179500
2018-02-01,1.2,1.3,1.2,1.2,47300
2018-02-02,1.2,1.3,1.2,1.2,39400
2018-02-05,1.2,1.3,1.1,1.1,45402
2018-02-06,1.1,1.2,1.0,1.1,142900
2018-02-07,1.2,1.2,1.1,1.1,24800
2018-02-08,1.2,1.2,1.0,1.0,44300
2018-02-09,1.0,1.1,1.0,1.1,20600
2018-02-12,1.1,1.2,1.0,1.0,31300
2018-02-13,1.0,1.1,1.0,1.1,71600
2018-02-21,1.1,1.2,1.1,1.1,15500
2018-02-22,1.1,1.2,1.1,1.1,33000
2018-02-23,1.2,1.2,1.1,1.1,8400
2018-02-26,1.2,1.2,1.1,1.1,7300
2018-02-27,1.2,1.2,1.1,1.1,16300
2018-02-28,1.2,1.2,1.1,1.2,150420
2018-03-01,1.3,1.3,1.2,1.2,30802
2018-03-02,1.2,1.3,1.2,1.3,25800
2018-03-05,1.3,1.3,1.2,1.2,42200
2018-03-06,1.3,1.3,1.2,1.2,8100
2018-03-07,1.2,1.3,1.1,1.2,11400
2018-03-08,1.3,1.3,1.3,1.3,5300
2018-03-09,1.2,1.3,1.2,1.3,8100
2018-03-12,1.3,1.3,1.2,1.2,8500
2018-03-13,1.2,1.2,1.2,1.2,3700
2018-03-14,1.2,1.2,1.2,1.2,9000
2018-03-15,1.1,1.2,1.1,1.2,130000
2018-03-16,1.2,1.2,1.1,1.2,4300
2018-03-19,1.1,1.2,1.1,1.1,41800
2018-03-20,1.1,1.2,1.1,1.1,26500
2018-03-21,1.1,1.2,1.1,1.2,4700
2018-03-22,1.2,1.2,1.1,1.1,34001
2018-03-23,1.1,1.2,1.1,1.2,11300
2018-03-26,1.2,1.2,1.1,1.1,16100
2018-03-27,1.2,1.2,1.0,1.2,11900
2018-03-28,1.2,1.2,1.2,1.2,200
2018-03-29,1.2,1.2,1.2,1.2,1300
2018-03-30,1.2,1.2,1.1,1.2,10500
2018-04-02,1.2,1.2,1.1,1.1,50400
2018-04-03,1.1,1.1,1.0,1.0,113200
2018-04-04,1.1,1.1,1.0,1.1,38000
2018-04-05,1.1,1.1,1.0,1.1,11800
2018-04-06,1.0,1.1,1.0,1.0,69400
2018-04-09,1.0,1.1,1.0,1.0,87800
2018-04-10,1.0,1.1,0.9,1.1,21300
2018-04-11,1.1,1.1,1.0,1.0,6700
2018-04-12,1.0,1.0,1.0,1.0,60200
2018-04-13,1.0,1.0,0.9,0.9,160700
2018-04-16,0.8,0.9,0.8,0.8,439300
2018-04-17,0.7,0.9,0.7,0.8,432900
2018-04-18,0.9,0.9,0.8,0.8,43200
2018-04-19,0.8,0.8,0.7,0.7,39800
2018-04-20,0.7,0.7,0.6,0.7,185408
2018-04-23,0.7,0.8,0.6,0.8,311501
2018-04-24,0.7,0.9,0.7,0.9,248500
2018-04-26,0.8,0.9,0.8,0.8,31900
2018-04-27,0.8,0.9,0.8,0.8,23300
2018-05-02,0.9,0.9,0.8,0.9,348200
2018-05-03,0.9,0.9,0.8,0.8,31100
2018-05-04,0.8,0.9,0.8,0.8,44701
2018-05-07,0.9,0.9,0.8,0.8,34100
2018-05-08,0.8,0.8,0.7,0.7,49108
2018-05-09,0.7,0.7,0.6,0.7,288001
2018-05-10,0.6,0.7,0.6,0.7,137000
2018-05-11,0.6,0.7,0.6,0.7,25100
2018-05-14,0.7,0.7,0.6,0.6,96300
2018-05-15,0.6,0.7,0.6,0.6,25200
2018-05-16,0.6,0.6,0.6,0.6,98300
2018-05-17,0.6,0.7,0.5,0.7,226000
2018-05-18,0.6,0.7,0.6,0.7,46200
2018-05-21,0.7,0.7,0.6,0.6,13300
2018-05-22,0.7,0.7,0.6,0.6,59400
2018-05-23,0.6,0.7,0.5,0.6,19500
2018-05-24,0.5,0.7,0.5,0.6,44500
2018-05-25,0.5,0.6,0.5,0.6,11600
2018-05-28,0.5,0.6,0.5,0.6,9200
2018-05-29,0.6,0.6,0.5,0.5,79600
2018-05-30,0.5,0.6,0.5,0.6,123800
2018-05-31,0.5,0.6,0.5,0.6,110700
2018-06-01,0.5,0.6,0.5,0.6,60812
2018-06-04,0.6,0.6,0.5,0.6,77260
2018-06-13,0.6,0.6,0.5,0.6,41600
2018-06-14,0.7,0.7,0.7,0.7,170
2018-06-15,0.7,0.7,0.6,0.7,12200
2018-06-18,0.7,0.7,0.7,0.7,12800
2018-06-19,0.6,0.7,0.6,0.7,200
2018-06-20,0.6,0.7,0.6,0.7,1500
2018-06-21,0.6,0.7,0.6,0.7,12900
2018-06-22,0.7,0.7,0.6,0.6,200
2018-06-25,0.7,0.7,0.6,0.7,300
2018-06-26,0.7,0.7,0.7,0.7,31500
2018-06-27,0.6,0.7,0.6,0.7,7300
2018-06-28,0.7,0.7,0.6,0.7,11300
2018-06-29,0.7,0.7,0.7,0.7,2100
2018-07-02,0.6,0.6,0.6,0.6,5400
2018-07-03,0.6,0.6,0.6,0.6,23500
2018-07-04,0.6,0.6,0.6,0.6,1600
2018-07-05,0.6,0.6,0.5,0.5,31000
2018-07-06,0.6,0.6,0.6,0.6,100
2018-07-09,0.6,0.6,0.6,0.6,10400
2018-07-10,0.6,0.6,0.6,0.6,19900
2018-07-11,0.7,0.7,0.5,0.5,7400
2018-07-12,0.5,0.6,0.5,0.6,17100
2018-07-13,0.5,0.7,0.5,0.7,2200
2018-07-16,0.7,0.7,0.6,0.7,11450
2018-07-17,0.7,0.7,0.7,0.7,100
2018-07-18,0.7,0.7,0.7,0.7,0
2018-07-19,0.7,0.7,0.6,0.6,19100
2018-07-20,0.5,0.7,0.5,0.7,2500
2018-07-23,0.7,0.7,0.7,0.0,130
2018-07-24,0.6,0.7,0.6,0.7,3300
2018-07-25,0.7,0.7,0.5,0.7,4300
2018-07-26,0.7,0.7,0.6,0.6,3500
2018-07-27,0.7,0.7,0.7,0.7,100
2018-07-30,0.7,0.7,0.6,0.6,18500
2018-07-31,0.6,0.7,0.6,0.7,3400
2018-08-01,0.7,0.7,0.6,0.6,600
2018-08-02,0.7,0.7,0.7,0.7,400
2018-08-03,0.6,0.6,0.6,0.6,100
2018-08-06,0.7,0.7,0.6,0.7,20500
2018-08-07,0.6,0.7,0.6,0.7,104200
2018-08-08,0.7,0.7,0.6,0.6,31210
2018-08-09,0.7,0.7,0.7,0.7,20300
2018-08-10,0.6,0.7,0.6,0.7,24300
2018-08-13,0.6,0.8,0.6,0.7,25400
2018-08-14,0.7,0.7,0.6,0.6,118310
2018-08-15,0.7,0.8,0.6,0.8,55805
2018-08-16,0.8,0.9,0.7,0.9,40200
2018-08-17,0.9,0.9,0.7,0.9,124200
2018-08-20,0.8,0.9,0.7,0.9,12406
2018-08-21,0.9,0.9,0.9,0.9,104100
2018-08-22,0.9,1.0,0.8,0.9,193420
2018-08-23,1.0,1.0,1.0,1.0,99160
2018-08-24,1.1,1.1,1.1,1.1,40600
2018-08-27,1.2,1.2,1.1,1.2,77400
2018-08-28,1.3,1.3,1.1,1.3,450100
2018-08-29,1.3,1.4,1.3,1.4,78100
2018-08-30,1.6,1.6,1.5,1.6,162716
2018-08-31,1.7,1.8,1.5,1.6,203260
2018-09-04,1.6,1.6,1.5,1.5,291400
2018-09-05,1.5,1.7,1.4,1.7,97000
2018-09-06,1.7,1.7,1.3,1.5,120000
2018-09-07,1.3,1.6,1.2,1.6,182060
2018-09-10,1.3,1.4,1.3,1.4,145700
2018-09-11,1.4,1.4,1.3,1.4,50700
2018-09-12,1.3,1.4,1.2,1.3,141400
2018-09-13,1.3,1.3,1.2,1.2,194900
2018-09-14,1.1,1.2,1.1,1.1,59304
2018-09-17,1.2,1.2,1.1,1.1,2210
2018-09-18,1.1,1.1,1.0,1.1,15500
2018-09-19,1.0,1.1,1.0,1.1,47500
2018-09-20,1.2,1.2,1.1,1.1,138300
2018-09-21,1.1,1.2,1.1,1.2,91016
2018-09-24,1.3,1.3,1.2,1.2,100000
2018-09-25,1.2,1.3,1.2,1.3,249700
2018-09-26,1.4,1.4,1.4,1.4,31000
2018-09-27,1.5,1.6,1.5,1.6,106600
2018-09-28,1.8,1.8,1.5,1.5,383700
2018-10-01,1.6,1.6,1.4,1.4,59830
2018-10-02,1.4,1.6,1.4,1.6,140400
2018-10-03,1.6,1.6,1.6,1.6,0
2018-10-04,1.6,1.6,1.6,1.6,0
2018-10-05,1.6,1.6,1.6,1.6,0
2018-10-08,1.6,1.6,1.6,1.6,0
2018-10-09,1.6,1.6,1.6,1.6,0
2018-10-10,1.6,1.6,1.6,1.6,0
2018-10-11,1.6,1.6,1.6,1.6,0
2018-10-12,1.4,1.4,1.4,1.4,188450
2018-10-15,1.4,1.4,1.4,1.4,0
2018-10-16,1.4,1.4,1.4,1.4,0
2018-10-17,1.4,1.4,1.4,1.4,0
2018-10-18,1.4,1.4,1.4,1.4,0
2018-10-19,1.2,1.5,1.2,1.5,112900
2018-10-22,1.5,1.5,1.5,1.5,0
2018-10-23,1.5,1.5,1.5,1.5,0
2018-10-24,1.5,1.5,1.5,1.5,0
2018-10-25,1.5,1.5,1.5,1.5,0
2018-10-26,1.5,1.5,1.4,1.5,110100
2018-10-29,1.5,1.5,1.5,1.5,0
2018-10-30,1.5,1.5,1.5,1.5,0
2018-10-31,1.5,1.5,1.5,1.5,0
2018-11-01,1.5,1.5,1.5,1.5,0
2018-11-02,1.5,1.7,1.4,1.7,471410
2018-11-05,1.6,1.6,1.6,1.6,0
2018-11-06,1.6,1.6,1.6,1.6,0
2018-11-07,1.6,1.6,1.6,1.6,0
2018-11-08,1.6,1.6,1.6,1.6,0
2018-11-09,1.7,1.8,1.7,1.8,187000
2018-11-12,1.8,1.8,1.8,1.8,0
2018-11-13,1.8,1.8,1.8,1.8,0
2018-11-14,1.8,1.8,1.8,1.8,0
2018-11-15,1.8,1.8,1.8,1.8,0
2018-11-16,1.8,1.8,1.8,1.8,95400
2018-11-19,1.8,1.8,1.8,1.8,0
2018-11-20,1.8,1.8,1.8,1.8,0
2018-11-21,1.8,1.8,1.8,1.8,0
2018-11-22,1.8,1.8,1.8,1.8,0
2018-11-23,1.6,1.6,1.6,1.6,1200
2018-11-26,1.6,1.6,1.6,1.6,0
2018-11-27,1.6,1.6,1.6,1.6,0
2018-11-28,1.6,1.6,1.6,1.6,0
