time,open,high,low,close,volume
2018-01-02,14.04,14.32,13.81,14.13,1321940
2018-01-03,14.13,14.32,13.85,14.13,1443790
2018-01-04,14.23,15.12,14.23,15.12,1986340
2018-01-05,15.26,16.15,15.26,15.44,2146280
2018-01-08,15.44,16.01,15.26,15.91,1449080
2018-01-09,15.91,16.47,15.35,16.38,1621230
2018-01-10,16.29,16.38,15.26,15.26,1736760
2018-01-11,14.79,15.54,14.51,15.35,2415670
2018-01-12,15.4,15.4,14.74,14.98,1565230
2018-01-15,14.88,15.54,14.41,15.07,1294460
2018-01-16,14.88,15.63,14.74,15.54,2005220
2018-01-17,15.44,15.82,14.88,14.98,1819180
2018-01-18,14.6,14.98,14.32,14.98,1782500
2018-01-19,15.16,15.35,14.79,14.79,1188260
2018-01-22,14.79,14.79,13.95,13.95,1316950
2018-01-23,13.95,13.95,13.95,13.95,0
2018-01-24,13.95,13.95,13.95,13.95,0
2018-01-25,13.76,14.32,13.1,13.95,3177060
2018-01-26,13.76,13.95,13.2,13.85,1846590
2018-01-29,13.85,13.85,13.1,13.48,1964820
2018-01-30,13.38,14.41,13.1,14.41,2249300
2018-01-31,14.7,15.21,13.85,13.85,2780090
2018-02-01,13.76,14.04,13.48,13.67,1745880
2018-02-02,13.67,13.85,13.29,13.71,1066040
2018-02-05,13.38,13.38,12.78,12.78,1958580
2018-02-06,11.89,12.26,11.89,11.89,754540
2018-02-07,12.07,12.68,11.89,12.26,1895910
2018-02-08,12.26,12.45,11.93,12.12,1103830
2018-02-09,11.33,11.51,11.28,11.28,1181620
2018-02-12,11.19,11.7,11.14,11.7,1087650
2018-02-13,11.79,12.26,11.7,12.26,845720
2018-02-21,12.36,12.54,12.17,12.45,810430
2018-02-22,12.36,12.45,11.89,12.45,1029360
2018-02-23,12.36,12.54,12.17,12.36,1236730
2018-02-26,12.26,12.26,11.79,12.07,1492030
2018-02-27,11.89,12.92,11.79,12.92,2030450
2018-02-28,13.1,13.48,12.92,13.1,1355350
2018-03-01,12.92,13.1,12.64,12.82,956750
2018-03-02,12.73,13.01,12.5,12.64,1113670
2018-03-05,12.73,13.01,12.36,12.36,1517190
2018-03-06,12.36,12.64,12.17,12.54,621850
2018-03-07,12.54,12.92,12.36,12.64,1092180
2018-03-08,12.54,12.82,12.5,12.82,1152050
2018-03-09,12.82,12.92,12.64,12.64,820560
2018-03-12,12.64,12.73,12.12,12.45,1463510
2018-03-13,12.45,12.45,12.17,12.45,935430
2018-03-14,12.64,13.29,12.64,13.29,2842480
2018-03-15,13.48,13.9,13.34,13.9,2001460
2018-03-16,13.95,13.95,13.2,13.2,1385620
2018-03-19,13.1,13.57,12.96,13.43,1717360
2018-03-20,13.38,13.53,12.96,13.15,1465250
2018-03-21,13.15,13.29,12.96,13.2,1545200
2018-03-22,13.2,13.2,12.64,12.92,1756810
2018-03-23,12.54,12.82,12.26,12.82,1635960
2018-03-26,12.82,12.92,12.45,12.54,646150
2018-03-27,12.64,12.92,12.36,12.59,1010960
2018-03-28,12.54,12.64,12.4,12.59,879940
2018-03-29,12.59,12.64,12.4,12.59,693400
2018-03-30,12.59,12.64,12.4,12.64,973950
2018-04-02,12.64,12.92,12.36,12.36,1068170
2018-04-03,12.36,12.64,12.17,12.64,1173630
2018-04-04,12.64,12.82,12.36,12.54,1004320
2018-04-05,12.54,12.54,12.07,12.17,1812660
2018-04-06,12.26,12.82,12.07,12.45,1667150
2018-04-09,12.54,13.29,12.4,13.29,3029520
2018-04-10,13.29,13.29,12.64,12.82,1232670
2018-04-11,12.82,12.82,12.26,12.45,1398350
2018-04-12,12.36,12.54,12.17,12.36,979200
2018-04-13,12.36,12.64,12.26,12.64,1161640
2018-04-16,12.73,12.82,12.36,12.45,1338360
2018-04-17,12.45,12.64,12.31,12.54,1106580
2018-04-18,12.36,12.36,11.7,11.7,1874000
2018-04-19,10.9,10.9,10.9,10.9,174400
2018-04-20,10.16,10.16,10.16,10.16,216480
2018-04-23,9.45,10.16,9.45,9.45,4557040
2018-04-24,8.8,9.17,8.8,8.8,888850
2018-04-26,8.42,9.27,8.19,8.99,2374760
2018-04-27,8.89,8.99,8.36,8.99,1849450
2018-05-02,8.89,9.08,8.52,8.89,1061720
2018-05-03,8.7,8.98,8.42,8.97,1148690
2018-05-04,8.89,8.89,8.56,8.7,912100
2018-05-07,8.7,8.7,8.32,8.7,1081470
2018-05-08,8.7,8.89,8.44,8.87,1459160
2018-05-09,8.87,9.45,8.8,9.45,1898910
2018-05-10,9.64,9.97,9.59,9.92,2082050
2018-05-11,9.83,9.92,9.45,9.92,1201560
2018-05-14,9.83,9.83,9.45,9.69,1091920
2018-05-15,9.59,9.78,9.41,9.73,1024060
2018-05-16,9.73,9.97,9.55,9.83,1353150
2018-05-17,9.83,9.83,9.55,9.83,710270
2018-05-18,9.83,9.83,9.59,9.73,914750
2018-05-21,9.73,9.78,9.55,9.73,705250
2018-05-22,9.73,9.73,9.17,9.45,1513440
2018-05-23,9.36,9.45,9.14,9.41,1018400
2018-05-24,9.55,9.55,9.26,9.36,413750
2018-05-25,9.35,9.6,9.35,9.6,584840
2018-05-28,9.5,9.5,8.93,8.93,323100
2018-05-29,8.4,9.0,8.4,9.0,896570
2018-05-30,9.0,9.0,8.7,8.85,868620
2018-05-31,8.71,8.9,8.6,8.9,868070
2018-06-01,8.9,9.2,8.7,9.2,1141980
2018-06-04,9.1,9.1,8.8,9.09,932570
2018-06-05,8.7,9.08,8.65,8.99,906380
2018-06-06,8.99,9.61,8.71,9.61,1764070
2018-06-07,9.75,10.0,9.61,9.99,1271810
2018-06-08,9.99,9.99,9.6,9.7,747950
2018-06-11,9.55,9.6,9.3,9.3,1032880
2018-06-12,9.2,9.2,8.8,8.9,804250
2018-06-13,8.9,9.52,8.6,9.52,1376110
2018-06-14,9.52,9.9,9.2,9.9,1362640
2018-06-15,9.8,9.8,9.5,9.7,1168340
