time,open,high,low,close,volume
2018-01-02,21.37,21.37,21.37,21.37,0
2018-01-03,20.83,20.83,20.83,20.83,100
2018-01-04,20.83,20.83,20.83,20.83,0
2018-01-05,20.83,20.83,20.83,20.83,10
2018-01-08,21.84,21.84,21.84,21.84,700
2018-01-09,21.84,21.84,21.51,21.51,3300
2018-01-10,21.51,21.51,21.37,21.51,3400
2018-01-11,21.44,21.44,21.44,21.44,1000
2018-01-12,21.78,21.78,21.51,21.51,1000
2018-01-15,23.05,23.05,21.51,21.51,600
2018-01-16,21.78,21.78,21.78,21.78,0
2018-01-17,21.78,21.78,21.78,21.78,0
2018-01-18,21.44,21.44,21.44,21.44,550
2018-01-19,21.44,21.44,21.44,21.44,0
2018-01-22,20.83,20.83,20.83,20.83,1200
2018-01-23,20.77,21.51,19.56,21.51,3700
2018-01-24,21.44,21.44,21.44,21.44,200
2018-01-25,19.63,19.63,19.56,19.56,1000
2018-01-26,19.63,19.63,19.63,19.63,1000
2018-01-29,16.74,21.51,16.74,21.51,200
2018-01-30,19.15,19.15,19.15,19.15,0
2018-01-31,19.15,19.15,19.15,19.15,0
2018-02-01,19.15,19.15,19.15,21.51,10
2018-02-02,19.15,19.15,19.15,19.15,0
2018-02-05,17.47,17.47,16.87,16.87,300
2018-02-06,16.87,16.87,16.87,16.87,400
2018-02-07,14.38,14.38,14.38,14.38,100
2018-02-08,16.4,16.4,16.4,16.4,100
2018-02-09,13.98,18.42,13.98,18.42,200
2018-02-12,16.26,16.26,16.26,16.26,100
2018-02-13,16.8,16.8,16.8,16.8,100
2018-02-21,16.8,16.8,16.8,16.8,0
2018-02-22,14.52,14.52,14.52,18.08,200
2018-02-23,16.33,16.33,16.33,16.33,0
2018-02-26,16.33,16.33,16.33,16.33,0
2018-02-27,15.19,15.19,15.19,15.19,100
2018-02-28,15.46,15.46,15.46,15.46,100
2018-03-01,15.46,15.59,15.46,15.46,300
2018-03-02,17.74,17.74,16.13,16.13,200
2018-03-05,15.46,17.81,15.46,17.47,300
2018-03-06,16.13,16.13,16.13,16.13,100
2018-03-07,17.41,17.41,17.41,17.41,100
2018-03-08,17.47,17.47,15.86,15.86,700
2018-03-09,13.71,17.81,13.71,17.81,500
2018-03-12,17.0,17.0,17.0,17.0,0
2018-03-13,14.52,17.54,14.52,17.54,200
2018-03-14,13.85,13.85,13.85,13.85,100
2018-03-15,14.11,14.11,14.11,14.11,100
2018-03-16,13.98,13.98,13.98,13.98,100
2018-03-19,13.98,13.98,13.98,13.98,0
2018-03-20,14.79,15.53,14.79,15.53,3700
2018-03-21,15.19,15.19,15.19,15.19,0
2018-03-22,13.44,13.44,13.44,13.44,110
2018-03-23,15.46,15.46,15.46,15.46,200
2018-03-26,15.46,15.46,15.46,15.46,200
2018-03-27,15.46,15.46,15.46,15.46,20
2018-03-28,15.46,15.46,15.46,15.46,5
2018-03-29,13.85,13.85,13.85,13.85,100
2018-03-30,11.83,11.83,11.83,11.83,100
2018-04-02,13.37,13.37,13.37,13.37,104
2018-04-03,13.37,13.37,13.37,13.37,0
2018-04-04,11.43,11.43,11.43,11.43,100
2018-04-05,12.1,13.11,12.1,13.11,3600
2018-04-06,14.18,14.32,14.18,14.32,300
2018-04-09,14.25,14.25,14.25,14.25,0
2018-04-10,12.16,12.23,12.16,12.23,1100
2018-04-11,12.23,12.23,12.23,12.23,0
2018-04-12,14.05,14.05,14.05,14.05,110
2018-04-13,12.5,12.5,12.5,12.5,1000
2018-04-16,12.5,12.5,12.5,12.5,0
2018-04-17,12.5,12.5,12.5,12.5,0
2018-04-18,12.77,12.77,12.77,12.77,100
2018-04-19,12.77,12.77,12.77,12.77,0
2018-04-20,13.37,13.37,13.37,13.37,100
2018-04-23,11.43,13.37,11.43,13.37,200
2018-04-24,12.43,12.43,12.43,12.43,0
2018-04-26,10.69,14.05,10.69,14.05,200
2018-04-27,10.82,10.82,10.82,10.82,100
2018-05-02,10.82,11.43,10.82,11.43,200
2018-05-03,11.16,11.16,11.16,11.16,0
2018-05-04,9.61,12.03,9.61,12.03,300
2018-05-07,9.61,12.37,9.61,12.37,210
2018-05-08,11.02,11.02,11.02,11.02,0
2018-05-09,12.1,12.64,12.1,12.64,800
2018-05-10,12.64,12.64,12.64,12.64,200
2018-05-11,11.16,11.16,11.16,11.16,100
2018-05-14,11.16,11.16,11.16,11.16,0
2018-05-15,11.16,11.16,11.16,11.16,0
2018-05-16,11.16,11.16,11.16,11.16,0
2018-05-17,12.7,12.77,12.7,12.77,600
2018-05-18,12.77,12.77,12.77,12.77,30
2018-05-21,12.77,12.77,12.77,12.77,0
2018-05-22,12.84,12.84,12.84,12.84,300
2018-05-23,14.65,14.65,14.65,14.65,200
2018-05-24,12.64,12.64,12.64,12.64,100
2018-05-25,12.77,12.77,12.77,12.77,500
2018-05-28,12.77,12.77,12.77,12.77,1300
2018-05-29,11.16,11.16,11.16,11.16,100
2018-05-30,11.16,11.16,11.16,11.16,0
2018-05-31,11.16,11.16,11.16,11.16,0
2018-06-01,12.37,12.37,12.37,12.37,600
2018-06-04,11.16,11.16,11.16,11.16,100
2018-06-05,11.16,11.16,11.16,11.16,0
2018-06-06,9.61,12.77,9.61,12.77,8700
2018-06-07,12.7,12.7,12.7,12.7,0
2018-06-08,12.7,12.7,12.7,12.7,0
2018-06-11,11.02,11.02,11.02,11.02,100
2018-06-12,11.02,11.02,11.02,11.02,0
2018-06-13,12.55,12.55,12.55,12.55,200
2018-06-14,11.09,13.14,11.09,13.14,200
2018-06-15,12.12,12.12,12.12,12.12,0
2018-06-18,12.12,12.12,12.12,12.12,0
2018-06-19,12.12,12.12,12.12,12.12,0
2018-06-20,10.66,10.66,10.66,10.66,100
2018-06-21,10.66,10.66,10.66,10.66,0
2018-06-22,10.66,10.66,10.66,10.66,0
2018-06-25,10.66,10.66,10.66,10.66,0
2018-06-26,10.66,10.66,10.66,10.66,0
2018-06-27,10.66,10.66,10.66,10.66,6
2018-06-28,9.56,9.56,9.56,9.56,100
2018-06-29,8.17,10.88,8.17,10.88,400
2018-07-02,10.22,10.22,10.22,10.22,0
