time,open,high,low,close,volume
2018-01-02,11.91,12.26,11.91,12.26,940
2018-01-03,12.22,12.22,12.05,12.22,2630
2018-01-04,12.02,12.02,11.81,12.02,5660
2018-01-05,11.71,12.74,11.64,12.4,29160
2018-01-08,12.95,13.09,12.33,12.4,111690
2018-01-09,12.74,12.88,12.4,12.4,33440
2018-01-10,12.67,13.05,12.4,12.4,40870
2018-01-11,12.88,12.88,12.4,12.71,37690
2018-01-12,12.74,12.81,12.4,12.4,6520
2018-01-15,12.67,12.88,12.4,12.88,8100
2018-01-16,12.53,13.09,12.4,13.09,24630
2018-01-17,12.95,13.09,12.74,12.74,6070
2018-01-18,12.4,13.09,12.4,13.09,5900
2018-01-19,12.74,13.36,12.74,13.09,17350
2018-01-22,12.95,13.57,12.95,13.09,13750
2018-01-23,13.09,13.09,13.09,13.09,0
2018-01-24,13.09,13.09,13.09,13.09,0
2018-01-25,13.09,13.98,13.09,13.98,74580
2018-01-26,14.88,14.88,14.05,14.43,46890
2018-01-29,14.32,14.43,13.77,13.77,152960
2018-01-30,13.15,14.12,13.09,13.77,73920
2018-01-31,13.29,14.05,13.29,14.05,91560
2018-02-01,13.64,14.12,13.64,14.12,21210
2018-02-02,13.84,14.19,13.84,14.12,32830
2018-02-05,13.77,14.12,13.43,13.43,108580
2018-02-06,12.53,14.05,12.53,14.05,39710
2018-02-07,13.57,14.43,13.57,14.19,7760
2018-02-08,14.26,15.15,13.5,14.43,9650
2018-02-09,14.43,14.43,13.7,14.26,11430
2018-02-12,14.6,14.6,13.77,14.12,8240
2018-02-13,13.77,14.81,13.64,14.81,27280
2018-02-21,14.39,14.81,14.32,14.81,5980
2018-02-22,14.12,15.15,14.12,14.32,11520
2018-02-23,13.91,14.74,13.7,14.26,8820
2018-02-26,14.19,14.46,13.77,13.98,32120
2018-02-27,13.81,14.08,13.74,13.77,81080
2018-02-28,13.67,14.12,13.67,14.12,4520
2018-03-01,13.98,14.46,13.98,14.19,280
2018-03-02,13.91,15.15,13.91,15.15,49500
2018-03-05,15.15,15.84,15.08,15.08,13380
2018-03-06,14.6,15.15,14.53,14.53,34680
2018-03-07,14.19,15.43,14.19,14.88,6740
2018-03-08,14.94,15.08,14.53,14.53,5320
2018-03-09,15.15,15.15,14.46,14.46,5860
2018-03-12,14.32,14.53,14.26,14.53,3400
2018-03-13,14.46,15.15,14.46,15.15,6190
2018-03-14,14.88,15.08,14.63,14.94,9100
2018-03-15,14.46,14.6,14.12,14.19,14530
2018-03-16,14.05,14.6,14.05,14.6,20
2018-03-19,14.6,15.01,13.84,13.84,7130
2018-03-20,13.84,14.81,13.84,14.77,820
2018-03-21,14.7,15.08,14.39,14.46,17920
2018-03-22,14.46,14.74,13.77,14.46,8540
2018-03-23,13.84,14.12,13.64,14.08,8030
2018-03-26,14.05,14.12,13.84,13.98,13050
2018-03-27,13.98,14.46,13.91,14.46,1780
2018-03-28,13.7,14.26,13.7,14.19,13480
2018-03-29,13.77,13.98,13.7,13.77,8940
2018-03-30,13.5,14.29,13.5,14.26,190
2018-04-02,13.64,13.91,13.29,13.29,83560
2018-04-03,13.09,13.29,12.36,13.29,84370
2018-04-04,13.29,13.29,12.36,13.09,50580
2018-04-05,12.22,12.53,12.19,12.19,79800
2018-04-06,11.4,12.36,11.36,11.36,131590
2018-04-09,10.64,11.26,10.61,11.05,38240
2018-04-10,11.05,11.05,10.4,10.61,25560
2018-04-11,10.98,10.98,10.54,10.81,8680
2018-04-12,10.67,10.67,10.54,10.67,19000
2018-04-13,10.47,10.88,10.47,10.67,5680
2018-04-16,10.64,10.64,10.3,10.33,17590
