time,open,high,low,close,volume
2018-01-02,6.98,7.06,6.98,6.98,70845
2018-01-03,6.9,7.06,6.9,6.98,87801
2018-01-04,6.9,7.06,6.9,6.98,136150
2018-01-05,6.9,7.06,6.9,6.9,69516
2018-01-08,6.9,6.98,6.9,6.98,25300
2018-01-09,6.98,6.98,6.82,6.98,102828
2018-01-10,6.98,7.06,6.82,6.9,197412
2018-01-11,6.9,7.14,6.9,7.14,108100
2018-01-12,7.14,7.3,7.14,7.14,137502
2018-01-15,7.14,7.3,7.06,7.22,194619
2018-01-16,7.22,7.3,7.14,7.3,81312
2018-01-17,7.3,7.3,7.06,7.22,81682
2018-01-18,7.22,7.22,7.06,7.22,40158
2018-01-19,7.06,7.22,6.98,7.06,92496
2018-01-22,6.98,7.06,6.9,6.98,62512
2018-01-23,7.06,7.14,6.98,7.06,117350
2018-01-24,7.14,7.55,7.06,7.47,308980
2018-01-25,7.39,7.47,7.22,7.22,168482
2018-01-26,7.22,7.3,7.14,7.3,56773
2018-01-29,7.3,7.3,7.06,7.14,122548
2018-01-30,7.06,7.14,6.9,7.14,105793
2018-01-31,6.9,7.14,6.9,7.06,98780
2018-02-01,7.14,7.14,6.98,7.14,94710
2018-02-02,7.14,7.14,6.98,7.06,34539
2018-02-05,6.98,7.06,6.82,6.82,94472
2018-02-06,6.74,6.74,6.17,6.41,152558
2018-02-07,6.65,6.82,6.49,6.74,27410
2018-02-08,6.49,6.65,6.25,6.65,10700
2018-02-09,6.41,6.49,6.25,6.49,49457
2018-02-12,6.49,6.74,6.49,6.74,40110
2018-02-13,6.74,6.9,6.74,6.9,18722
2018-02-21,6.82,6.98,6.74,6.9,73700
2018-02-22,6.65,6.9,6.65,6.9,10799
2018-02-23,6.82,6.9,6.82,6.9,15500
2018-02-26,6.82,6.9,6.74,6.9,52437
2018-02-27,6.9,6.9,6.74,6.82,41410
2018-02-28,6.82,6.82,6.57,6.74,34300
2018-03-01,6.65,6.74,6.57,6.57,50200
2018-03-02,6.65,6.74,6.65,6.74,34800
2018-03-05,6.74,6.82,6.65,6.82,99500
2018-03-06,6.82,6.82,6.74,6.82,43900
2018-03-07,6.74,6.9,6.74,6.9,34761
2018-03-08,6.74,6.9,6.49,6.9,120240
2018-03-09,6.9,6.9,6.74,6.82,11769
2018-03-12,6.65,6.82,6.65,6.82,26400
2018-03-13,6.65,6.82,6.65,6.82,7606
2018-03-14,6.82,6.82,6.74,6.74,20550
2018-03-15,6.74,6.9,6.74,6.9,35409
2018-03-16,6.82,6.82,6.74,6.82,22075
2018-03-19,6.98,6.98,6.74,6.82,13200
2018-03-20,6.82,6.9,6.82,6.9,8372
2018-03-21,6.65,6.82,6.41,6.74,539200
2018-03-22,6.74,6.9,6.57,6.82,62000
2018-03-23,6.57,6.82,6.57,6.82,42940
2018-03-26,6.57,6.65,6.57,6.57,30900
2018-03-27,6.74,6.74,6.57,6.74,5960
2018-03-28,6.57,6.74,6.57,6.57,24439
2018-03-29,6.57,6.65,6.57,6.57,35162
2018-03-30,6.65,6.65,6.57,6.65,17300
2018-04-02,6.65,6.74,6.57,6.65,40100
2018-04-03,6.57,6.74,6.57,6.74,41410
2018-04-04,6.74,6.74,6.65,6.65,20638
2018-04-05,6.74,6.74,6.57,6.74,10889
2018-04-06,6.74,6.74,6.65,6.74,25300
2018-04-09,6.65,6.82,6.65,6.74,50600
2018-04-10,6.82,6.82,6.65,6.74,39300
2018-04-11,6.65,6.74,6.57,6.65,67757
2018-04-12,6.65,6.74,6.57,6.74,11031
2018-04-13,6.57,6.74,6.57,6.65,11500
2018-04-16,6.74,6.74,6.57,6.65,19200
2018-04-17,6.57,6.74,6.57,6.74,21377
2018-04-18,6.65,6.74,6.57,6.74,87096
2018-04-19,6.65,6.65,6.65,6.65,72900
2018-04-20,6.74,6.74,6.57,6.65,4100
2018-04-23,6.65,6.74,6.49,6.57,139300
2018-04-24,6.57,6.74,6.49,6.65,73690
2018-04-26,6.65,6.65,6.49,6.65,43800
2018-04-27,6.65,6.74,6.65,6.65,9604
2018-05-02,6.49,6.65,6.41,6.49,15810
2018-05-03,6.41,6.57,6.33,6.57,9524
