time,open,high,low,close,volume
2018-01-02,3.0,3.1,3.0,3.1,4000
2018-01-03,2.9,3.1,2.8,3.1,1941
2018-01-04,3.0,3.1,2.9,3.1,23000
2018-01-05,3.1,3.2,2.9,3.2,2600
2018-01-08,3.0,3.2,3.0,3.2,5180
2018-01-09,3.0,3.0,2.9,2.9,7200
2018-01-10,3.0,3.1,3.0,3.1,14000
2018-01-11,3.1,3.2,3.1,3.2,8160
2018-01-12,3.1,3.2,3.1,3.2,37100
2018-01-15,3.2,3.2,3.1,3.1,29000
2018-01-16,3.1,3.1,3.1,3.1,0
2018-01-17,3.0,3.1,2.9,3.1,37200
2018-01-18,3.0,3.0,2.9,3.0,5600
2018-01-19,2.9,3.0,2.7,3.0,9600
2018-01-22,3.0,3.0,2.8,2.8,10926
2018-01-23,2.8,3.0,2.7,3.0,12500
2018-01-24,3.0,3.0,3.0,3.0,0
2018-01-25,2.9,3.0,2.8,3.0,4200
2018-01-26,2.9,2.9,2.8,2.9,29806
2018-01-29,2.8,3.0,2.8,3.0,27600
2018-01-30,2.8,3.0,2.8,3.0,3300
2018-01-31,2.7,2.9,2.7,2.9,2120
2018-02-01,2.9,2.9,2.9,2.9,13700
2018-02-02,2.9,2.9,2.9,2.9,0
2018-02-05,2.7,3.0,2.7,3.0,2400
2018-02-06,2.7,2.9,2.7,2.9,9100
2018-02-07,2.9,2.9,2.9,2.9,23000
2018-02-08,2.9,3.0,2.9,3.0,5100
2018-02-09,2.7,3.0,2.7,3.0,390
2018-02-12,3.0,3.0,3.0,3.0,3700
2018-02-13,3.0,3.0,3.0,3.0,200
2018-02-21,3.1,3.1,3.1,3.1,300
2018-02-22,3.0,3.0,3.0,3.0,200
2018-02-23,2.9,3.0,2.9,3.0,1100
2018-02-26,2.9,3.0,2.9,3.0,18680
2018-02-27,3.0,3.0,2.8,3.0,2000
2018-02-28,3.1,3.1,3.1,3.1,264
2018-03-01,3.1,3.1,2.8,2.8,3800
2018-03-02,2.8,2.8,2.6,2.8,14900
2018-03-05,2.7,2.9,2.7,2.9,3300
2018-03-06,2.8,2.9,2.8,2.9,4102
2018-03-07,2.9,3.0,2.9,3.0,6000
2018-03-08,3.0,3.0,3.0,3.0,0
2018-03-09,3.0,3.1,3.0,3.0,5100
2018-03-12,3.0,3.0,3.0,3.0,0
2018-03-13,3.0,3.0,3.0,3.0,0
2018-03-14,2.8,3.0,2.8,3.0,9600
2018-03-15,2.8,3.0,2.8,3.0,3000
2018-03-16,2.8,2.9,2.8,2.9,25100
2018-03-19,2.9,3.0,2.9,3.0,61500
2018-03-20,3.0,3.0,3.0,3.0,0
2018-03-21,2.9,3.0,2.7,3.0,11300
2018-03-22,2.9,3.0,2.9,3.0,8980
2018-03-23,2.9,3.0,2.9,3.0,3800
2018-03-26,3.0,3.0,3.0,3.0,40
2018-03-27,2.7,3.0,2.7,3.0,720
2018-03-28,2.7,2.9,2.7,2.9,1847
2018-03-29,2.9,2.9,2.9,2.9,5
2018-03-30,2.9,2.9,2.9,2.9,85
2018-04-02,2.9,2.9,2.9,2.9,52000
2018-04-03,3.0,3.0,3.0,3.0,250
2018-04-04,2.7,3.0,2.7,3.0,467
2018-04-05,2.7,3.0,2.7,3.0,812
2018-04-06,2.7,3.0,2.7,3.0,600
2018-04-09,2.8,3.0,2.8,3.0,700
2018-04-10,3.0,3.0,3.0,3.0,0
2018-04-11,3.0,3.0,3.0,3.0,0
2018-04-12,3.0,3.0,3.0,3.0,0
2018-04-13,2.7,2.7,2.7,2.7,500
2018-04-16,2.7,2.7,2.7,2.7,0
2018-04-17,2.7,2.7,2.7,2.7,0
2018-04-18,2.7,2.7,2.7,2.7,6500
2018-04-19,2.9,2.9,2.9,2.9,6400
2018-04-20,2.9,2.9,2.9,2.9,0
2018-04-23,2.9,2.9,2.9,2.9,0
2018-04-24,2.7,2.8,2.7,2.8,600
2018-04-26,2.6,2.9,2.6,2.9,3590
2018-04-27,2.7,2.8,2.7,2.8,3218
2018-05-02,2.8,2.8,2.8,2.8,134
