time,open,high,low,close,volume
2018-01-02,8.55,8.55,8.55,8.55,0
2018-01-03,8.55,8.55,8.55,8.55,0
2018-01-04,8.55,8.55,8.55,8.55,0
2018-01-05,8.55,8.55,8.55,8.55,0
2018-01-08,8.55,8.55,8.55,8.55,0
2018-01-09,8.55,8.55,8.55,8.55,100
2018-01-10,8.55,8.55,8.55,8.55,0
2018-01-11,8.55,8.55,8.55,8.55,0
2018-01-12,9.31,9.31,9.31,9.31,100
2018-01-15,9.31,9.31,9.31,9.31,0
2018-01-16,9.31,9.31,9.31,9.31,20
2018-01-17,9.31,9.31,9.31,9.31,0
2018-01-18,9.31,9.31,9.31,9.31,0
2018-01-19,9.31,9.31,9.31,9.31,0
2018-01-22,9.31,9.31,9.31,9.31,0
2018-01-23,9.31,9.31,9.31,9.31,0
2018-01-24,10.06,10.06,10.06,10.06,100
2018-01-25,10.06,10.06,10.06,10.06,0
2018-01-26,10.06,10.06,10.06,10.06,0
2018-01-29,10.06,10.06,10.06,10.06,0
2018-01-30,10.06,10.06,10.06,10.06,0
2018-01-31,10.06,10.06,10.06,10.06,0
2018-02-01,10.06,10.06,10.06,10.06,0
2018-02-02,10.06,10.06,10.06,10.06,0
2018-02-05,10.06,10.06,10.06,10.06,0
2018-02-06,10.06,10.06,10.06,10.06,0
2018-02-07,10.06,10.06,10.06,10.06,0
2018-02-08,10.06,10.06,10.06,10.06,0
2018-02-09,10.06,10.06,10.06,10.06,0
2018-02-12,10.06,10.06,10.06,10.06,0
2018-02-13,10.06,10.06,10.06,10.06,0
2018-02-21,10.06,10.06,10.06,10.06,0
2018-02-22,10.06,10.06,10.06,10.06,0
2018-02-23,10.06,10.06,10.06,10.06,0
2018-02-26,10.06,10.06,10.06,10.06,0
2018-02-27,10.06,10.06,10.06,10.06,0
2018-02-28,10.06,10.06,10.06,10.06,0
2018-03-01,10.06,10.06,10.06,10.06,0
2018-03-02,10.06,10.06,10.06,10.06,0
2018-03-05,10.06,10.06,10.06,10.06,0
2018-03-06,10.06,10.06,10.06,10.06,0
2018-03-07,10.06,10.06,10.06,10.06,0
2018-03-08,10.06,10.06,10.06,10.06,0
2018-03-09,10.06,10.06,10.06,10.06,0
2018-03-12,10.06,10.06,10.06,10.06,0
2018-03-13,10.06,10.06,10.06,10.06,0
2018-03-14,10.06,10.06,10.06,10.06,0
2018-03-15,9.12,9.12,9.12,9.12,100
2018-03-16,9.12,9.12,9.12,9.12,0
2018-03-19,9.12,9.12,9.12,9.12,0
2018-03-20,9.12,9.12,9.12,9.12,0
2018-03-21,9.12,9.12,9.12,9.12,0
2018-03-22,9.12,9.12,9.12,9.12,0
2018-03-23,9.12,9.12,9.12,9.12,0
2018-03-26,9.12,9.12,9.12,9.12,0
2018-03-27,9.12,9.12,9.12,9.12,0
2018-03-28,9.12,9.12,9.12,9.12,0
2018-03-29,9.12,9.12,9.12,9.12,18
2018-03-30,9.12,9.12,9.12,9.12,0
2018-04-02,9.12,9.12,9.12,9.12,0
2018-04-03,9.12,9.12,9.12,9.12,0
2018-04-04,9.12,9.12,9.12,9.12,0
2018-04-05,8.23,8.23,8.23,8.23,100
2018-04-06,7.41,7.41,7.41,7.41,100
2018-04-09,6.71,6.71,6.71,6.71,200
2018-04-10,6.08,6.08,6.08,6.08,200
2018-04-11,6.08,6.08,6.08,6.08,0
2018-04-12,6.08,6.08,6.08,6.08,15
2018-04-13,6.08,6.08,6.08,6.08,0
2018-04-16,6.08,6.08,6.08,6.08,0
2018-04-17,5.57,6.65,5.57,6.65,200
2018-04-18,6.65,6.65,6.65,6.65,0
2018-04-19,6.65,6.65,6.65,6.65,0
2018-04-20,6.01,6.01,6.01,6.01,100
2018-04-23,6.52,6.52,6.52,6.52,100
2018-04-24,6.52,6.52,6.52,6.52,0
2018-04-26,6.52,6.52,6.52,6.52,0
2018-04-27,6.52,6.52,6.52,6.52,0
2018-05-02,7.03,7.03,7.03,7.03,100
2018-05-03,7.03,7.03,7.03,7.03,0
2018-05-04,7.03,7.03,7.03,7.03,0
2018-05-07,7.47,7.47,7.47,7.47,100
2018-05-08,7.47,7.47,7.47,7.47,0
2018-05-09,7.47,7.47,7.47,7.47,0
2018-05-10,7.47,7.47,7.47,7.47,0
2018-05-11,8.04,8.04,8.04,8.04,100
2018-05-14,8.04,8.04,8.04,8.04,0
2018-05-15,8.04,8.04,8.04,8.04,0
