time,open,high,low,close,volume
2019-01-25,6.63,7.29,5.33,5.57,57300
2019-01-28,5.6,5.63,5.53,5.63,9800
2019-01-29,5.63,5.7,5.63,5.63,7400
2019-01-30,5.57,5.57,5.27,5.37,6700
2019-01-31,5.3,5.6,5.3,5.6,6400
2019-02-01,5.17,5.63,5.17,5.43,500
2019-02-11,5.43,5.43,5.43,5.43,0
2019-02-12,5.17,5.17,5.17,5.17,500
2019-02-13,5.23,5.6,5.2,5.57,6400
2019-02-14,5.33,5.53,5.33,5.37,5000
2019-02-15,5.63,5.63,5.5,5.6,4400
2019-02-18,5.73,5.8,5.63,5.8,10000
2019-02-19,5.96,5.96,5.8,5.93,17900
2019-02-20,5.8,5.93,5.8,5.9,3000
2019-02-21,5.63,5.76,5.5,5.5,8200
2019-02-22,5.5,5.53,5.33,5.37,5900
2019-02-25,5.86,5.86,5.86,5.86,300
2019-02-26,5.86,5.86,5.86,5.86,500
2019-02-27,5.86,5.86,5.65,5.86,1200
2019-02-28,5.83,5.83,5.61,5.61,7800
2019-03-01,5.61,5.72,5.61,5.61,5400
2019-03-04,5.61,5.61,5.61,5.61,400
2019-03-05,5.61,5.61,5.58,5.58,2700
2019-03-06,5.44,5.44,5.3,5.44,12600
2019-03-07,5.3,5.47,5.23,5.47,4200
2019-03-08,5.12,5.58,5.12,5.58,200
2019-03-11,5.61,5.61,5.61,5.61,2000
2019-03-12,5.65,5.65,5.58,5.58,14800
2019-03-13,5.58,5.58,5.3,5.51,8850
2019-03-14,5.51,5.54,5.4,5.54,3900
2019-03-15,5.08,5.51,5.08,5.19,7100
2019-03-18,5.69,5.69,5.12,5.51,5000
2019-03-19,5.16,5.47,5.16,5.3,2300
2019-03-20,5.37,5.37,4.8,5.08,2700
2019-03-21,5.05,5.05,4.94,4.98,4900
2019-03-22,4.94,5.08,4.91,5.08,2000
2019-03-25,4.94,4.94,4.63,4.7,6900
2019-03-26,4.91,4.94,4.91,4.94,1800
