time,open,high,low,close,volume
2018-01-02,83.57,84.98,81.72,84.51,24110
2018-01-03,84.04,86.16,84.04,85.93,23140
2018-01-04,85.93,85.93,84.98,85.93,5760
2018-01-05,85.93,86.87,85.69,86.87,13800
2018-01-08,86.63,88.76,86.63,88.76,22231
2018-01-09,88.76,89.66,88.76,89.18,14900
2018-01-10,87.82,87.91,86.4,86.92,8736
2018-01-11,86.92,87.82,82.62,86.92,25744
2018-01-12,84.98,85.93,83.09,84.98,5900
2018-01-15,84.51,84.51,83.09,83.57,4600
2018-01-16,83.33,83.57,80.97,82.1,14400
2018-01-17,82.1,83.09,81.68,82.62,17420
2018-01-18,82.62,84.04,82.15,84.04,4925
2018-01-19,84.04,86.4,83.09,83.99,16900
2018-01-22,84.04,84.98,82.15,82.15,5700
2018-01-23,82.15,86.4,82.15,83.57,15700
2018-01-24,83.57,84.98,82.62,82.62,7026
2018-01-25,82.06,82.62,81.21,81.91,3110
2018-01-26,81.91,82.62,80.73,81.21,7900
2018-01-29,81.21,81.21,76.96,79.79,16605
2018-01-30,79.79,79.79,79.32,79.79,1800
2018-01-31,79.32,81.21,77.9,79.79,3710
2018-02-01,79.32,80.21,79.32,80.21,1900
2018-02-02,79.79,80.26,78.37,80.26,9300
2018-02-05,79.32,81.21,78.84,80.26,3800
2018-02-06,78.37,78.37,75.54,77.9,15120
2018-02-07,76.96,80.26,76.96,77.9,5010
2018-02-08,77.9,77.9,75.54,75.54,19074
2018-02-09,77.9,77.9,76.96,76.96,200
2018-02-12,76.01,76.96,76.01,76.96,800
2018-02-13,77.48,78.61,76.48,78.33,4874
2018-02-21,80.26,80.26,77.9,79.32,1200
2018-02-22,79.32,79.32,77.9,77.9,1300
2018-02-23,79.32,79.32,77.81,77.81,10910
2018-02-26,77.9,77.9,76.96,76.96,1200
2018-02-27,76.96,77.43,74.17,75.07,9603
2018-02-28,76.48,76.48,73.65,75.54,1500
2018-03-01,75.54,75.54,73.65,74.6,19620
2018-03-02,74.6,74.6,70.82,73.13,10516
2018-03-05,70.82,73.13,69.92,71.76,7316
2018-03-06,72.24,72.24,69.87,71.76,7900
2018-03-07,70.35,71.76,68.93,71.05,6100
2018-03-08,69.63,71.05,68.68,70.58,4700
2018-03-09,70.34,70.34,66.79,70.2,10800
2018-03-12,66.32,70.11,63.19,65.84,27446
2018-03-13,65.37,72.43,61.58,68.21,5990
2018-03-14,65.37,66.79,63.0,66.79,20603
2018-03-15,65.84,66.55,65.37,65.37,6100
2018-03-16,71.62,71.62,65.37,67.08,5900
2018-03-19,61.39,61.96,60.37,60.37,12900
2018-03-20,54.57,54.57,54.34,54.34,4410
2018-03-21,48.94,54.0,48.94,51.16,74100
2018-03-22,49.45,50.59,46.04,50.59,51962
2018-03-23,49.45,49.45,48.89,49.45,3400
2018-03-26,46.61,47.35,44.51,44.51,13700
2018-03-27,40.36,44.91,40.36,44.05,29700
2018-03-28,44.05,46.61,44.05,46.61,16608
2018-03-29,46.61,47.18,44.45,47.07,8300
2018-03-30,47.07,47.07,44.34,46.95,10900
2018-04-02,44.34,45.48,44.34,44.34,5600
2018-04-03,42.07,44.91,40.36,44.91,34200
2018-04-04,44.91,44.91,40.64,40.64,27900
2018-04-05,40.93,42.07,39.51,39.51,16000
2018-04-06,40.36,40.64,39.68,39.96,28100
2018-04-09,40.08,41.5,39.85,40.3,12100
2018-04-10,39.85,40.3,39.68,39.79,10200
2018-04-11,38.09,39.79,36.1,36.1,19660
2018-04-12,36.95,39.17,36.15,39.17,18000
2018-04-13,39.79,41.78,39.79,41.78,18970
2018-04-16,40.93,40.93,39.22,39.68,14930
2018-04-17,37.01,39.79,36.95,38.6,16600
2018-04-18,39.68,39.68,38.6,38.94,3100
2018-04-19,37.01,38.65,36.38,37.52,7304
2018-04-20,37.23,38.37,36.95,37.8,9200
2018-04-23,36.95,37.52,36.38,36.66,11100
2018-04-24,35.81,36.89,34.96,36.89,16500
2018-04-26,36.95,36.95,35.24,36.89,810
2018-04-27,36.89,37.52,36.89,37.23,3604
2018-05-02,36.55,38.09,36.38,38.03,3709
2018-05-03,37.52,37.63,37.52,37.63,2000
2018-05-04,37.52,37.8,37.18,37.52,4000
2018-05-07,36.38,37.52,36.1,37.52,7540
2018-05-08,36.66,37.52,36.27,37.52,9400
2018-05-09,36.66,38.6,36.66,38.09,3000
2018-05-10,37.97,37.97,36.66,37.46,3800
2018-05-11,36.38,38.09,35.81,38.09,1100
2018-05-14,38.09,38.09,38.09,38.09,0
2018-05-15,34.28,37.52,34.28,37.23,16370
2018-05-16,36.38,37.63,36.38,37.63,400
2018-05-17,36.95,37.23,36.72,37.23,4360
2018-05-18,36.95,36.95,35.02,36.44,2130
2018-05-21,36.38,36.38,35.24,35.81,22700
2018-05-22,36.1,36.38,35.24,35.24,11452
2018-05-23,35.81,36.38,35.53,36.32,4900
2018-05-24,36.38,36.66,35.81,36.66,2570
2018-05-25,36.38,36.89,35.81,36.89,6360
2018-05-28,36.38,37.18,35.36,36.38,16650
2018-05-29,35.81,38.03,34.73,38.03,4610
2018-05-30,37.86,37.86,37.86,37.86,380
2018-05-31,37.52,38.26,37.52,38.26,16470
2018-06-01,38.09,39.51,38.09,39.51,5440
2018-06-04,39.79,42.63,39.79,42.07,3350
2018-06-05,40.93,40.99,40.81,40.93,3520
2018-06-06,40.36,40.93,39.79,39.79,3610
2018-06-07,40.08,41.5,40.08,41.5,14960
2018-06-08,41.5,43.77,41.5,43.77,20400
2018-06-11,43.77,46.61,43.77,45.48,24140
2018-06-12,44.91,45.76,43.2,45.7,16950
2018-06-13,45.48,47.47,45.48,46.61,18520
2018-06-14,45.76,47.12,45.76,46.1,3110
2018-06-15,45.76,46.33,45.19,46.33,7850
2018-06-18,46.33,47.52,45.48,45.48,7100
2018-06-19,43.2,44.91,41.21,44.91,15300
2018-06-20,44.05,44.05,42.07,42.63,2710
2018-06-21,42.63,43.43,42.63,43.37,10942
2018-06-22,43.2,44.62,43.2,44.51,15460
2018-06-25,44.51,45.36,44.51,45.13,16130
2018-06-26,44.62,45.48,44.62,45.48,3802
2018-06-27,44.91,46.61,44.91,46.04,29150
2018-06-28,44.96,45.19,43.49,44.91,2500
2018-06-29,44.91,44.91,44.62,44.68,2800
2018-07-02,42.63,44.34,42.63,43.77,1500
2018-07-03,44.34,44.34,44.34,44.34,201
2018-07-04,44.23,44.23,40.93,43.49,3312
2018-07-05,40.99,42.63,39.79,42.63,1800
2018-07-06,42.63,42.63,42.63,42.63,18
2018-07-09,39.79,39.79,39.79,39.79,300
2018-07-10,37.01,39.45,36.15,39.45,5401
2018-07-11,37.52,37.52,37.52,37.52,2000
2018-07-12,38.65,38.65,38.03,38.03,1400
2018-07-13,36.44,37.8,34.68,36.27,14162
2018-07-16,37.52,38.09,36.38,36.95,3300
2018-07-17,37.52,37.52,36.89,36.89,1015
2018-07-18,37.46,37.52,35.81,36.89,5030
2018-07-19,36.27,36.38,35.53,36.38,3550
2018-07-20,35.24,35.53,34.68,35.53,14014
2018-07-23,34.68,36.04,34.68,34.68,3827
2018-07-24,34.39,34.68,34.11,34.68,3160
2018-07-25,34.68,35.81,34.68,35.47,3300
2018-07-26,34.68,36.66,34.68,36.66,2501
2018-07-27,34.96,36.66,34.96,35.81,2920
2018-07-30,35.24,36.38,35.24,35.53,4900
2018-07-31,35.24,35.81,34.11,34.96,17600
2018-08-01,34.68,35.53,34.68,35.53,3900
2018-08-02,35.47,35.81,35.24,35.24,2180
2018-08-03,36.61,36.61,36.61,36.61,103
2018-08-06,35.81,35.81,35.53,35.53,700
2018-08-07,34.68,35.24,34.68,35.24,2210
2018-08-08,35.53,35.81,35.02,35.81,3300
2018-08-09,35.24,36.38,34.68,36.1,5820
2018-08-10,35.81,36.1,35.24,35.81,8800
2018-08-13,35.53,35.81,34.68,35.7,7200
2018-08-14,36.38,36.38,36.15,36.15,670
2018-08-15,35.24,36.15,35.24,36.15,1508
2018-08-16,36.04,36.15,36.04,36.15,2200
2018-08-17,36.1,38.09,35.81,36.95,28324
2018-08-20,36.95,37.8,36.95,37.8,9750
2018-08-21,37.8,38.37,36.95,36.95,7120
2018-08-22,36.95,37.23,36.27,36.27,16900
2018-08-23,36.38,37.23,36.27,37.23,11100
2018-08-24,36.38,36.66,35.81,36.66,1230
2018-08-27,36.66,36.95,36.38,36.66,1600
2018-08-28,37.52,38.65,37.52,38.09,23480
2018-08-29,38.09,38.37,37.8,37.8,2300
2018-08-30,37.8,37.8,37.52,37.8,2782
2018-08-31,36.95,37.52,35.81,37.52,5000
2018-09-04,37.52,37.8,36.66,37.74,7300
2018-09-05,37.74,37.8,36.38,37.23,4760
2018-09-06,37.23,37.52,37.23,37.52,1100
2018-09-07,35.87,36.66,35.87,36.66,1160
2018-09-10,36.38,36.66,35.81,35.81,2100
2018-09-11,36.38,36.66,35.24,36.27,8400
2018-09-12,36.38,36.49,35.53,36.38,4250
2018-09-13,36.38,40.02,36.38,40.02,50334
2018-09-14,40.19,42.12,40.19,41.84,38186
2018-09-17,41.61,41.61,39.51,39.79,7600
2018-09-18,39.22,39.22,37.52,38.6,20174
2018-09-19,38.6,39.11,37.52,39.11,4835
2018-09-20,38.65,38.65,37.92,38.65,2424
2018-09-21,38.09,38.2,36.32,36.38,9060
2018-09-24,36.38,36.95,35.81,36.95,6800
2018-09-25,36.95,37.52,36.95,37.52,2300
2018-09-26,37.52,37.52,36.66,36.66,2502
2018-09-27,36.15,36.38,35.24,36.1,15442
2018-09-28,35.81,36.1,35.53,36.1,8702
2018-10-01,35.81,36.1,35.81,36.04,2840
2018-10-02,36.1,37.23,36.1,37.23,7900
2018-10-03,37.52,38.65,37.52,37.92,11501
2018-10-04,38.65,38.65,37.8,38.09,11048
2018-10-05,37.63,38.09,37.57,37.74,6600
2018-10-08,37.69,37.92,37.57,37.92,4750
2018-10-09,38.09,40.36,38.09,39.79,18245
2018-10-10,39.22,41.5,39.22,39.79,32314
2018-10-11,38.09,38.09,36.84,38.03,7700
2018-10-12,38.65,38.65,37.52,38.09,1735
2018-10-15,41.33,41.33,38.14,38.2,9610
2018-10-16,38.2,40.64,38.2,40.36,6864
2018-10-17,40.36,40.93,40.36,40.93,8136
2018-10-18,41.44,41.95,39.96,40.93,10319
2018-10-19,40.93,40.93,39.17,39.22,3800
2018-10-22,39.22,40.02,38.65,38.65,3914
2018-10-23,38.6,38.6,37.06,38.6,7300
2018-10-24,37.8,37.8,37.69,37.8,3410
2018-10-25,37.52,39.05,37.52,39.05,9300
2018-10-26,38.37,38.65,37.8,37.8,3050
2018-10-29,37.57,37.63,37.52,37.63,900
2018-10-30,37.4,38.03,36.95,38.03,2000
2018-10-31,38.54,38.54,36.95,38.09,1550
2018-11-01,36.95,37.46,36.38,37.46,2618
2018-11-02,35.87,37.46,35.87,37.46,15750
2018-11-05,36.49,37.23,36.49,36.55,3280
2018-11-06,36.38,36.95,36.21,36.78,14637
2018-11-07,35.81,36.66,35.81,36.15,11330
2018-11-08,36.1,36.1,35.98,35.98,1630
2018-11-09,35.98,36.55,35.53,35.53,9500
2018-11-12,35.24,35.58,34.96,35.58,1000
2018-11-13,35.36,35.36,35.24,35.24,600
2018-11-14,34.68,35.24,34.11,35.24,12296
2018-11-15,34.68,35.24,34.68,35.24,1300
2018-11-16,34.68,35.24,34.68,35.24,300
2018-11-19,34.28,35.24,34.11,35.24,9405
2018-11-20,34.11,34.16,33.6,33.6,7500
2018-11-21,33.54,33.6,33.03,33.03,4100
2018-11-22,33.03,33.03,29.73,29.73,41739
2018-11-23,28.42,28.42,27.29,28.42,31540
2018-11-26,28.42,28.99,27.85,28.99,5600
2018-11-27,28.42,29.56,27.63,28.42,9240
2018-11-28,27.63,28.2,27.29,28.2,9700
2018-11-29,27.57,27.85,27.34,27.51,3236
2018-11-30,27.51,27.51,26.72,26.72,5004
2018-12-03,26.72,27.51,26.72,27.51,6460
2018-12-04,27.51,30.24,27.51,28.59,6704
2018-12-05,28.59,30.58,28.59,30.13,16868
2018-12-06,30.13,30.41,30.13,30.13,3700
2018-12-07,30.13,30.98,30.13,30.87,5700
2018-12-10,30.13,30.87,30.13,30.13,5010
2018-12-11,29.56,29.84,29.1,29.84,1570
2018-12-12,30.81,30.81,30.58,30.58,405
2018-12-13,30.58,30.58,30.01,30.13,11600
2018-12-14,30.13,30.41,29.9,30.41,5100
2018-12-17,30.41,30.41,29.67,29.84,21525
2018-12-18,29.9,29.9,29.56,29.9,4320
2018-12-19,30.14,30.2,28.93,30.2,1000
2018-12-20,30.2,30.2,30.2,30.2,100
2018-12-21,28.69,28.69,28.69,28.69,520
2018-12-24,28.63,30.14,28.33,28.63,4000
2018-12-25,28.33,28.57,28.15,28.57,1300
2018-12-26,27.49,30.14,27.37,30.14,3740
2018-12-27,29.24,30.14,29.24,30.14,610
2018-12-28,30.14,30.44,29.24,30.26,2420
2019-01-02,29.84,29.84,28.93,28.93,753
2019-01-03,28.93,29.84,27.73,29.84,3500
2019-01-04,28.33,29.18,28.33,29.18,500
2019-01-07,29.18,30.14,29.18,29.18,1253
2019-01-08,29.3,30.14,29.3,30.02,11200
2019-01-09,30.02,30.44,29.84,30.44,10310
2019-01-10,30.44,30.44,30.44,30.44,0
2019-01-11,30.14,30.32,29.54,30.32,500
2019-01-14,30.32,30.32,30.32,30.32,200
2019-01-15,30.14,31.1,30.14,30.74,14500
2019-01-16,31.04,31.53,30.74,31.1,16500
2019-01-17,30.74,31.35,30.74,31.35,3611
2019-01-18,30.44,31.23,30.14,31.23,10120
2019-01-21,31.23,31.23,28.93,29.54,5500
2019-01-22,28.81,29.18,26.95,28.75,10500
2019-01-23,28.51,28.51,27.13,27.49,14000
2019-01-24,27.67,28.33,27.67,28.33,2100
2019-01-25,26.82,27.79,26.34,26.34,9580
2019-01-28,24.78,27.61,24.78,27.01,6200
2019-01-29,25.32,27.73,25.32,27.73,2200
2019-01-30,27.43,27.43,25.92,26.95,2600
2019-01-31,27.13,27.25,27.07,27.07,1620
2019-02-01,25.68,26.95,25.62,26.95,700
2019-02-11,26.95,26.95,26.7,26.7,2220
2019-02-12,27.61,27.61,25.74,25.74,1200
2019-02-13,26.7,26.7,26.4,26.4,1700
2019-02-14,26.4,27.13,26.4,26.89,1760
2019-02-15,26.89,27.97,26.89,27.97,976
2019-02-18,27.73,29.54,27.73,29.54,1683
2019-02-19,29.84,29.84,28.33,28.51,2102
2019-02-20,28.51,29.54,28.51,28.57,7200
2019-02-21,29.54,29.54,28.33,28.63,6000
2019-02-22,27.73,28.93,27.73,28.63,3200
2019-02-25,29.24,29.24,28.09,28.63,3010
2019-02-26,28.33,28.57,27.73,28.57,9110
2019-02-27,27.85,27.85,27.73,27.73,5800
2019-02-28,27.73,28.21,27.73,27.91,27424
2019-03-01,28.33,30.68,28.33,30.68,16150
2019-03-04,29.54,32.55,29.54,31.77,15220
2019-03-05,31.83,31.83,29.0,30.2,15210
2019-03-06,31.35,32.25,30.26,32.01,15235
2019-03-07,31.95,35.14,31.95,34.96,44522
2019-03-08,34.36,34.96,33.76,34.66,22890
2019-03-11,34.66,35.57,33.76,35.57,11955
2019-03-12,35.26,36.53,35.14,36.47,10600
2019-03-13,36.35,36.77,35.57,36.17,6085
2019-03-14,35.69,35.69,35.32,35.32,9795
2019-03-15,35.32,35.45,33.76,35.45,14400
2019-03-18,35.26,35.57,34.12,34.24,11404
2019-03-19,33.82,34.96,33.76,34.3,4200
2019-03-20,34.36,35.38,34.36,35.38,2520
2019-03-21,35.38,35.38,33.76,33.82,2800
2019-03-22,34.36,34.36,34.36,34.36,520
2019-03-25,33.76,34.3,32.85,33.76,11510
2019-03-26,32.55,34.36,32.55,34.0,5148
2019-03-27,33.76,33.76,33.76,33.76,600
2019-03-28,33.52,33.76,33.52,33.7,856
2019-03-29,32.55,33.7,32.55,32.55,5010
2019-04-01,33.64,33.64,33.64,33.64,101
2019-04-02,33.58,33.58,32.07,32.07,3100
2019-04-03,32.07,32.07,32.07,32.07,0
2019-04-04,32.25,32.55,31.35,32.01,5299
2019-04-05,31.35,32.01,30.74,32.01,1900
2019-04-08,31.35,31.89,30.5,31.89,18100
2019-04-09,31.35,31.65,30.5,31.29,19800
