time,open,high,low,close,volume
2018-01-02,5.09,5.09,5.09,5.09,0
2018-01-03,5.09,5.09,5.09,5.09,0
2018-01-04,5.09,5.09,5.09,5.09,100
2018-01-05,5.44,5.44,5.29,5.29,300
2018-01-08,5.34,5.59,5.34,5.39,1000
2018-01-09,5.39,5.39,5.39,5.39,0
2018-01-10,5.69,5.69,5.69,5.69,1110
2018-01-11,5.69,5.74,5.69,5.69,11750
2018-01-12,5.54,5.99,5.54,5.99,200
2018-01-15,5.94,5.94,5.88,5.88,500
2018-01-16,5.83,5.83,5.72,5.72,2200
2018-01-17,5.72,5.72,5.61,5.61,2000
2018-01-18,5.61,5.61,5.61,5.61,1000
2018-01-19,5.61,5.61,5.61,5.61,1000
2018-01-22,5.61,5.61,5.61,5.61,0
2018-01-23,5.61,5.61,5.61,5.61,0
2018-01-24,5.61,5.61,5.61,5.61,0
2018-01-25,5.61,5.61,5.61,5.61,0
2018-01-26,5.61,5.61,5.61,5.61,5200
2018-01-29,5.61,5.61,5.61,5.61,5000
2018-01-30,5.61,5.61,5.61,5.61,4104
2018-01-31,5.17,5.17,5.17,5.17,100
2018-02-01,5.61,5.61,5.61,5.61,5900
2018-02-02,5.61,5.61,5.61,5.61,0
2018-02-05,5.61,5.61,5.61,5.61,0
2018-02-06,5.61,5.61,5.61,5.61,0
2018-02-07,5.61,5.61,5.61,5.61,50
2018-02-08,5.61,5.61,5.61,5.61,1
2018-02-09,6.16,6.16,6.16,6.16,1105
2018-02-12,6.16,6.16,6.16,6.16,0
2018-02-13,6.16,6.16,6.16,6.16,0
2018-02-21,6.16,6.16,6.16,6.16,0
2018-02-22,6.16,6.16,6.16,6.16,0
2018-02-23,6.16,6.16,6.16,6.16,0
2018-02-26,6.16,6.16,6.16,6.16,0
2018-02-27,6.16,6.16,6.16,6.16,0
2018-02-28,6.16,6.16,6.16,6.16,0
2018-03-01,5.61,5.61,5.61,5.61,9300
2018-03-02,5.17,5.72,5.17,5.72,3500
2018-03-05,5.72,5.72,5.72,5.72,0
2018-03-06,5.72,5.72,5.72,5.72,0
2018-03-07,5.72,5.72,5.72,5.72,200
2018-03-08,5.72,5.72,5.72,5.72,0
2018-03-09,5.72,5.72,5.72,5.72,4000
2018-03-12,5.72,5.72,5.72,5.72,1000
2018-03-13,5.72,5.72,5.72,5.72,0
2018-03-14,5.72,5.72,5.72,5.72,0
2018-03-15,5.72,5.72,5.72,5.72,0
2018-03-16,5.23,5.23,5.17,5.23,11100
2018-03-19,5.23,5.23,5.23,5.23,200
2018-03-20,5.23,5.23,5.23,5.23,0
2018-03-21,5.39,5.39,5.39,5.39,500
2018-03-22,5.39,5.39,5.39,5.39,0
2018-03-23,5.45,5.45,5.45,5.45,500
2018-03-26,5.56,5.56,5.56,5.56,100
2018-03-27,5.61,5.61,5.61,5.61,400
2018-03-28,5.61,5.61,5.61,5.61,1000
2018-03-29,5.61,5.61,5.61,5.61,0
2018-03-30,5.61,5.61,5.61,5.61,0
2018-04-02,5.61,5.61,5.61,5.61,0
2018-04-03,5.45,5.45,5.45,5.45,200
2018-04-04,5.45,5.45,5.45,5.45,100
