time,open,high,low,close,volume
2018-01-02,12.79,12.79,12.63,12.63,500
2018-01-03,12.79,12.79,12.79,12.79,4400
2018-01-04,12.55,12.71,11.19,11.19,26700
2018-01-05,12.07,13.18,11.59,11.67,24000
2018-01-08,11.67,11.67,11.35,11.35,1700
2018-01-09,11.59,11.91,11.59,11.91,8600
2018-01-10,11.83,13.26,11.83,13.26,80100
2018-01-11,15.02,15.1,14.78,14.86,35200
2018-01-12,14.86,14.86,13.42,13.58,6600
2018-01-15,13.58,14.38,12.47,14.22,18700
2018-01-16,14.3,14.3,12.71,12.79,2800
2018-01-17,12.94,12.94,11.59,12.86,11100
2018-01-18,12.63,12.63,12.63,12.63,0
2018-01-19,12.47,13.66,12.47,13.58,13500
2018-01-22,13.58,13.58,12.71,12.71,3900
2018-01-23,13.34,13.58,12.79,12.79,3600
2018-01-24,12.39,12.39,12.15,12.23,3500
2018-01-25,12.79,12.79,11.99,11.99,9100
2018-01-26,12.31,12.31,12.23,12.31,4000
2018-01-29,12.79,12.94,12.79,12.79,12100
2018-01-30,12.39,12.39,11.91,12.39,3000
2018-01-31,13.58,13.58,11.99,12.79,1400
2018-02-01,12.07,12.07,11.99,11.99,2400
2018-02-02,12.39,12.39,11.99,11.99,700
2018-02-05,11.67,11.67,11.67,11.67,200
2018-02-06,11.19,11.19,11.19,11.19,1000
2018-02-07,11.99,11.99,11.83,11.99,2600
2018-02-08,11.83,11.83,11.83,11.83,1000
2018-02-09,12.79,12.79,12.79,12.79,1200
2018-02-12,12.79,12.79,12.79,12.79,1400
2018-02-13,12.79,12.79,12.79,12.79,100
2018-02-21,11.59,11.59,11.59,11.59,600
2018-02-22,11.99,11.99,11.83,11.83,1200
2018-02-23,12.79,12.79,12.79,12.79,100
2018-02-26,13.1,13.1,12.79,12.79,490
2018-02-27,11.27,11.83,11.19,11.83,2100
2018-02-28,12.86,12.86,11.35,11.35,1100
2018-03-01,12.39,12.39,12.39,12.39,1000
2018-03-02,12.63,12.63,12.63,12.63,100
2018-03-05,12.63,12.63,12.63,12.63,0
2018-03-06,11.35,11.99,11.35,11.99,1400
2018-03-07,11.43,11.43,11.43,11.43,1300
2018-03-08,12.23,12.63,12.23,12.23,7700
2018-03-09,12.23,12.23,12.23,12.23,0
2018-03-12,11.99,11.99,11.59,11.59,6100
2018-03-13,12.39,12.39,12.39,12.39,100
2018-03-14,12.39,12.39,12.39,12.39,0
2018-03-15,12.39,12.39,12.39,12.39,0
2018-03-16,12.23,12.23,12.23,12.23,400
2018-03-19,12.23,12.23,12.23,12.23,0
2018-03-20,12.23,12.23,12.23,12.23,0
2018-03-21,12.15,12.23,11.99,11.99,4600
2018-03-22,12.79,12.79,12.23,12.23,4015
2018-03-23,11.99,11.99,11.99,11.99,400
2018-03-26,11.99,11.99,11.99,11.99,0
2018-03-27,11.99,11.99,11.99,11.99,15
2018-03-28,11.99,11.99,11.99,11.99,0
2018-03-29,11.83,11.83,11.83,11.83,1800
2018-03-30,12.55,12.55,12.55,12.55,300
2018-04-02,12.55,12.55,12.55,12.55,0
2018-04-03,12.55,12.55,12.55,12.55,0
2018-04-04,12.55,12.55,12.55,12.55,0
2018-04-05,11.35,11.35,10.79,11.03,51900
2018-04-06,10.63,11.03,10.63,10.87,300
2018-04-09,12.31,12.31,9.99,11.91,400
2018-04-10,10.79,11.03,10.39,11.03,9700
2018-04-11,10.55,10.55,10.55,10.55,0
2018-04-12,11.03,11.03,10.79,10.79,800
2018-04-13,10.87,10.87,10.39,10.79,3000
2018-04-16,10.63,10.63,10.63,10.63,100
2018-04-17,10.63,11.19,10.63,11.19,4100
2018-04-18,10.87,10.95,10.87,10.95,300
