time,open,high,low,close,volume
2018-01-02,10.0,10.0,10.0,10.0,0
2018-01-03,10.0,10.0,10.0,10.0,0
2018-01-04,10.0,10.0,10.0,10.0,0
2018-01-05,9.2,9.2,9.2,9.2,1300
2018-01-08,9.2,9.2,9.2,9.2,0
2018-01-09,9.2,9.2,9.2,9.2,0
2018-01-10,9.2,9.2,9.2,9.2,0
2018-01-11,9.2,9.2,9.2,9.2,0
2018-01-12,9.2,9.2,9.2,9.2,100
2018-01-15,9.2,9.2,9.2,9.2,0
2018-01-16,9.2,9.2,9.2,9.2,0
2018-01-17,9.2,9.2,9.2,9.2,0
2018-01-18,9.2,9.2,9.2,9.2,0
2018-01-19,9.2,9.2,9.2,9.2,0
2018-01-22,9.2,9.2,9.2,9.2,0
2018-01-23,9.2,9.2,9.2,9.2,0
2018-01-24,9.2,9.2,9.2,9.2,0
2018-01-25,9.2,9.2,9.2,9.2,0
2018-01-26,9.2,9.2,9.2,9.2,0
2018-01-29,9.2,9.2,9.2,9.2,0
2018-01-30,9.2,9.2,9.2,9.2,0
2018-01-31,9.2,9.2,9.2,9.2,0
2018-02-01,9.2,9.2,9.2,9.2,0
2018-02-02,8.8,8.8,8.7,8.7,700
2018-02-05,8.8,8.8,8.8,8.8,0
2018-02-06,8.8,8.8,8.8,8.8,0
2018-02-07,8.8,8.8,8.8,8.8,0
2018-02-08,8.8,8.8,8.8,8.8,0
2018-02-09,8.8,8.8,8.8,8.8,0
2018-02-12,8.8,8.8,8.8,8.8,0
2018-02-13,8.8,8.8,8.8,8.8,0
2018-02-21,8.8,8.8,8.8,8.8,0
2018-02-22,8.8,8.8,8.8,8.8,0
2018-02-23,8.8,8.8,8.8,8.8,0
2018-02-26,8.8,8.8,8.8,8.8,0
2018-02-27,8.8,8.8,8.8,8.8,0
2018-02-28,8.8,8.8,8.8,8.8,0
2018-03-01,8.8,8.8,8.8,8.8,0
2018-03-02,8.8,8.8,8.8,8.8,0
2018-03-05,8.8,8.8,8.8,8.8,0
2018-03-06,8.8,8.8,8.8,8.8,0
2018-03-07,8.8,8.8,8.8,8.8,0
2018-03-08,8.8,8.8,8.8,8.8,0
2018-03-09,8.8,8.8,8.8,8.8,0
2018-03-12,8.8,8.8,8.8,8.8,0
2018-03-13,8.8,8.8,8.8,8.8,0
2018-03-14,8.8,8.8,8.8,8.8,0
2018-03-15,8.8,8.8,8.8,8.8,0
2018-03-16,8.8,8.8,8.8,8.8,0
2018-03-19,8.8,8.8,8.8,8.8,0
2018-03-20,8.8,8.8,8.8,8.8,0
2018-03-21,8.8,8.8,8.8,8.8,0
2018-03-22,8.8,8.8,8.8,8.8,0
2018-03-23,8.8,10.1,8.5,8.5,19000
2018-03-26,9.7,9.7,9.7,9.7,0
2018-03-27,9.7,9.7,9.7,9.7,0
2018-03-28,9.7,9.7,9.7,9.7,0
2018-03-29,9.7,9.7,9.7,9.7,0
2018-03-30,8.9,9.0,8.9,9.0,4000
2018-04-02,8.9,8.9,8.9,8.9,0
2018-04-03,8.9,8.9,8.9,8.9,0
2018-04-04,8.9,8.9,8.9,8.9,0
2018-04-05,8.9,8.9,8.9,8.9,0
2018-04-06,8.8,8.8,8.5,8.5,22900
2018-04-09,8.6,8.6,8.6,8.6,0
2018-04-10,8.6,8.6,8.6,8.6,0
2018-04-11,8.6,8.6,8.6,8.6,0
2018-04-12,8.6,8.6,8.6,8.6,0
2018-04-13,9.0,9.0,8.7,8.7,46100
2018-04-16,8.8,8.8,8.8,8.8,0
2018-04-17,8.8,8.8,8.8,8.8,0
2018-04-18,8.8,8.8,8.8,8.8,0
2018-04-19,8.8,8.8,8.8,8.8,0
2018-04-20,8.8,8.8,8.8,8.8,2000
2018-04-23,8.8,8.8,8.8,8.8,0
2018-04-24,8.8,8.8,8.8,8.8,0
2018-04-26,8.8,8.8,8.8,8.8,0
2018-04-27,8.7,8.7,8.6,8.6,2600
2018-05-02,8.7,8.7,8.7,8.7,0
2018-05-03,8.7,8.7,8.7,8.7,0
2018-05-04,8.7,8.8,8.6,8.7,6900
2018-05-07,8.7,8.7,8.7,8.7,0
2018-05-08,8.7,8.7,8.7,8.7,0
2018-05-09,8.7,8.7,8.7,8.7,0
2018-05-10,8.7,8.7,8.7,8.7,0
2018-05-11,8.6,8.7,8.6,8.6,9800
2018-05-14,8.6,8.6,8.6,8.6,0
2018-05-15,8.6,8.6,8.6,8.6,0
2018-05-16,8.6,8.6,8.6,8.6,0
2018-05-17,8.6,8.6,8.6,8.6,0
2018-05-18,8.7,8.8,8.7,8.8,4200
2018-05-21,8.8,8.8,8.8,8.8,0
2018-05-22,8.8,8.8,8.8,8.8,0
2018-05-23,8.8,8.8,8.8,8.8,0
2018-05-24,8.8,8.8,8.8,8.8,0
2018-05-25,9.0,9.4,9.0,9.0,7600
2018-05-28,9.3,9.3,9.3,9.3,0
2018-05-29,9.3,9.3,9.3,9.3,0
2018-05-30,9.3,9.3,9.3,9.3,0
2018-05-31,9.3,9.3,9.3,9.3,0
2018-06-01,9.0,9.0,9.0,9.0,2000
2018-06-04,9.0,9.0,9.0,9.0,0
2018-06-05,9.0,9.0,9.0,9.0,0
2018-06-06,9.0,9.0,9.0,9.0,0
2018-06-07,9.0,9.0,9.0,9.0,0
2018-06-08,9.0,9.2,9.0,9.2,8400
2018-06-11,9.1,9.1,9.1,9.1,0
2018-06-12,9.1,9.1,9.1,9.1,0
2018-06-13,9.1,9.1,9.1,9.1,0
2018-06-14,9.1,9.1,9.1,9.1,0
2018-06-15,9.1,9.1,9.1,9.1,0
2018-06-18,9.1,9.1,9.1,9.1,0
2018-06-19,9.1,9.1,9.1,9.1,0
2018-06-20,9.1,9.1,9.1,9.1,0
2018-06-21,9.1,9.1,9.1,9.1,0
2018-06-22,9.0,9.0,9.0,9.0,5800
2018-06-25,9.0,9.0,9.0,9.0,0
2018-06-26,9.0,9.0,9.0,9.0,0
2018-06-27,9.0,9.0,9.0,9.0,0
2018-06-28,9.0,9.0,9.0,9.0,0
2018-06-29,9.0,9.0,9.0,9.0,4500
2018-07-02,9.0,9.0,9.0,9.0,0
2018-07-03,9.0,9.0,9.0,9.0,0
2018-07-04,9.0,9.0,9.0,9.0,0
2018-07-05,9.0,9.0,9.0,9.0,0
2018-07-06,9.0,9.0,9.0,9.0,0
2018-07-09,9.0,9.0,9.0,9.0,0
2018-07-10,9.0,9.0,9.0,9.0,0
2018-07-11,9.0,9.0,9.0,9.0,0
2018-07-12,9.0,9.0,9.0,9.0,0
2018-07-13,9.0,9.0,9.0,9.0,500
2018-07-16,9.0,9.0,9.0,9.0,0
2018-07-17,9.0,9.0,9.0,9.0,0
2018-07-18,9.0,9.0,9.0,9.0,0
2018-07-19,9.0,9.0,9.0,9.0,0
2018-07-20,8.9,8.9,8.8,8.8,5000
2018-07-23,8.9,8.9,8.9,8.9,0
2018-07-24,8.9,8.9,8.9,8.9,0
2018-07-25,8.9,8.9,8.9,8.9,0
