time,open,high,low,close,volume
2018-01-02,3.5,3.5,3.4,3.4,268390
2018-01-03,3.4,3.6,3.4,3.4,318920
2018-01-04,3.4,3.5,3.3,3.4,384500
2018-01-05,3.4,3.5,3.3,3.4,563700
2018-01-08,3.5,3.6,3.4,3.6,370020
2018-01-09,3.6,3.6,3.4,3.4,307100
2018-01-10,3.4,3.6,3.4,3.5,276200
2018-01-11,3.5,3.6,3.4,3.4,337200
2018-01-12,3.5,3.5,3.3,3.5,235000
2018-01-15,3.5,3.7,3.5,3.6,463612
2018-01-16,3.6,3.7,3.5,3.6,133400
2018-01-17,3.6,3.6,3.4,3.5,173600
2018-01-18,3.5,3.5,3.4,3.5,290100
2018-01-19,3.4,3.5,3.3,3.4,176900
2018-01-22,3.5,3.5,3.3,3.4,414010
2018-01-23,3.4,3.5,3.2,3.3,307200
2018-01-24,3.3,3.3,3.3,3.3,207420
2018-01-25,3.3,3.4,3.1,3.2,301400
2018-01-26,3.3,3.3,3.0,3.2,214664
2018-01-29,3.1,3.2,2.9,3.0,268500
2018-01-30,3.0,3.2,2.9,3.2,281650
2018-01-31,3.1,3.1,2.9,3.0,411800
2018-02-01,3.0,3.0,2.7,2.8,779700
2018-02-02,2.9,2.9,2.6,2.6,400500
2018-02-05,2.6,2.6,2.4,2.5,630600
2018-02-06,2.4,2.5,2.3,2.5,466215
2018-02-07,2.5,2.6,2.5,2.5,363610
2018-02-08,2.5,2.6,2.4,2.6,365400
2018-02-09,2.5,2.8,2.4,2.8,1246304
2018-02-12,3.0,3.0,2.9,3.0,317900
2018-02-13,3.2,3.2,3.0,3.0,220510
2018-02-21,2.9,3.1,2.9,3.1,337622
2018-02-22,3.0,3.2,2.9,3.1,321600
2018-02-23,3.1,3.1,2.9,3.0,91300
2018-02-26,3.0,3.1,2.9,3.0,185500
2018-02-27,3.0,3.0,2.9,3.0,70200
2018-02-28,3.0,3.0,2.8,2.8,180500
2018-03-01,2.9,2.9,2.7,2.7,106400
2018-03-02,2.7,2.9,2.7,2.9,162650
2018-03-05,2.9,3.1,2.9,3.0,394100
2018-03-06,3.0,3.0,2.9,2.9,188400
2018-03-07,2.9,3.1,2.9,2.9,187870
2018-03-08,2.9,3.0,2.8,2.9,115540
2018-03-09,2.8,3.0,2.8,2.9,128600
2018-03-12,2.8,2.9,2.7,2.8,369100
2018-03-13,2.9,2.9,2.7,2.7,87300
2018-03-14,2.7,2.9,2.7,2.9,363335
2018-03-15,3.0,3.0,2.8,2.8,269000
2018-03-16,2.8,2.9,2.7,2.9,231400
2018-03-19,2.8,2.9,2.7,2.7,343530
2018-03-20,2.7,2.8,2.6,2.7,208500
2018-03-21,2.6,2.7,2.6,2.7,306800
2018-03-22,2.7,2.7,2.6,2.7,165100
2018-03-23,2.7,2.9,2.5,2.6,485100
2018-03-26,2.7,2.7,2.5,2.6,66100
2018-03-27,2.7,2.7,2.5,2.5,279600
2018-03-28,2.5,2.7,2.5,2.7,130900
2018-03-29,2.6,2.7,2.5,2.6,36800
2018-03-30,2.5,2.7,2.5,2.6,133000
2018-04-02,2.6,2.6,2.5,2.6,173000
2018-04-03,2.5,2.5,2.4,2.5,964100
2018-04-04,2.5,2.5,2.3,2.4,57900
2018-04-05,2.4,2.5,2.3,2.3,70000
2018-04-06,2.4,2.5,2.3,2.4,250380
2018-04-09,2.4,2.5,2.3,2.5,183300
