time,open,high,low,close,volume
2018-01-02,4.18,4.48,4.18,4.48,200
2018-01-03,4.67,4.67,4.67,4.67,100
2018-01-04,4.28,4.28,4.28,4.28,2000
2018-01-05,4.28,4.28,4.28,4.28,13100
2018-01-08,4.38,4.57,4.38,4.57,2900
2018-01-09,4.57,4.57,4.57,4.57,100
2018-01-10,4.77,4.77,4.77,4.77,1900
2018-01-11,4.57,4.86,4.57,4.86,3600
2018-01-12,4.57,4.86,4.57,4.86,300
2018-01-15,4.38,4.96,4.38,4.96,1300
2018-01-16,4.86,5.55,4.86,5.55,19800
2018-01-17,5.64,6.13,5.64,6.13,45300
2018-01-18,6.32,6.32,6.13,6.13,5700
2018-01-19,6.32,6.32,6.13,6.13,800
2018-01-22,5.55,5.55,5.25,5.45,20100
2018-01-23,5.74,5.74,4.77,4.77,7000
2018-01-24,5.45,5.64,5.45,5.64,4000
2018-01-25,5.84,5.84,5.84,5.84,100
2018-01-26,4.96,5.64,4.96,5.64,1200
2018-01-29,5.64,5.64,5.64,5.64,100
2018-01-30,4.86,4.86,4.86,4.86,52700
2018-01-31,4.86,4.86,4.86,4.86,11900
2018-02-01,5.35,5.35,5.35,5.35,500
2018-02-02,4.57,5.35,4.57,5.35,200
2018-02-05,4.67,4.67,4.48,4.48,400
2018-02-06,4.38,4.86,4.18,4.86,105100
2018-02-07,4.38,4.77,4.38,4.77,11500
2018-02-08,5.16,5.35,4.67,5.16,11700
2018-02-09,5.25,5.25,4.96,4.96,3100
2018-02-12,5.45,5.45,5.25,5.35,2800
2018-02-13,5.16,5.25,5.16,5.25,22600
2018-02-21,4.96,4.96,4.96,4.96,700
2018-02-22,4.86,4.86,4.48,4.96,6800
2018-02-23,5.06,5.06,5.06,5.06,500
2018-02-26,5.06,5.06,4.86,5.06,14200
2018-02-27,4.96,5.06,4.96,5.06,6700
2018-02-28,4.96,4.96,4.96,4.96,4300
2018-03-01,5.25,5.25,5.25,5.25,500
2018-03-02,4.48,5.06,4.48,5.06,2800
2018-03-05,4.77,4.77,4.67,4.67,3400
2018-03-06,4.96,4.96,4.96,4.96,100
2018-03-07,5.16,5.16,4.77,4.77,2500
2018-03-08,4.67,4.67,4.48,4.48,4900
2018-03-09,5.06,5.25,4.86,4.86,7100
2018-03-12,5.25,5.25,5.25,5.25,1300
2018-03-13,4.57,5.16,4.57,5.16,400
2018-03-14,4.77,4.96,4.67,4.86,4900
2018-03-15,4.77,5.16,4.67,5.16,5000
2018-03-16,4.86,4.86,4.86,4.86,200
2018-03-19,5.55,5.55,5.25,5.35,1500
2018-03-20,4.86,5.06,4.86,5.06,3000
2018-03-21,5.25,5.25,5.25,5.25,100
2018-03-22,5.35,5.35,5.35,5.35,1000
2018-03-23,5.45,5.45,5.45,5.45,100
2018-03-26,4.86,5.25,4.86,5.25,2615
2018-03-27,4.86,4.86,4.86,4.86,0
2018-03-28,4.86,4.86,4.86,4.86,1900
2018-03-29,4.86,4.86,4.86,4.86,2005
