time,open,high,low,close,volume
2018-01-02,42.95,43.01,39.77,42.42,190
2018-01-03,42.42,44.74,42.42,44.74,220
2018-01-04,45.73,45.73,41.89,41.89,20
2018-01-05,43.08,44.8,43.08,44.8,490
2018-01-08,43.08,43.41,41.75,43.41,210
2018-01-09,46.39,46.39,46.39,46.39,10
2018-01-10,44.41,45.0,43.74,45.0,1600
2018-01-11,43.01,43.01,43.01,43.01,40
2018-01-12,44.94,44.94,44.94,44.94,30
2018-01-15,44.94,47.85,44.94,47.85,460
2018-01-16,47.72,48.38,47.72,48.38,210
2018-01-17,48.38,48.38,48.38,48.38,0
2018-01-18,45.0,45.0,45.0,45.0,460
2018-01-19,47.72,47.72,45.0,47.72,30
2018-01-22,45.07,47.72,45.07,47.72,6920
2018-01-23,47.72,47.72,47.72,47.72,0
2018-01-24,47.72,47.72,47.72,47.72,0
2018-01-25,47.72,48.38,44.41,48.38,10400
2018-01-26,45.73,45.73,45.73,45.73,2090
2018-01-29,47.65,47.65,42.55,42.55,2650
2018-01-30,45.33,45.33,45.33,45.33,10
2018-01-31,42.42,42.55,42.42,42.48,2840
2018-02-01,45.4,45.4,39.57,45.07,5160
2018-02-02,45.07,45.73,45.07,45.73,3960
2018-02-05,43.08,44.41,42.88,43.08,14830
2018-02-06,40.3,42.68,40.16,40.23,900
2018-02-07,42.62,42.75,42.48,42.75,3690
2018-02-08,43.08,45.0,43.08,45.0,20
2018-02-09,45.13,45.13,42.42,43.08,640
2018-02-12,45.4,45.4,43.08,43.08,130
2018-02-13,43.81,45.33,43.81,45.33,110
2018-02-21,45.33,45.33,45.33,45.33,0
2018-02-22,47.32,47.32,47.32,47.32,10
2018-02-23,45.07,45.07,45.07,45.07,5010
2018-02-26,45.07,45.07,45.07,45.07,130
2018-02-27,48.07,48.07,48.07,48.07,10
2018-02-28,45.75,45.75,44.73,44.73,1680
2018-03-01,41.65,46.3,41.65,46.3,6520
2018-03-02,47.8,48.48,46.37,47.12,1120
2018-03-05,43.91,46.77,43.91,46.77,210
2018-03-06,43.57,46.3,43.57,43.7,1790
2018-03-07,43.7,45.41,43.7,45.41,350
2018-03-08,47.39,47.46,45.41,45.41,910
2018-03-09,47.05,47.05,47.05,47.05,10
2018-03-12,47.05,47.05,47.05,47.05,0
2018-03-13,43.91,46.57,43.91,46.57,250
2018-03-14,46.57,46.57,46.57,46.57,0
2018-03-15,43.5,44.38,43.43,44.38,570
2018-03-16,44.38,46.43,44.38,46.43,3040
2018-03-19,44.73,44.73,43.57,44.73,510
2018-03-20,42.4,44.73,42.4,44.73,1510
2018-03-21,45.14,47.12,44.73,46.23,2610
2018-03-22,44.73,44.73,44.73,44.73,420
2018-03-23,44.38,46.57,44.38,46.57,100
2018-03-26,49.71,49.71,44.38,44.38,20
2018-03-27,44.38,47.39,44.38,47.39,240
2018-03-28,47.39,47.39,47.39,47.39,0
2018-03-29,44.45,44.45,44.45,44.45,20
2018-03-30,47.05,47.05,46.98,46.98,30
2018-04-02,45.07,45.07,45.07,45.07,3000
2018-04-03,46.09,46.77,45.07,46.77,1030
2018-04-04,45.41,46.77,45.07,45.07,2110
