time,open,high,low,close,volume
2018-01-02,5.61,5.61,5.61,5.61,0
2018-01-03,5.61,5.61,5.61,5.61,0
2018-01-04,5.61,5.61,5.61,5.61,0
2018-01-05,7.77,7.77,7.77,7.77,400
2018-01-08,7.77,7.77,7.77,7.77,0
2018-01-09,7.77,7.77,7.77,7.77,0
2018-01-10,7.77,7.77,7.77,7.77,0
2018-01-11,7.77,7.77,7.77,7.77,0
2018-01-12,7.77,7.77,7.77,7.77,0
2018-01-15,7.77,7.77,7.77,7.77,0
2018-01-16,7.77,7.77,7.77,7.77,0
2018-01-17,7.77,7.77,7.77,7.77,0
2018-01-18,7.77,7.77,7.77,7.77,0
2018-01-19,7.77,7.77,7.77,7.77,0
2018-01-22,7.77,7.77,7.77,7.77,0
2018-01-23,7.77,7.77,7.77,7.77,0
2018-01-24,7.77,7.77,7.77,7.77,0
2018-01-25,7.77,7.77,7.77,7.77,0
2018-01-26,7.77,7.77,7.77,7.77,0
2018-01-29,7.77,7.77,7.77,7.77,0
2018-01-30,7.77,7.77,7.77,7.77,0
2018-01-31,7.77,7.77,7.77,7.77,0
2018-02-01,7.77,7.77,7.77,7.77,0
2018-02-02,7.77,7.77,7.77,7.77,0
2018-02-05,8.86,8.86,8.86,8.86,1000
2018-02-06,8.86,8.86,8.86,8.86,0
2018-02-07,8.86,8.86,8.86,8.86,0
2018-02-08,8.86,8.86,8.86,8.86,0
2018-02-09,8.86,8.86,8.86,8.86,0
2018-02-12,8.86,8.86,8.86,8.86,0
2018-02-13,8.86,8.86,8.86,8.86,0
2018-02-21,8.86,8.86,8.86,8.86,0
2018-02-22,8.86,8.86,8.86,8.86,0
2018-02-23,8.86,8.86,8.86,8.86,0
2018-02-26,8.86,8.86,8.86,8.86,0
2018-02-27,8.86,8.86,8.86,8.86,0
2018-02-28,8.86,8.86,8.86,8.86,0
2018-03-01,8.86,8.86,8.86,8.86,0
2018-03-02,8.86,8.86,8.86,8.86,0
2018-03-05,8.86,8.86,8.86,8.86,0
2018-03-06,8.86,8.86,8.86,8.86,0
2018-03-07,8.86,8.86,8.86,8.86,0
2018-03-08,8.86,8.86,8.86,8.86,0
2018-03-09,8.86,8.86,8.86,8.86,0
2018-03-12,8.86,8.86,8.86,8.86,0
2018-03-13,8.86,8.86,8.86,8.86,0
2018-03-14,8.86,8.86,8.86,8.86,0
2018-03-15,8.86,8.86,8.86,8.86,0
2018-03-16,8.86,8.86,8.86,8.86,0
2018-03-19,8.86,8.86,8.86,8.86,0
2018-03-20,8.86,8.86,8.86,8.86,0
2018-03-21,8.86,8.86,8.86,8.86,0
2018-03-22,8.86,8.86,8.86,8.86,0
2018-03-23,8.86,8.86,8.86,8.86,0
2018-03-26,8.86,8.86,8.86,8.86,0
2018-03-27,8.86,8.86,8.86,8.86,0
2018-03-28,8.86,8.86,8.86,8.86,0
2018-03-29,8.86,8.86,8.86,8.86,0
2018-03-30,8.86,8.86,8.86,8.86,0
2018-04-02,8.86,8.86,8.86,8.86,0
2018-04-03,8.86,8.86,8.86,8.86,0
2018-04-04,8.86,8.86,8.86,8.86,0
2018-04-05,8.86,8.86,8.86,8.86,0
2018-04-06,8.86,8.86,8.86,8.86,0
