time,open,high,low,close,volume
2018-01-02,8.07,8.07,7.94,7.94,31100
2018-01-03,7.94,7.94,7.88,7.88,63900
2018-01-04,7.88,8.07,7.75,7.94,56720
2018-01-05,7.94,8.0,7.88,7.94,40110
2018-01-08,7.88,7.94,7.88,7.88,12600
2018-01-09,7.81,7.94,7.81,7.88,30600
2018-01-10,7.88,8.07,7.81,7.94,71210
2018-01-11,8.07,8.07,7.81,7.88,44800
2018-01-12,8.07,8.07,7.88,8.07,23100
2018-01-15,7.94,8.0,7.88,7.88,71100
2018-01-16,7.94,8.0,7.94,7.94,33100
2018-01-17,7.88,8.0,7.62,7.69,112900
2018-01-18,7.81,7.94,7.69,7.75,49290
2018-01-19,7.75,8.0,7.75,7.88,24241
2018-01-22,7.94,8.96,7.94,8.51,617200
2018-01-23,8.64,8.83,8.39,8.7,254400
2018-01-24,8.64,8.7,8.26,8.32,98700
2018-01-25,8.26,8.45,8.19,8.26,137900
2018-01-26,8.26,8.77,8.13,8.45,193540
2018-01-29,8.77,8.77,8.45,8.51,157300
2018-01-30,8.58,8.58,8.26,8.32,82300
2018-01-31,8.45,8.51,8.26,8.26,82200
2018-02-01,8.39,8.39,8.13,8.26,235900
2018-02-02,8.39,8.39,8.26,8.39,56960
2018-02-05,8.39,8.39,8.0,8.07,90800
2018-02-06,7.62,8.0,7.62,7.94,95400
2018-02-07,8.16,8.23,8.02,8.09,56224
2018-02-08,8.02,8.09,7.95,7.95,27300
2018-02-09,6.78,7.88,6.78,7.74,41700
2018-02-12,7.74,7.81,7.68,7.81,19216
2018-02-13,7.95,8.23,7.81,7.88,19800
2018-02-21,7.95,8.23,7.74,8.23,40000
2018-02-22,7.81,7.81,7.74,7.88,26900
2018-02-23,7.88,7.95,7.74,7.88,31450
2018-02-26,8.02,8.02,7.88,7.88,32000
2018-02-27,7.95,7.95,7.74,7.88,17600
2018-02-28,7.81,8.02,7.81,7.95,23900
2018-03-01,7.95,7.95,7.81,7.81,23410
2018-03-02,7.88,7.88,7.81,7.88,30800
2018-03-05,7.88,7.88,7.74,7.74,35900
2018-03-06,7.74,7.88,7.68,7.88,47220
2018-03-07,7.74,7.81,7.68,7.81,29900
2018-03-08,7.74,7.81,7.74,7.81,26950
2018-03-09,7.74,7.81,7.68,7.81,22800
2018-03-12,7.74,7.95,7.74,7.88,15000
2018-03-13,7.88,7.95,7.68,7.81,18500
2018-03-14,7.88,8.85,7.88,8.09,82200
2018-03-15,8.16,8.64,8.09,8.37,150200
2018-03-16,8.3,8.44,8.3,8.3,36050
2018-03-19,8.3,8.64,8.3,8.51,145300
2018-03-20,8.44,8.85,8.44,8.85,201450
2018-03-21,8.78,8.78,8.64,8.64,97620
2018-03-22,8.64,8.71,8.57,8.64,116610
2018-03-23,8.64,8.64,8.44,8.57,238580
2018-03-26,8.57,8.64,8.51,8.64,38450
2018-03-27,8.57,8.71,8.57,8.64,99400
2018-03-28,8.64,8.64,8.64,8.64,56100
2018-03-29,8.64,8.71,8.64,8.64,50714
2018-03-30,8.71,8.71,8.64,8.71,44210
2018-04-02,8.64,8.71,8.64,8.64,6700
2018-04-03,8.64,8.71,8.64,8.64,107304
2018-04-04,8.71,8.78,8.71,8.71,24000
2018-04-05,8.64,8.71,8.64,8.71,26100
2018-04-06,8.64,8.99,8.64,8.99,68200
2018-04-09,8.99,9.4,8.99,9.13,72600
2018-04-10,9.27,9.34,9.27,9.27,90900
2018-04-11,9.2,9.27,9.2,9.27,110910
2018-04-12,9.27,9.34,9.2,9.34,27700
2018-04-13,9.2,9.34,9.2,9.27,74500
2018-04-16,9.27,9.89,9.27,9.82,89500
2018-04-17,9.75,9.75,9.61,9.61,56900
2018-04-18,9.54,9.54,9.47,9.47,7800
2018-04-19,9.54,9.54,9.4,9.4,16000
2018-04-20,9.54,9.68,9.54,9.68,38900
2018-04-23,9.06,9.61,8.78,9.61,1238
2018-04-24,9.47,9.47,9.47,9.47,800
2018-04-26,9.06,9.06,8.99,9.06,23200
2018-04-27,8.78,9.13,8.78,8.99,18300
2018-05-02,9.13,9.13,8.92,8.92,24700
2018-05-03,9.13,9.34,9.06,9.34,95924
2018-05-04,9.4,9.82,9.27,9.4,75000
2018-05-07,9.4,9.4,9.13,9.4,21500
2018-05-08,9.27,9.4,9.27,9.4,500
2018-05-09,9.27,9.47,9.27,9.47,10110
2018-05-10,9.47,9.47,9.27,9.34,27700
2018-05-11,9.4,9.4,9.34,9.34,12900
2018-05-14,9.4,9.47,9.34,9.34,4408
2018-05-15,9.4,9.61,9.34,9.54,7100
2018-05-16,9.47,9.61,9.4,9.4,40700
2018-05-17,9.54,9.61,9.54,9.61,21210
2018-05-18,9.54,9.54,9.4,9.47,3200
2018-05-21,9.61,9.61,9.34,9.34,22910
2018-05-22,9.54,9.54,9.27,9.34,8100
2018-05-23,9.4,9.4,9.34,9.4,12100
2018-05-24,9.47,9.47,9.4,9.4,23200
2018-05-25,9.4,9.47,9.27,9.27,17100
2018-05-28,9.4,9.4,8.99,9.34,41910
2018-05-29,9.34,9.47,9.27,9.47,10100
2018-05-30,10.23,10.55,9.17,9.17,25600
2018-05-31,9.66,9.74,9.5,9.5,12800
2018-06-01,9.33,9.58,9.33,9.42,19210
2018-06-04,9.5,9.5,9.42,9.5,32030
2018-06-05,9.42,9.74,9.42,9.5,58400
2018-06-06,9.58,9.9,9.58,9.82,44500
2018-06-07,9.74,9.9,9.74,9.9,14816
2018-06-08,9.9,10.15,9.9,9.9,23900
2018-06-11,9.82,10.15,9.74,10.07,45300
2018-06-12,9.98,9.98,9.9,9.98,30311
2018-06-13,10.15,10.55,9.98,10.55,51417
2018-06-14,10.23,10.31,10.07,10.07,5000
2018-06-15,10.07,10.07,9.98,10.07,10500
2018-06-18,10.07,10.07,9.9,9.9,16900
2018-06-19,9.82,9.82,9.66,9.66,33500
2018-06-20,9.74,10.07,9.74,10.07,34000
2018-06-21,9.74,10.23,9.74,10.23,53000
2018-06-22,10.15,10.15,10.07,10.07,11610
2018-06-25,9.98,9.98,9.98,9.98,1000
2018-06-26,9.9,10.15,9.82,10.15,21800
2018-06-27,10.15,10.15,9.9,9.98,69420
2018-06-28,10.07,10.07,9.98,9.98,71205
2018-06-29,10.07,10.55,9.98,10.55,132700
2018-07-02,9.98,9.98,9.98,9.98,1100
2018-07-03,9.9,9.9,8.93,9.25,15800
2018-07-04,9.74,9.74,9.42,9.66,10600
2018-07-05,9.74,10.07,9.74,9.74,17300
2018-07-06,10.07,10.07,9.74,9.74,3000
2018-07-09,9.9,9.98,9.74,9.82,17201
2018-07-10,9.98,9.98,9.82,9.82,7200
2018-07-11,9.66,9.74,9.66,9.74,7300
2018-07-12,9.9,9.9,9.74,9.74,22100
2018-07-13,9.9,9.9,9.74,9.74,5700
2018-07-16,9.74,9.74,9.74,9.74,3100
2018-07-17,9.82,9.82,9.74,9.82,71600
2018-07-18,9.9,10.15,9.9,9.98,18900
2018-07-19,10.15,10.15,10.15,10.15,100
2018-07-20,10.15,10.15,10.15,10.15,0
2018-07-23,10.07,10.07,9.9,0.0,20300
2018-07-24,9.98,9.98,9.9,9.9,3600
2018-07-25,9.98,9.98,9.9,9.9,14000
2018-07-26,9.9,9.9,9.9,9.9,3000
2018-07-27,9.82,9.9,9.82,9.9,24100
2018-07-30,9.98,10.15,9.98,10.15,17700
2018-07-31,10.07,10.55,10.07,10.55,46801
2018-08-01,10.31,10.31,10.23,10.23,4900
2018-08-02,10.07,10.15,10.07,10.15,17600
2018-08-03,10.15,10.15,10.15,10.15,200
2018-08-06,9.98,9.98,9.98,9.98,10000
2018-08-07,9.98,9.98,9.98,9.98,27604
2018-08-08,9.9,9.98,9.9,9.98,32200
2018-08-09,9.9,9.98,9.9,9.98,26100
2018-08-10,9.98,9.98,9.98,9.98,24000
2018-08-13,9.98,9.98,9.98,9.98,7500
2018-08-14,9.98,9.98,9.98,9.98,37500
2018-08-15,9.98,9.98,9.98,9.98,30800
2018-08-16,9.98,9.98,9.9,9.9,9600
2018-08-17,9.98,10.15,9.82,10.15,73100
2018-08-20,10.07,10.07,9.98,9.98,6600
2018-08-21,10.07,10.15,10.07,10.07,42600
2018-08-22,10.15,10.31,10.15,10.31,23300
2018-08-23,10.31,10.39,10.31,10.39,22900
2018-08-24,10.39,10.39,10.39,10.39,0
2018-08-27,10.39,10.55,10.39,10.47,64000
2018-08-28,10.47,10.55,10.47,10.47,11000
2018-08-29,10.47,10.47,10.47,10.47,0
2018-08-30,10.39,10.55,10.23,10.55,15720
2018-08-31,10.31,10.55,10.31,10.55,12200
2018-09-04,10.39,10.39,10.39,10.39,2200
2018-09-05,10.39,10.39,10.39,10.39,0
2018-09-06,10.15,10.39,10.15,10.39,1200
2018-09-07,10.23,10.39,10.23,10.39,33100
2018-09-10,10.31,10.31,10.31,10.31,6701
2018-09-11,10.23,10.31,10.15,10.23,24900
2018-09-12,10.15,10.31,10.15,10.23,28000
2018-09-13,10.23,10.23,10.23,10.23,1000
2018-09-14,10.23,10.55,10.15,10.55,107200
2018-09-17,10.07,10.07,10.07,10.07,3000
2018-09-18,10.07,10.07,10.07,10.07,0
2018-09-19,10.07,10.07,10.07,10.07,200
2018-09-20,10.07,10.23,10.07,10.23,4119
2018-09-21,10.15,10.55,10.15,10.55,42500
2018-09-24,10.47,10.71,10.47,10.71,9200
2018-09-25,10.55,10.71,10.55,10.71,17100
2018-09-26,10.63,11.04,10.63,10.88,25610
2018-09-27,11.36,11.36,10.96,11.36,19400
2018-09-28,10.96,11.28,10.96,11.12,4100
2018-10-01,11.04,11.04,10.55,10.55,22600
2018-10-02,10.96,10.96,10.55,10.55,15300
2018-10-03,10.63,10.88,10.55,10.88,18000
2018-10-04,10.96,10.96,10.96,10.96,100
2018-10-05,10.96,10.96,10.96,10.96,300
2018-10-08,10.96,10.96,10.96,10.96,35400
2018-10-09,10.96,10.96,10.96,10.96,17600
2018-10-10,10.96,11.36,10.96,11.36,51300
2018-10-11,10.96,10.96,10.96,10.96,10200
2018-10-12,10.96,11.12,10.88,10.96,21500
2018-10-15,11.12,11.12,10.8,10.88,15500
2018-10-16,11.2,11.2,11.04,11.04,8300
2018-10-17,11.28,11.61,11.28,11.53,36500
2018-10-18,11.53,11.61,11.44,11.61,16500
2018-10-19,11.53,11.85,11.53,11.85,22000
2018-10-22,11.85,11.85,11.61,11.61,21100
2018-10-23,11.61,11.85,11.61,11.61,73000
2018-10-24,11.53,11.61,11.53,11.61,1500
2018-10-25,11.36,11.69,11.36,11.53,18000
2018-10-26,11.36,11.36,11.36,11.36,2700
2018-10-29,11.36,11.36,10.96,11.2,2000
2018-10-30,11.28,11.53,11.28,11.53,900
2018-10-31,11.36,11.44,11.28,11.44,14000
2018-11-01,11.36,11.36,11.36,11.36,1800
2018-11-02,11.36,11.44,11.28,11.28,12500
2018-11-05,11.36,11.36,11.36,11.36,1000
2018-11-06,11.36,11.36,11.36,11.36,6200
2018-11-07,11.36,11.36,11.28,11.28,3746
2018-11-08,11.53,11.61,11.36,11.53,9500
2018-11-09,11.36,11.36,11.36,11.36,3600
2018-11-12,11.36,11.36,11.36,11.36,13300
2018-11-13,11.36,11.36,11.28,11.28,2000
2018-11-14,11.44,11.44,11.44,11.44,102
2018-11-15,11.44,11.44,11.44,11.44,0
2018-11-16,11.44,11.44,11.36,11.36,1284
2018-11-19,11.36,11.36,11.36,11.36,100
2018-11-20,11.36,11.36,11.36,11.36,24800
2018-11-21,11.36,11.36,11.36,11.36,101
2018-11-22,11.36,11.36,11.36,11.36,1027
2018-11-23,11.36,11.36,10.96,11.36,11500
2018-11-26,11.36,11.36,11.36,11.36,4200
2018-11-27,11.36,11.44,11.28,11.44,5900
2018-11-28,11.36,11.44,11.44,11.44,0
2018-11-29,11.28,11.28,11.28,11.28,8600
2018-11-30,11.36,11.77,11.36,11.77,1401
2018-12-03,11.44,11.53,11.36,11.53,5810
2018-12-04,11.77,12.09,11.77,12.01,33400
2018-12-05,12.18,12.18,11.61,11.61,6241
2018-12-06,11.69,11.69,11.69,11.69,9016
2018-12-07,11.77,11.77,11.77,11.77,2309
2018-12-10,11.77,12.01,11.77,12.01,2510
2018-12-11,12.09,12.34,12.09,12.09,4900
2018-12-12,12.09,12.09,12.01,12.09,6702
2018-12-13,12.18,12.18,12.09,12.09,601
