time,open,high,low,close,volume
2018-01-02,3.71,3.76,3.71,3.76,40120
2018-01-03,3.76,3.76,3.71,3.71,93390
2018-01-04,3.71,3.82,3.66,3.82,189640
2018-01-05,3.82,3.82,3.76,3.76,35350
2018-01-08,3.76,3.87,3.76,3.87,87572
2018-01-09,3.87,3.87,3.82,3.82,65140
2018-01-10,3.82,3.82,3.76,3.76,129610
2018-01-11,3.71,3.82,3.71,3.82,124350
2018-01-12,3.87,4.15,3.87,4.04,248610
2018-01-15,4.09,4.36,4.04,4.36,274880
2018-01-16,4.36,4.36,4.26,4.36,243400
2018-01-17,4.36,4.36,4.09,4.09,129214
2018-01-18,4.04,4.2,3.87,4.2,90566
2018-01-19,3.98,4.26,3.98,4.26,35800
2018-01-22,4.2,4.36,4.09,4.36,142980
2018-01-23,4.36,4.8,4.36,4.69,379790
2018-01-24,4.69,4.69,4.36,4.64,45818
2018-01-25,4.53,4.58,4.36,4.47,128143
2018-01-26,4.31,4.36,4.26,4.36,104100
2018-01-29,4.31,4.31,4.2,4.2,66680
2018-01-30,4.2,4.47,4.2,4.36,46800
2018-01-31,4.36,4.42,4.26,4.42,43930
2018-02-01,4.36,4.42,4.31,4.36,81900
2018-02-02,4.26,4.36,4.26,4.36,7200
2018-02-05,4.31,4.31,4.2,4.26,72270
2018-02-06,3.93,4.04,3.87,4.04,133960
2018-02-07,4.15,4.26,4.09,4.2,44530
2018-02-08,4.2,4.26,4.2,4.26,9320
2018-02-09,4.04,4.2,3.93,4.2,48920
2018-02-12,4.2,4.31,4.15,4.31,12800
2018-02-13,4.15,4.47,4.15,4.47,51911
2018-02-21,4.15,4.47,4.04,4.42,21500
2018-02-22,4.36,4.36,4.2,4.31,23200
2018-02-23,4.26,4.31,4.15,4.26,56010
2018-02-26,4.26,4.36,4.2,4.36,24600
2018-02-27,4.36,4.53,4.36,4.53,157840
2018-03-09,5.18,5.19,4.91,5.07,565440
2018-03-12,5.24,5.24,5.02,5.02,229670
2018-03-13,4.99,5.13,4.86,5.13,135960
2018-03-14,5.13,5.13,4.86,4.91,165630
2018-03-15,4.86,4.86,4.69,4.75,163520
2018-03-16,4.69,4.8,4.66,4.69,55300
2018-03-19,4.69,4.91,4.69,4.86,145970
2018-03-20,4.86,4.86,4.77,4.86,93410
2018-03-21,4.91,4.91,4.69,4.8,21860
2018-03-22,4.69,4.86,4.69,4.69,41510
2018-03-23,4.64,4.75,4.53,4.75,72310
2018-03-26,4.64,5.07,4.64,5.07,81050
2018-03-27,5.07,5.07,4.75,4.91,24080
2018-03-28,4.75,5.02,4.75,5.02,14300
2018-03-29,4.97,4.97,4.86,4.91,3480
2018-03-30,4.7,4.91,4.7,4.91,5290
2018-04-02,4.71,4.91,4.71,4.91,4600
