time,open,high,low,close,volume
2018-01-02,3.39,3.55,3.39,3.5,2800
2018-01-03,3.39,3.45,3.29,3.29,11400
2018-01-04,3.29,3.34,3.18,3.18,14000
2018-01-05,3.29,3.34,3.24,3.34,13300
2018-01-08,3.18,3.29,3.18,3.29,23400
2018-01-09,3.45,3.45,3.29,3.29,10300
2018-01-10,3.39,3.39,3.29,3.34,15220
2018-01-11,3.34,3.39,3.34,3.39,13900
2018-01-12,3.34,3.34,3.34,3.34,5040
2018-01-15,3.39,3.39,3.39,3.39,1000
2018-01-16,3.39,3.39,3.39,3.39,0
2018-01-17,3.39,3.39,3.29,3.29,10100
2018-01-18,3.39,3.39,3.39,3.39,180
2018-01-19,3.34,3.34,3.24,3.24,5600
2018-01-22,3.34,3.45,3.34,3.45,27720
2018-01-23,3.45,3.45,3.39,3.39,49530
2018-01-24,3.5,3.5,3.39,3.39,23100
2018-01-25,3.39,3.39,3.34,3.39,41900
2018-01-26,3.5,3.5,3.29,3.45,30900
2018-01-29,3.34,3.39,3.34,3.39,6900
2018-01-30,3.34,3.45,3.34,3.39,7500
2018-01-31,3.5,3.5,3.39,3.39,19195
2018-02-01,3.34,3.39,3.34,3.39,25820
2018-02-02,3.39,3.39,3.34,3.39,25510
2018-02-05,3.34,3.39,3.34,3.34,17100
2018-02-06,3.29,3.39,3.24,3.39,14400
2018-02-07,3.24,3.39,3.24,3.39,13549
2018-02-08,3.29,3.34,3.29,3.29,8800
2018-02-09,3.39,3.39,3.24,3.39,7000
2018-02-12,3.34,3.39,3.34,3.39,660
2018-02-13,3.18,3.18,3.18,3.18,60000
2018-02-21,3.39,3.39,3.29,3.39,1200
2018-02-22,3.39,3.39,3.39,3.39,2500
2018-02-23,3.39,3.45,3.39,3.45,9300
2018-02-26,3.45,3.45,3.39,3.39,2400
2018-02-27,3.39,3.45,3.34,3.45,32700
2018-02-28,3.45,3.45,3.39,3.39,9310
2018-03-01,3.39,3.39,3.39,3.39,5500
2018-03-02,3.39,3.39,3.34,3.34,4000
2018-03-05,3.45,3.45,3.45,3.45,100
2018-03-06,3.34,3.39,3.34,3.39,16300
2018-03-07,3.34,3.34,3.34,3.34,18000
2018-03-08,3.34,3.39,3.34,3.39,3100
2018-03-09,3.34,3.34,3.34,3.34,7200
2018-03-12,3.45,3.45,3.45,3.45,100
2018-03-13,3.45,3.45,3.45,3.45,0
2018-03-14,3.34,3.39,3.29,3.39,59890
2018-03-15,3.39,3.45,3.39,3.45,2600
2018-03-16,3.45,3.45,3.45,3.45,170
2018-03-19,3.39,3.39,3.39,3.39,100
2018-03-20,3.34,3.34,3.34,3.34,100
2018-03-21,3.45,3.45,3.39,3.39,300
2018-03-22,3.39,3.45,3.39,3.39,33000
2018-03-23,3.34,3.45,3.34,3.45,700
2018-03-26,3.39,3.39,3.39,3.39,2400
2018-03-27,3.39,3.39,3.39,3.39,1000
2018-03-28,3.39,3.39,3.39,3.39,4192
2018-03-29,3.39,3.45,3.39,3.39,5555
2018-03-30,3.39,3.45,3.39,3.45,300
2018-04-02,3.39,3.39,3.39,3.39,1300
2018-04-03,3.39,3.39,3.34,3.39,11700
2018-04-04,3.39,3.45,3.39,3.45,2450
2018-04-05,3.45,3.45,3.39,3.45,1400
2018-04-06,3.45,3.45,3.39,3.39,800
2018-04-09,3.39,3.39,3.34,3.34,1800
2018-04-10,3.34,3.34,3.29,3.29,27240
2018-04-11,3.29,3.39,3.29,3.39,68500
2018-04-12,3.34,3.39,3.29,3.39,30100
2018-04-13,3.45,3.65,3.45,3.65,1100
2018-04-16,3.65,3.65,3.65,3.65,0
2018-04-17,3.34,3.39,3.34,3.34,19910
2018-04-18,3.39,3.55,3.39,3.55,2000
2018-04-19,3.5,3.55,3.5,3.55,3400
2018-04-20,3.5,3.5,3.45,3.5,400
2018-04-23,3.34,3.34,3.24,3.29,3100
2018-04-24,3.29,3.39,3.29,3.39,2610
2018-04-26,3.5,3.5,3.5,3.5,100
2018-04-27,3.5,3.5,3.5,3.5,0
2018-05-02,3.65,3.81,3.34,3.5,3700
2018-05-03,3.5,3.5,3.5,3.5,1600
2018-05-04,3.45,3.45,3.45,3.45,1500
2018-05-07,3.39,3.39,3.34,3.34,2000
2018-05-08,3.34,3.39,3.03,3.34,101255
2018-05-09,3.29,3.34,3.13,3.34,3910
2018-05-10,3.34,3.34,3.34,3.34,5500
2018-05-11,3.34,3.34,3.34,3.34,0
2018-05-14,3.29,3.29,3.29,3.29,2600
2018-05-15,3.34,3.45,3.34,3.39,14900
2018-05-16,3.29,3.29,3.29,3.29,500
2018-05-17,3.5,3.5,3.34,3.34,6261
2018-05-18,3.29,3.34,3.29,3.34,3200
2018-05-21,3.34,3.34,3.34,3.34,0
2018-05-22,3.29,3.29,3.29,3.29,1900
2018-05-23,3.34,3.34,3.29,3.29,2400
2018-05-24,3.5,3.5,3.5,3.5,100
2018-05-25,3.39,3.39,3.29,3.29,1900
2018-05-28,3.29,3.29,2.98,3.13,104100
2018-05-29,3.13,3.29,3.13,3.24,13000
2018-05-30,3.18,3.24,3.18,3.24,2100
2018-05-31,3.24,3.29,3.24,3.29,10000
2018-06-01,3.24,3.29,3.24,3.29,3800
2018-06-04,3.29,3.29,3.29,3.29,300
2018-06-05,3.29,3.34,3.29,3.34,6300
2018-06-06,3.34,3.34,3.34,3.34,1590
2018-06-07,3.34,3.39,3.34,3.39,20900
2018-06-08,3.34,3.39,3.34,3.39,2500
2018-06-11,3.45,3.5,3.45,3.45,4476
2018-06-12,3.39,3.39,3.39,3.39,2500
2018-06-13,3.39,3.5,3.39,3.5,30300
2018-06-14,3.45,3.5,3.45,3.5,12309
2018-06-15,3.45,3.45,3.39,3.45,10600
2018-06-18,3.39,3.39,3.39,3.39,6921
2018-06-19,3.34,3.34,3.34,3.34,3100
2018-06-20,3.34,3.45,3.34,3.45,5202
2018-06-21,3.24,3.29,3.24,3.29,900
2018-06-22,3.39,3.39,3.34,3.39,7600
2018-06-25,3.39,3.45,3.39,3.39,17100
2018-06-26,3.39,3.39,3.39,3.39,11300
2018-06-27,3.69,3.69,3.45,3.51,1700
2018-06-28,3.69,3.69,3.51,3.51,4800
2018-06-29,3.57,3.63,3.51,3.57,3500
2018-07-02,3.39,3.51,3.39,3.51,1100
2018-07-03,3.51,3.51,3.51,3.51,200
2018-07-04,3.33,3.45,3.33,3.39,5700
2018-07-05,3.45,3.45,3.39,3.39,2000
2018-07-06,3.45,3.45,3.22,3.22,4810
2018-07-09,3.28,3.51,3.28,3.45,1101
2018-07-10,3.45,3.45,3.45,3.45,1500
2018-07-11,3.45,3.51,3.45,3.45,20500
2018-07-12,3.45,3.45,3.45,3.45,2200
2018-07-13,3.45,3.51,3.45,3.51,200
2018-07-16,3.45,3.51,3.39,3.51,18601
2018-07-17,3.51,3.51,3.51,3.51,10
2018-07-18,3.51,3.57,3.51,3.57,715
2018-07-19,3.57,3.74,3.57,3.63,25400
2018-07-20,3.57,3.57,3.51,3.51,700
2018-07-23,3.39,3.57,3.39,3.57,5722
2018-07-24,3.57,3.57,3.51,3.51,3200
2018-07-25,3.51,3.57,3.51,3.57,13713
2018-07-26,3.63,3.8,3.63,3.8,2400
2018-07-27,3.57,3.8,3.51,3.69,5519
2018-07-30,3.8,3.8,3.63,3.63,2500
2018-07-31,3.69,3.74,3.63,3.74,19560
2018-08-01,3.74,3.74,3.63,3.69,1300
2018-08-02,3.57,3.63,3.51,3.63,24700
2018-08-03,3.51,3.51,3.51,3.51,2840
2018-08-06,3.51,3.51,3.51,3.51,4600
2018-08-07,3.51,3.51,3.51,3.51,0
2018-08-08,3.51,3.51,3.51,3.51,60
2018-08-09,3.51,3.57,3.51,3.57,3410
2018-08-10,3.57,3.57,3.57,3.57,0
2018-08-13,3.8,3.8,3.8,3.8,100
2018-08-14,3.8,3.8,3.8,3.8,0
2018-08-15,3.57,3.57,3.57,3.57,17100
2018-08-16,3.57,3.57,3.57,3.57,0
2018-08-17,3.57,3.57,3.57,3.57,0
2018-08-20,3.57,3.63,3.45,3.63,2100
