time,open,high,low,close,volume
2018-01-02,47.15,47.38,47.15,47.38,6430
2018-01-03,47.38,47.38,44.88,47.15,1630
2018-01-04,47.15,47.61,47.15,47.38,4690
2018-01-05,47.15,47.38,47.15,47.38,4370
2018-01-08,47.38,47.61,47.38,47.38,15240
2018-01-09,47.38,47.38,47.38,47.38,0
2018-01-10,46.69,47.61,46.22,47.61,21370
2018-01-11,47.61,47.61,47.61,47.61,10220
2018-01-12,47.61,47.84,47.61,47.84,27690
2018-01-15,47.84,48.07,47.38,48.07,3430
2018-01-16,45.34,48.07,45.34,48.07,710
2018-01-17,45.39,47.61,45.3,47.61,2150
2018-01-18,45.11,48.3,45.11,47.56,5140
2018-01-19,47.61,48.26,47.61,48.26,200
2018-01-22,46.22,48.12,46.22,47.61,120
2018-01-23,47.61,47.61,47.61,47.61,0
2018-01-24,47.61,47.61,47.61,47.61,0
2018-01-25,47.61,48.26,45.3,47.61,540
2018-01-26,45.76,45.76,45.76,45.76,280
2018-01-29,44.88,47.15,44.84,47.15,8520
2018-01-30,47.15,47.15,46.22,47.1,6330
2018-01-31,46.22,46.22,46.22,46.22,140
2018-02-01,46.69,47.52,44.84,44.84,890
2018-02-02,45.3,46.08,45.07,45.76,680
2018-02-05,45.76,45.76,44.37,44.84,310
2018-02-06,41.74,45.95,41.74,45.67,10700
2018-02-07,43.13,47.29,43.13,46.64,490
2018-02-08,47.1,47.1,46.22,46.22,310
2018-02-09,44.37,45.48,44.37,45.3,310
2018-02-12,45.3,47.84,45.3,46.13,160
2018-02-13,46.87,46.87,46.78,46.78,170
2018-02-21,46.78,48.07,45.71,48.03,5150
2018-02-22,47.75,47.84,45.3,46.64,5880
2018-02-23,46.64,46.69,46.64,46.69,20
2018-02-26,45.34,48.03,45.34,48.03,730
2018-02-27,46.22,46.22,46.18,46.22,220
2018-02-28,47.56,47.56,46.22,47.1,140
2018-03-01,46.22,47.1,46.22,46.22,290
2018-03-02,46.69,47.56,46.22,47.15,220
2018-03-05,47.52,47.52,45.3,47.15,1140
2018-03-06,47.15,47.15,47.15,47.15,0
2018-03-07,45.48,47.1,45.48,47.06,110
2018-03-08,45.3,47.01,43.91,47.01,1410
2018-03-09,46.69,46.87,44.84,46.87,270
2018-03-12,46.69,46.69,46.59,46.59,13010
2018-03-13,46.59,46.59,44.88,46.41,880
2018-03-14,44.98,47.1,44.98,47.1,230
2018-03-15,43.91,47.1,43.91,46.92,330
2018-03-16,46.22,46.69,46.22,46.69,410
2018-03-19,46.18,46.18,44.88,46.18,1210
2018-03-20,44.47,46.64,44.47,46.64,810
2018-03-21,47.1,47.1,44.37,46.45,2900
2018-03-22,46.45,46.45,46.45,46.45,250
2018-03-23,45.67,45.67,45.25,45.25,350
2018-03-26,46.45,46.45,45.25,45.25,70
2018-03-27,45.21,45.25,45.11,45.25,3150
2018-03-28,47.1,47.1,45.21,45.21,80
2018-03-29,46.64,46.64,45.3,46.36,750
2018-03-30,46.22,46.22,44.33,45.53,420
2018-04-02,45.58,46.18,45.53,46.18,16540
2018-04-03,45.11,46.18,44.65,45.99,530
2018-04-04,44.61,45.9,44.33,45.81,420
2018-04-05,45.81,45.81,45.81,45.81,10
2018-04-06,45.76,45.81,45.76,45.81,50
2018-04-09,46.18,46.41,45.76,45.76,180
2018-04-10,45.76,45.76,45.48,45.53,210
2018-04-11,45.39,45.39,45.3,45.3,30
2018-04-12,45.3,45.71,45.07,45.07,50
2018-04-13,45.07,45.62,43.91,45.07,3850
2018-04-16,45.25,48.21,45.25,48.07,150
2018-04-17,44.79,48.07,44.79,48.07,230
2018-04-18,44.79,45.3,44.79,45.3,640
2018-04-19,44.42,44.84,44.42,44.84,20
2018-04-20,45.3,47.61,44.47,44.47,330
2018-04-23,44.42,45.07,44.37,45.07,1280
2018-04-24,43.91,44.93,43.91,44.93,190
2018-04-26,44.93,44.93,44.93,44.93,0
2018-04-27,44.84,46.22,44.84,46.22,180
2018-05-02,43.91,43.91,43.91,43.91,30
2018-05-03,43.68,44.84,43.68,44.84,90
2018-05-04,44.84,44.84,43.03,44.84,140
2018-05-07,44.84,44.84,43.45,43.91,710
2018-05-08,43.91,44.84,43.91,43.91,410
2018-05-09,44.79,44.79,41.6,43.91,250
2018-05-10,44.79,46.22,43.91,43.91,260
2018-05-11,45.3,45.67,43.45,44.37,60
2018-05-14,45.62,45.62,43.59,43.59,200
2018-05-15,44.74,44.74,44.24,44.37,170
2018-05-16,45.58,46.22,45.58,45.58,1290
2018-05-17,43.91,45.85,42.39,43.87,1040
2018-05-18,45.71,46.22,42.57,46.13,310
2018-05-21,46.13,46.13,43.5,45.48,280
2018-05-22,44.0,46.13,43.96,46.13,1730
2018-05-23,44.1,44.14,44.05,44.14,70
2018-05-24,45.44,45.44,42.99,43.91,1290
2018-05-25,42.99,42.99,42.99,42.99,2110
2018-05-28,45.25,45.25,45.25,45.25,20
2018-05-29,45.25,45.25,45.25,45.25,0
2018-05-30,44.1,45.25,44.0,44.84,520
2018-05-31,44.84,44.84,44.84,44.84,270
2018-06-01,44.74,46.13,44.74,45.53,4450
2018-06-04,46.22,46.22,45.39,45.39,2630
2018-06-05,45.3,45.3,45.3,45.3,1460
2018-06-06,45.3,45.3,45.3,45.3,20
2018-06-07,44.37,45.3,44.37,44.37,1250
2018-06-08,44.51,44.51,44.37,44.37,460
2018-06-11,44.37,46.18,44.37,46.08,560
2018-06-12,46.08,46.08,46.08,46.08,0
2018-06-13,46.08,46.08,46.08,46.08,0
2018-06-14,44.37,45.3,44.37,45.3,1010
2018-06-15,45.3,46.18,45.3,45.53,1960
2018-06-18,45.95,45.95,44.37,45.71,40
2018-06-19,45.71,45.71,45.71,45.71,0
2018-06-20,44.37,45.71,44.37,45.53,640
2018-06-21,45.53,45.53,45.53,45.53,0
2018-06-22,45.53,45.53,45.53,45.53,0
2018-06-25,45.53,45.53,45.53,45.53,0
2018-06-26,45.53,45.53,45.53,45.53,0
2018-06-27,45.3,45.3,45.3,45.3,410
2018-06-28,44.84,45.3,44.84,45.3,30
2018-06-29,44.84,45.48,44.84,45.48,40
2018-07-02,45.48,45.48,45.48,45.48,0
2018-07-03,44.37,45.44,44.37,45.44,2320
2018-07-04,45.44,45.44,45.44,45.44,0
2018-07-05,44.84,45.3,44.84,45.3,470
2018-07-06,45.3,45.3,45.3,45.3,0
2018-07-09,43.96,45.3,43.96,44.84,740
2018-07-10,45.44,45.44,45.44,45.44,20
2018-07-11,45.44,45.44,45.44,45.44,0
2018-07-12,42.34,45.3,42.34,45.3,1870
2018-07-13,44.37,44.37,44.37,44.37,10
2018-07-16,44.37,45.44,43.91,44.37,970
2018-07-17,45.95,45.95,43.45,44.37,870
2018-07-18,45.76,45.76,44.37,44.37,40
2018-07-19,45.71,45.99,43.91,43.91,250
2018-07-20,45.16,45.16,45.16,45.16,240
2018-07-23,45.48,45.48,43.45,44.98,2420
2018-07-24,43.45,43.45,43.22,43.45,1060
2018-07-25,44.61,44.65,43.45,43.45,1060
2018-07-26,43.91,44.19,42.53,43.4,1590
2018-07-27,43.45,43.45,43.45,43.45,110
2018-07-30,43.45,43.45,43.22,43.45,3110
2018-07-31,44.51,44.65,42.53,43.31,720
2018-08-01,43.87,43.87,40.31,42.71,19450
2018-08-02,43.13,43.13,40.21,41.55,2710
2018-08-03,39.75,42.25,39.75,41.6,2330
2018-08-06,41.51,41.55,40.21,40.49,2040
2018-08-07,40.86,40.86,39.75,40.49,450
2018-08-08,40.77,42.99,40.21,40.31,1260
2018-08-09,40.35,43.13,40.35,43.13,6230
2018-08-10,42.99,42.99,41.6,42.71,890
2018-08-13,42.71,42.71,41.79,42.53,3760
2018-08-14,42.53,43.45,42.11,42.99,1830
2018-08-15,42.99,43.45,42.99,43.45,2760
2018-08-16,43.45,43.45,42.53,43.45,1150
2018-08-17,43.45,43.45,42.53,43.45,1420
2018-08-20,42.99,42.99,42.76,42.76,280
2018-08-21,43.45,43.45,42.76,43.45,1860
2018-08-22,43.45,44.28,43.45,44.14,3640
2018-08-23,44.14,44.33,43.91,44.14,2210
2018-08-24,44.14,44.24,43.87,43.91,3840
2018-08-27,44.37,44.37,43.82,43.91,2450
2018-08-28,43.91,43.91,40.86,43.91,4690
2018-08-29,43.91,44.61,43.45,44.37,810
2018-08-30,46.15,46.45,43.84,46.45,3510
2018-08-31,46.45,46.45,44.39,46.39,1020
2018-09-04,46.15,46.51,44.94,46.39,1500
2018-09-05,46.33,46.33,44.63,45.48,500
2018-09-06,44.39,45.42,44.39,44.81,470
2018-09-07,44.39,45.12,44.33,44.88,5010
2018-09-10,44.94,45.42,44.69,45.06,1730
2018-09-11,45.42,46.15,44.94,45.54,450
2018-09-12,45.91,45.91,44.69,45.54,220
