time,open,high,low,close,volume
2018-01-02,8.31,8.31,8.31,8.31,0
2018-01-03,8.31,8.31,8.31,8.31,0
2018-01-04,8.31,8.31,8.31,8.31,0
2018-01-05,8.31,8.31,8.31,8.31,0
2018-01-08,8.31,8.31,8.31,8.31,0
2018-01-09,8.31,8.31,8.31,8.31,0
2018-01-10,8.31,8.31,8.31,8.31,0
2018-01-11,8.31,8.31,8.31,8.31,0
2018-01-12,8.31,8.31,8.31,8.31,0
2018-01-15,8.31,8.31,8.31,8.31,0
2018-01-16,8.31,8.31,8.31,8.31,0
2018-01-17,8.31,8.31,8.31,8.31,0
2018-01-18,8.31,8.31,8.31,8.31,2000
2018-01-19,8.31,8.31,8.31,8.31,600
2018-01-22,8.31,8.31,8.31,8.31,2400
2018-01-23,8.31,8.31,8.31,8.31,0
2018-01-24,8.31,8.31,8.31,8.31,0
2018-01-25,8.31,8.31,8.31,8.31,50
2018-01-26,8.31,8.31,8.31,8.31,0
2018-01-29,8.31,8.31,8.31,8.31,400
2018-01-30,8.31,8.31,8.31,8.31,0
2018-01-31,8.31,8.31,8.31,8.31,0
2018-02-01,8.31,8.31,8.31,8.31,0
2018-02-02,8.31,8.31,8.31,8.31,0
2018-02-05,8.31,8.31,8.31,8.31,0
2018-02-06,8.31,8.31,8.31,8.31,0
2018-02-07,8.31,8.31,8.31,8.31,0
2018-02-08,8.31,8.31,8.31,8.31,2100
2018-02-09,8.31,8.31,8.31,8.31,0
2018-02-12,8.31,8.31,8.31,8.31,0
2018-02-13,8.31,8.31,8.31,8.31,0
2018-02-21,8.31,8.31,8.31,8.31,0
2018-02-22,8.31,8.31,8.31,8.31,0
2018-02-23,8.31,8.31,8.31,8.31,0
2018-02-26,8.31,8.31,8.31,8.31,0
2018-02-27,8.31,8.31,8.31,8.31,0
2018-02-28,8.31,8.31,8.31,8.31,0
2018-03-01,8.31,8.31,8.31,8.31,0
2018-03-02,8.31,8.31,8.31,8.31,0
2018-03-05,8.31,8.31,8.31,8.31,0
2018-03-06,8.31,8.31,8.31,8.31,0
2018-03-07,8.31,8.31,8.31,8.31,0
2018-03-08,8.31,8.31,8.31,8.31,0
2018-03-09,8.31,8.31,8.31,8.31,0
2018-03-12,8.31,8.31,8.31,8.31,0
2018-03-13,8.31,8.31,8.31,8.31,0
2018-03-14,7.15,7.15,7.15,7.15,100
2018-03-15,7.15,7.15,7.15,7.15,0
2018-03-16,7.15,7.15,7.15,7.15,0
2018-03-19,6.15,6.15,6.15,6.15,100
2018-03-20,6.15,6.15,6.15,6.15,0
2018-03-21,6.15,6.15,6.15,6.15,0
2018-03-22,6.15,6.15,6.15,6.15,0
2018-03-23,6.15,6.15,6.15,6.15,0
2018-03-26,6.15,6.15,6.15,6.15,0
2018-03-27,6.15,6.15,6.15,6.15,0
2018-03-28,6.15,6.15,6.15,6.15,0
2018-03-29,5.32,5.32,5.32,5.32,100
2018-03-30,5.32,5.32,5.32,5.32,0
2018-04-02,5.32,5.32,5.32,5.32,0
2018-04-03,5.32,5.32,5.32,5.32,0
2018-04-04,5.32,5.32,5.32,5.32,0
2018-04-05,4.6,6.09,4.6,6.09,300
2018-04-06,5.59,5.59,5.59,5.59,0
2018-04-09,5.59,5.59,5.59,5.59,0
2018-04-10,5.59,5.59,5.59,5.59,0
2018-04-11,5.59,5.59,5.59,5.59,0
2018-04-12,5.59,5.59,5.59,5.59,0
2018-04-13,5.59,5.59,5.59,5.59,0
2018-04-16,5.59,5.59,5.59,5.59,0
2018-04-17,5.59,5.59,5.59,5.59,0
2018-04-18,5.59,5.59,5.59,5.59,0
2018-04-19,5.59,5.59,5.59,5.59,0
2018-04-20,5.59,5.59,5.59,5.59,0
2018-04-23,5.59,5.59,5.59,5.59,0
2018-04-24,5.59,5.59,5.59,5.59,0
2018-04-26,5.59,5.59,5.59,5.59,0
2018-04-27,5.59,5.59,5.59,5.59,0
2018-05-02,5.59,5.59,5.59,5.59,0
2018-05-03,5.59,5.59,5.59,5.59,0
2018-05-04,5.59,5.59,5.59,5.59,0
2018-05-07,5.59,5.59,5.59,5.59,0
2018-05-08,5.59,5.59,5.59,5.59,0
2018-05-09,5.59,5.59,5.59,5.59,0
2018-05-10,6.43,6.43,6.43,6.43,100
2018-05-11,6.43,6.43,6.43,6.43,0
2018-05-14,6.43,6.43,6.43,6.43,0
2018-05-15,6.43,6.43,6.43,6.43,0
2018-05-16,6.43,6.43,6.43,6.43,0
2018-05-17,6.43,6.43,6.43,6.43,0
2018-05-18,6.43,6.43,6.43,6.43,0
2018-05-21,6.43,6.43,6.43,6.43,0
2018-05-22,6.43,6.43,6.43,6.43,0
2018-05-23,6.43,6.43,6.43,6.43,0
2018-05-24,6.43,6.43,6.43,6.43,0
2018-05-25,6.43,6.43,6.43,6.43,0
2018-05-28,6.43,6.43,6.43,6.43,0
2018-05-29,6.43,6.43,6.43,6.43,0
