time,open,high,low,close,volume
2018-01-02,5.06,5.06,5.06,5.06,2000
2018-01-03,5.56,5.56,5.56,5.56,800
2018-01-04,5.56,5.56,5.12,5.12,1100
2018-01-05,5.12,5.12,5.12,5.12,0
2018-01-08,5.12,5.12,5.12,5.12,300
2018-01-09,5.12,5.12,5.12,5.12,0
2018-01-10,5.56,5.56,5.56,5.56,500
2018-01-11,5.62,5.62,5.56,5.56,200
2018-01-12,5.06,5.06,5.06,5.06,100
2018-01-15,5.06,5.06,5.06,5.06,0
2018-01-16,5.06,5.06,5.06,5.06,0
2018-01-17,5.06,5.06,5.06,5.06,0
2018-01-18,5.06,5.06,5.06,5.06,0
2018-01-19,5.06,5.06,5.06,5.06,0
2018-01-22,5.06,5.06,5.06,5.06,0
2018-01-23,5.06,5.06,5.06,5.06,0
2018-01-24,5.06,5.06,5.06,5.06,0
2018-01-25,5.06,5.06,5.06,5.06,0
2018-01-26,5.56,5.56,5.56,5.56,100
2018-01-29,5.56,5.56,5.56,5.56,0
2018-01-30,5.56,5.56,5.56,5.56,0
2018-01-31,5.0,5.56,5.0,5.56,200
2018-02-01,5.06,5.06,5.06,5.06,100
2018-02-02,5.06,5.06,5.06,5.06,0
2018-02-05,5.06,5.06,5.06,5.06,0
2018-02-06,5.06,5.06,5.06,5.06,0
2018-02-07,5.06,5.06,5.06,5.06,0
2018-02-08,5.06,5.06,5.06,5.06,0
2018-02-09,5.06,5.06,5.06,5.06,0
2018-02-12,5.06,5.06,5.06,5.06,0
2018-02-13,5.06,5.06,5.06,5.06,0
2018-02-21,4.75,4.75,4.75,4.75,700
2018-02-22,4.75,4.75,4.75,4.75,0
2018-02-23,4.75,4.75,4.75,4.75,0
2018-02-26,4.75,4.75,4.75,4.75,0
2018-02-27,4.75,4.75,4.75,4.75,0
2018-02-28,4.75,4.75,4.75,4.75,0
2018-03-01,4.75,4.75,4.75,4.75,0
2018-03-02,4.75,4.75,4.75,4.75,0
2018-03-05,4.75,4.75,4.75,4.75,0
2018-03-06,4.75,4.75,4.75,4.75,0
2018-03-07,4.94,4.94,4.94,4.94,1000
2018-03-08,5.19,5.31,5.19,5.31,500
2018-03-09,5.0,5.0,5.0,5.0,100
2018-03-12,4.75,4.75,4.75,4.75,100
2018-03-13,5.19,5.19,4.75,4.75,300
2018-03-14,4.75,4.75,4.75,4.75,0
2018-03-15,4.75,4.75,4.75,4.75,0
2018-03-16,4.75,4.75,4.75,4.75,500
2018-03-19,4.75,4.75,4.75,4.75,0
2018-03-20,5.19,5.19,5.19,5.19,100
2018-03-21,5.19,5.19,5.19,5.19,0
2018-03-22,5.19,5.19,5.19,5.19,0
2018-03-23,4.69,4.69,4.69,4.69,100
2018-03-26,4.69,4.69,4.69,4.69,0
2018-03-27,4.69,4.69,4.69,4.69,0
2018-03-28,5.12,5.12,5.12,5.12,100
2018-03-29,5.12,5.12,5.12,5.12,0
2018-03-30,5.56,5.56,5.25,5.25,2100
2018-04-02,5.25,5.25,5.25,5.25,0
2018-04-03,4.82,4.82,4.82,4.82,100
2018-04-04,4.82,4.82,4.82,4.82,0
2018-04-05,4.82,4.82,4.82,4.82,0
2018-04-06,4.82,4.82,4.82,4.82,0
2018-04-09,4.82,4.82,4.82,4.82,0
2018-04-10,4.82,4.82,4.82,4.82,0
2018-04-11,5.25,5.25,5.25,5.25,100
2018-04-12,4.82,5.56,4.82,5.56,300
2018-04-13,5.0,5.0,5.0,5.0,100
2018-04-16,5.0,5.0,5.0,5.0,0
2018-04-17,5.0,5.0,5.0,5.0,0
2018-04-18,4.63,4.63,4.63,4.63,100
2018-04-19,4.63,4.63,4.63,4.63,0
2018-04-20,4.2,4.2,4.2,4.2,100
2018-04-23,4.57,4.57,4.57,4.57,1100
2018-04-24,4.57,4.57,4.57,4.57,0
2018-04-26,5.0,5.0,5.0,5.0,200
2018-04-27,5.0,5.0,5.0,5.0,0
2018-05-02,5.0,5.0,5.0,5.0,0
2018-05-03,5.0,5.0,5.0,5.0,0
2018-05-04,4.57,4.57,4.57,4.57,100
2018-05-07,4.57,4.57,4.57,4.57,0
2018-05-08,4.94,4.94,4.94,4.94,500
2018-05-09,4.94,4.94,4.94,4.94,0
2018-05-10,4.94,4.94,4.94,4.94,0
2018-05-11,4.63,4.63,4.63,4.63,100
2018-05-14,5.06,5.06,5.06,5.06,1000
2018-05-15,4.69,4.69,4.69,4.69,100
2018-05-16,5.12,5.12,5.12,5.12,1000
2018-05-17,5.12,5.12,5.12,5.12,0
2018-05-18,4.75,4.75,4.75,4.75,100
2018-05-21,5.19,5.19,5.19,5.19,600
2018-05-22,5.19,5.19,5.19,5.19,400
2018-05-23,4.82,4.82,4.82,4.82,100
2018-05-24,4.82,4.82,4.82,4.82,0
2018-05-25,4.82,4.82,4.82,4.82,0
2018-05-28,4.82,4.82,4.82,4.82,1000
2018-05-29,4.82,4.82,4.82,4.82,0
2018-05-30,4.82,4.82,4.82,4.82,0
2018-05-31,5.25,5.25,5.25,5.25,100
2018-06-01,5.25,5.25,5.25,5.25,0
2018-06-04,5.25,5.25,5.25,5.25,0
2018-06-05,5.25,5.25,5.25,5.25,0
2018-06-06,5.25,5.25,5.25,5.25,0
2018-06-07,5.49,5.49,5.49,5.49,1900
2018-06-08,5.49,5.49,5.49,5.49,0
2018-06-11,5.49,5.49,5.49,5.49,0
2018-06-12,5.49,5.49,5.49,5.49,0
2018-06-13,5.49,5.49,5.49,5.49,0
2018-06-14,5.49,5.49,5.49,5.49,0
2018-06-15,5.49,5.49,5.49,5.49,0
2018-06-18,5.49,5.49,5.49,5.49,0
2018-06-19,5.49,5.49,5.49,5.49,0
2018-06-20,5.0,5.0,5.0,5.0,100
2018-06-21,5.49,5.49,5.49,5.49,700
2018-06-22,5.0,5.0,5.0,5.0,100
2018-06-25,5.49,5.49,5.49,5.49,1100
2018-06-26,5.49,5.49,5.49,5.49,0
2018-06-27,5.0,5.0,5.0,5.0,100
2018-06-28,5.0,5.0,5.0,5.0,0
2018-06-29,5.0,5.0,5.0,5.0,2100
2018-07-02,5.0,5.0,5.0,5.0,0
2018-07-03,4.51,4.51,4.51,4.51,100
2018-07-04,4.51,4.51,4.51,4.51,0
2018-07-05,4.51,4.51,4.51,4.51,0
2018-07-06,4.51,4.51,4.51,4.51,0
2018-07-09,4.94,4.94,4.94,4.94,200
2018-07-10,4.94,4.94,4.94,4.94,0
2018-07-11,4.94,4.94,4.94,4.94,0
2018-07-12,4.94,4.94,4.94,4.94,0
2018-07-13,4.94,4.94,4.94,4.94,0
2018-07-16,4.94,4.94,4.94,4.94,0
2018-07-17,4.94,4.94,4.94,4.94,0
2018-07-18,4.94,4.94,4.94,4.94,0
2018-07-19,4.94,4.94,4.94,4.94,0
2018-07-20,4.88,4.88,4.82,4.82,2000
2018-07-23,4.82,4.82,4.82,4.82,0
