time,open,high,low,close,volume
2018-04-19,8.69,8.69,7.9,8.06,7295110
2018-04-20,8.15,8.15,7.92,8.07,1970610
2018-04-23,8.07,8.1,7.53,7.65,918490
2018-04-24,7.53,7.7,7.13,7.65,1084620
2018-04-26,7.63,7.68,7.33,7.38,618040
2018-04-27,7.44,7.5,7.29,7.5,783680
2018-05-02,7.68,7.68,7.38,7.4,468940
2018-05-03,7.4,7.4,7.2,7.4,407660
2018-05-04,7.56,7.56,7.33,7.4,267600
2018-05-07,7.43,7.45,7.25,7.45,269800
2018-05-08,7.7,7.7,7.4,7.48,556210
2018-05-09,7.48,7.48,7.35,7.45,368930
2018-05-10,7.45,7.45,7.2,7.33,184990
2018-05-11,7.33,7.4,7.1,7.4,725410
2018-05-14,7.4,7.4,7.15,7.33,252920
2018-05-15,7.33,7.42,7.15,7.4,468650
2018-05-16,7.4,7.42,7.25,7.33,525340
2018-05-17,7.35,7.4,7.28,7.33,385710
2018-05-18,7.3,7.4,7.24,7.38,465950
2018-05-21,7.39,7.39,7.32,7.34,339500
2018-05-22,7.34,7.39,7.1,7.28,414600
2018-05-23,7.28,7.32,7.18,7.3,506080
2018-05-24,7.29,7.32,7.23,7.28,366890
2018-05-25,7.28,7.3,7.19,7.2,307990
2018-05-28,7.15,7.18,6.73,6.73,197040
2018-05-29,6.83,7.17,6.83,7.15,590410
2018-05-30,7.14,7.19,7.06,7.13,171480
2018-05-31,7.1,7.12,6.96,6.96,287350
2018-06-01,7.1,7.1,6.96,6.96,100550
2018-06-04,6.98,7.4,6.94,7.33,387700
2018-06-05,7.35,7.35,7.18,7.3,459200
2018-06-06,7.25,7.28,7.15,7.18,847910
2018-06-07,7.2,7.2,7.13,7.18,675570
2018-06-08,7.18,7.2,7.08,7.12,1162520
2018-06-11,7.18,7.18,7.01,7.08,38710
2018-06-12,7.08,7.08,6.91,7.01,42180
2018-06-13,7.01,7.03,6.96,7.01,111190
2018-06-14,7.01,7.01,6.89,6.96,22990
2018-06-15,6.99,6.99,6.89,6.91,26260
2018-06-18,6.91,6.91,6.71,6.71,44490
2018-06-19,6.61,6.81,6.25,6.73,648860
2018-06-20,6.73,6.83,6.73,6.81,648730
2018-06-21,6.86,6.93,6.71,6.81,43660
2018-06-22,6.78,6.83,6.78,6.83,115320
2018-06-25,6.84,6.96,6.83,6.91,204990
2018-06-26,6.51,6.93,6.51,6.91,101440
2018-06-27,6.88,6.91,6.71,6.87,42360
2018-06-28,6.87,6.87,6.71,6.71,44370
2018-06-29,6.83,6.83,6.68,6.83,234590
2018-07-02,6.83,6.86,6.69,6.71,73960
2018-07-03,6.71,6.72,6.45,6.48,182230
