time,open,high,low,close,volume
2018-01-02,19.64,19.64,19.64,19.64,200
2018-01-03,19.69,19.69,19.69,19.69,2000
2018-01-04,20.29,20.29,20.13,20.13,1400
2018-01-05,20.18,20.77,20.18,20.18,16510
2018-01-08,20.83,22.18,20.4,20.4,16900
2018-01-09,20.07,20.07,20.02,20.02,2000
2018-01-10,20.02,20.02,19.75,19.75,18200
2018-01-11,20.02,20.02,20.02,20.02,29500
2018-01-12,19.91,20.02,19.91,20.02,79000
2018-01-15,20.02,20.02,20.02,20.02,9300
2018-01-16,20.02,20.02,20.02,20.02,70000
2018-01-17,20.02,20.02,20.02,20.02,45300
2018-01-18,20.07,20.07,20.02,20.07,64510
2018-01-19,20.02,20.29,20.02,20.07,220000
2018-01-22,20.07,20.07,20.02,20.07,79310
2018-01-23,20.07,20.83,20.07,20.83,152600
2018-01-24,20.45,20.45,20.29,20.34,6910
2018-01-25,20.34,20.61,20.34,20.61,9310
2018-01-26,20.5,20.5,20.5,20.5,0
2018-01-29,20.29,20.77,20.29,20.77,13400
2018-01-30,20.77,20.99,20.56,20.88,110100
2018-01-31,21.37,21.37,20.94,20.94,9900
2018-02-01,21.15,21.42,21.15,21.42,20800
2018-02-02,21.37,21.59,21.37,21.59,1600
2018-02-05,21.64,21.64,21.64,21.64,3815
2018-02-06,19.86,20.02,19.8,20.02,48700
2018-02-07,20.02,21.59,20.02,21.59,58500
2018-02-08,20.88,20.88,20.88,20.88,700
2018-02-09,20.88,20.88,20.88,20.88,10
2018-02-12,20.88,20.88,20.88,20.88,0
2018-02-13,21.64,21.64,21.64,21.64,700
2018-02-21,20.56,20.56,20.56,20.56,910
2018-02-22,20.56,20.56,20.56,20.56,0
2018-02-23,20.83,20.83,20.56,20.56,1600
2018-02-26,20.83,20.83,20.61,20.61,3600
2018-02-27,20.88,21.21,20.88,21.21,7500
2018-02-28,21.26,21.26,21.15,21.15,13015
2018-03-01,21.15,21.15,21.15,21.15,0
2018-03-02,20.67,20.83,20.56,20.83,2500
2018-03-05,20.56,20.56,20.56,20.56,1000
2018-03-06,20.56,20.56,20.56,20.56,100
2018-03-07,20.4,20.4,20.23,20.23,10700
2018-03-08,20.02,20.02,20.02,20.02,7900
2018-03-09,20.56,20.61,20.56,20.61,3500
2018-03-12,20.56,20.56,20.56,20.56,0
2018-03-13,20.56,20.56,20.56,20.56,0
2018-03-14,20.56,20.56,20.56,20.56,2500
2018-03-15,20.56,20.56,20.56,20.56,2200
2018-03-16,21.1,21.1,20.56,20.56,3500
2018-03-19,21.1,21.1,21.1,21.1,0
2018-03-20,20.29,20.29,20.02,20.02,10000
2018-03-21,20.56,21.32,20.56,21.32,9500
2018-03-22,21.05,21.1,21.05,21.1,70800
2018-03-23,21.1,21.64,21.05,21.1,21200
2018-03-26,22.4,22.99,20.56,20.56,16400
2018-03-27,21.64,24.35,21.64,21.64,52815
2018-03-28,22.18,22.18,21.1,21.1,2300
2018-03-29,22.18,22.18,22.18,22.18,200
2018-03-30,21.64,21.64,21.64,21.64,4300
2018-04-02,21.64,21.64,21.64,21.64,100
2018-04-03,22.13,22.13,21.1,21.1,5000
2018-04-04,21.21,21.64,21.1,21.1,40000
2018-04-05,21.64,21.64,21.1,21.1,1400
2018-04-06,20.13,22.45,20.13,21.64,208000
2018-04-09,22.29,22.29,21.1,21.1,30200
2018-04-10,23.8,23.8,21.64,21.75,90200
2018-04-11,22.13,22.13,21.32,21.32,400
2018-04-12,21.53,21.53,21.53,21.53,0
2018-04-13,22.18,22.29,21.53,21.53,41800
2018-04-16,22.18,22.34,21.64,22.18,132400
2018-04-17,21.91,22.18,21.91,22.18,5100
2018-04-18,22.18,22.72,22.18,22.72,22400
2018-04-19,22.61,22.67,22.61,22.61,10300
2018-04-20,22.72,22.83,22.72,22.83,16200
2018-04-23,22.72,22.99,22.72,22.72,14000
2018-04-24,22.72,22.72,22.72,22.72,40400
2018-04-26,22.72,22.72,22.24,22.24,10900
2018-04-27,22.72,22.72,22.45,22.45,3800
2018-05-02,22.72,22.72,22.61,22.61,2200
2018-05-03,22.83,22.99,22.72,22.83,5510
2018-05-04,22.83,22.99,22.83,22.83,9000
2018-05-07,22.88,22.88,22.72,22.72,4500
2018-05-08,22.72,22.72,22.72,22.72,5600
2018-05-09,22.61,22.61,21.15,21.15,1400
2018-05-10,22.18,22.18,22.18,22.18,1000
2018-05-11,22.18,22.18,22.18,22.18,800
2018-05-14,22.18,22.18,22.18,22.18,2200
2018-05-15,22.18,22.18,22.18,22.18,200
2018-05-16,22.18,22.18,22.18,22.18,500
2018-05-17,22.8,25.27,22.8,23.59,5100
2018-05-18,23.59,23.59,23.59,23.59,100
2018-05-21,22.46,22.46,22.46,22.46,4300
2018-05-22,22.46,22.46,22.46,22.46,2600
2018-05-23,22.46,22.46,21.4,22.46,20900
2018-05-24,22.74,23.59,22.74,23.59,200
2018-05-25,23.19,23.19,23.19,23.19,0
2018-05-28,23.19,23.19,23.19,23.19,0
2018-05-29,23.02,23.02,23.02,23.02,46200
2018-05-30,23.02,23.02,23.02,23.02,500
2018-05-31,23.59,23.59,23.59,23.59,11100
2018-06-01,23.59,24.65,21.9,21.9,7800
2018-06-04,23.87,24.71,23.87,24.71,10200
2018-06-05,24.2,24.2,24.2,24.2,300
2018-06-06,24.26,25.27,24.2,24.2,13800
2018-06-07,24.26,24.26,24.26,24.26,2600
2018-06-08,24.26,24.26,24.15,24.26,4000
2018-06-11,24.2,24.2,24.2,24.2,0
2018-06-12,24.2,24.2,24.2,24.2,500
2018-06-13,24.26,25.66,24.26,25.66,2100
2018-06-14,24.32,24.32,24.32,24.32,0
2018-06-15,24.32,24.32,24.32,24.32,0
2018-06-18,21.4,24.32,21.4,24.32,1300
2018-06-19,24.76,24.99,23.64,23.64,5500
2018-06-20,25.27,25.27,25.27,25.27,200
2018-06-21,25.16,25.27,25.16,25.27,1400
2018-06-22,21.96,24.15,21.96,24.15,1100
2018-06-25,26.39,26.39,26.39,26.39,200
2018-06-26,24.2,25.27,24.2,24.99,6900
2018-06-27,24.09,25.21,24.09,25.21,1310
2018-06-28,24.71,25.27,24.43,25.27,4700
2018-06-29,27.8,27.8,27.8,27.8,100
2018-07-02,24.51,25.18,24.51,25.18,2300
2018-07-03,25.27,25.27,24.85,24.85,2300
2018-07-04,24.85,24.85,24.85,24.85,0
2018-07-05,24.85,24.85,24.85,24.85,0
2018-07-06,25.02,25.02,24.85,24.85,600
2018-07-09,25.35,25.35,25.35,25.35,300
2018-07-10,25.35,25.35,25.35,25.35,0
2018-07-11,25.35,25.35,25.35,25.35,0
2018-07-12,25.35,25.35,25.35,25.35,0
2018-07-13,25.35,25.35,25.35,25.35,700
2018-07-16,25.35,25.35,25.35,25.35,0
2018-07-17,25.35,25.35,25.35,25.35,0
2018-07-18,25.35,25.35,25.35,25.35,0
2018-07-19,25.35,25.35,25.35,25.35,0
2018-07-20,25.35,27.37,25.35,27.37,22200
2018-07-23,27.37,27.46,27.37,0.0,12300
2018-07-24,28.22,28.22,28.22,28.22,5300
2018-07-25,28.64,28.64,28.64,28.64,100
2018-07-26,27.37,27.46,26.87,26.87,9000
2018-07-27,27.37,27.37,27.37,27.37,2000
2018-07-30,27.37,27.37,27.37,27.37,0
2018-07-31,28.64,28.64,28.64,28.64,500
2018-08-01,28.64,28.64,28.64,28.64,0
2018-08-02,28.22,28.22,28.22,28.22,900
2018-08-03,28.22,28.22,28.22,28.22,0
2018-08-06,28.22,28.22,28.22,28.22,0
2018-08-07,29.48,29.48,28.64,28.64,3800
2018-08-08,28.64,28.64,28.64,28.64,538
2018-08-09,28.64,28.64,28.64,28.64,500
2018-08-10,28.64,28.64,28.64,28.64,0
2018-08-13,28.64,28.64,28.64,28.64,0
2018-08-14,28.64,28.64,28.64,28.64,0
2018-08-15,28.64,28.64,28.64,28.64,0
2018-08-16,25.1,25.1,25.1,25.1,100
2018-08-17,25.1,25.1,25.1,25.1,0
2018-08-20,25.1,25.1,25.1,25.1,0
2018-08-21,27.8,28.64,27.8,28.64,22458
2018-08-22,27.88,27.88,27.88,27.88,210
2018-08-23,27.88,27.88,27.88,27.88,0
2018-08-24,28.64,28.64,28.64,28.64,100
2018-08-27,28.64,28.64,28.64,28.64,0
2018-08-28,28.64,28.64,28.64,28.64,0
2018-08-29,28.55,28.64,28.55,28.64,1910
2018-08-30,28.64,28.72,28.64,28.72,500
2018-08-31,28.72,28.72,28.72,28.72,222
2018-09-04,26.53,27.8,26.53,27.8,4210
2018-09-05,27.8,27.88,27.8,27.8,4805
2018-09-06,27.8,27.8,27.8,27.8,10197
2018-09-07,27.8,27.8,27.8,27.8,200
2018-09-10,29.06,29.48,28.64,28.64,1007
2018-09-11,27.8,27.8,27.21,27.21,1500
2018-09-12,27.8,27.8,27.12,27.8,3250
2018-09-13,27.8,27.8,27.8,27.8,15
2018-09-14,27.8,27.8,27.8,27.8,0
2018-09-17,27.8,28.64,27.8,28.64,17000
2018-09-18,28.55,28.55,28.55,28.64,80
2018-09-19,28.55,28.55,28.55,28.55,0
2018-09-20,28.13,28.13,28.13,28.13,200
2018-09-21,28.13,28.13,28.13,28.13,0
2018-09-24,27.88,27.88,27.88,27.88,100
2018-09-25,28.22,28.64,28.22,28.64,12400
2018-09-26,28.64,28.64,28.64,28.64,301
2018-09-27,28.64,28.64,28.64,28.64,0
2018-09-28,28.64,28.64,27.21,27.21,600
2018-10-01,28.39,28.39,28.39,28.39,0
2018-10-02,28.39,28.39,28.39,28.39,0
2018-10-03,28.39,28.64,28.39,28.64,1700
2018-10-04,28.64,28.64,28.64,28.64,346
2018-10-05,28.64,28.64,28.64,28.64,3300
2018-10-08,28.64,28.64,28.64,28.64,100
2018-10-09,28.64,28.64,28.64,28.64,66000
