time,open,high,low,close,volume
2018-01-02,4.83,4.83,4.83,4.83,0
2018-01-03,4.83,4.83,4.83,4.83,0
2018-01-04,4.83,4.83,4.83,4.83,0
2018-01-05,4.83,4.83,4.83,4.83,0
2018-01-08,4.83,4.83,4.83,4.83,0
2018-01-09,4.83,4.83,4.83,4.83,0
2018-01-10,4.83,4.83,4.83,4.83,0
2018-01-11,4.83,4.83,4.83,4.83,0
2018-01-12,4.83,4.83,4.83,4.83,0
2018-01-15,4.83,4.83,4.83,4.83,0
2018-01-16,4.83,4.83,4.83,4.83,0
2018-01-17,4.83,4.83,4.83,4.83,0
2018-01-18,4.83,4.83,4.83,4.83,0
2018-01-19,4.83,4.83,4.83,4.83,0
2018-01-22,4.83,4.83,4.83,4.83,0
2018-01-23,4.83,4.83,4.83,4.83,0
2018-01-24,4.83,4.83,4.83,4.83,0
2018-01-25,4.83,4.83,4.83,4.83,0
2018-01-26,4.83,4.83,4.83,4.83,0
2018-01-29,4.83,4.83,4.83,4.83,0
2018-01-30,4.83,4.83,4.83,4.83,0
2018-01-31,4.83,4.83,4.83,4.83,0
2018-02-01,4.83,4.83,4.83,4.83,0
2018-02-02,4.83,4.83,4.83,4.83,0
2018-02-05,4.83,4.83,4.83,4.83,0
2018-02-06,4.83,4.83,4.83,4.83,0
2018-02-07,4.83,4.83,4.83,4.83,0
2018-02-08,4.16,5.54,4.16,4.29,400
2018-02-09,3.95,3.95,3.95,3.95,100
2018-02-12,3.87,3.87,3.87,3.87,100
2018-02-13,3.87,3.87,3.87,3.87,0
2018-02-21,3.87,3.87,3.87,3.87,0
2018-02-22,3.87,3.87,3.87,3.87,0
2018-02-23,3.87,3.87,3.87,3.87,0
2018-02-26,3.87,3.87,3.87,3.87,0
2018-02-27,3.87,3.87,3.87,3.87,0
2018-02-28,3.87,3.87,3.87,3.87,0
2018-03-01,3.87,3.87,3.87,3.87,0
2018-03-02,3.87,3.87,3.87,3.87,0
2018-03-05,3.87,3.87,3.87,3.87,0
2018-03-06,3.87,3.87,3.87,3.87,0
2018-03-07,3.87,3.87,3.87,3.87,0
2018-03-08,3.87,3.87,3.87,3.87,0
2018-03-09,3.87,3.87,3.87,3.87,0
2018-03-12,3.87,3.87,3.87,3.87,0
2018-03-13,3.87,3.87,3.87,3.87,0
2018-03-14,3.87,3.87,3.87,3.87,0
2018-03-15,3.87,3.87,3.87,3.87,0
2018-03-16,3.87,3.87,3.87,3.87,0
2018-03-19,3.87,3.87,3.87,3.87,0
2018-03-20,3.87,3.87,3.87,3.87,0
2018-03-21,3.87,3.87,3.87,3.87,0
2018-03-22,3.87,3.87,3.87,3.87,0
2018-03-23,3.87,3.87,3.87,3.87,0
2018-03-26,3.87,3.87,3.87,3.87,0
2018-03-27,3.87,3.87,3.87,3.87,0
2018-03-28,3.87,3.87,3.87,3.87,0
2018-03-29,3.87,3.87,3.87,3.87,0
2018-03-30,3.87,3.87,3.87,3.87,0
2018-04-02,3.87,3.87,3.87,3.87,0
2018-04-03,3.87,3.87,3.87,3.87,0
2018-04-04,3.87,3.87,3.87,3.87,0
2018-04-05,3.87,3.87,3.87,3.87,0
2018-04-06,3.87,3.87,3.87,3.87,0
2018-04-09,3.87,3.87,3.87,3.87,0
2018-04-10,3.87,3.87,3.87,3.87,0
2018-04-11,3.87,3.87,3.87,3.87,0
2018-04-12,3.87,3.87,3.87,3.87,0
2018-04-13,3.87,3.87,3.87,3.87,0
2018-04-16,3.87,3.87,3.87,3.87,0
2018-04-17,3.87,3.87,3.87,3.87,0
2018-04-18,3.87,3.87,3.87,3.87,0
2018-04-19,3.87,3.87,3.87,3.87,0
2018-04-20,3.87,3.87,3.87,3.87,0
2018-04-23,3.87,3.87,3.87,3.87,0
2018-04-24,3.87,3.87,3.87,3.87,0
2018-04-26,3.87,3.87,3.87,3.87,0
2018-04-27,3.87,3.87,3.87,3.87,0
2018-05-02,3.87,3.87,3.87,3.87,0
2018-05-03,3.87,3.87,3.87,3.87,0
2018-05-04,3.87,3.87,3.87,3.87,0
2018-05-07,3.87,3.87,3.87,3.87,0
2018-05-08,3.87,3.87,3.87,3.87,0
2018-05-09,3.87,3.87,3.87,3.87,0
2018-05-10,3.87,3.87,3.87,3.87,0
2018-05-11,3.87,3.87,3.87,3.87,0
2018-05-14,3.87,3.87,3.87,3.87,0
2018-05-15,3.87,3.87,3.87,3.87,0
2018-05-16,3.87,3.87,3.87,3.87,0
2018-05-17,3.87,3.87,3.87,3.87,0
2018-05-18,3.87,3.87,3.87,3.87,0
2018-05-21,3.87,3.87,3.87,3.87,0
2018-05-22,3.87,3.87,3.87,3.87,0
2018-05-23,3.87,3.87,3.87,3.87,0
2018-05-24,3.87,3.87,3.87,3.87,0
2018-05-25,3.87,3.87,3.87,3.87,0
2018-05-28,3.87,3.87,3.87,3.87,0
2018-05-29,3.87,3.87,3.87,3.87,0
2018-05-30,3.87,3.87,3.87,3.87,0
2018-05-31,3.87,3.87,3.87,3.87,0
2018-06-01,3.87,3.87,3.87,3.87,0
2018-06-04,3.87,3.87,3.87,3.87,0
2018-06-05,3.87,3.87,3.87,3.87,0
2018-06-06,3.87,3.87,3.87,3.87,0
2018-06-07,3.87,3.87,3.87,3.87,0
2018-06-08,3.87,3.87,3.87,3.87,0
2018-06-11,3.87,3.87,3.87,3.87,0
2018-06-12,3.87,3.87,3.87,3.87,0
2018-06-13,3.87,3.87,3.87,3.87,0
2018-06-14,5.41,5.41,5.41,5.41,100
2018-06-15,6.2,6.2,6.2,6.2,100
2018-06-18,6.2,6.2,6.2,6.2,0
2018-06-19,7.11,7.11,7.11,7.11,9765
2018-06-20,7.11,7.11,7.11,7.11,0
2018-06-21,6.2,8.17,6.2,6.2,300
2018-06-22,7.85,7.85,6.42,6.42,200
2018-06-25,7.16,7.16,7.16,7.16,0
2018-06-26,6.52,6.52,6.52,6.52,100
2018-06-27,7.48,7.48,7.48,7.48,100
2018-06-28,6.47,6.47,6.47,6.47,100
2018-06-29,5.89,7.42,5.89,7.42,300
2018-07-02,6.1,6.1,6.1,6.1,100
2018-07-03,6.1,6.1,6.1,6.1,1
2018-07-04,5.46,7.0,5.46,7.0,264
2018-07-05,7.16,7.16,7.16,7.16,100
2018-07-06,7.16,7.16,7.16,7.16,0
2018-07-09,6.1,6.1,6.1,6.1,100
2018-07-10,6.1,6.1,6.1,6.1,0
2018-07-11,6.1,6.1,6.1,6.1,0
2018-07-12,6.1,6.1,6.1,6.1,0
2018-07-13,5.2,5.2,5.2,5.2,100
2018-07-16,5.2,5.2,5.2,5.2,0
2018-07-17,5.2,5.2,5.2,5.2,0
2018-07-18,5.2,5.2,5.2,5.2,0
2018-07-19,5.2,5.2,5.2,5.2,0
2018-07-20,5.2,5.2,5.2,5.2,0
2018-07-23,5.2,5.2,5.2,5.2,0
2018-07-24,5.2,5.2,5.2,5.2,0
2018-07-25,5.2,5.2,5.2,5.2,0
2018-07-26,5.2,5.2,5.2,5.2,0
2018-07-27,5.2,5.2,5.2,5.2,0
2018-07-30,5.2,5.2,5.2,5.2,0
2018-07-31,5.2,5.2,5.2,5.2,0
2018-08-01,5.2,5.2,5.2,5.2,0
2018-08-02,5.2,5.2,5.2,5.2,0
2018-08-03,5.2,5.2,5.2,5.2,0
2018-08-06,5.2,5.2,5.2,5.2,0
2018-08-07,5.2,5.2,5.2,5.2,0
2018-08-08,5.2,5.2,5.2,5.2,0
2018-08-09,5.2,5.2,5.2,5.2,0
2018-08-10,5.2,5.2,5.2,5.2,0
2018-08-13,5.2,5.2,5.2,5.2,0
2018-08-14,5.2,5.2,5.2,5.2,0
2018-08-15,5.2,5.2,5.2,5.2,0
2018-08-16,5.2,5.2,5.2,5.2,0
2018-08-17,5.2,5.2,5.2,5.2,0
2018-08-20,5.2,5.2,5.2,5.2,0
2018-08-21,5.2,5.2,5.2,5.2,0
2018-08-22,4.83,4.83,4.83,4.83,100
2018-08-23,4.83,4.83,4.83,4.83,0
2018-08-24,4.83,4.83,4.83,4.83,0
2018-08-27,4.83,4.83,4.83,4.83,0
2018-08-28,4.83,4.83,4.83,4.83,0
2018-08-29,4.83,4.83,4.83,4.83,0
2018-08-30,4.83,4.83,4.83,4.83,0
2018-08-31,4.83,4.83,4.83,4.83,0
2018-09-04,4.83,4.83,4.83,4.83,0
2018-09-05,4.83,4.83,4.83,4.83,0
2018-09-06,4.83,4.83,4.83,4.83,0
2018-09-07,4.83,4.83,4.83,4.83,0
2018-09-10,4.83,4.83,4.83,4.83,0
2018-09-11,4.83,4.83,4.83,4.83,0
2018-09-12,4.83,4.83,4.83,4.83,0
2018-09-13,4.83,4.83,4.83,4.83,0
2018-09-14,4.83,4.83,4.83,4.83,0
2018-09-17,4.83,4.83,4.83,4.83,0
2018-09-18,4.83,4.83,4.83,4.83,0
2018-09-19,4.83,4.83,4.83,4.83,0
2018-09-20,4.83,4.83,4.83,4.83,0
2018-09-21,4.83,4.83,4.83,4.83,0
2018-09-24,4.83,4.83,4.83,4.83,0
2018-09-25,4.83,4.83,4.83,4.83,0
2018-09-26,4.83,4.83,4.83,4.83,0
2018-09-27,4.83,4.83,4.83,4.83,0
2018-09-28,4.83,4.83,4.83,4.83,0
2018-10-01,4.83,4.83,4.83,4.83,0
2018-10-02,4.83,4.83,4.83,4.83,0
2018-10-03,4.83,4.83,4.83,4.83,0
2018-10-04,4.83,4.83,4.83,4.83,0
2018-10-05,4.83,4.83,4.83,4.83,0
2018-10-08,4.83,4.83,4.83,4.83,0
2018-10-09,4.83,4.83,4.83,4.83,0
