time,open,high,low,close,volume
2018-01-02,12.3,13.1,12.3,13.1,20670
2018-01-03,13.1,14.0,13.1,13.98,138310
2018-01-04,14.83,14.83,13.98,14.65,11680
2018-01-05,14.17,14.65,13.69,14.5,21730
2018-01-08,14.46,14.46,13.58,13.76,10960
2018-01-09,14.13,14.13,13.76,13.76,5250
2018-01-10,13.73,13.73,13.21,13.29,25960
2018-01-11,13.95,13.95,13.58,13.84,3110
2018-01-12,13.84,14.09,13.54,13.75,23390
2018-01-15,13.1,14.02,13.1,13.86,2670
2018-01-16,13.25,13.84,13.21,13.76,18350
2018-01-17,13.16,13.69,12.94,13.47,49790
2018-01-18,12.7,13.36,12.53,13.14,22120
2018-01-19,13.14,13.21,12.66,13.21,12300
2018-01-22,13.21,13.58,12.85,12.85,22580
2018-01-23,12.85,12.85,12.85,12.85,0
2018-01-24,12.85,12.85,12.85,12.85,0
2018-01-25,12.75,13.31,12.7,12.7,97300
2018-01-26,13.21,13.21,12.66,12.83,15090
2018-01-29,12.81,13.18,12.66,13.18,13910
2018-01-30,13.18,13.21,12.85,12.85,23520
2018-01-31,13.14,13.51,12.85,13.47,28770
2018-02-01,12.83,13.21,12.81,13.2,2150
2018-02-02,12.94,13.2,12.66,12.66,3480
2018-02-05,12.5,12.85,12.28,12.83,6540
2018-02-06,12.48,12.48,11.95,11.97,19160
2018-02-07,11.82,12.66,11.82,12.48,11470
2018-02-08,12.81,12.85,12.81,12.85,50
2018-02-09,12.11,12.66,12.11,12.66,1180
2018-02-12,12.85,12.85,12.11,12.66,2870
2018-02-13,13.03,13.03,12.11,12.81,8580
2018-02-21,13.21,13.54,12.85,12.85,880
2018-02-22,12.85,13.4,12.66,12.92,3430
2018-02-23,13.18,13.4,12.77,13.21,5470
2018-02-26,13.38,13.38,12.92,13.03,4730
2018-02-27,13.03,13.03,12.13,12.63,12520
2018-02-28,12.57,12.66,12.19,12.66,3600
2018-03-01,12.66,12.66,12.59,12.59,3260
2018-03-02,11.97,12.48,11.95,12.48,1030
2018-03-05,12.3,12.48,12.15,12.44,4830
2018-03-06,12.61,12.61,12.17,12.3,16040
2018-03-07,12.37,12.37,12.02,12.22,14280
2018-03-08,11.93,12.35,11.93,12.22,560
2018-03-09,12.0,12.41,11.76,11.76,78310
2018-03-12,12.22,12.22,11.56,11.82,7910
2018-03-13,11.75,11.93,11.56,11.86,13440
2018-03-14,11.75,12.68,11.75,12.68,51950
2018-03-15,12.99,13.01,12.7,12.74,40370
2018-03-16,12.74,13.62,12.74,13.62,46080
2018-03-19,13.91,13.91,12.92,13.69,40310
2018-03-20,13.4,13.65,13.21,13.6,2570
2018-03-21,13.4,13.95,13.21,13.4,28140
2018-03-22,13.25,14.11,13.25,14.11,40410
2018-03-23,13.58,14.09,13.58,13.84,18780
2018-03-26,14.08,14.08,13.58,13.58,13080
2018-03-27,13.93,14.31,13.91,14.31,51970
2018-03-28,14.46,14.46,14.09,14.31,12400
2018-03-29,14.31,14.44,14.13,14.13,12720
2018-03-30,14.13,14.42,14.11,14.31,16470
