time,open,high,low,close,volume
2020-07-01,9.61,13.05,9.61,13.05,120500
2020-07-02,9.88,11.33,9.88,11.33,102800
2020-07-03,12.96,12.96,12.96,12.96,113200
2020-07-06,14.86,14.86,11.06,11.42,108600
2020-07-07,10.06,10.06,9.79,9.79,29600
2020-07-08,8.43,8.43,8.43,8.43,5000
2020-07-09,7.25,9.61,7.25,9.61,46564
2020-07-10,8.16,8.61,7.25,8.16,20008
2020-07-13,7.25,8.06,6.71,6.71,39000
2020-07-14,6.71,6.8,6.25,6.71,36670
2020-07-15,7.25,7.25,6.34,6.62,45920
2020-07-16,6.52,6.98,6.52,6.98,36050
2020-07-17,6.52,6.71,6.43,6.71,38700
2020-07-20,6.71,6.71,6.62,6.71,32430
2020-07-21,6.71,6.8,6.43,6.71,36608
2020-07-22,6.62,6.98,6.62,6.98,40405
2020-07-23,6.71,6.71,6.62,6.71,25215
2020-07-24,6.8,6.8,6.43,6.52,28800
2020-07-27,6.34,6.62,5.71,6.62,24415
2020-07-28,5.44,6.16,5.44,6.16,25110
2020-07-29,5.53,5.89,5.53,5.89,31400
2020-07-30,5.8,5.8,5.8,5.8,13200
2020-07-31,5.89,5.89,5.71,5.89,25000
2020-08-03,5.8,5.89,5.8,5.8,25320
2020-08-04,5.89,5.98,5.89,5.98,1800
2020-08-05,5.89,6.16,5.89,6.16,300
2020-08-06,6.98,6.98,5.98,6.25,5300
2020-08-07,6.07,6.52,6.07,6.52,13000
2020-08-10,6.16,6.25,6.16,6.25,5110
2020-08-11,5.89,6.25,5.89,6.25,15800
2020-08-12,5.89,6.07,5.89,6.07,17400
2020-08-13,6.07,6.07,6.07,6.07,16000
2020-08-14,6.07,6.25,6.07,6.25,20710
2020-08-17,5.98,6.16,5.89,6.16,7600
2020-08-18,5.98,5.98,5.98,5.98,2000
2020-08-19,5.98,5.98,5.89,5.98,11500
2020-08-20,5.98,6.25,5.98,6.07,18700
2020-08-21,6.07,6.16,6.07,6.16,15200
2020-08-24,6.16,6.25,6.16,6.16,14900
2020-08-25,6.16,6.25,6.16,6.25,9200
2020-08-26,6.16,6.25,6.16,6.25,11300
2020-08-27,6.16,6.25,6.16,6.16,15501
2020-08-28,6.98,6.98,6.43,6.52,7300
2020-08-31,6.89,6.89,6.43,6.43,5800
2020-09-01,6.71,6.43,6.43,6.43,0
2020-09-03,6.25,6.34,5.98,6.34,22100
2020-09-04,5.98,6.43,5.98,6.43,6800
2020-09-07,5.98,5.98,5.89,5.89,3500
2020-09-08,5.89,5.98,5.89,5.98,13400
2020-09-09,5.89,5.98,5.89,5.98,25163
2020-09-10,5.98,5.98,5.89,5.98,8000
2020-09-11,5.98,6.07,5.89,5.89,4700
2020-09-14,5.89,5.98,5.89,5.98,2500
2020-09-15,5.98,5.98,5.98,5.98,0
2020-09-16,5.98,5.98,5.89,5.98,12200
2020-09-17,5.89,5.89,5.89,5.89,33000
2020-09-18,5.8,5.8,5.8,5.8,19500
2020-09-21,5.8,5.98,5.8,5.8,26500
2020-09-22,5.8,5.89,5.8,5.89,3200
