time,open,high,low,close,volume
2018-01-02,8.52,8.52,8.52,8.52,1000
2018-01-03,8.52,8.52,8.52,8.52,0
2018-01-04,8.52,8.52,8.52,8.52,0
2018-01-05,8.29,8.29,8.29,8.29,3000
2018-01-08,8.05,8.13,8.05,8.05,11000
2018-01-09,8.29,8.29,8.05,8.13,3500
2018-01-10,8.13,8.13,8.05,8.05,15800
2018-01-11,8.05,8.05,8.05,8.05,0
2018-01-12,8.05,8.05,8.05,8.05,18100
2018-01-15,8.05,8.05,8.05,8.05,0
2018-01-16,8.05,8.05,8.05,8.05,0
2018-01-17,8.29,8.29,8.29,8.29,3600
2018-01-18,8.29,8.29,8.29,8.29,0
2018-01-19,8.13,8.13,7.97,7.97,8300
2018-01-22,7.97,7.97,7.97,7.97,0
2018-01-23,7.97,7.97,7.97,7.97,0
2018-01-24,7.97,8.05,7.97,8.05,15500
2018-01-25,7.97,8.37,7.97,8.37,13200
2018-01-26,8.52,8.6,8.45,8.45,3500
2018-01-29,8.52,8.52,8.52,8.52,900
2018-01-30,8.52,8.52,8.52,8.52,0
2018-01-31,8.52,8.52,8.52,8.52,0
2018-02-01,7.89,8.29,7.26,7.89,10200
2018-02-02,7.89,7.89,7.89,7.89,3500
2018-02-05,7.42,7.5,7.18,7.26,14400
2018-02-06,8.05,8.05,8.05,8.05,100
2018-02-07,8.05,8.05,8.05,8.05,0
2018-02-08,6.87,6.87,6.87,6.87,600
2018-02-09,7.89,7.89,7.89,7.89,4000
2018-02-12,9.0,9.0,9.0,9.0,100
2018-02-13,9.0,9.0,9.0,9.0,0
2018-02-21,8.21,8.21,8.21,8.21,100
2018-02-22,7.89,8.21,7.89,8.21,11000
2018-02-23,8.13,8.13,8.13,8.13,0
2018-02-26,8.13,8.13,8.13,8.13,0
2018-02-27,8.13,8.13,8.13,8.13,0
2018-02-28,8.13,8.13,8.13,8.13,0
2018-03-01,8.13,8.13,8.13,8.13,0
2018-03-02,8.13,8.13,8.13,8.13,0
2018-03-05,7.89,7.89,7.89,7.89,5000
2018-03-06,7.89,8.13,7.89,8.13,3600
2018-03-07,8.13,8.13,8.13,8.13,2000
2018-03-08,8.21,8.21,8.13,8.21,1500
2018-03-09,8.13,8.21,8.13,8.21,2000
2018-03-12,8.13,8.13,8.13,8.13,1500
2018-03-13,8.13,8.13,8.05,8.05,2500
2018-03-14,9.08,9.08,7.97,7.97,3100
2018-03-15,7.97,7.97,7.97,7.97,4500
2018-03-16,7.97,7.97,7.97,7.97,0
2018-03-19,8.29,8.29,8.29,8.29,1000
2018-03-20,8.29,8.29,8.29,8.29,0
2018-03-21,8.05,8.37,7.97,8.37,19100
2018-03-22,8.13,8.13,8.13,8.13,0
2018-03-23,8.29,8.29,8.29,8.29,900
2018-03-26,7.97,8.21,7.89,8.21,6100
2018-03-27,8.13,8.13,8.13,8.13,4000
2018-03-28,7.97,7.97,7.89,7.89,1900
2018-03-29,7.97,7.97,7.97,7.97,33500
2018-03-30,7.97,7.97,7.97,7.97,0
2018-04-02,7.97,7.97,7.97,7.97,0
2018-04-03,7.89,8.05,7.89,8.05,7300
2018-04-04,7.97,7.97,7.97,7.97,200
2018-04-05,7.97,7.97,7.97,7.97,0
2018-04-06,8.05,8.13,8.05,8.13,10200
2018-04-09,8.05,8.05,8.05,8.05,0
2018-04-10,8.05,8.05,8.05,8.05,3000
2018-04-11,8.05,8.05,8.05,8.05,2200
2018-04-12,8.05,8.05,8.05,8.05,1000
2018-04-13,8.05,8.05,8.05,8.05,0
2018-04-16,8.05,8.05,8.05,8.05,0
2018-04-17,8.05,8.05,8.05,8.05,0
2018-04-18,8.05,8.13,8.05,8.05,7600
2018-04-19,8.05,8.05,8.05,8.05,2400
2018-04-20,8.05,8.05,8.05,8.05,0
2018-04-23,8.05,8.05,8.05,8.05,0
2018-04-24,8.05,8.05,8.05,8.05,3500
2018-04-26,8.05,8.05,8.05,8.05,0
2018-04-27,8.05,8.05,8.05,8.05,0
2018-05-02,7.89,8.05,7.89,8.05,1300
2018-05-03,7.89,7.89,7.89,7.89,0
2018-05-04,7.89,7.89,7.89,7.89,0
2018-05-07,7.89,7.89,7.89,7.89,0
2018-05-08,7.89,7.89,7.89,7.89,0
2018-05-09,8.05,8.29,8.05,8.29,2600
2018-05-10,8.29,8.29,8.29,8.29,10500
2018-05-11,8.29,8.29,8.29,8.29,0
2018-05-14,8.29,8.29,8.29,8.29,3000
2018-05-15,8.29,8.29,8.29,8.29,0
2018-05-16,8.29,8.29,8.29,8.29,0
2018-05-17,8.29,8.29,8.29,8.29,0
2018-05-18,8.29,8.29,8.29,8.29,0
2018-05-21,8.29,8.29,8.29,8.29,2000
2018-05-22,8.29,8.29,8.29,8.29,4700
2018-05-23,8.29,8.29,8.29,8.29,0
2018-05-24,8.29,8.29,8.29,8.29,0
2018-05-25,8.29,8.29,8.29,8.29,0
2018-05-28,8.29,8.29,8.29,8.29,0
2018-05-29,8.29,8.29,8.29,8.29,0
2018-05-30,8.29,8.29,8.29,8.29,0
2018-05-31,8.29,8.29,8.29,8.29,0
2018-06-01,8.29,8.29,8.29,8.29,0
2018-06-04,8.29,8.29,8.29,8.29,0
2018-06-05,8.29,8.29,8.29,8.29,0
2018-06-06,7.89,7.89,7.89,7.89,7300
2018-06-07,7.89,7.89,7.89,7.89,1000
2018-06-08,7.89,7.89,7.89,7.89,0
2018-06-11,7.89,7.89,7.89,7.89,0
2018-06-12,7.89,7.89,7.89,7.89,0
2018-06-13,7.89,7.89,7.89,7.89,0
2018-06-14,7.89,7.89,7.89,7.89,0
2018-06-15,7.89,7.89,7.89,7.89,0
2018-06-18,7.89,7.89,7.89,7.89,0
2018-06-19,7.89,7.89,7.89,7.89,0
2018-06-20,7.89,7.89,7.89,7.89,100
2018-06-21,7.89,7.89,7.89,7.89,0
2018-06-22,7.89,7.89,7.89,7.89,500
2018-06-25,7.89,7.89,7.89,7.89,1300
2018-06-26,7.89,7.89,7.89,7.89,1100
2018-06-27,7.89,7.89,7.89,7.89,0
2018-06-28,6.71,6.71,6.71,6.71,100
2018-06-29,6.71,6.71,6.71,6.71,0
2018-07-02,6.71,6.71,6.71,6.71,0
2018-07-03,5.76,5.76,5.76,5.76,100
2018-07-04,6.55,6.55,6.55,6.55,100
2018-07-05,7.5,7.5,7.5,7.5,100
2018-07-06,7.89,7.89,7.89,7.89,100
2018-07-09,7.89,7.89,7.89,7.89,100
2018-07-10,7.89,7.89,7.5,7.5,300
2018-07-11,7.62,7.62,7.62,7.62,0
2018-07-12,8.12,8.12,8.12,8.12,100
2018-07-13,8.12,8.12,8.12,8.12,0
2018-07-16,8.12,8.12,8.12,8.12,0
2018-07-17,6.97,9.26,6.97,9.26,200
2018-07-18,8.12,8.12,8.12,8.12,0
2018-07-19,8.12,8.12,8.12,8.12,0
2018-07-20,8.61,8.61,8.61,8.61,1000
2018-07-23,8.61,8.61,8.61,8.61,0
2018-07-24,8.61,8.61,8.61,8.61,0
2018-07-25,8.61,8.61,8.61,8.61,0
2018-07-26,8.61,8.61,8.61,8.61,0
2018-07-27,9.84,9.84,9.84,9.84,300
2018-07-30,9.02,9.02,9.02,9.02,2000
2018-07-31,9.02,9.02,9.02,9.02,0
2018-08-01,9.02,9.02,9.02,9.02,0
2018-08-02,9.02,9.02,9.02,9.02,0
2018-08-03,8.94,8.94,8.61,8.61,6700
2018-08-06,8.61,8.61,8.61,8.61,100
2018-08-07,8.69,8.69,8.69,8.69,4400
2018-08-08,8.69,8.69,8.61,8.61,5300
2018-08-09,8.61,8.61,8.61,8.61,2100
2018-08-10,8.61,8.61,8.61,8.61,0
2018-08-13,8.2,8.2,8.2,8.2,3000
2018-08-14,8.2,8.2,8.2,8.2,0
2018-08-15,7.79,7.79,7.79,7.79,2000
2018-08-16,7.79,7.79,7.79,7.79,0
2018-08-17,7.79,7.79,7.79,7.79,0
2018-08-20,7.79,7.79,7.79,7.79,900
2018-08-21,7.79,7.79,7.79,7.79,0
2018-08-22,7.79,7.79,7.79,7.79,0
2018-08-23,7.79,7.79,7.79,7.79,0
2018-08-24,7.79,7.79,7.79,7.79,0
2018-08-27,7.79,7.79,7.79,7.79,0
2018-08-28,7.79,7.79,7.79,7.79,0
2018-08-29,7.87,7.87,7.71,7.87,4600
2018-08-30,8.94,8.94,8.94,8.94,100
2018-08-31,10.25,10.25,10.25,10.25,100
2018-09-04,10.25,10.25,10.25,10.25,0
2018-09-05,8.77,10.17,8.77,10.17,1400
2018-09-06,10.17,10.17,10.17,10.17,100
2018-09-07,10.17,10.17,10.17,10.17,0
2018-09-10,8.69,10.0,8.69,10.0,300
2018-09-11,9.1,9.1,9.1,9.1,2700
2018-09-12,9.1,9.1,9.1,9.1,8400
2018-09-13,9.35,9.43,9.35,9.43,11500
2018-09-14,10.66,10.66,10.66,10.66,100
2018-09-17,10.66,10.66,10.66,10.66,0
2018-09-18,10.66,10.66,10.66,10.66,0
2018-09-19,9.1,9.1,9.1,9.1,1000
2018-09-20,7.87,7.87,7.87,7.87,4300
2018-09-21,9.02,9.02,9.02,9.02,100
2018-09-24,9.02,9.02,9.02,9.02,0
2018-09-25,7.79,7.87,7.79,7.87,3500
2018-09-26,9.02,9.02,9.02,9.02,100
2018-09-27,8.2,8.61,8.2,8.61,6000
2018-09-28,8.36,8.36,8.36,8.36,0
2018-10-01,8.36,8.36,8.36,8.36,0
2018-10-02,8.2,8.2,8.2,8.2,2000
2018-10-03,9.26,9.26,9.26,9.26,100
2018-10-04,9.26,9.26,9.26,9.26,0
2018-10-05,8.61,8.61,8.61,8.61,1000
2018-10-08,8.61,8.61,8.61,8.61,0
2018-10-09,9.84,9.84,7.71,7.71,200
2018-10-10,8.77,8.77,8.77,8.77,0
2018-10-11,8.77,8.77,8.77,8.77,0
2018-10-12,8.77,8.77,8.77,8.77,0
2018-10-15,8.77,8.77,8.77,8.77,0
2018-10-16,8.77,8.77,8.77,8.77,0
2018-10-17,8.77,8.77,8.77,8.77,0
2018-10-18,8.77,8.77,8.77,8.77,0
2018-10-19,8.2,8.2,8.2,8.2,5000
2018-10-22,8.2,8.2,8.2,8.2,0
2018-10-23,8.2,8.2,8.2,8.2,0
2018-10-24,8.2,8.2,8.2,8.2,0
2018-10-25,8.2,8.2,8.2,8.2,900
2018-10-26,8.2,8.2,8.2,8.2,0
2018-10-29,8.2,8.28,8.2,8.28,1200
2018-10-30,8.28,8.28,8.28,8.28,1000
2018-10-31,8.28,8.28,8.28,8.28,0
2018-11-01,8.28,8.28,8.28,8.28,0
2018-11-02,8.2,8.2,8.2,8.2,5000
2018-11-05,8.2,8.2,8.2,8.2,0
2018-11-06,8.2,8.2,8.2,8.2,0
2018-11-07,8.53,8.61,8.53,8.61,4700
2018-11-08,8.61,8.61,8.61,8.61,0
2018-11-09,8.03,8.03,8.03,8.03,2000
2018-11-12,8.03,8.03,8.03,8.03,1500
2018-11-13,9.18,9.18,9.18,9.18,100
2018-11-14,9.18,9.18,9.18,9.18,0
2018-11-15,8.03,8.03,8.03,8.03,500
2018-11-16,8.03,8.03,8.03,8.03,0
2018-11-19,8.03,8.03,8.03,8.03,0
2018-11-20,8.2,8.2,8.2,8.2,1000
2018-11-21,8.2,8.2,8.2,8.2,0
2018-11-22,8.2,8.2,8.2,8.2,0
2018-11-23,8.2,8.2,8.2,8.2,0
2018-11-26,8.2,8.2,8.2,8.2,0
2018-11-27,8.2,8.2,8.2,8.2,0
2018-11-28,8.03,8.2,8.03,8.2,7200
2018-11-29,8.2,8.2,8.2,8.2,0
2018-11-30,8.53,8.69,8.53,8.69,1400
2018-12-03,8.61,8.69,8.69,8.69,0
2018-12-04,9.84,9.84,9.84,9.84,100
2018-12-05,9.84,9.84,9.84,9.84,0
2018-12-06,9.84,9.84,9.84,9.84,0
2018-12-07,9.84,9.84,9.84,9.84,0
2018-12-10,9.84,9.84,9.84,9.84,0
2018-12-11,9.84,9.84,9.84,9.84,0
2018-12-12,9.84,9.84,9.84,9.84,0
2018-12-13,9.84,9.84,9.84,9.84,0
2018-12-14,9.84,9.84,9.84,9.84,0
2018-12-17,8.69,8.69,8.69,8.69,2000
2018-12-18,8.69,8.69,8.69,8.69,0
2018-12-19,8.69,8.69,8.69,8.69,0
2018-12-20,8.69,8.69,8.69,8.69,0
2018-12-21,8.36,8.36,8.36,8.36,200
2018-12-24,8.36,8.36,8.36,8.36,0
2018-12-25,8.36,8.36,8.36,8.36,0
2018-12-26,8.36,8.36,8.36,8.36,900
2018-12-27,8.36,8.36,8.36,8.36,200
2018-12-28,8.28,8.36,8.28,8.36,13200
2019-01-02,9.59,9.59,9.59,9.59,100
2019-01-03,9.59,9.59,9.59,9.59,0
2019-01-04,9.59,9.59,9.59,9.59,0
2019-01-07,9.59,9.59,9.59,9.59,0
2019-01-08,9.59,9.59,9.59,9.59,0
2019-01-09,9.59,9.59,9.59,9.59,0
2019-01-10,9.59,9.59,9.59,9.59,0
2019-01-11,9.59,9.59,9.59,9.59,0
2019-01-14,9.59,9.59,9.59,9.59,0
2019-01-15,9.59,9.59,9.59,9.59,0
2019-01-16,9.59,9.59,9.59,9.59,0
2019-01-17,9.59,9.59,9.59,9.59,0
2019-01-18,9.59,9.59,9.59,9.59,0
2019-01-21,9.59,9.59,9.59,9.59,0
2019-01-22,9.59,9.59,9.59,9.59,0
2019-01-23,9.59,9.59,9.59,9.59,0
2019-01-24,9.59,9.59,9.59,9.59,0
2019-01-25,9.59,9.59,9.59,9.59,0
2019-01-28,9.59,9.59,9.59,9.59,0
2019-01-29,9.59,9.59,9.59,9.59,0
2019-01-30,9.59,9.59,9.59,9.59,0
2019-01-31,9.59,9.59,9.59,9.59,0
2019-02-01,9.59,9.59,9.59,9.59,0
2019-02-11,8.61,9.43,8.61,9.43,500
2019-02-12,8.94,9.43,9.43,9.43,0
2019-02-13,8.94,9.43,9.43,9.43,0
2019-02-14,8.94,9.43,9.43,9.43,0
2019-02-15,8.94,9.43,9.43,9.43,0
2019-02-18,8.94,9.43,9.43,9.43,0
2019-02-19,8.94,9.43,9.43,9.43,0
2019-02-20,8.94,9.43,9.43,9.43,0
2019-02-21,8.94,9.43,9.43,9.43,0
2019-02-22,8.94,9.43,9.43,9.43,0
2019-02-25,9.84,9.84,9.84,9.84,200
2019-02-26,9.84,9.84,9.84,9.84,0
2019-02-27,9.84,9.84,9.84,9.84,0
2019-02-28,9.84,9.84,9.84,9.84,0
2019-03-01,9.84,9.84,9.84,9.84,0
2019-03-04,9.84,9.84,9.84,9.84,0
2019-03-05,9.84,9.84,9.84,9.84,0
2019-03-06,9.84,9.84,9.84,9.84,0
2019-03-07,9.84,9.84,9.84,9.84,0
2019-03-08,9.84,9.84,9.84,9.84,0
2019-03-11,9.84,9.84,9.84,9.84,0
2019-03-12,9.84,9.84,9.84,9.84,0
2019-03-13,9.84,9.84,9.84,9.84,0
2019-03-14,9.84,9.84,9.84,9.84,0
2019-03-15,9.84,9.84,9.84,9.84,0
2019-03-18,8.61,8.61,8.61,8.61,3000
2019-03-19,8.61,8.61,8.61,8.61,0
2019-03-20,8.61,8.61,8.61,8.61,0
2019-03-21,8.61,9.02,8.36,8.36,50300
2019-03-22,8.61,8.36,8.36,8.36,0
