time,open,high,low,close,volume
2018-01-02,17.7,17.99,17.4,17.7,195500
2018-01-03,17.96,18.22,17.86,18.16,373780
2018-01-04,18.48,18.94,18.45,18.88,152470
2018-01-05,19.04,19.04,18.71,18.81,128420
2018-01-08,18.71,18.88,18.39,18.71,389840
2018-01-09,18.71,19.04,18.39,18.88,408330
2018-01-10,18.94,18.94,18.65,18.68,366270
2018-01-11,18.65,18.88,18.55,18.71,173250
2018-01-12,18.75,18.81,18.65,18.75,404280
2018-01-15,18.81,19.37,18.78,18.88,298310
2018-01-16,19.08,19.21,18.88,19.04,270960
2018-01-17,18.91,19.04,18.16,18.16,127560
2018-01-18,18.06,18.35,17.73,18.06,337510
2018-01-19,18.58,18.58,18.06,18.29,237730
2018-01-22,18.29,18.71,18.29,18.55,248230
2018-01-23,18.55,18.55,18.55,18.55,0
2018-01-24,18.55,18.55,18.55,18.55,0
2018-01-25,19.17,19.31,18.75,19.31,1030910
2018-01-26,19.47,19.8,19.37,19.57,315650
2018-01-29,19.7,19.7,19.04,19.17,117010
2018-01-30,18.81,19.01,18.65,18.81,197190
2018-01-31,18.81,18.88,18.22,18.22,285460
2018-02-01,18.35,18.98,18.32,18.98,253840
2018-02-02,18.62,19.01,18.62,18.88,135460
2018-02-05,18.32,18.71,17.57,17.57,187230
2018-02-06,16.35,16.81,16.35,16.35,553450
2018-02-07,16.78,17.27,16.35,16.35,395020
2018-02-08,16.42,16.58,16.35,16.45,259510
2018-02-09,15.92,17.07,15.79,17.07,271180
2018-02-12,17.07,17.24,16.61,17.07,101880
2018-02-13,16.91,17.4,16.91,17.11,57400
2018-02-21,17.07,17.63,16.94,17.57,90090
2018-02-22,17.47,17.63,17.4,17.57,156280
2018-02-23,17.57,17.57,17.24,17.4,82300
2018-02-26,17.4,17.4,16.78,16.91,178420
2018-02-27,17.04,17.04,16.45,16.91,112140
2018-02-28,16.91,17.24,16.68,16.91,74900
2018-03-01,16.65,16.91,16.42,16.48,213510
2018-03-02,16.48,17.4,16.48,17.34,120350
2018-03-05,18.06,18.19,17.57,17.83,376150
2018-03-06,17.89,17.99,17.2,17.4,178100
2018-03-07,17.4,17.47,16.74,16.97,280960
2018-03-08,16.97,17.24,16.61,16.71,120850
2018-03-09,16.74,17.3,16.61,16.71,254450
2018-03-12,16.71,17.86,16.71,17.86,181240
2018-03-13,17.86,18.78,17.86,18.78,489140
2018-03-14,18.78,18.81,18.45,18.55,172990
2018-03-15,18.62,19.13,18.55,19.13,192140
2018-03-16,19.13,19.13,18.75,19.13,88770
2018-03-19,18.99,19.1,18.58,18.89,186380
2018-03-20,18.89,18.89,18.38,18.38,131090
2018-03-21,18.38,19.06,18.04,19.06,172540
2018-03-22,19.37,19.71,19.06,19.54,251480
2018-03-23,18.38,20.9,18.38,20.9,572980
2018-03-26,21.14,21.95,21.14,21.55,488970
2018-03-27,21.61,22.06,21.27,21.61,397480
2018-03-28,21.14,22.09,21.14,22.06,337420
2018-03-29,22.12,23.01,22.12,23.01,622210
2018-03-30,23.08,23.86,22.74,23.83,641430
2018-04-02,24.03,24.1,23.25,23.25,334830
2018-04-03,23.28,24.17,23.18,23.66,508380
2018-04-04,24.0,24.34,23.96,24.1,293090
2018-04-05,24.17,25.15,24.17,24.92,507730
2018-04-06,25.05,25.09,24.34,24.61,365350
2018-04-09,24.61,24.85,23.45,23.66,532250
2018-04-10,23.76,23.79,22.74,22.81,981050
2018-04-11,23.32,23.83,23.18,23.62,447280
2018-04-12,23.62,24.68,23.49,24.34,416020
2018-04-13,24.64,25.02,24.34,24.51,413670
2018-04-16,24.2,24.51,23.86,23.86,171580
2018-04-17,23.86,25.53,23.83,25.53,995810
2018-04-18,26.21,26.58,25.53,25.6,728310
2018-04-19,25.6,26.52,25.6,26.48,525680
2018-04-20,26.55,26.58,25.94,26.48,515210
2018-04-23,25.19,26.04,24.64,24.64,982390
2018-04-24,23.15,24.17,22.94,23.32,804610
2018-04-26,23.49,23.49,21.72,21.72,277510
2018-04-27,20.25,20.83,20.22,20.22,1102970
2018-05-02,20.22,21.1,19.74,19.74,379270
2018-05-03,20.01,20.22,18.55,18.79,617250
2018-05-04,18.92,19.71,18.79,18.79,412730
2018-05-07,19.37,19.37,18.72,18.92,320790
2018-05-08,18.99,19.84,18.99,19.84,247900
2018-05-09,19.44,20.39,19.44,20.08,234250
2018-05-10,19.95,19.95,18.69,18.69,346130
2018-05-11,18.38,19.4,17.43,19.4,651640
2018-05-14,19.4,19.54,18.72,19.06,323700
2018-05-15,18.82,19.33,18.21,18.21,303620
2018-05-16,17.8,18.14,17.12,17.36,520640
2018-05-17,17.36,18.04,17.36,17.36,193850
2018-05-18,17.7,17.84,17.39,17.46,252820
2018-05-21,17.73,18.01,17.63,17.7,172880
2018-05-22,17.63,17.67,16.68,17.02,339050
2018-05-23,16.85,17.19,16.68,17.16,352480
2018-05-24,17.29,17.87,16.98,17.46,410790
2018-05-25,17.46,18.41,17.36,17.8,613360
2018-05-28,17.56,18.01,16.71,16.71,549720
2018-05-29,16.71,17.7,16.71,17.29,104370
2018-05-30,17.46,17.53,17.16,17.33,238730
2018-05-31,17.33,17.97,17.19,17.97,239330
2018-06-01,17.97,18.62,17.97,18.07,278480
2018-06-04,18.21,19.23,18.07,19.23,379430
2018-06-05,19.33,20.56,19.23,20.56,528950
2018-06-06,20.76,21.44,20.59,21.1,526310
2018-06-07,21.1,22.57,20.8,21.95,624270
2018-06-08,22.12,22.12,20.52,20.56,309970
2018-06-11,20.42,20.93,19.91,19.98,223900
2018-06-12,19.98,20.73,19.57,20.15,320470
2018-06-13,19.98,20.76,19.98,20.49,105210
2018-06-14,20.59,21.44,20.49,21.27,156670
2018-06-15,20.97,21.72,20.87,21.27,102750
2018-06-18,21.27,21.31,19.91,19.91,138870
2018-06-19,19.33,19.74,18.79,19.33,225220
2018-06-20,19.57,19.98,19.44,19.74,80060
2018-06-21,19.78,19.78,19.06,19.16,60060
2018-06-22,18.89,19.67,18.89,19.57,68180
2018-06-25,19.74,19.91,19.4,19.74,58180
2018-06-26,19.74,20.76,19.74,20.32,117390
2018-06-27,20.32,21.07,20.25,20.76,140630
2018-06-28,20.59,20.59,19.95,20.35,73860
2018-06-29,20.08,20.66,19.74,19.98,96370
2018-07-02,19.61,19.98,19.3,19.57,104780
2018-07-03,19.47,20.32,18.92,18.92,199400
2018-07-04,18.96,19.4,18.72,19.23,76530
2018-07-05,19.23,19.33,18.41,18.52,95180
2018-07-06,18.52,19.44,18.35,19.44,65330
2018-07-09,19.44,19.91,19.06,19.4,42940
2018-07-10,19.23,19.74,18.96,18.96,78170
2018-07-11,18.89,19.57,18.72,19.4,280340
2018-07-12,19.95,20.18,19.57,20.01,134710
2018-07-13,20.22,20.66,20.18,20.18,93870
2018-07-16,20.42,20.59,20.08,20.25,80020
2018-07-17,20.25,21.65,20.25,21.65,300720
2018-07-18,22.12,22.46,21.68,21.68,124070
2018-07-19,21.78,21.78,21.38,21.44,101840
2018-07-20,21.31,21.44,20.76,21.34,100530
2018-07-23,21.44,22.46,21.44,22.46,145690
2018-07-24,22.46,24.0,22.46,23.96,619930
2018-07-25,24.3,24.85,23.72,24.17,363880
2018-07-26,24.17,24.27,23.49,23.76,227380
2018-07-27,23.49,24.85,23.49,23.59,110740
2018-07-30,23.76,24.17,23.32,23.93,73380
2018-07-31,23.93,24.51,23.52,23.89,76540
2018-08-01,24.51,24.68,23.89,24.51,132100
2018-08-02,24.81,24.81,24.06,24.13,130380
2018-08-03,24.13,25.26,24.1,25.19,192050
2018-08-06,26.55,26.55,25.73,25.73,143320
2018-08-07,25.87,26.38,25.19,25.36,148430
2018-08-08,25.36,25.36,24.68,24.68,109830
2018-08-09,24.68,25.12,23.49,23.49,193360
2018-08-10,23.49,23.69,22.98,23.52,101580
2018-08-13,23.49,24.3,23.49,24.06,64220
2018-08-14,24.37,24.37,23.66,24.06,111520
2018-08-15,24.06,25.32,24.06,24.51,107580
2018-08-16,24.51,25.29,24.23,24.95,100380
2018-08-17,24.95,25.87,24.95,25.05,113260
2018-08-20,25.02,25.8,25.02,25.8,64840
2018-08-21,25.87,26.17,25.53,26.04,36590
2018-08-22,26.04,26.04,24.88,24.88,131460
2018-08-23,24.68,25.36,24.37,25.36,76190
2018-08-24,25.32,25.32,24.51,25.02,52690
2018-08-27,24.88,25.02,24.37,24.75,67410
2018-08-28,24.54,24.64,24.34,24.37,66620
2018-08-29,24.34,24.85,24.23,24.85,47900
2018-08-30,24.68,26.21,24.68,26.21,188680
2018-08-31,26.21,26.72,25.87,26.21,307280
2018-09-04,26.17,27.23,25.6,26.89,109240
2018-09-05,27.23,27.94,26.92,26.99,108720
2018-09-06,27.4,28.05,27.23,27.91,104560
2018-09-07,27.91,28.46,26.99,27.67,118960
2018-09-10,27.67,28.08,27.37,27.81,53010
2018-09-11,27.88,27.88,27.5,27.5,65780
2018-09-12,27.57,28.97,27.57,28.9,285360
2018-09-13,28.93,29.34,28.59,28.9,69530
2018-09-14,28.9,29.95,28.59,29.27,175290
2018-09-17,29.99,30.97,29.99,30.63,273120
2018-09-18,30.63,30.77,29.78,30.63,139180
2018-09-19,30.63,30.74,30.02,30.63,64050
2018-09-20,30.29,31.72,30.29,31.66,116680
2018-09-21,31.96,32.81,30.29,31.83,207860
2018-09-24,31.83,32.34,31.31,31.38,148290
2018-09-25,31.38,32.95,31.35,32.68,172550
2018-09-26,33.19,33.46,32.68,32.85,364580
2018-09-27,32.68,33.36,32.68,33.02,165950
2018-09-28,33.56,33.56,32.34,32.37,305460
2018-10-01,32.34,32.34,30.97,31.31,376900
2018-10-02,30.7,31.66,30.7,31.66,127210
2018-10-03,31.31,32.17,31.31,32.13,66970
2018-10-04,32.0,32.85,32.0,32.51,116920
2018-10-05,32.06,32.47,31.35,31.35,161710
2018-10-08,31.83,31.83,30.74,31.35,190100
2018-10-09,31.04,31.66,31.04,31.45,77940
2018-10-10,31.45,32.1,31.45,31.83,86820
2018-10-11,30.63,30.63,29.61,29.61,523010
2018-10-12,29.0,30.63,28.63,30.19,354460
2018-10-15,30.19,30.23,29.27,29.95,151580
2018-10-16,30.26,30.7,29.51,30.63,100660
2018-10-17,30.97,31.55,30.5,30.57,112100
2018-10-18,30.09,31.28,30.09,30.53,67240
2018-10-19,29.95,31.93,29.95,31.93,283210
2018-10-22,31.93,34.14,31.93,34.14,465490
2018-10-23,35.74,35.74,34.04,34.38,495200
2018-10-24,34.38,34.72,32.68,33.7,213500
2018-10-25,32.3,33.02,31.66,32.85,394760
2018-10-26,33.43,33.66,31.55,31.76,222000
2018-10-29,31.76,32.51,31.66,31.93,201180
2018-10-30,31.93,32.17,30.6,30.63,271000
2018-10-31,31.28,32.37,31.11,32.0,310530
2018-11-01,32.3,32.3,30.94,30.97,226100
2018-11-02,30.97,32.37,30.97,32.27,359930
2018-11-05,32.27,33.77,32.0,33.02,305780
2018-11-06,33.63,34.04,33.36,33.7,390290
2018-11-07,33.7,34.58,33.36,34.14,506550
2018-11-08,34.21,35.06,34.21,35.06,236090
2018-11-09,34.72,35.77,33.87,34.21,241290
2018-11-12,34.04,35.4,33.7,35.4,286930
2018-11-13,34.72,36.42,34.72,35.77,403630
2018-11-14,35.81,36.08,34.45,35.19,340470
2018-11-15,34.58,35.74,34.58,35.57,216230
2018-11-16,36.08,37.1,35.74,37.07,291630
2018-11-19,37.41,37.41,36.52,36.73,111740
2018-11-20,36.49,37.37,36.11,36.49,173100
2018-11-21,36.15,36.66,36.11,36.66,194270
2018-11-22,36.9,37.37,36.76,37.31,143900
2018-11-23,37.37,38.63,36.93,38.22,248310
2018-11-26,38.29,38.29,36.49,36.49,313170
2018-11-27,36.49,37.0,35.16,35.77,298700
2018-11-28,36.08,36.28,35.6,36.22,112530
2018-11-29,36.35,36.49,35.88,35.94,158100
2018-11-30,35.84,35.88,34.38,34.72,394640
2018-12-03,35.33,35.37,33.53,33.7,516390
2018-12-04,33.7,35.19,33.43,35.19,359830
2018-12-05,34.55,35.13,34.55,34.72,177240
2018-12-06,34.58,34.58,34.28,34.38,140150
2018-12-07,35.07,35.18,34.55,35.07,195270
2018-12-10,35.07,35.35,34.55,34.62,96430
2018-12-11,34.93,35.11,34.62,34.62,154600
2018-12-12,34.73,36.11,34.73,35.25,428020
2018-12-13,35.25,35.98,35.25,35.77,279910
2018-12-14,35.98,35.98,35.07,35.07,142780
2018-12-17,34.73,34.9,33.34,33.34,435350
2018-12-18,32.12,32.4,31.01,31.67,738190
2018-12-19,31.67,31.95,29.52,29.83,618650
2018-12-20,29.79,31.57,29.79,31.25,378980
2018-12-21,30.77,31.77,30.42,31.22,161440
2018-12-24,31.22,32.26,31.22,31.77,188880
2018-12-25,30.63,31.57,30.07,31.5,250900
2018-12-26,31.77,31.88,30.97,31.84,124240
2018-12-27,32.23,32.47,31.84,32.47,199870
2018-12-28,32.64,32.99,32.19,32.99,382200
2019-01-02,32.99,32.99,30.7,30.7,239100
2019-01-03,30.11,30.73,29.48,30.56,229740
2019-01-04,29.9,30.91,29.79,30.56,154970
2019-01-07,30.91,31.18,30.21,30.7,121960
2019-01-08,30.56,30.66,29.86,30.0,68350
2019-01-09,30.45,30.52,30.04,30.52,79990
2019-01-10,30.32,31.11,30.21,30.56,88970
2019-01-11,30.56,31.63,30.56,31.6,164300
2019-01-14,31.95,32.47,31.57,32.47,209110
2019-01-15,32.47,32.95,32.16,32.78,133580
2019-01-16,32.88,32.99,32.47,32.57,129120
2019-01-17,32.82,32.82,32.26,32.29,78040
2019-01-18,32.29,32.71,32.29,32.57,141510
2019-01-21,32.4,33.68,32.29,33.34,164060
2019-01-22,33.75,34.62,33.75,34.13,304100
2019-01-23,34.34,34.34,33.75,34.03,88290
2019-01-24,34.03,34.9,33.96,34.48,233230
2019-01-25,34.48,34.48,33.27,33.44,202160
2019-01-28,33.34,34.03,31.32,31.32,714710
2019-01-29,31.43,32.36,30.7,32.29,232500
2019-01-30,32.29,32.5,31.84,31.95,122370
2019-01-31,31.95,31.95,31.25,31.84,185000
2019-02-01,31.88,32.61,31.6,32.36,124690
2019-02-11,32.47,32.47,31.95,32.36,65970
2019-02-12,32.4,32.78,32.16,32.23,111830
2019-02-13,32.5,32.5,31.88,32.29,132860
2019-02-14,32.16,32.57,32.16,32.19,92550
2019-02-15,32.26,33.44,32.19,33.27,190270
2019-02-18,33.48,33.48,32.88,33.02,77690
2019-02-19,33.02,33.23,32.57,32.57,153540
2019-02-20,32.64,32.64,32.09,32.12,162840
2019-02-21,32.12,32.43,31.63,32.09,228770
2019-02-22,32.09,32.43,31.77,31.81,122670
2019-02-25,31.81,33.23,31.81,32.82,215980
2019-02-26,32.95,33.86,32.95,33.72,508360
2019-02-27,33.86,33.86,33.48,33.75,191210
2019-02-28,33.51,33.68,32.82,32.99,187830
2019-03-01,32.99,33.54,32.99,33.34,135970
2019-03-04,33.3,33.51,32.68,33.51,225860
