time,open,high,low,close,volume
2018-01-02,1.53,1.54,1.47,1.5,560790
2018-01-03,1.48,1.52,1.42,1.43,841430
2018-01-04,1.43,1.49,1.38,1.44,1700740
2018-01-05,1.43,1.46,1.36,1.37,2394290
2018-01-08,1.37,1.42,1.36,1.39,2126710
2018-01-09,1.4,1.4,1.35,1.36,1860570
2018-01-10,1.39,1.45,1.35,1.45,4314230
2018-01-11,1.47,1.51,1.45,1.46,1995450
2018-01-12,1.43,1.47,1.4,1.41,937640
2018-01-15,1.4,1.42,1.39,1.41,1047320
2018-01-16,1.41,1.41,1.37,1.38,1400440
2018-01-17,1.38,1.4,1.35,1.36,1861830
2018-01-18,1.35,1.37,1.33,1.36,1011920
2018-01-19,1.35,1.38,1.33,1.34,998220
2018-01-22,1.34,1.37,1.31,1.31,717640
2018-01-23,1.31,1.31,1.31,1.31,0
2018-01-24,1.31,1.31,1.31,1.31,0
2018-01-25,1.31,1.32,1.28,1.29,1407090
2018-01-26,1.29,1.33,1.29,1.3,635830
2018-01-29,1.3,1.32,1.27,1.28,702340
2018-01-30,1.28,1.29,1.24,1.25,1153550
2018-01-31,1.17,1.2,1.17,1.17,5658510
2018-02-01,1.12,1.17,1.09,1.09,2900350
2018-02-02,1.02,1.04,1.02,1.02,2175980
2018-02-05,0.95,0.95,0.95,0.95,655190
2018-02-06,0.89,0.89,0.89,0.89,280930
2018-02-07,0.88,0.95,0.88,0.88,3695590
2018-02-08,0.85,0.91,0.84,0.89,1175390
2018-02-09,0.85,0.87,0.83,0.84,4241090
2018-02-12,0.83,0.85,0.8,0.82,810220
2018-02-13,0.83,0.87,0.83,0.87,1807660
2018-02-21,0.87,0.93,0.87,0.93,1143780
2018-02-22,0.95,0.99,0.93,0.98,1818520
2018-02-23,0.98,1.04,0.98,1.04,1720090
2018-02-26,1.08,1.11,1.06,1.1,2175090
2018-02-27,1.11,1.15,1.03,1.03,2676520
2018-02-28,1.01,1.02,0.96,0.96,1011830
2018-03-01,0.93,0.95,0.9,0.9,1892060
2018-03-02,0.86,0.96,0.85,0.96,875590
2018-03-05,1.0,1.02,1.0,1.02,1527330
2018-03-06,1.04,1.09,1.03,1.08,3601200
2018-03-07,1.06,1.06,1.01,1.01,2335320
2018-03-08,0.97,1.04,0.97,1.02,435250
2018-03-09,1.03,1.09,1.0,1.08,3049820
2018-03-12,1.09,1.09,1.01,1.02,1330870
2018-03-13,1.03,1.03,1.0,1.02,260010
2018-03-14,1.03,1.03,0.99,0.99,972960
2018-03-15,0.99,1.05,0.98,1.04,2039690
2018-03-16,1.03,1.05,1.01,1.02,741420
2018-03-19,1.02,1.09,1.01,1.02,3727930
2018-03-20,1.08,1.09,1.05,1.09,1885470
2018-03-21,1.13,1.13,1.07,1.08,312230
2018-03-22,1.07,1.11,1.04,1.04,1020250
2018-03-23,1.02,1.04,1.02,1.03,655330
2018-03-26,1.01,1.1,1.01,1.07,2361660
2018-03-27,1.07,1.14,1.07,1.14,2030970
2018-03-28,1.18,1.18,1.09,1.09,870700
2018-03-29,1.07,1.16,1.07,1.16,2105040
2018-03-30,1.24,1.24,1.23,1.24,1033000
2018-04-02,1.32,1.32,1.24,1.28,3003890
2018-04-03,1.26,1.27,1.2,1.26,821790
2018-04-04,1.27,1.28,1.22,1.26,470540
2018-04-05,1.26,1.26,1.18,1.22,702980
2018-04-06,1.23,1.3,1.19,1.19,2367940
2018-04-09,1.12,1.27,1.12,1.27,2270080
2018-04-10,1.29,1.35,1.27,1.31,2878980
2018-04-11,1.35,1.4,1.32,1.4,5247710
2018-04-12,1.45,1.48,1.34,1.37,1799440
2018-04-13,1.4,1.4,1.34,1.34,613240
2018-04-16,1.25,1.27,1.25,1.25,3269580
2018-04-17,1.19,1.25,1.18,1.19,2130720
2018-04-18,1.22,1.24,1.14,1.17,994190
2018-04-19,1.17,1.17,1.09,1.09,1312340
2018-04-20,1.02,1.13,1.02,1.09,739040
2018-04-23,1.07,1.14,1.05,1.05,402390
2018-04-24,1.05,1.08,1.04,1.06,127120
2018-04-26,1.1,1.1,0.99,1.0,427430
2018-04-27,1.0,1.07,1.0,1.07,289270
2018-05-02,1.07,1.14,1.02,1.14,474220
2018-05-03,1.1,1.21,1.09,1.14,905500
2018-05-04,1.15,1.18,1.14,1.18,105940
2018-05-07,1.18,1.26,1.18,1.26,833630
2018-05-08,1.3,1.34,1.27,1.34,1517890
2018-05-09,1.29,1.43,1.27,1.27,3091660
2018-05-10,1.3,1.35,1.3,1.35,1217430
2018-05-11,1.38,1.4,1.33,1.4,218030
2018-05-14,1.44,1.45,1.37,1.41,488510
2018-05-15,1.41,1.42,1.32,1.32,1048690
2018-05-16,1.37,1.37,1.27,1.36,350500
2018-05-17,1.39,1.39,1.32,1.35,169440
2018-05-18,1.35,1.35,1.29,1.32,126110
2018-05-21,1.3,1.34,1.28,1.28,77670
2018-05-22,1.3,1.3,1.2,1.26,855900
2018-05-23,1.22,1.26,1.2,1.26,69100
2018-05-24,1.26,1.27,1.18,1.24,256580
2018-05-25,1.2,1.23,1.16,1.16,369890
2018-05-28,1.22,1.24,1.21,1.24,1126280
2018-05-29,1.29,1.32,1.26,1.32,1198960
2018-05-30,1.39,1.41,1.32,1.41,3392880
2018-05-31,1.46,1.46,1.33,1.35,294950
2018-06-01,1.37,1.38,1.32,1.35,206800
2018-06-04,1.35,1.36,1.31,1.33,225800
2018-06-05,1.36,1.36,1.29,1.31,188080
2018-06-06,1.31,1.4,1.31,1.4,1323550
2018-06-07,1.43,1.43,1.36,1.37,155720
2018-06-08,1.33,1.4,1.33,1.37,101240
2018-06-11,1.35,1.37,1.29,1.31,368130
2018-06-12,1.38,1.38,1.28,1.28,604410
2018-06-13,1.27,1.3,1.25,1.27,301160
2018-06-14,1.3,1.35,1.23,1.33,291300
2018-06-15,1.33,1.34,1.3,1.34,180650
2018-06-18,1.35,1.37,1.32,1.32,585640
2018-06-19,1.32,1.4,1.29,1.33,714180
2018-06-20,1.34,1.36,1.29,1.32,266270
2018-06-21,1.32,1.33,1.27,1.33,526700
2018-06-22,1.32,1.35,1.29,1.35,95600
2018-06-25,1.35,1.4,1.3,1.34,485490
2018-06-26,1.3,1.33,1.28,1.3,226210
2018-06-27,1.3,1.34,1.29,1.29,144040
2018-06-28,1.29,1.29,1.22,1.26,253950
2018-06-29,1.26,1.28,1.21,1.26,224610
2018-07-02,1.27,1.27,1.19,1.23,239560
2018-07-03,1.21,1.23,1.17,1.19,207730
2018-07-04,1.19,1.19,1.13,1.18,144620
2018-07-05,1.2,1.2,1.13,1.13,375310
2018-07-06,1.13,1.18,1.06,1.15,722700
2018-07-09,1.11,1.18,1.11,1.15,106630
2018-07-10,1.14,1.14,1.11,1.12,59410
2018-07-11,1.11,1.12,1.09,1.11,82810
2018-07-12,1.07,1.12,1.06,1.11,76420
2018-07-13,1.12,1.12,1.1,1.11,85790
2018-07-16,1.11,1.14,1.1,1.14,77040
2018-07-17,1.11,1.15,1.11,1.14,61490
2018-07-18,1.13,1.15,1.12,1.13,20570
2018-07-19,1.12,1.17,1.11,1.16,134550
2018-07-20,1.16,1.18,1.15,1.15,33940
2018-07-23,1.16,1.17,1.14,1.14,56400
2018-07-24,1.14,1.15,1.1,1.12,230960
2018-07-25,1.13,1.16,1.1,1.15,351360
2018-07-26,1.13,1.16,1.13,1.15,29860
2018-07-27,1.14,1.19,1.14,1.16,246530
2018-07-30,1.17,1.17,1.12,1.14,101790
2018-07-31,1.14,1.14,1.1,1.13,301830
2018-08-01,1.11,1.16,1.11,1.15,301250
2018-08-02,1.15,1.15,1.11,1.15,380400
2018-08-03,1.15,1.15,1.11,1.13,196080
2018-08-06,1.11,1.14,1.11,1.12,81960
2018-08-07,1.14,1.14,1.11,1.11,128670
2018-08-08,1.15,1.18,1.11,1.12,520630
2018-08-09,1.15,1.17,1.14,1.16,406490
2018-08-10,1.16,1.16,1.13,1.14,77070
2018-08-13,1.14,1.14,1.08,1.08,746620
2018-08-14,1.08,1.13,1.06,1.06,594460
2018-08-15,1.1,1.1,1.06,1.09,88310
2018-08-16,1.06,1.1,1.06,1.09,38560
2018-08-17,1.09,1.09,1.06,1.09,196890
2018-08-20,1.09,1.09,1.06,1.08,28030
2018-08-21,1.09,1.09,1.07,1.08,85460
2018-08-22,1.08,1.08,1.06,1.08,87000
2018-08-23,1.06,1.08,1.05,1.07,147850
2018-08-24,1.07,1.08,1.06,1.07,133200
2018-08-27,1.05,1.08,1.03,1.04,256100
2018-08-28,1.05,1.06,1.04,1.06,359440
2018-08-29,1.07,1.07,1.05,1.06,104240
2018-08-30,1.05,1.06,1.04,1.05,135250
2018-08-31,1.04,1.07,1.04,1.07,144760
2018-09-04,1.07,1.07,1.05,1.06,88630
