time,open,high,low,close,volume
2018-01-02,9.66,9.66,9.66,9.66,1000
2018-01-03,9.36,9.36,9.36,9.36,300
2018-01-04,9.36,9.36,9.36,9.36,0
2018-01-05,9.36,9.54,9.36,9.54,1200
2018-01-08,9.36,9.42,9.36,9.42,2100
2018-01-09,9.42,9.42,9.42,9.42,4500
2018-01-10,9.42,9.48,9.42,9.48,5001
2018-01-11,9.42,9.95,9.42,9.95,4000
2018-01-12,9.72,9.77,9.66,9.77,14869
2018-01-15,9.72,9.72,9.72,9.72,0
2018-01-16,9.77,9.77,9.72,9.72,1600
2018-01-17,9.95,9.95,9.77,9.95,2600
2018-01-18,9.89,9.89,9.89,9.89,0
2018-01-19,10.24,10.3,10.13,10.13,5600
2018-01-22,10.18,10.18,10.18,10.18,0
2018-01-23,9.95,9.95,9.95,9.95,2400
2018-01-24,9.95,9.95,9.95,9.95,0
2018-01-25,9.95,9.95,9.95,9.95,6420
2018-01-26,10.24,10.3,10.24,10.24,2700
2018-01-29,10.24,10.24,10.24,10.24,1300
2018-01-30,10.24,10.24,10.24,10.24,0
2018-01-31,10.24,10.24,10.24,10.24,0
2018-02-01,9.95,9.95,9.95,9.95,7400
2018-02-02,10.77,10.77,10.77,10.77,500
2018-02-05,9.19,12.35,9.19,12.29,1100
2018-02-06,10.3,10.3,10.3,10.3,5900
2018-02-07,10.3,11.82,10.3,11.82,2600
2018-02-08,11.94,11.94,11.94,11.94,100
2018-02-09,10.18,11.65,10.18,11.59,800
2018-02-12,9.77,9.77,9.77,9.77,150
2018-02-13,9.77,9.77,9.77,9.77,0
2018-02-21,11.0,11.0,11.0,11.0,1100
2018-02-22,9.36,9.36,9.36,10.48,800
2018-02-23,10.83,11.35,10.83,11.35,500
2018-02-26,9.6,11.06,9.6,11.06,600
2018-02-27,11.18,11.18,11.18,11.18,601
2018-02-28,11.18,11.18,11.18,11.18,300
2018-03-01,9.54,11.71,9.54,11.71,800
2018-03-02,9.72,11.06,9.72,11.06,700
2018-03-05,10.71,10.71,10.71,10.71,0
2018-03-06,11.06,11.06,11.06,11.06,300
2018-03-07,9.95,9.95,9.95,9.95,1100
2018-03-08,9.95,9.95,9.95,9.95,0
2018-03-09,9.89,9.89,9.89,9.89,300
2018-03-12,9.95,11.35,9.95,10.53,21200
2018-03-13,10.94,12.58,10.94,12.58,19600
2018-03-14,13.99,14.05,13.99,14.05,33500
2018-03-15,16.15,16.15,14.05,15.8,57900
2018-03-16,15.22,15.8,15.22,15.69,31300
2018-03-19,15.8,16.09,15.69,15.69,14500
2018-03-20,15.69,15.74,13.4,13.52,7100
2018-03-21,13.4,15.04,12.82,12.82,6800
2018-03-22,12.88,13.46,11.71,13.46,3700
2018-03-23,13.93,13.93,13.93,13.93,100
2018-03-26,11.88,14.57,11.88,14.57,400
2018-03-27,11.71,12.29,11.71,12.29,200
2018-03-28,12.29,12.29,12.29,12.29,100
2018-03-29,12.29,12.29,12.29,12.29,200
2018-03-30,12.29,12.29,12.0,12.0,300
2018-04-02,12.12,12.12,12.12,12.12,0
2018-04-03,12.12,12.12,12.0,12.0,500
2018-04-04,12.0,12.82,11.71,12.82,600
2018-04-05,11.12,11.12,11.12,11.12,100
2018-04-06,12.23,12.23,12.23,12.23,100
2018-04-09,12.52,12.52,12.52,12.52,100
2018-04-10,12.52,12.52,12.52,12.52,0
2018-04-11,12.52,12.52,12.52,12.52,0
2018-04-12,10.71,10.71,10.71,10.71,100
2018-04-13,9.95,9.95,9.95,9.95,200
2018-04-16,9.95,9.95,9.95,9.95,0
2018-04-17,9.72,9.72,9.72,9.72,100
2018-04-18,9.72,9.72,9.72,9.72,0
2018-04-19,9.72,9.72,9.72,9.72,0
2018-04-20,9.72,9.72,9.72,9.72,0
2018-04-23,9.72,11.12,8.78,8.78,3300
2018-04-24,9.83,9.83,9.83,9.83,0
2018-04-26,9.83,9.83,9.83,9.83,0
2018-04-27,9.83,9.83,9.83,9.83,0
2018-05-02,9.72,9.72,9.72,9.72,200
2018-05-03,9.72,9.72,9.72,9.72,0
2018-05-04,9.72,9.72,9.72,9.72,0
2018-05-07,9.72,9.72,9.72,9.72,0
2018-05-08,9.72,9.72,9.72,9.72,0
2018-05-09,10.83,10.83,10.83,10.83,100
2018-05-10,9.31,9.95,9.31,9.48,4200
2018-05-11,9.6,9.6,9.6,9.6,0
2018-05-14,9.6,9.6,9.6,9.6,0
2018-05-15,9.6,9.6,9.6,9.6,0
2018-05-16,9.72,9.72,9.72,9.72,100
2018-05-17,10.48,10.48,10.48,10.48,200
2018-05-18,11.06,11.06,11.06,11.06,200
2018-05-21,9.48,10.24,9.48,9.66,2200
2018-05-22,9.66,9.66,9.66,9.66,1200
2018-05-23,9.66,9.66,9.66,9.66,0
2018-05-24,9.66,9.66,9.66,9.66,0
2018-05-25,9.66,9.66,9.66,9.66,0
2018-05-28,8.78,8.84,8.78,8.84,700
2018-05-29,8.84,8.84,8.84,8.84,0
2018-05-30,7.55,7.55,7.55,7.55,100
2018-05-31,8.66,8.66,8.66,8.66,100
2018-06-01,8.66,8.66,8.66,8.66,0
2018-06-04,7.43,8.78,7.43,8.78,800
2018-06-05,7.32,7.32,7.32,7.32,100
2018-06-06,7.61,7.61,7.61,7.61,1700
2018-06-07,6.55,8.72,6.55,8.72,500
2018-06-08,7.14,7.14,7.14,7.14,100
2018-06-11,6.2,7.14,6.2,7.14,3700
2018-06-12,7.96,7.96,7.96,7.96,600
2018-06-13,9.13,9.13,9.13,9.13,300
2018-06-14,10.36,10.36,10.36,10.36,500
2018-06-15,11.82,11.82,11.82,11.82,500
2018-06-18,11.82,11.82,11.82,11.82,0
2018-06-19,11.82,11.82,11.82,11.82,0
2018-06-20,11.82,11.82,11.82,11.82,0
2018-06-21,13.34,13.34,13.34,13.34,300
2018-06-22,13.34,13.34,13.34,13.34,0
2018-06-25,14.57,14.57,14.57,14.57,600
2018-06-26,14.57,14.57,14.57,14.57,0
2018-06-27,16.68,16.68,16.68,16.68,500
2018-06-28,16.68,16.68,16.68,16.68,0
2018-06-29,16.68,16.68,16.68,16.68,0
2018-07-02,16.68,16.68,16.68,16.68,0
2018-07-03,16.68,16.68,16.68,16.68,0
2018-07-04,16.68,16.68,16.68,16.68,0
2018-07-05,16.68,16.68,16.68,16.68,0
2018-07-06,14.22,14.22,14.22,14.22,100
2018-07-09,12.12,12.12,12.12,12.12,100
2018-07-10,10.3,10.3,10.3,10.3,100
2018-07-11,8.78,8.78,8.78,8.78,100
2018-07-12,7.49,7.49,7.49,7.49,100
2018-07-13,6.38,6.38,6.38,6.38,100
2018-07-16,6.38,6.38,6.38,6.38,0
2018-07-17,5.56,5.56,5.56,5.56,100
2018-07-18,5.56,5.56,5.56,5.56,0
2018-07-19,6.38,6.38,6.38,6.38,100
2018-07-20,7.26,7.26,7.26,7.26,100
2018-07-23,6.26,8.14,6.26,0.0,1100
2018-07-24,6.85,9.01,6.85,9.01,700
2018-07-25,7.49,9.77,7.49,9.77,800
2018-07-26,8.08,8.08,8.08,8.08,1000
2018-07-27,6.96,9.13,6.91,6.91,2400
2018-07-30,7.14,8.72,7.14,8.72,1100
2018-07-31,8.72,8.72,8.72,8.72,2200
2018-08-01,7.49,7.49,7.43,7.43,400
2018-08-02,6.38,8.49,6.38,8.49,600
2018-08-03,7.02,8.72,7.02,8.72,1100
2018-08-06,7.43,8.49,7.43,8.49,2300
2018-08-07,8.37,8.37,8.37,8.37,700
2018-08-08,8.37,8.37,8.37,8.37,700
2018-08-09,7.49,7.49,7.49,7.49,100
2018-08-10,8.31,8.31,8.25,8.25,700
2018-08-13,8.31,8.31,7.37,7.37,700
2018-08-14,7.37,8.14,7.37,8.14,600
2018-08-15,6.96,6.96,6.96,6.96,100
2018-08-16,7.84,7.84,7.78,7.78,9800
2018-08-17,6.85,8.08,6.85,8.08,600
2018-08-20,7.9,7.9,7.9,7.9,0
2018-08-21,7.9,7.9,7.9,7.9,0
2018-08-22,6.79,7.61,6.79,7.61,600
2018-08-23,6.73,7.37,6.73,7.37,500
2018-08-24,7.55,7.55,7.55,7.55,800
2018-08-27,6.5,8.14,6.5,6.61,900
2018-08-28,7.61,8.9,7.61,8.9,1900
2018-08-29,8.49,9.66,8.49,9.66,1393
2018-08-30,10.48,10.59,8.9,10.48,1700
2018-08-31,8.43,11.06,8.37,8.37,6600
2018-09-04,10.07,10.07,10.07,10.07,600
2018-09-05,8.66,10.94,8.66,10.83,1200
2018-09-06,9.13,9.13,9.13,9.13,1000
2018-09-07,10.27,10.27,10.27,10.27,100
2018-09-10,8.77,8.77,8.77,8.77,2900
2018-09-11,7.7,7.7,7.49,7.49,500
2018-09-12,6.56,6.56,6.56,6.56,100
2018-09-13,7.49,7.49,7.49,7.49,100
2018-09-14,7.56,7.85,7.56,7.85,300
2018-09-17,7.7,7.7,7.7,7.7,0
2018-09-18,8.13,8.13,8.13,8.13,3000
2018-09-19,7.85,8.13,7.85,8.13,500
2018-09-20,7.13,7.13,7.13,7.13,100
2018-09-21,7.85,7.85,7.85,7.85,1000
2018-09-24,6.78,7.2,6.78,7.2,200
2018-09-25,7.78,7.99,7.78,7.99,4530
2018-09-26,7.85,7.85,7.85,7.85,550
2018-09-27,8.27,8.27,8.2,8.2,3809
2018-09-28,8.56,8.56,8.27,8.27,10800
2018-10-01,8.35,8.56,8.13,8.27,48000
2018-10-02,8.27,8.27,8.27,8.27,2300
2018-10-03,8.27,8.27,7.85,8.13,4000
2018-10-04,8.06,8.06,7.85,7.92,18300
2018-10-05,8.27,8.27,8.27,8.27,4100
