time,open,high,low,close,volume
2018-01-02,12.31,12.44,12.19,12.44,6979
2018-01-03,12.19,12.57,12.08,12.19,25675
2018-01-04,12.19,12.19,11.88,12.13,18950
2018-01-05,11.93,12.19,11.86,12.06,10678
2018-01-08,11.8,12.44,11.73,12.39,37631
2018-01-09,12.44,13.61,12.44,13.58,101220
2018-01-10,13.33,13.66,13.0,13.33,23174
2018-01-11,13.2,13.46,12.97,13.46,27461
2018-01-12,13.46,13.46,12.95,13.2,67999
2018-01-15,12.57,13.33,12.57,12.82,43058
2018-01-16,12.95,12.95,12.69,12.9,10211
2018-01-17,12.69,13.33,12.69,12.95,51899
2018-01-18,13.05,13.05,12.62,12.82,11281
2018-01-19,12.82,14.09,12.69,14.09,209487
2018-01-22,13.96,15.49,13.96,15.49,205248
2018-01-23,16.35,17.03,14.72,15.36,127027
2018-01-24,16.88,16.88,14.72,15.36,65231
2018-01-25,15.61,16.25,15.23,15.44,79201
2018-01-26,15.49,15.49,14.27,14.7,47945
2018-01-29,14.67,14.72,14.22,14.6,69945
2018-01-30,14.6,15.71,14.22,15.71,117593
2018-01-31,15.23,16.86,15.11,15.33,47071
2018-02-01,15.23,15.49,14.6,15.23,88018
2018-02-02,15.74,15.74,14.72,15.11,15622
2018-02-05,15.11,15.11,14.22,14.22,58933
2018-02-06,13.96,14.27,12.82,13.68,132031
2018-02-07,14.22,15.03,14.22,15.03,166936
2018-02-08,15.99,16.5,15.05,15.74,164383
2018-02-09,15.36,15.49,14.85,15.49,21808
2018-02-12,15.74,15.87,15.11,15.11,41411
2018-02-13,14.72,15.94,14.72,15.74,95800
2018-02-21,15.99,16.5,15.99,16.2,80494
2018-02-22,16.25,16.5,15.74,15.99,67200
2018-02-23,15.99,15.99,15.69,15.94,59400
2018-02-26,15.99,16.12,15.87,15.97,88360
2018-02-27,17.21,17.21,16.0,16.0,60700
2018-02-28,16.0,16.0,15.15,15.15,26300
2018-03-01,15.15,15.15,14.19,14.19,40314
2018-03-02,14.19,14.49,14.07,14.34,24544
2018-03-05,14.34,14.34,13.95,13.98,12800
2018-03-06,13.95,13.98,13.58,13.89,56394
2018-03-07,14.19,14.19,13.7,13.89,36262
2018-03-08,13.89,14.01,13.7,13.92,21600
2018-03-09,13.95,14.79,13.92,14.55,29530
2018-03-12,14.49,14.79,14.37,14.64,20170
2018-03-13,14.64,14.79,14.64,14.7,34740
2018-03-14,14.7,14.7,14.49,14.64,11160
2018-03-15,14.79,15.7,14.79,15.7,75100
2018-03-16,15.55,15.55,15.09,15.09,17850
2018-03-19,15.12,15.24,15.09,15.09,12340
2018-03-20,16.6,16.6,15.27,15.37,82373
2018-03-21,15.85,16.3,15.4,15.7,92767
2018-03-22,16.27,16.27,15.79,15.85,36440
2018-03-23,15.7,15.7,15.27,15.46,41030
2018-03-26,15.4,16.45,15.21,15.88,38300
2018-03-27,16.0,16.0,15.7,15.73,14450
2018-03-28,15.97,16.0,15.58,15.58,20110
2018-03-29,15.61,15.7,15.58,15.64,3220
2018-03-30,15.67,15.67,15.33,15.4,6200
2018-04-02,15.27,15.4,15.09,15.4,47937
2018-04-03,15.09,15.55,14.7,15.24,12660
2018-04-04,15.09,15.37,15.09,15.09,17148
2018-04-05,15.09,15.09,14.79,15.09,9050
2018-04-06,15.06,15.24,15.06,15.24,14070
2018-04-09,15.24,15.76,15.24,15.73,68390
2018-04-10,15.15,15.94,15.15,15.64,4174
2018-04-11,15.24,15.64,15.15,15.49,2300
2018-04-12,15.4,15.49,15.09,15.4,3961
2018-04-13,15.12,15.37,15.09,15.37,3544
2018-04-16,15.37,15.7,15.27,15.4,13000
2018-04-17,15.49,15.55,15.12,15.15,23410
2018-04-18,15.55,16.39,15.55,15.85,6920
2018-04-19,15.12,15.55,15.09,15.55,15071
2018-04-20,15.12,15.85,15.09,15.85,35350
2018-04-23,15.24,15.24,14.49,14.49,6261
2018-04-24,14.52,15.52,14.52,15.52,11100
2018-04-26,15.67,15.7,14.94,15.03,7951
2018-04-27,14.67,15.37,14.64,15.37,7800
2018-05-02,15.85,16.0,15.37,15.64,116511
2018-05-03,16.3,16.6,15.4,15.64,47400
2018-05-04,15.7,15.85,15.55,15.64,24031
2018-05-07,15.7,15.7,15.4,15.4,12284
2018-05-08,15.4,15.4,14.79,15.09,41011
2018-05-09,15.09,15.64,15.09,15.4,45210
2018-05-10,15.46,15.55,15.27,15.4,18900
2018-05-11,15.43,15.46,15.27,15.27,17433
2018-05-14,15.4,15.55,15.18,15.4,11600
2018-05-15,15.55,15.55,15.37,15.49,45654
2018-05-16,15.55,16.0,15.49,15.82,74820
2018-05-17,15.85,15.85,15.52,15.64,38869
2018-05-18,15.49,15.64,14.1,14.93,33200
2018-05-21,14.07,14.81,13.84,13.84,16031
2018-05-22,13.84,13.84,12.46,12.46,45186
2018-05-23,12.46,12.57,12.46,12.57,37910
2018-05-24,13.02,13.02,12.72,12.83,1610
2018-05-25,13.09,13.47,13.02,13.47,15227
2018-05-28,13.47,13.47,12.72,13.17,27020
2018-05-29,13.09,13.84,13.09,13.28,26400
2018-05-30,13.47,13.65,13.28,13.47,21110
2018-05-31,13.77,13.77,13.24,13.28,3005
2018-06-01,13.28,13.28,13.02,13.09,39800
2018-06-04,13.09,13.28,13.09,13.13,15386
2018-06-05,13.28,13.28,12.94,12.94,12300
2018-06-06,12.98,13.84,12.91,13.51,54905
2018-06-07,13.47,13.65,13.47,13.51,11820
2018-06-08,13.47,13.84,13.47,13.51,10901
2018-06-11,13.77,13.84,13.54,13.54,8200
2018-06-12,13.47,13.65,13.47,13.65,19800
2018-06-13,13.51,13.51,13.47,13.51,4620
2018-06-14,13.47,14.22,13.47,13.51,58000
2018-06-15,13.54,13.58,13.51,13.51,3220
2018-06-18,13.51,13.51,13.47,13.47,500
2018-06-19,13.28,13.47,12.12,12.46,27010
2018-06-20,12.61,12.61,12.61,12.61,200
2018-06-21,13.09,13.09,12.61,12.61,2400
2018-06-22,13.09,13.09,12.83,13.09,1220
2018-06-25,13.09,13.09,13.09,13.09,1193
2018-06-26,12.94,13.09,12.91,13.09,6100
2018-06-27,12.98,12.98,12.98,12.98,200
2018-06-28,12.98,13.17,12.98,13.09,7780
2018-06-29,12.72,12.72,12.72,12.72,400
2018-07-02,12.72,13.09,12.53,13.09,16500
2018-07-03,13.09,13.09,12.91,12.91,7013
2018-07-04,13.09,13.09,12.91,12.91,9500
2018-07-05,13.09,13.13,13.09,13.09,14000
2018-07-06,13.09,13.47,13.09,13.21,15510
2018-07-09,13.24,13.24,13.17,13.17,6100
2018-07-10,12.94,12.94,12.94,12.94,500
2018-07-11,12.94,12.94,12.94,12.94,800
2018-07-12,13.43,13.47,13.09,13.13,19300
2018-07-13,13.17,13.47,13.13,13.17,2700
2018-07-16,13.17,13.17,13.17,13.17,20
2018-07-17,13.17,13.17,13.17,13.17,300
2018-07-18,13.17,13.17,13.09,13.17,700
2018-07-19,13.28,13.28,13.17,13.17,2330
2018-07-20,13.17,13.28,13.17,13.28,1965
2018-07-23,13.28,13.28,13.28,13.28,0
2018-07-24,13.28,13.28,13.28,13.28,300
2018-07-25,13.09,13.17,13.09,13.17,1540
2018-07-26,13.09,13.32,12.91,13.32,1800
2018-07-27,13.43,13.43,13.43,13.43,100
2018-07-30,13.09,13.65,13.02,13.54,4700
2018-07-31,13.54,13.54,13.54,13.54,0
2018-08-01,13.54,13.65,13.24,13.24,7425
2018-08-02,13.24,13.47,13.09,13.43,19822
2018-08-03,13.54,13.84,13.54,13.69,25200
2018-08-06,13.8,13.8,13.73,13.77,1732
2018-08-07,13.77,13.77,13.65,13.73,5300
2018-08-08,13.88,13.88,13.73,13.77,469
2018-08-09,14.1,14.1,13.84,13.84,2520
2018-08-10,13.88,13.92,13.47,13.77,2940
2018-08-13,13.77,14.18,13.47,13.47,11500
2018-08-14,13.47,13.58,13.09,13.47,13076
2018-08-15,13.09,13.43,13.09,13.43,15832
2018-08-16,13.09,13.84,12.98,13.47,60607
2018-08-17,13.94,14.81,13.94,14.7,11422
2018-08-20,15.22,15.22,14.7,14.7,1320
2018-08-21,14.7,14.7,13.7,14.64,13837
2018-08-22,14.23,14.58,14.05,14.29,7400
2018-08-23,14.35,14.46,14.05,14.05,3520
2018-08-24,14.05,14.11,14.05,14.05,5700
2018-08-27,14.29,14.29,14.05,14.05,1600
2018-08-28,14.05,14.05,13.82,13.82,5900
2018-08-29,13.82,13.82,13.82,13.82,92
2018-08-30,14.05,14.17,14.05,14.17,3500
2018-08-31,14.05,14.05,13.76,14.05,500
2018-09-04,13.82,13.82,13.53,13.53,5100
2018-09-05,13.53,13.64,13.35,13.64,2573
2018-09-06,13.64,13.76,13.64,13.76,8472
2018-09-07,13.76,13.88,13.76,13.76,970
2018-09-10,13.76,13.76,13.7,13.7,700
2018-09-11,13.47,13.76,13.47,13.76,3029
2018-09-12,13.76,14.05,13.76,13.94,4560
2018-09-13,13.99,13.99,13.82,13.82,9120
2018-09-14,13.82,13.82,13.7,13.7,19300
2018-09-17,13.94,13.94,13.7,13.7,5790
2018-09-18,13.58,13.58,13.53,13.53,3700
2018-09-19,13.53,13.53,13.41,13.41,13800
2018-09-20,13.47,13.47,13.17,13.17,10600
2018-09-21,13.41,13.41,13.12,13.41,4200
2018-09-24,13.23,13.23,13.23,13.23,106
2018-09-25,13.17,13.17,13.17,13.17,6000
2018-09-26,13.29,13.29,13.17,13.17,2600
2018-09-27,13.17,13.23,13.17,13.23,1900
2018-09-28,13.29,13.7,13.29,13.35,4809
2018-10-01,13.35,13.35,13.29,13.29,2200
2018-10-02,13.35,13.35,13.29,13.29,2300
2018-10-03,13.35,13.53,13.35,13.35,2320
2018-10-04,13.41,13.47,13.23,13.23,15610
2018-10-05,13.23,13.35,13.23,13.35,6496
2018-10-08,13.41,13.47,13.41,13.47,1620
2018-10-09,13.47,13.47,13.47,13.47,0
2018-10-10,13.06,13.17,13.06,13.17,1150
2018-10-11,12.94,13.0,12.0,13.0,18100
2018-10-12,13.0,13.06,13.0,13.06,750
2018-10-15,13.0,13.0,12.94,13.0,2000
2018-10-16,12.65,13.0,12.65,13.0,2218
2018-10-17,13.06,13.06,12.94,12.94,516
2018-10-18,12.71,13.0,12.71,13.0,1300
2018-10-19,12.88,13.06,12.88,13.06,1220
2018-10-22,13.0,13.06,13.0,13.06,1300
2018-10-23,12.94,12.94,12.82,12.82,2200
2018-10-24,12.65,12.82,12.59,12.82,1100
2018-10-25,12.47,12.76,12.47,12.59,2500
2018-10-26,12.3,12.59,12.24,12.59,2000
2018-10-29,12.3,12.76,12.3,12.76,2500
2018-10-30,12.3,12.76,12.0,12.76,3400
2018-10-31,12.65,12.82,12.65,12.82,3200
2018-11-01,12.82,12.94,12.65,12.94,2300
2018-11-02,12.88,13.06,12.88,13.06,11200
2018-11-05,12.12,13.06,12.12,13.06,600
2018-11-06,12.59,13.06,12.3,13.06,1000
2018-11-07,12.47,13.06,12.47,13.06,900
2018-11-08,13.0,13.06,12.59,13.06,4000
2018-11-09,12.59,12.94,12.59,12.94,5100
2018-11-12,12.59,12.94,12.47,12.82,8700
2018-11-13,12.82,12.82,12.82,12.82,6000
2018-11-14,12.59,12.76,12.53,12.76,5900
2018-11-15,12.47,12.71,12.47,12.71,2110
2018-11-16,12.71,12.88,12.71,12.88,2200
2018-11-19,12.88,13.0,12.88,13.0,349
2018-11-20,12.53,13.0,11.77,12.94,4700
2018-11-21,12.41,12.88,12.3,12.88,1200
2018-11-22,12.47,13.0,12.47,13.0,2100
2018-11-23,12.88,12.88,12.82,12.82,300
2018-11-26,12.36,12.88,12.3,12.88,3500
2018-11-27,12.36,12.82,12.3,12.82,14200
2018-11-28,12.82,13.12,12.82,13.12,1000
2018-11-29,13.12,13.12,13.12,13.12,0
2018-11-30,12.59,12.88,12.41,12.88,2500
2018-12-03,12.41,12.82,12.41,12.82,600
2018-12-04,12.76,12.82,12.76,12.82,2100
2018-12-05,12.82,12.82,12.82,12.82,300
2018-12-06,12.65,12.82,12.65,12.82,249
2018-12-07,12.41,12.76,12.41,12.76,922
2018-12-10,12.76,12.76,12.76,12.76,164
2018-12-11,12.12,12.76,12.12,12.76,1150
2018-12-12,12.06,12.76,11.83,12.76,12722
2018-12-13,12.36,12.59,12.24,12.59,2450
2018-12-14,12.47,12.53,12.24,12.53,2600
2018-12-17,12.12,12.12,11.71,12.06,6675
2018-12-18,11.71,11.95,11.54,11.95,3610
2018-12-19,11.01,11.65,10.89,11.65,4324
2018-12-20,11.13,11.24,10.54,10.83,12259
2018-12-21,10.83,11.24,10.42,11.24,11820
2018-12-24,11.65,11.65,10.83,11.36,11910
2018-12-25,11.13,11.13,10.48,11.13,5620
2018-12-26,11.13,11.13,10.6,11.13,3401
2018-12-27,11.07,11.13,10.66,11.13,2082
2018-12-28,11.13,11.36,10.83,11.36,3634
2019-01-02,11.13,11.13,11.07,11.13,2410
2019-01-03,10.83,11.13,10.83,11.13,1930
2019-01-04,10.6,11.13,10.54,11.13,7573
2019-01-07,10.83,11.07,10.83,11.07,3100
2019-01-08,11.07,11.07,11.07,11.07,2880
2019-01-09,10.95,11.07,10.83,11.07,2300
2019-01-10,10.95,10.95,10.95,10.95,4200
2019-01-11,10.31,11.07,10.31,10.95,33100
2019-01-14,10.77,11.07,10.77,11.07,3200
2019-01-15,10.83,11.07,10.77,11.07,5600
2019-01-16,10.95,11.01,10.83,11.01,1400
2019-01-17,11.01,11.13,10.77,11.13,5300
2019-01-18,10.83,11.07,10.66,11.07,2600
2019-01-21,10.72,11.01,10.72,11.01,1600
2019-01-22,11.01,11.01,10.83,11.01,3200
2019-01-23,10.72,10.95,10.6,10.95,1103
2019-01-24,10.66,10.95,10.66,10.95,624
2019-01-25,10.95,10.95,10.66,10.95,1519
2019-01-28,10.66,10.95,10.66,10.83,4523
2019-01-29,10.72,10.89,10.72,10.77,1200
2019-01-30,10.77,11.01,10.72,11.01,4710
2019-01-31,10.83,10.95,10.25,10.95,8900
2019-02-01,10.54,10.95,10.54,10.95,200
2019-02-11,11.01,11.13,11.01,11.13,600
2019-02-12,10.72,10.95,10.72,10.89,800
2019-02-13,11.01,11.13,10.83,11.01,2150
2019-02-14,11.13,11.3,11.07,11.3,4240
2019-02-15,11.3,11.71,11.07,11.18,10460
2019-02-18,11.48,11.95,11.42,11.54,4300
2019-02-19,11.89,11.89,11.65,11.65,1700
2019-02-20,11.65,11.89,11.65,11.89,2620
2019-02-21,11.89,12.3,11.71,11.71,26710
2019-02-22,11.71,11.71,11.71,11.71,620
2019-02-25,11.42,11.71,11.42,11.48,3520
2019-02-26,11.24,11.48,11.24,11.24,7200
2019-02-27,11.24,11.24,11.13,11.24,12409
2019-02-28,11.18,11.24,11.01,11.18,5400
2019-03-01,11.01,11.36,11.01,11.36,3400
2019-03-04,11.3,11.65,11.24,11.42,16400
