time,open,high,low,close,volume
2018-01-02,5.45,5.45,5.45,5.45,100
2018-01-03,5.99,5.99,5.45,5.52,13499
2018-01-04,5.52,6.06,5.45,5.59,8000
2018-01-05,6.13,6.13,6.13,6.13,4600
2018-01-08,6.13,6.13,6.13,6.13,0
2018-01-09,5.52,6.74,5.52,5.65,11500
2018-01-10,6.13,6.13,5.79,5.79,4600
2018-01-11,6.27,6.34,5.79,5.79,4500
2018-01-12,6.13,6.34,6.13,6.34,400
2018-01-15,6.81,6.95,5.86,5.93,12300
2018-01-16,5.93,5.93,5.93,5.93,0
2018-01-17,5.93,5.93,5.93,5.93,0
2018-01-18,5.93,5.93,5.93,5.93,0
2018-01-19,6.47,6.47,5.52,5.93,2300
2018-01-22,5.99,5.99,5.93,5.93,4200
2018-01-23,5.99,6.47,5.72,5.72,14800
2018-01-24,5.72,5.72,5.72,5.72,0
2018-01-25,5.72,5.72,5.72,5.72,0
2018-01-26,6.27,6.27,6.27,6.27,400
2018-01-29,6.27,6.27,6.27,6.27,0
2018-01-30,6.88,6.88,6.06,6.06,3800
2018-01-31,6.06,6.06,6.06,6.06,0
2018-02-01,6.06,6.06,6.06,6.06,0
2018-02-02,6.06,6.06,6.06,6.06,0
2018-02-05,6.06,6.06,6.06,6.06,0
2018-02-06,6.06,6.06,6.06,6.06,0
2018-02-07,6.06,6.06,6.06,6.06,0
2018-02-08,6.06,6.06,6.06,6.06,0
2018-02-09,6.06,6.06,6.06,6.06,10
2018-02-12,6.06,6.06,6.06,6.06,0
2018-02-13,6.61,6.61,6.61,6.61,100
2018-02-21,6.61,6.61,6.61,6.61,0
2018-02-22,6.61,6.61,6.61,6.61,99
2018-02-23,6.61,6.61,6.61,6.61,0
2018-02-26,7.22,7.22,7.08,7.22,29100
2018-02-27,7.9,7.9,7.9,7.9,9600
2018-02-28,7.15,8.45,7.15,8.45,13700
2018-03-01,8.45,8.45,8.45,8.45,0
2018-03-02,7.63,7.77,7.63,7.77,5100
2018-03-05,8.04,8.17,7.02,7.02,10100
2018-03-06,7.02,7.02,7.02,7.02,0
2018-03-07,7.02,7.02,7.02,7.02,0
2018-03-08,7.02,7.02,7.02,7.02,0
2018-03-09,7.02,7.02,7.02,7.02,0
2018-03-12,7.49,7.49,7.49,7.49,100
2018-03-13,8.11,8.11,8.11,8.11,100
2018-03-14,8.58,8.58,8.58,8.58,100
2018-03-15,8.58,8.58,8.58,8.58,0
2018-03-16,8.58,8.58,8.58,8.58,0
2018-03-19,8.58,8.58,8.58,8.58,0
2018-03-20,8.58,8.58,8.58,8.58,0
2018-03-21,8.58,8.58,8.58,8.58,0
2018-03-22,8.58,8.58,8.58,8.58,0
2018-03-23,8.58,8.58,8.58,8.58,0
2018-03-26,8.58,8.58,8.58,8.58,0
2018-03-27,8.58,8.58,8.58,8.58,0
2018-03-28,8.58,8.58,8.58,8.58,0
2018-03-29,8.58,8.58,8.58,8.58,0
2018-03-30,8.58,8.58,8.58,8.58,0
2018-04-02,8.58,8.58,8.58,8.58,0
2018-04-03,8.58,8.58,8.58,8.58,0
2018-04-04,8.58,8.58,8.58,8.58,0
2018-04-05,8.58,8.58,8.58,8.58,0
2018-04-06,8.58,8.58,8.58,8.58,0
2018-04-09,8.58,8.58,8.58,8.58,0
2018-04-10,8.58,8.58,8.58,8.58,0
2018-04-11,8.58,8.58,8.58,8.58,0
2018-04-12,8.58,8.58,8.58,8.58,0
2018-04-13,8.58,8.58,8.58,8.58,0
2018-04-16,8.58,8.58,8.58,8.58,0
2018-04-17,8.58,8.58,8.58,8.58,0
2018-04-18,8.58,8.58,8.58,8.58,0
2018-04-19,8.58,8.58,8.58,8.58,0
2018-04-20,8.58,8.58,8.58,8.58,0
2018-04-23,8.58,8.58,8.58,8.58,0
2018-04-24,8.58,8.58,8.58,8.58,0
2018-04-26,8.58,8.58,8.58,8.58,0
2018-04-27,8.58,8.58,8.58,8.58,0
2018-05-02,8.52,8.52,8.52,8.52,400
2018-05-03,8.52,8.52,8.52,8.52,0
2018-05-04,8.52,8.52,8.52,8.52,0
2018-05-07,8.52,8.52,8.52,8.52,0
2018-05-08,8.52,8.52,8.52,8.52,0
2018-05-09,8.52,8.52,8.52,8.52,0
2018-05-10,8.52,8.52,8.52,8.52,0
