time,open,high,low,close,volume
2018-01-02,7.0,7.3,6.5,6.8,108700
2018-01-03,7.0,7.0,6.6,6.7,29300
2018-01-04,6.6,6.8,6.5,6.7,65100
2018-01-05,6.6,6.7,6.5,6.5,30500
2018-01-08,6.8,6.8,6.3,6.3,32100
2018-01-09,6.4,6.4,6.2,6.4,68300
2018-01-10,6.4,6.5,6.2,6.4,122800
2018-01-11,6.8,6.8,6.3,6.4,25100
2018-01-12,6.3,6.5,6.2,6.5,20600
2018-01-15,6.3,6.3,6.3,6.3,17600
2018-01-16,6.4,6.8,6.4,6.6,81400
2018-01-17,6.7,6.7,6.4,6.4,41709
2018-01-18,6.5,6.5,6.3,6.5,9200
2018-01-19,6.3,6.5,6.3,6.4,47400
2018-01-22,6.5,6.6,6.5,6.5,153900
2018-01-23,6.5,7.1,6.5,7.0,411510
2018-01-24,7.3,7.7,7.3,7.4,241500
2018-01-25,7.2,7.4,7.0,7.3,132100
2018-01-26,7.1,7.1,6.8,7.0,174100
2018-01-29,6.9,6.9,6.8,6.9,96710
2018-01-30,6.9,7.1,6.9,7.1,51009
2018-01-31,7.0,7.0,6.9,7.0,85000
2018-02-01,6.9,7.1,6.5,6.7,158200
2018-02-02,6.6,6.6,6.4,6.4,12800
2018-02-05,6.5,6.5,5.6,5.6,115600
2018-02-06,6.0,6.0,5.1,5.3,168800
2018-02-07,6.0,6.0,5.5,6.0,56200
2018-02-08,5.5,5.9,5.5,5.9,13310
2018-02-09,5.6,5.6,5.3,5.6,50000
2018-02-12,5.6,5.7,5.5,5.6,15100
2018-02-13,5.7,6.0,5.7,5.9,31800
2018-02-21,6.0,6.0,5.9,6.0,14400
2018-02-22,6.0,6.0,6.0,6.0,24500
2018-02-23,5.7,5.8,5.6,5.6,64200
2018-02-26,6.0,6.0,5.7,5.8,27300
2018-02-27,5.8,5.9,5.4,5.7,57300
2018-02-28,5.9,5.9,5.4,5.5,60700
2018-03-01,5.5,5.6,5.2,5.2,93700
2018-03-02,5.3,5.6,5.3,5.6,35700
2018-03-05,5.5,5.7,5.5,5.5,16200
2018-03-06,5.4,5.5,5.2,5.5,46400
2018-03-07,5.5,5.6,5.4,5.5,61100
2018-03-08,5.5,5.5,5.5,5.5,89600
2018-03-09,5.5,5.7,5.4,5.7,122900
2018-03-12,5.5,5.5,5.5,5.5,19010
2018-03-13,5.4,5.6,5.4,5.5,32700
2018-03-14,5.6,5.6,5.5,5.5,72000
2018-03-15,5.4,5.6,5.4,5.6,69810
2018-03-16,5.5,5.5,5.4,5.4,23400
2018-03-19,5.5,5.5,5.4,5.4,11500
2018-03-20,5.5,5.6,5.2,5.4,46200
2018-03-21,5.4,5.5,5.4,5.5,19500
2018-03-22,5.5,5.6,5.5,5.5,9500
2018-03-23,5.5,5.5,5.4,5.5,53900
2018-03-26,5.5,5.6,5.4,5.5,800
2018-03-27,5.3,5.4,5.3,5.4,1600
2018-03-28,5.4,5.4,5.4,5.4,800
2018-03-29,5.4,6.2,4.9,6.2,415900
2018-03-30,6.7,6.7,6.0,6.3,170900
2018-04-02,6.3,6.4,6.2,6.2,5900
2018-04-03,5.8,6.0,5.7,6.0,27800
2018-04-04,5.8,6.0,5.7,5.8,36100
2018-04-05,5.8,5.9,5.8,5.9,21500
2018-04-06,5.9,5.9,5.8,5.9,55400
2018-04-09,5.9,6.3,5.9,6.0,36900
2018-04-10,5.9,5.9,5.6,5.9,68400
2018-04-11,5.9,5.9,5.7,5.8,17900
2018-04-12,5.7,5.7,5.7,5.7,13300
2018-04-13,6.0,6.0,5.6,5.7,49700
2018-04-16,5.9,5.9,5.9,5.9,0
2018-04-17,5.7,5.8,5.6,5.8,10200
2018-04-18,5.6,5.8,5.6,5.8,14410
2018-04-19,5.6,5.9,5.6,5.6,5900
2018-04-20,5.8,5.8,4.8,5.2,24110
2018-04-23,5.3,5.5,5.3,5.4,21600
2018-04-24,5.5,5.8,5.5,5.6,29300
2018-04-26,5.5,5.5,5.2,5.2,8500
2018-04-27,5.2,5.4,5.2,5.3,3510
2018-05-02,5.5,5.5,5.3,5.3,23500
2018-05-03,5.3,5.3,5.1,5.3,31400
2018-05-04,5.4,5.4,5.2,5.4,1638
2018-05-07,5.1,5.5,5.1,5.4,1300
2018-05-08,5.5,5.5,5.3,5.4,18100
2018-05-09,5.3,5.4,5.2,5.3,29400
2018-05-10,5.3,5.4,5.2,5.2,54100
2018-05-11,5.0,5.2,5.0,5.2,15000
2018-05-14,5.1,5.2,5.1,5.2,2200
2018-05-15,5.1,5.3,5.1,5.3,9300
2018-05-16,5.3,5.3,5.2,5.2,6308
2018-05-17,5.2,5.2,5.1,5.2,36610
2018-05-18,5.2,5.2,5.1,5.1,11700
2018-05-21,5.1,5.2,5.1,5.1,18000
2018-05-22,5.1,5.1,5.1,5.1,36403
2018-05-23,5.0,5.2,5.0,5.2,304
2018-05-24,5.3,5.3,5.3,5.3,140
2018-05-25,5.3,5.3,4.9,4.9,18400
2018-05-28,5.2,5.2,5.0,5.0,72300
2018-05-29,5.2,5.5,5.2,5.2,6000
2018-05-30,5.2,5.3,5.2,5.2,2102
2018-05-31,5.2,5.3,5.0,5.3,2600
2018-06-01,5.2,5.2,5.1,5.2,17800
2018-06-04,5.2,5.3,5.2,5.3,24010
2018-06-05,5.4,5.4,5.2,5.2,5100
2018-06-06,5.1,5.1,5.1,5.1,8506
2018-06-07,5.2,5.2,5.1,5.1,17604
2018-06-08,5.1,5.4,5.1,5.4,2300
2018-06-11,5.3,5.3,5.1,5.1,800
2018-06-12,5.2,5.2,5.2,5.2,0
2018-06-13,4.6,5.0,4.6,5.0,400
2018-06-14,5.0,5.3,5.0,5.2,13700
2018-06-15,5.3,5.3,5.3,5.3,104
2018-06-18,5.3,5.3,5.3,5.3,300
2018-06-19,5.0,5.3,4.8,4.8,7300
2018-06-20,4.9,4.9,4.9,4.9,900
2018-06-21,5.0,5.3,5.0,5.3,52300
2018-06-22,5.2,5.2,5.2,5.2,9500
2018-06-25,5.2,5.2,5.1,5.2,44200
2018-06-26,5.2,5.2,5.1,5.2,44400
2018-06-27,5.1,5.1,5.1,5.1,5006
2018-06-28,5.2,5.2,5.1,5.2,22106
2018-06-29,5.2,5.2,5.2,5.2,0
2018-07-02,5.1,5.1,5.1,5.1,35000
2018-07-03,5.1,5.1,5.1,5.1,39200
2018-07-04,4.4,5.1,4.4,5.1,141500
2018-07-05,5.1,5.1,5.1,5.1,10200
2018-07-06,5.1,5.1,5.0,5.0,13900
2018-07-09,5.1,5.1,5.1,5.1,6100
2018-07-10,5.1,5.1,5.1,5.1,12800
2018-07-11,5.1,5.1,5.1,5.1,5300
2018-07-12,5.1,5.2,5.1,5.2,6400
2018-07-13,5.1,5.2,5.1,5.2,23200
2018-07-16,5.3,5.3,5.3,5.3,16000
2018-07-17,5.3,5.3,5.3,5.3,20000
2018-07-18,5.3,6.0,5.3,6.0,118100
2018-07-19,5.8,5.8,5.8,5.8,8410
2018-07-20,5.8,5.8,5.8,5.8,600
2018-07-23,5.8,5.8,5.8,5.8,0
2018-07-24,5.3,5.3,5.3,5.3,5100
2018-07-25,5.3,5.4,5.3,5.3,11000
2018-07-26,5.2,5.3,5.2,5.3,5500
2018-07-27,5.3,5.3,5.2,5.2,6100
2018-07-30,5.1,5.1,5.0,5.0,67700
2018-07-31,5.0,5.0,5.0,5.0,5400
2018-08-01,5.0,5.0,5.0,5.0,3000
2018-08-02,5.0,5.0,4.8,5.0,14100
2018-08-03,5.1,5.1,5.1,5.1,10200
2018-08-06,5.1,5.1,5.1,5.1,22000
2018-08-07,5.1,5.1,5.1,5.1,5
2018-08-08,5.1,5.1,5.1,5.1,3800
2018-08-09,5.1,5.1,5.1,5.1,2000
2018-08-10,5.1,5.1,5.1,5.1,6400
2018-08-13,5.1,5.1,5.1,5.1,0
2018-08-14,5.1,5.1,5.1,5.1,0
2018-08-15,5.1,5.1,5.1,5.1,0
2018-08-16,5.1,5.1,5.1,5.1,0
2018-08-17,5.1,5.3,5.0,5.0,10100
2018-08-20,5.0,5.0,5.0,5.0,2400
2018-08-21,5.0,5.0,5.0,5.0,500
2018-08-22,5.1,5.1,5.1,5.1,2200
2018-08-23,5.0,5.0,5.0,5.0,800
