time,open,high,low,close,volume
2018-01-02,11.14,11.43,11.14,11.43,2300
2018-01-03,11.14,11.31,11.14,11.31,7600
2018-01-04,11.14,11.14,10.5,10.5,3800
2018-01-05,11.2,11.2,11.2,11.2,100
2018-01-08,11.2,11.2,11.2,11.2,0
2018-01-09,11.02,11.08,10.96,11.02,11500
2018-01-10,11.02,11.02,10.73,10.91,40200
2018-01-11,10.79,10.85,10.73,10.73,15000
2018-01-12,10.73,10.79,10.44,10.73,33300
2018-01-15,10.56,10.56,10.5,10.5,41300
2018-01-16,10.62,10.62,10.44,10.5,4201
2018-01-17,10.5,10.5,10.44,10.44,11300
2018-01-18,10.38,10.38,10.38,10.38,2007
2018-01-19,10.38,10.38,10.33,10.38,24900
2018-01-22,10.96,11.02,10.67,10.85,26700
2018-01-23,11.02,11.08,10.73,11.08,18800
2018-01-24,11.08,12.07,11.02,11.89,108500
2018-01-25,11.89,11.89,10.62,10.62,15800
2018-01-26,10.73,10.85,10.67,10.73,29800
2018-01-29,10.79,11.02,10.67,10.67,7800
2018-01-30,10.79,10.79,10.73,10.73,4200
2018-01-31,10.67,10.73,10.56,10.67,8400
2018-02-01,10.67,10.73,10.5,10.73,17100
2018-02-02,10.73,10.85,10.62,10.85,4200
2018-02-05,10.91,10.91,10.56,10.56,21500
2018-02-06,10.44,10.44,10.27,10.44,2100
2018-02-07,10.44,10.67,10.44,10.67,29700
2018-02-08,10.96,11.02,10.56,10.56,4100
2018-02-09,10.67,10.67,10.67,10.67,6700
2018-02-12,10.44,10.67,10.44,10.67,4101
2018-02-13,10.62,10.79,10.62,10.79,4300
2018-02-21,10.67,10.67,10.62,10.62,4000
2018-02-22,10.73,10.73,10.5,10.5,9000
2018-02-23,10.73,10.73,10.73,10.73,3500
2018-02-26,10.73,10.73,10.44,10.44,17400
2018-02-27,10.5,10.5,10.38,10.5,14400
2018-02-28,10.44,10.67,10.44,10.67,6900
2018-03-01,10.44,10.5,10.44,10.44,4300
2018-03-02,10.56,10.56,10.38,10.44,6500
2018-03-05,10.44,10.67,10.21,10.21,29100
2018-03-06,10.38,10.38,10.38,10.38,500
2018-03-07,10.38,10.5,10.38,10.44,2500
2018-03-08,10.5,10.5,10.38,10.38,19869
2018-03-09,10.5,10.62,10.44,10.44,5400
2018-03-12,10.44,10.44,10.27,10.44,10300
2018-03-13,10.33,10.33,10.33,10.33,100
2018-03-14,10.44,10.44,10.33,10.44,2100
2018-03-15,10.38,10.38,10.27,10.38,3000
2018-03-16,10.33,10.44,10.33,10.38,18500
2018-03-19,10.33,10.33,10.33,10.33,2900
2018-03-20,10.33,10.38,10.33,10.38,3500
2018-03-21,10.38,10.38,10.33,10.38,11900
2018-03-22,10.38,10.44,10.38,10.44,7400
2018-03-23,10.33,10.33,9.98,10.33,13800
2018-03-26,10.09,10.27,10.09,10.27,1800
2018-03-27,10.15,10.15,10.09,10.15,13600
2018-03-28,10.15,10.15,9.98,9.98,4000
2018-03-29,10.04,10.33,9.98,10.15,9600
2018-03-30,10.27,10.27,10.27,10.27,3200
2018-04-02,10.09,10.09,10.04,10.04,2500
2018-04-03,10.38,11.37,10.27,11.2,25200
2018-04-04,10.73,10.73,10.62,10.62,3400
2018-04-05,10.91,10.91,10.67,10.67,5930
2018-04-06,10.62,10.62,10.21,10.27,4200
2018-04-09,10.38,10.44,10.33,10.33,3800
2018-04-10,10.38,10.38,10.21,10.21,6700
2018-04-11,10.21,10.21,10.04,10.04,1500
2018-04-12,10.21,10.33,9.98,10.33,1300
2018-04-13,10.09,10.33,10.09,10.27,1300
2018-04-16,10.21,10.21,9.92,10.15,3500
2018-04-17,10.15,10.21,9.86,10.04,9200
2018-04-18,9.98,10.15,9.98,10.09,8400
2018-04-19,10.15,10.15,10.04,10.04,4200
2018-04-20,9.98,10.09,9.86,10.09,7100
2018-04-23,10.15,10.15,9.75,9.75,7200
2018-04-24,9.98,9.98,9.98,9.98,400
2018-04-26,9.86,10.04,9.86,9.98,11600
2018-04-27,9.98,10.15,9.8,9.98,3810
2018-05-02,9.86,9.86,9.86,9.86,1280
2018-05-03,10.15,10.15,9.86,9.86,14006
2018-05-04,9.86,9.98,9.86,9.98,300
2018-05-07,9.86,9.86,9.75,9.86,6570
2018-05-08,9.92,9.92,9.86,9.86,1710
2018-05-09,9.8,9.86,9.8,9.86,815
2018-05-10,9.86,9.86,9.69,9.75,9900
2018-05-11,9.75,9.86,9.69,9.86,7700
2018-05-14,9.86,9.86,9.86,9.86,200
2018-05-15,9.8,9.8,9.8,9.8,100
2018-05-16,9.75,9.75,9.69,9.69,4000
2018-05-17,9.75,9.75,9.63,9.69,23800
2018-05-18,9.92,10.21,9.69,9.69,3800
2018-05-21,9.69,9.69,9.57,9.63,6900
2018-05-22,9.46,9.75,9.46,9.69,700
2018-05-23,9.63,9.63,9.57,9.63,2402
2018-05-24,9.57,9.57,9.51,9.51,1400
2018-05-25,9.57,9.57,9.34,9.34,4500
2018-05-28,9.4,9.4,9.17,9.22,9400
2018-05-29,9.28,9.46,9.28,9.28,5800
2018-05-30,9.28,9.28,9.28,9.28,700
2018-05-31,9.22,9.22,9.22,9.22,1200
2018-06-01,9.4,9.4,9.4,9.4,5300
2018-06-04,9.57,9.57,9.51,9.51,600
2018-06-05,9.28,9.4,9.28,9.34,8660
2018-06-06,9.4,9.4,9.28,9.4,8400
2018-06-07,9.34,9.34,9.34,9.34,3400
2018-06-08,9.34,9.4,9.34,9.34,3500
2018-06-11,9.34,9.34,9.34,9.34,400
2018-06-12,9.46,9.46,9.46,9.46,730
2018-06-13,9.46,9.51,9.46,9.51,1300
2018-06-14,9.51,9.75,9.51,9.57,5068
2018-06-15,9.51,9.69,9.51,9.51,1900
2018-06-18,9.46,9.8,9.46,9.57,2100
2018-06-19,9.46,9.63,9.34,9.63,3400
2018-06-20,9.4,9.4,9.4,9.4,2000
2018-06-21,9.51,9.51,9.51,9.51,10200
2018-06-22,9.51,9.75,9.51,9.75,3500
2018-06-25,9.51,9.51,9.4,9.51,14900
2018-06-26,9.46,9.63,9.4,9.63,15806
2018-06-27,9.57,9.57,9.51,9.51,9000
2018-06-28,9.51,9.63,9.51,9.57,1300
2018-06-29,9.57,9.57,9.57,9.57,2900
2018-07-02,9.46,9.46,9.34,9.34,5000
2018-07-03,9.34,9.4,9.22,9.4,35100
2018-07-04,7.89,9.51,7.89,9.46,20300
2018-07-05,9.34,9.34,9.17,9.22,29500
2018-07-06,9.22,9.22,9.17,9.17,18100
2018-07-09,9.22,9.22,9.05,9.05,1700
2018-07-10,9.17,9.28,9.05,9.28,9800
2018-07-11,9.28,9.28,9.28,9.28,10000
2018-07-12,9.22,9.28,9.22,9.28,5200
2018-07-13,9.22,9.28,9.22,9.28,2700
2018-07-16,9.22,9.46,9.22,9.46,800
2018-07-17,9.28,9.28,9.28,9.28,1000
2018-07-18,9.51,9.51,9.28,9.28,14200
2018-07-19,9.28,9.28,9.28,9.28,1800
2018-07-20,9.28,9.28,9.28,9.28,900
2018-07-23,9.28,9.28,9.28,0.0,7800
2018-07-24,9.28,9.28,9.28,9.28,3000
2018-07-25,9.28,9.51,9.28,9.28,10200
2018-07-26,9.28,9.4,9.28,9.4,8100
2018-07-27,9.28,9.28,9.28,9.28,12500
2018-07-30,9.28,9.28,9.22,9.28,16000
2018-07-31,9.57,9.57,9.28,9.46,10305
2018-08-01,9.34,9.34,9.34,9.34,200
2018-08-02,9.28,9.28,9.28,9.28,1300
2018-08-03,9.28,9.28,9.28,9.28,3800
2018-08-06,9.28,9.28,9.28,9.28,1000
2018-08-07,9.28,9.28,9.28,9.28,5000
2018-08-08,10.5,10.5,9.57,9.57,6400
2018-08-09,9.86,10.04,9.51,10.04,9500
2018-08-10,9.98,9.98,9.86,9.86,2200
2018-08-13,9.57,9.57,9.57,9.57,2000
2018-08-14,9.57,9.8,9.57,9.8,1500
2018-08-15,9.86,9.86,9.8,9.86,4000
2018-08-16,9.86,9.86,9.86,9.86,0
2018-08-17,10.96,10.96,9.98,10.44,20700
2018-08-20,10.62,10.62,10.15,10.38,12800
2018-08-21,10.27,10.27,10.27,10.27,0
2018-08-22,10.38,10.38,10.38,10.38,2900
2018-08-23,10.15,10.15,10.15,10.15,200
2018-08-24,10.15,10.15,10.15,10.15,5600
2018-08-27,10.15,10.33,9.92,9.92,18800
2018-08-28,10.15,10.15,10.09,10.15,600
2018-08-29,10.15,10.21,10.15,10.15,886
