time,open,high,low,close,volume
2018-01-02,17.2,17.5,16.95,17.2,162120
2018-01-03,17.2,17.6,17.05,17.05,178730
2018-01-04,17.1,17.3,16.9,16.9,166860
2018-01-05,17.2,17.2,16.8,17.1,173200
2018-01-08,17.0,17.25,16.9,17.05,85260
2018-01-09,16.7,17.3,16.7,17.2,159530
2018-01-10,17.2,18.4,17.2,18.4,906770
2018-01-11,18.7,19.65,18.5,19.65,982310
2018-01-12,20.4,21.0,20.3,20.9,967110
2018-01-15,20.5,22.3,20.4,22.2,609610
2018-01-16,22.2,22.2,21.35,21.45,448450
2018-01-17,20.9,21.45,20.8,21.2,552750
2018-01-18,21.0,21.6,20.9,21.6,377880
2018-01-19,21.7,21.8,21.3,21.4,480450
2018-01-22,21.1,21.4,21.0,21.0,374710
2018-01-23,21.0,21.0,21.0,21.0,0
2018-01-24,21.0,21.0,21.0,21.0,0
2018-01-25,21.1,21.3,20.6,21.3,436090
2018-01-26,21.0,21.3,20.8,21.2,422550
2018-01-29,21.0,21.2,20.5,21.0,419650
2018-01-30,21.0,22.45,21.0,22.45,767360
2018-01-31,23.0,23.95,23.0,23.0,656300
2018-02-01,23.0,23.0,21.9,21.9,490820
2018-02-02,22.0,22.0,21.3,22.0,362690
2018-02-05,21.6,21.6,20.7,21.0,446580
2018-02-06,20.4,20.6,19.55,19.55,566710
2018-02-07,19.9,20.2,19.5,19.6,519610
2018-02-08,19.5,19.6,19.2,19.2,230530
2018-02-09,18.5,18.9,18.2,18.5,407070
2018-02-12,18.5,19.75,18.5,19.75,463770
2018-02-13,19.8,20.5,19.8,20.45,443960
2018-02-21,20.45,21.85,20.45,21.8,564530
2018-02-22,21.7,21.8,20.8,21.3,560070
2018-02-23,21.4,21.9,21.3,21.7,589900
2018-02-26,21.7,21.9,21.4,21.6,681610
2018-02-27,21.5,21.7,20.9,21.0,548520
2018-02-28,20.8,21.6,20.55,21.25,757270
2018-03-01,21.25,21.5,20.85,21.1,613430
2018-03-02,21.1,21.5,20.8,21.5,501500
2018-03-05,21.5,21.8,20.1,20.1,796890
2018-03-06,20.2,20.9,20.1,20.4,664930
2018-03-07,20.4,20.6,19.9,20.4,338850
2018-03-08,20.4,20.5,19.9,20.2,242530
2018-03-09,20.0,20.4,19.7,19.7,534000
2018-03-12,19.8,20.1,19.6,20.0,375500
2018-03-13,20.0,20.0,19.6,19.9,290710
2018-03-14,19.9,20.0,19.2,19.2,367310
2018-03-15,19.2,19.8,19.2,19.6,552900
2018-03-16,19.6,19.8,19.3,19.6,464420
2018-03-19,19.6,20.95,19.5,20.95,1082310
2018-03-20,21.0,22.0,20.95,21.6,807500
2018-03-21,21.6,21.95,21.0,21.0,733350
2018-03-22,20.9,21.2,20.6,20.8,446360
2018-03-23,20.5,20.5,19.7,20.4,327230
2018-03-26,20.4,20.8,19.9,20.4,515100
2018-03-27,20.3,20.5,19.8,20.0,247650
2018-03-28,20.0,20.0,19.5,19.8,420920
2018-03-29,19.8,20.8,19.7,20.5,527390
2018-03-30,20.5,20.6,20.2,20.5,329480
2018-04-02,20.5,20.9,20.4,20.7,346640
2018-04-03,20.7,20.7,19.9,20.2,484980
2018-04-04,20.2,20.3,19.7,20.0,304600
2018-04-05,20.0,20.2,19.8,20.0,353100
2018-04-06,20.0,21.3,20.0,20.5,585490
2018-04-09,20.6,20.7,19.8,19.8,362950
2018-04-10,19.9,20.5,19.5,20.5,770690
2018-04-11,20.5,20.6,19.4,19.8,338590
2018-04-12,19.6,20.0,19.3,20.0,409610
2018-04-13,19.9,20.0,19.6,19.9,424610
2018-04-16,19.8,20.0,19.3,19.9,319520
2018-04-17,19.9,20.2,19.8,20.2,233770
2018-04-18,20.3,21.0,20.2,20.2,731970
2018-04-19,20.2,20.6,19.9,20.3,571610
2018-04-20,20.3,20.4,20.1,20.3,278390
2018-04-23,20.3,20.4,18.9,18.9,322380
2018-04-24,18.9,19.3,18.7,19.2,399130
2018-04-26,19.2,19.2,18.2,18.2,348030
2018-04-27,18.0,18.6,17.9,18.0,387970
2018-05-02,18.0,18.0,17.3,18.0,477170
2018-05-03,18.0,18.8,17.6,18.8,406390
2018-05-04,18.5,18.8,18.5,18.6,226980
2018-05-07,18.6,19.2,18.4,19.2,269200
2018-05-08,19.2,19.2,18.7,18.8,216970
2018-05-09,18.7,18.8,18.3,18.8,249250
2018-05-10,18.7,18.8,18.2,18.2,155320
2018-05-11,18.2,18.2,17.7,18.0,179130
2018-05-14,18.0,18.2,17.8,18.2,116720
2018-05-15,18.0,18.3,17.9,18.0,196160
2018-05-16,18.0,18.0,17.65,17.8,300920
2018-05-17,17.8,17.8,17.1,17.7,298570
2018-05-18,17.7,17.7,17.0,17.05,318220
2018-05-21,17.05,17.3,17.0,17.2,237530
2018-05-22,17.2,17.2,16.0,16.8,290940
2018-05-23,16.5,16.6,16.0,16.6,248020
2018-05-24,16.5,16.6,16.0,16.55,175580
2018-05-25,16.5,16.9,16.5,16.7,129910
2018-05-28,16.6,16.7,15.55,15.55,228960
2018-05-29,15.55,16.6,15.0,16.4,339770
2018-05-30,16.3,16.3,15.7,15.7,278000
2018-05-31,15.7,16.35,15.5,16.3,190940
2018-06-01,16.3,16.4,15.9,16.3,317080
2018-06-04,16.2,16.2,15.9,16.2,203350
2018-06-05,16.1,16.2,15.9,16.2,197670
2018-06-06,16.1,16.3,15.6,16.15,190950
2018-06-07,16.1,16.1,15.7,16.0,172180
2018-06-08,15.9,16.0,15.55,16.0,153330
2018-06-11,16.0,17.1,15.9,17.1,531450
2018-06-12,17.2,18.25,17.1,18.1,682830
2018-06-13,18.0,18.2,17.6,18.1,220520
2018-06-14,17.8,18.0,17.6,17.9,196730
2018-06-15,17.9,18.8,17.7,18.8,461800
2018-06-18,18.7,18.8,17.8,18.0,274350
2018-06-19,17.7,17.7,16.8,17.2,256310
2018-06-20,17.2,17.7,17.1,17.7,243390
2018-06-21,17.7,17.8,17.2,17.5,309840
2018-06-22,17.4,17.6,17.3,17.6,284970
2018-06-25,17.6,17.9,17.5,17.7,267710
2018-06-26,17.7,17.7,17.2,17.7,261180
2018-06-27,17.6,18.4,17.6,18.3,684920
2018-06-28,18.2,18.4,18.0,18.2,270970
2018-06-29,18.2,18.3,17.9,18.2,312730
2018-07-02,18.0,18.0,16.95,16.95,165140
2018-07-03,16.6,17.0,15.8,15.8,138790
2018-07-04,15.7,16.3,14.8,16.3,253070
2018-07-05,16.2,16.4,15.2,16.0,209130
2018-07-06,15.9,16.2,15.7,16.0,188000
2018-07-09,15.9,16.3,15.8,16.1,346150
2018-07-10,16.1,16.1,15.7,15.9,269540
2018-07-11,15.5,15.9,15.3,15.7,267890
2018-07-12,15.6,15.8,15.1,15.7,209520
2018-07-13,15.7,16.0,15.6,16.0,291500
2018-07-16,16.2,16.6,15.9,16.6,238310
2018-07-17,16.5,16.6,16.0,16.6,324140
2018-07-18,16.3,17.75,16.0,17.75,592260
2018-07-19,17.75,18.6,17.75,18.45,584770
2018-07-20,18.45,18.45,18.0,18.4,351060
2018-07-23,18.1,19.2,17.8,18.4,675600
2018-07-24,18.3,19.1,18.0,18.9,867360
2018-07-25,18.9,19.5,18.8,19.3,671760
2018-07-26,19.3,19.4,18.5,19.1,729480
2018-07-27,19.0,19.5,19.0,19.35,362810
2018-07-30,19.35,19.35,19.0,19.1,651140
2018-07-31,19.0,19.4,19.0,19.2,280630
2018-08-01,19.2,20.5,19.1,20.5,692520
2018-08-02,20.5,21.3,20.5,20.9,781480
2018-08-03,20.9,21.1,20.8,20.9,623830
2018-08-06,20.7,20.8,20.2,20.2,381490
2018-08-07,20.2,20.4,19.5,20.2,493730
2018-08-08,20.1,20.2,19.5,20.2,291910
2018-08-09,20.0,20.7,19.0,20.6,587850
2018-08-10,20.6,21.3,20.5,21.1,761350
