time,open,high,low,close,volume
2018-01-02,23.97,23.97,23.97,23.97,100
2018-01-03,23.97,23.97,23.97,23.97,0
2018-01-04,23.97,23.97,23.97,23.97,0
2018-01-05,23.97,23.97,23.97,23.97,0
2018-01-08,23.97,23.97,23.97,23.97,0
2018-01-09,23.97,23.97,23.97,23.97,0
2018-01-10,23.97,23.97,23.97,23.97,0
2018-01-11,23.97,23.97,23.97,23.97,0
2018-01-12,23.97,23.97,23.97,23.97,0
2018-01-15,23.97,23.97,23.97,23.97,0
2018-01-16,23.97,23.97,23.97,23.97,0
2018-01-17,23.97,23.97,23.97,23.97,0
2018-01-18,23.97,23.97,23.97,23.97,0
2018-01-19,23.97,23.97,23.97,23.97,0
2018-01-22,23.97,23.97,23.97,23.97,0
2018-01-23,23.97,23.97,23.97,23.97,0
2018-01-24,23.97,23.97,23.97,23.97,0
2018-01-25,23.97,23.97,23.97,23.97,0
2018-01-26,23.97,23.97,23.97,23.97,0
2018-01-29,23.97,23.97,23.97,23.97,0
2018-01-30,23.97,23.97,23.97,23.97,0
2018-01-31,23.97,23.97,23.97,23.97,0
2018-02-01,23.97,23.97,23.97,23.97,0
2018-02-02,23.97,23.97,23.97,23.97,0
2018-02-05,23.97,23.97,23.97,23.97,0
2018-02-06,23.97,23.97,23.97,23.97,0
2018-02-07,23.97,23.97,23.97,23.97,0
2018-02-08,23.97,23.97,23.97,23.97,0
2018-02-09,23.97,23.97,23.97,23.97,0
2018-02-12,23.97,23.97,23.97,23.97,0
2018-02-13,23.97,23.97,23.97,23.97,0
2018-02-21,23.97,23.97,23.97,23.97,0
2018-02-22,23.97,23.97,23.97,23.97,0
2018-02-23,23.97,23.97,23.97,23.97,0
2018-02-26,23.97,23.97,23.97,23.97,0
2018-02-27,23.97,23.97,23.97,23.97,0
2018-02-28,23.97,23.97,23.97,23.97,0
2018-03-01,23.97,23.97,23.97,23.97,0
2018-03-02,23.97,23.97,23.97,23.97,0
2018-03-05,23.97,23.97,23.97,23.97,0
2018-03-06,23.97,23.97,23.97,23.97,0
2018-03-07,23.97,23.97,23.97,23.97,0
2018-03-08,23.97,23.97,23.97,23.97,0
2018-03-09,23.97,23.97,23.97,23.97,0
2018-03-12,23.97,23.97,23.97,23.97,0
2018-03-13,23.97,23.97,23.97,23.97,0
2018-03-14,23.97,23.97,23.97,23.97,0
2018-03-15,23.97,23.97,23.97,23.97,0
2018-03-16,23.97,23.97,23.97,23.97,0
2018-03-19,23.97,23.97,23.97,23.97,0
2018-03-20,23.97,23.97,23.97,23.97,0
2018-03-21,23.97,23.97,23.97,23.97,0
2018-03-22,23.97,23.97,23.97,23.97,0
2018-03-23,23.97,23.97,23.97,23.97,0
2018-03-26,23.97,23.97,23.97,23.97,0
2018-03-27,23.97,23.97,23.97,23.97,0
2018-03-28,23.97,23.97,23.97,23.97,0
2018-03-29,23.97,23.97,23.97,23.97,0
2018-03-30,23.97,23.97,23.97,23.97,0
2018-04-02,23.97,23.97,23.97,23.97,0
2018-04-03,23.97,23.97,23.97,23.97,0
2018-04-04,23.97,23.97,23.97,23.97,0
2018-04-05,23.97,23.97,23.97,23.97,0
2018-04-06,23.97,23.97,23.97,23.97,0
2018-04-09,23.97,23.97,23.97,23.97,0
2018-04-10,23.97,23.97,23.97,23.97,0
2018-04-11,23.97,23.97,23.97,23.97,0
2018-04-12,23.97,23.97,23.97,23.97,0
2018-04-13,23.97,23.97,23.97,23.97,0
2018-04-16,23.97,23.97,23.97,23.97,0
2018-04-17,23.97,23.97,23.97,23.97,0
2018-04-18,23.97,23.97,23.97,23.97,0
2018-04-19,23.97,23.97,23.97,23.97,0
2018-04-20,23.97,23.97,23.97,23.97,0
2018-04-23,23.97,23.97,23.97,23.97,0
2018-04-24,23.97,23.97,23.97,23.97,0
2018-04-26,23.97,23.97,23.97,23.97,0
2018-04-27,23.97,23.97,23.97,23.97,0
2018-05-02,23.97,23.97,23.97,23.97,0
2018-05-03,23.97,23.97,23.97,23.97,0
2018-05-04,23.97,23.97,23.97,23.97,0
2018-05-07,23.97,23.97,23.97,23.97,0
2018-05-08,23.97,23.97,23.97,23.97,0
2018-05-09,23.97,23.97,23.97,23.97,0
2018-05-10,23.97,23.97,23.97,23.97,0
2018-05-11,23.97,23.97,23.97,23.97,0
2018-05-14,23.97,23.97,23.97,23.97,0
2018-05-15,23.97,23.97,23.97,23.97,0
2018-05-16,23.97,23.97,23.97,23.97,0
2018-05-17,23.97,23.97,23.97,23.97,0
2018-05-18,23.97,23.97,23.97,23.97,0
2018-05-21,23.97,23.97,23.97,23.97,0
2018-05-22,23.97,23.97,23.97,23.97,6100
2018-05-23,23.97,23.97,23.97,23.97,0
